SI.No.,State/UT,Estimated mid-Year Population,Murder - Incidence,Murder - Rate,Murder - Percentage contribution to All-India,Hurt - Incidence,Hurt - Rate,Hurt - Percentage contribution to All-India,Rape - Incidence,Rape - Rate,Rape - Percentage contribution to All-India,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage contribution to All-India,Dacoity - Incidence,Dacoity - Rate,Dacoity - Percentage contribution to All-India,Robbery - Incidence,Robbery - Rate,Robbery - Percentage contribution to All-India,Arson - Incidence,Arson - Rate,Arson - Percentage contribution to All-India,Prot. Of Civil Rights Act - Incidence,Prot. Of Civil Rights Act - Rate,Prot. Of Civil Rights Act - Percentage contribution to All-India,SC/ST(Prev. of Atroc.) Act - Incidence,SC/ST(Prev. of Atroc.) Act - Rate,SC/ST(Prev. of Atroc.) Act - Percentage contribution to All-India,other Offences - Incidence,other Offences - Rate,other Offences - Percentage contribution to All-India,Total - Incidence,Total - Rate,Total - Percentage contribution to All-India
11,Kerala,314.6,4,0,0.8,192,0.6,5,76,0.2,7.3,1,0,0.4,0,0,0,1,0,0.6,3,0,0.8,6,0,0.5,352,1.1,4.4,120,0.4,1,755,2.4,2.7
12,Madhya Pradesh,760.1,66,0.1,12.9,635,0.8,16.5,315,0.4,30.4,23,0,9.5,3,0,5.2,10,0,6.2,30,0,7.7,44,0.1,3.6,394,0.5,4.9,2749,3.6,22.2,4269,5.6,15.3
13,Maharashtra,882.7,8,0,1.6,79,0.1,2,35,0,3.4,7,0,2.9,6,0,10.3,3,0,1.9,4,0,1,262,0.3,21.5,176,0.2,2.2,251,0.3,2,831,0.9,3
14,Manipur,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Mizoram,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Nagaland,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Orissa,349.5,10,0,1.9,215,0.6,5.6,15,0,1.4,7,0,2.9,0,0,0,4,0,2.5,2,0,0.5,3,0,0.2,222,0.6,2.8,200,0.6,1.6,678,1.9,2.4
19,Punjab,228.1,0,0,0,0,0,0,3,0,0.3,2,0,0.8,0,0,0,0,0,0,0,0,0,1,0,0.1,2,0,0,3,0,0,11,0,0
20,Rajasthan,510.4,53,0.1,10.3,197,0.4,5.1,158,0.3,15.2,16,0,6.6,1,0,1.7,1,0,0.6,63,0.1,16.2,4,0,0.3,781,1.5,9.7,4350,8.5,35.1,5624,11,20.1
21,Sikkim,5.1,0,0,0,8,1.6,0.2,2,0.4,0.2,1,0.2,0.4,0,0,0,0,0,0,1,0.2,0.3,0,0,0,1,0.2,0,5,1,0,18,3.5,0.1
22,Tamil Nadu,602.9,11,0,2.1,983,1.6,25.5,9,0,0.9,2,0,0.8,1,0,1.7,1,0,0.6,0,0,0,193,0.3,15.9,93,0.2,1.2,110,0.2,0.9,1403,2.3,5
23,Tripura,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Uttar Pradesh,1607,261,0.2,50.9,706,0.4,18.3,302,0.2,29.1,149,0.1,61.3,42,0,72.4,126,0.1,77.8,243,0.2,62.5,72,0,5.9,3627,2.3,44.9,2972,1.8,24,8500,5.3,30.4
25,West Bengal,761.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Total States,Total States,9402,513,0.1,100,3860,0.4,100,1037,0.1,100,243,0,100,58,0,100,162,0,100,389,0,100,1190,0.1,97.9,8054,0.9,99.6,12395,1.3,100,27901,3,99.8
26,A & N Islands,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,0,0,0,0,0,0,1,0.1,0
28,D & N Haveli,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & DIU,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,124.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.2,16,0.1,0.2,1,0,0,19,0.2,0.1
31,Lakshadweep,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2.3,1.9,0,0,0,0,0,0,23,2.3,0.1
Total (UTs),Total (UTs),150.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0.2,2.1,16,0.1,0.2,1,0,0,43,0.3,0.2
Total (All -India),Total (All -India),9552.1,513,0.1,100,3860,0.4,100,1037,0.1,100,243,0,100,58,0,100,162,0,100,389,0,100,1216,0.1,100,8070,0.8,100,12396,1.3,100,27944,2.9,100
