SI.No.,Category,State/UT/City,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic Drugs & Psy. Substances Act - Male,Narcotic Drugs & Psy. Substances Act - Female,Narcotic Drugs & Psy. Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosive & Explosive Subs.Act - Male,Explosive & Explosive Subs.Act - Female,Explosive & Explosive Subs.Act - Total,Immoral Trafic (prevention) Act - Male,Immoral Trafic (prevention) Act - Female,Immoral Trafic (prevention) Act - Total,Indian Raiways Act - Male,Indian Raiways Act - Female,Indian Raiways Act - Total,Registration of Foreigners Act - Male,Registration of Foreigners Act - Female,Registration of Foreigners Act - Total,Protection of Civil Rights Act - Male,Protection of Civil Rights Act - Female,Protection of Civil Rights Act - Total,Indian Passport Act - Male,Indian Passport Act - Female,Indian Passport Act - Total,Essential Commodities Act - Male,Essential Commodities Act - Female,Essential Commodities Act - Total,Terrorist & Disruptive Activites Act - Male,Terrorist & Disruptive Activites Act - Female,Terrorist & Disruptive Activites Act - Total,Antiquity & Art Treasures Act - Male,Antiquity & Art Treasures Act - Female,Antiquity & Art Treasures Act - Total,Dowry Prohibtion Act - Male,Dowry Prohibtion Act - Female,Dowry Prohibtion Act - Total,Child Marriage Restraint Act - Male,Child Marriage Restraint Act - Female,Child Marriage Restraint Act - Total,Indecent Representation of Women (p) Act - Male,Indecent Representation of Women (p) Act - Female,Indecent Representation of Women (p) Act - Total,Copyright Act - Male,Copyright Act - Female,Copyright Act - Total,Sati Prevention Act - Male,Sati Prevention Act - Female,Sati Prevention Act - Total,SC/ST(Prev. of Atrocities Act) - Male,SC/ST(Prev. of Atrocities Act) - Female,SC/ST(Prev. of Atrocities Act) - Total,Forest Act - Male,Forest Act - Female,Forest Act - Total,Other SLL Crimes - Male,Other SLL Crimes - Female,Other SLL Crimes - Total,Total Cognizable Crimes Under SLL - Male,Total Cognizable Crimes Under SLL - Female,Total Cognizable Crimes Under SLL - Total,Percentage of Female To total
11,State,Kerala,325,0,325,537,38,575,10069,0,10069,707,0,707,5488,177,5665,345,1,346,68,112,180,7,0,7,21,1,22,10,0,10,30,2,32,150,0,150,0,0,0,0,0,0,2,0,2,0,0,0,25,0,25,57,0,57,0,0,0,532,22,554,77,4,81,6131,224,6355,24581,581,25162,2.31
12,State,Madhya Pradesh,7256,0,7256,1272,25,1297,62697,12,62709,22557,1068,23625,4,0,4,492,0,492,14,14,28,13586,389,13975,0,0,0,219,8,227,0,0,0,385,0,385,0,0,0,0,0,0,229,62,291,0,0,0,0,0,0,63,0,63,0,0,0,1780,15,1795,91,0,91,171332,2740,174072,281977,4333,286310,1.51
13,State,Maharashtra,1436,4,1440,1523,103,1626,38814,37,38851,0,0,0,105760,12647,118407,144,1,145,106,2463,2569,8294,335,8629,139,20,159,499,37,536,18,0,18,971,6,977,0,0,0,1,0,1,56,6,62,0,0,0,206,0,206,428,2,430,0,0,0,356,27,383,47,0,47,195337,9805,205142,354135,25493,379628,6.72
14,State,Manipur,56,2,58,84,7,91,28,3,31,40,7,47,0,0,0,12,0,12,0,0,0,0,0,0,2,1,3,0,0,0,15,2,17,1,0,1,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,39,440,656,61,717,8.51
15,State,Meghalaya,74,0,74,24,1,25,62,12,74,7,17,24,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,187,31,218,14.22
16,State,Mizoram,8,0,8,134,37,171,22,0,22,0,0,0,1134,0,1134,5,0,5,0,0,0,0,0,0,350,109,459,0,0,0,125,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,101,863,2540,247,2787,8.86
17,State,Nagaland,32,0,32,259,8,267,7,0,7,35,1,36,20,1,21,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,11,408,757,21,778,2.7
18,State,Orissa,324,0,324,206,2,208,2557,0,2557,1339,13,1352,0,0,0,152,0,152,15,31,46,18,0,18,0,0,0,11,0,11,0,0,0,49,0,49,0,0,0,0,0,0,362,92,454,0,0,0,3,0,3,11,0,11,0,0,0,1188,5,1193,0,0,0,1104,57,1161,7339,200,7539,2.65
19,State,Punjab,989,0,989,1912,167,2079,3600,3,3603,14678,673,15351,0,0,0,18,0,18,2,6,8,320,1,321,185,14,199,14,0,14,245,23,268,224,16,240,0,0,0,0,0,0,0,0,0,2,1,3,2,0,2,20,0,20,0,0,0,10,0,10,0,0,0,352,4,356,22573,908,23481,3.87
20,State,Rajasthan,785,1,786,819,17,836,8349,2,8351,4212,94,4306,0,0,0,319,0,319,51,49,100,370,0,370,16,2,18,6,0,6,27,0,27,291,0,291,0,0,0,2,0,2,4,0,4,10,2,12,1,0,1,70,0,70,0,0,0,3254,152,3406,1444,0,1444,4671,121,4792,24701,440,25141,1.75
21,State,Sikkim,9,0,9,10,0,10,0,0,0,85,45,130,0,0,0,0,0,0,0,0,0,0,0,0,9,2,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,37,443,520,84,604,13.91
22,State,Tamil Nadu,249,1,250,1761,220,1981,21216,25,21241,0,0,0,234553,65979,300532,567,1,568,245,3650,3895,96,0,96,3,0,3,255,7,262,57,0,57,23,0,23,0,0,0,9,0,9,385,202,587,0,0,0,1,0,1,23,0,23,0,0,0,953,19,972,4,0,4,277543,17139,294682,537943,87243,625186,13.95
23,State,Tripura,44,0,44,12,0,12,32,0,32,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1892,0,1892,2010,0,2010,0
24,State,Uttar Pradesh,51391,137,51528,10211,67,10278,17599,13,17612,32964,592,33556,1,0,1,1904,5,1909,19,97,116,5040,0,5040,24,5,29,279,8,287,7,0,7,971,0,971,0,0,0,0,0,0,1505,277,1782,2,0,2,12,0,12,87,0,87,1,0,1,10315,257,10572,6759,8,6767,385733,634,386367,524824,2100,526924,0.4
25,State,West Bengal,1732,40,1772,479,36,515,2347,7,2354,1975,22,1997,19,0,19,195,0,195,29,104,133,9342,498,9840,1192,88,1280,0,0,0,2,0,2,1058,0,1058,2,0,2,7,0,7,3,1,4,0,0,0,0,0,262,130,0,130,0,0,0,0,0,0,0,0,0,878468,1630,880098,896980,2426,899406,0.27
Total States,State,Total States,74097,195,74292,23166,866,24032,250660,225,250885,170243,4654,174897,424992,114739,539731,5891,12,5903,1217,9700,10917,40523,1246,41769,2219,254,2473,2833,158,2991,721,43,764,6703,31,6734,58,1,59,41,0,41,5492,1384,6876,115,54,169,262,0,0,1207,5,1212,1,0,1,25706,897,26603,9831,20,9851,3549031,48586,3597617,4595009,183070,4778079,3.83
26,UT,A & N Islands,0,0,0,1,0,1,94,0,94,1569,356,1925,138,0,138,2,0,2,0,0,0,0,0,0,78,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,0,639,2524,358,2882,12.42
27,UT,Chandigarh,14,0,14,15,1,16,37,2,39,123,2,125,0,0,0,0,0,0,0,2,2,0,0,0,2,1,3,0,1,1,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,30,0,30,243,9,252,3.57
28,UT,D & N Haveli,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,7,0,7,0
29,UT,Daman & DIU,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,14.29
30,UT,Delhi,2887,8,2895,742,66,808,4705,0,4705,5300,1537,6837,0,0,0,67,0,67,54,255,309,32,0,32,62,7,69,12,0,12,11,2,13,67,2,69,0,0,0,0,0,0,7,3,10,0,0,0,10,0,10,126,0,126,0,0,0,3,0,3,0,0,0,1201,28,1229,15286,1908,17194,11.1
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
32,UT,Pondicherry,13,0,13,1,0,1,15,0,15,0,0,0,0,0,0,4,0,4,31,114,145,0,0,0,4,0,4,46,2,48,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3034,0,3034,3162,116,3278,3.54
Total (UTs),UT,Total (UTs),2917,8,2925,759,68,827,4852,2,4854,6992,1895,8887,139,0,139,76,0,76,85,371,456,32,0,32,148,8,156,58,3,61,11,2,13,89,2,91,0,0,0,0,0,0,7,3,10,4,2,6,13,0,13,136,0,136,0,0,0,5,0,5,0,0,0,4906,28,4934,21229,2392,23621,10.13
Total (All -India),Total (All -India),Total (All -India),77014,203,77217,23925,934,24859,255512,227,255739,177235,6549,183784,425131,114739,539870,5967,12,5979,1302,10071,11373,40555,1246,41801,2367,262,2629,2891,161,3052,732,45,777,6792,33,6825,58,1,59,41,0,41,5499,1387,6886,119,56,175,275,0,275,1343,5,1348,1,0,1,25711,897,26608,9831,20,9851,3553937,48614,3602551,4616238,185462,4801700,3.86
33,City,Ahmedabad,74,0,74,73,1,74,7615,3,7618,0,0,0,6145,1029,7174,1,1,2,8,11,19,0,0,0,0,0,0,13,0,13,0,0,0,27,0,27,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,24,0,24,0,0,0,65,6,71,1,0,1,6384,665,7049,20434,1719,22153,7.76
34,City,Bangalore,10,0,10,38,3,41,1065,0,1065,559,46,605,0,0,0,8,0,8,223,327,550,0,0,0,17,2,19,7,0,7,47,8,55,15,0,15,0,0,0,0,0,0,118,47,165,0,0,0,0,0,0,30,0,30,0,0,0,47,2,49,38,0,38,453022,275,453297,455244,710,455954,0.16
35,City,Bhopal,277,0,277,38,1,39,1943,0,1943,294,10,304,0,0,0,10,0,10,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,0,8,18,0,18,2612,12,2624,0.46
36,City,Bombay,175,2,177,990,57,1047,7646,7,7653,0,0,0,2396,231,2627,10,0,10,33,2376,2409,0,0,0,23,0,23,2,0,2,12,0,12,88,3,91,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,146,1,147,0,0,0,1,0,1,0,0,0,161530,6799,168329,173078,9476,182554,5.19
37,City,Calcutta,201,0,201,110,8,118,1392,0,1392,1739,1,1750,0,0,0,23,0,23,23,102,125,43,0,43,0,0,0,0,0,0,0,0,0,112,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,55,0,0,0,0,0,0,0,0,0,873602,1522,875124,877300,1643,878943,0.19
38,City,Coimbatore,4,0,4,87,15,102,481,0,481,0,0,0,1620,4,1624,3,0,3,3,299,302,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5768,72,5840,7971,390,8361,4.66
39,City,Delhi,2719,5,2724,720,54,774,4686,0,4686,4718,1488,6206,0,0,0,60,0,60,51,241,292,30,0,30,55,7,62,7,0,7,7,2,9,54,2,56,0,0,0,0,0,0,7,3,10,0,0,0,9,0,9,114,0,114,0,0,0,3,0,3,0,0,0,1082,24,1106,14322,1826,16148,11.31
40,City,Hyderabad,123,0,123,11,0,11,1106,0,1106,330,30,360,343,0,343,5,0,5,13,85,98,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,13,0,13,0,0,0,466603,1343,467946,468572,1458,470030,0.31
41,City,Indore,893,0,893,22,0,22,1764,0,1764,724,38,762,0,0,0,15,0,15,8,12,20,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,79,0,79,3523,50,3573,1.4
42,City,Jaipur,103,0,103,36,1,37,804,0,804,200,2,202,0,0,0,0,0,0,30,20,50,0,0,0,1,0,1,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,28,0,28,13,0,13,309,14,323,1542,37,1579,2.34
43,City,Kanpur,2360,3,2363,1067,8,1075,1185,0,1185,1091,26,1117,0,0,0,118,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,67,0,0,0,0,0,0,78,1,79,0,0,0,0,0,0,0,0,0,0,0,0,264,5,269,102,0,102,42125,5,42130,48457,48,48505,0.1
44,City,Kochi,9,0,9,46,1,47,106,0,106,0,0,0,59,0,59,8,0,8,14,6,20,0,0,0,5,0,5,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,10,0,10,0,0,0,27,1,28,0,0,0,196,0,196,484,8,492,1.63
45,City,Lucknow,1479,0,1479,374,0,374,481,0,481,399,1,400,0,0,0,65,0,65,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,2,0,2,0,0,0,174,0,174,27,0,27,16811,0,16811,19841,20,19861,0.1
46,City,Ludhiana,181,0,181,69,13,82,385,1,386,462,7,469,0,0,0,2,0,2,0,0,0,13,0,13,0,0,0,10,0,10,0,0,0,30,2,32,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8,0,8,0,0,0,0,0,0,0,0,0,15,0,15,1177,28,1200,1.92
47,City,Madras,4,0,4,235,38,273,2968,25,2993,0,0,0,6021,1692,7713,5,0,5,7,358,365,0,0,0,2,0,2,2,0,2,12,0,12,0,0,0,0,0,0,0,0,0,51,68,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47862,8135,55997,57169,10316,67485,15.29
48,City,Madurai,0,0,0,153,56,209,289,0,289,0,0,0,1802,120,1922,0,0,0,28,169,197,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27465,254,27719,29742,599,30341,1.97
49,City,Nagpur,405,0,405,54,9,63,2402,0,2402,0,0,0,2236,3,2239,1,0,1,0,0,0,0,0,0,0,0,0,5,0,5,1,0,1,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,1,0,1,1204,60,1264,6331,72,6403,1.12
50,City,Patna,291,0,291,16,0,16,131,0,131,123,3,126,0,0,0,47,0,47,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,149,16,165,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,211,3,214,983,24,1007,2.38
51,City,Pune,20,0,20,10,4,14,598,10,608,0,0,0,3772,2563,6335,1,0,1,1,17,18,0,0,0,112,20,132,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,28,0,0,0,2,0,2,0,0,0,3931,25,3956,8476,2642,11118,23.76
52,City,Surat,44,0,44,10,1,11,1540,0,1540,0,0,0,6988,9831,16819,0,0,0,0,10,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,0,0,0,49,0,49,0,0,0,5043,376,5419,13708,10218,23926,42.71
53,City,Vadodra,12,0,12,8,1,9,827,4,831,0,0,0,3952,725,4677,5,0,5,0,0,0,29,2,31,2,0,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,2,6,12,0,12,15,0,15,0,0,0,19,4,23,0,0,0,1591,242,1833,6479,980,7459,13.14
54,City,Varanasi,486,0,486,356,0,356,282,0,282,131,7,138,0,0,0,39,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,150,0,150,15,0,15,10044,0,10044,11516,7,11523,0.06
55,City,Vishakhapatnam,0,0,0,2,0,2,551,0,551,114,12,126,517,102,619,0,0,0,0,21,21,0,0,0,8,1,9,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,23412,130,23542,24610,266,24876,1.07
