SI.No.,Category,States/UT/City,Residential Permises - Number,Residential Permises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Others Places - Number,Others Places - Value,Total -Number,Total - Value
Total States,State,Total States,4101,1397.6,1201,795.7,1,0,128,32.5,65,137.9,406,498.8,1912,1361,7814,4223.5
26,UT,A & N Islands,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1
27,UT,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,UT,D & N Haveli,6,2.1,0,0,0,0,0,0,0,0,2,4.2,1,1,9,7.3
29,UT,Daman & DIU,4,2.6,0,0,0,0,0,0,0,0,1,1.1,1,0.5,6,4.2
30,UT,Delhi,19,38.6,2,0.4,0,0,1,0.3,0,0,7,25.3,8,13.8,37,78.4
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),UT,Total (UTs),30,43.5,2,0.4,0,0,1,0.3,0,0,10,30.5,10,15.8,53,90
Total (All -India),Total (All -India),Total (All -India),4131,1441.1,1203,796.1,1,0,129,32.9,65,137.9,416,529.3,1922,1376.3,7867,4313.4
33,City,Ahmedabad,1,0.9,5,5.6,0,0,0,0,0,0,2,5.6,13,32.8,21,45
34,City,Bangalore,26,6.7,4,0.6,0,0,0,0,1,0,6,3.5,15,4.4,52,15.3
35,City,Bhopal,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1
36,City,Bombay,12,73.7,1,0.2,0,0,0,0,1,3,35,168.9,27,91.9,76,337.7
37,City,Calcutta,10,14.9,16,23,0,0,0,0,3,15,14,17.9,9,11.9,52,82.8
38,City,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,City,Delhi,15,31.5,1,0,0,0,1,0.3,0,0,7,25.3,5,4.4,29,61.5
40,City,Hyderabad,12,18.6,0,0,0,0,0,0,0,0,0,0,0,0,12,18.6
41,City,Indore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,City,Jaipur,4,10.2,0,0,0,0,0,0,0,0,1,0.5,2,0,7,10.7
43,City,Kanpur,33,8.3,3,2.6,0,0,0,0,0,0,1,0,9,2.5,46,13.3
44,City,Kochi,0,0,1,0,0,0,0,0,0,0,1,5.5,5,9.5,7,15
45,City,Lucknow,9,4.1,0,0,0,0,0,0,0,0,2,0.4,5,0,16,4.5
46,City,Ludhiana,6,6.2,0,0,0,0,0,0,0,0,0,0,0,0,6,6.2
47,City,Madras,2,1.4,0,0,0,0,0,0,0,0,4,2.3,12,57,18,60.7
48,City,Madurai,2,1.1,0,0,0,0,0,0,0,0,4,0.7,8,4.5,14,6.3
49,City,Nagpur,5,2.4,1,0.1,0,0,0,0,0,0,4,0.3,9,8.2,19,11
50,City,Patna,42,25.4,8,6.6,0,0,0,0,1,2,11,7.8,15,7.4,77,49.2
51,City,Pune,7,0.6,2,0.7,0,0,0,0,0,0,3,0.7,6,21.7,18,23.7
52,City,Surat,18,3.6,1,0.1,0,0,0,0,0,0,3,34.8,1,0.2,23,38.7
53,City,Vadodra,5,3.3,1,0,0,0,0,0,0,0,1,0.1,4,7,11,10.5
54,City,Varanasi,4,4.2,1,50,0,0,0,0,0,0,0,0,1,0,6,54.2
55,City,Vishakhapatnam,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,0.5
