SI.No.,Category,State/UT/City,Murder - 1996,Murder - 1997,Murder - Percentage Variation,Attempt to commit Murder - 1996,Attempt to Commit Murder - 1997,Attempt to Commit Murder - Percentage Variation,C.H.Not Amounting to Murder - 1996,C.H.Not Amounting to Murder - 1997,C.H.Not Amounting to Murder - Percentage Variation,Rape - 1996,Rape - 1997,Rape - PercentageVariation,Kidnapping & Abduction total - 1996,Kidnapping & Abduction total - 1997,Kidnapping & Abduction total - Percentage Variation,Kidnapping & Abduction of Women & Girls - 1996,Kidnapping & Abduction of Women & Girls - 1997,Kidnapping & Abduction of Women & Girls - Percentage Variation,Kidnapping & Abduction of others - 1996,Kidnapping & Abduction of others - 1997,Kidnapping & Abduction of others - Percentage Variation,Dacoity - 1996,Dacoity - 1997,Dacoity - Percentage Variation,Preperation & Assembly for Dacoity - 1996,Preperation & Assembly for Dacoity - 1997,Preperation & Assembly for Dacoity - Percentage Variation,Robbery - 1996,Robbery - 1997,Robbery - Percentage Variation,Burglary - 1996,Burglary - 1997,Burglary - Percentage Variation,Theft - 1996,Theft - 1997,Theft - Percentage Variation,Riots - 1996,Riots - 1997,Riots - Percentage Variation,Criminal Breach of Trust - 1996,Criminal Breach of Trust - 1997,Criminal Breach of trust - Percentage Variation,Cheating - 1996,Cheating - 1997,Cheating - Percentage Variation,Counterfeiting - 1996,Counterfeiting - 1997,Counterfeiting - Percentage Variation,Arson - 1996,Arson - 1997,Arson - Percentage Variation,Hurt - 1996,Hurt - 1997,Hurt - Percentage Variation,Dowry Deaths - 1996,Dowry Deaths - 1997,Dowry Deaths - Percentage Variation,Molestation - 1996,Molestation -1997,Molestation - Percentage Variation,Sexual Harassment - 1996,Sexual Harassment - 1997,Sexual Harassment - Percentage Variation,Cruelty by Husband and Relatives - 1996,Cruelty by Husband and Relatives - 1997,Cruelty by Husband and Relatives - Percentage Variation,Other IPC Crimes - 1996,Other IPC Crimes - 1997,Other IPC Crimes - Percentage Variation,Total Cognizable Crimes Under IPC - 1996,Total Cognizable Crimes Under IPC - 1997,Total Cognizable Crimes Under IPC - Percentage Variation
17,State,Nagaland,203,192,-5.4,48,49,2.1,8,12,50,9,17,88.9,49,47,-4.1,27,21,-22.2,22,26,18.2,28,32,14.3,0,0,NA,96,155,61.5,180,196,8.9,211,256,21.3,11,10,-9.1,23,25,8.7,45,26,-42.2,1,1,0,6,11,83.3,43,30,-30.2,0,0,NA,4,5,25,1,0,-100,2,1,-50,410,412,0.5,1378,1477,7.2
18,State,Orissa,1008,1005,-0.3,1253,1134,-9.5,107,90,-15.9,617,679,10,489,531,8.6,451,507,12.4,38,17,-55.3,305,263,-13.8,9,17,88.9,990,1039,4.9,4419,3969,-10.2,7638,7029,-8,1892,2129,12.5,391,356,-9,500,465,-7,138,3,-97.8,530,578,9.1,5107,4856,-4.9,178,240,34.8,1690,1586,-6.2,175,234,33.7,861,935,8.6,22322,24221,8.5,50619,51359,1.5
19,State,Punjab,706,755,6.9,329,377,14.6,94,84,-10.6,178,184,3.4,274,284,3.6,166,171,3,108,113,4.6,28,32,14.3,11,17,54.5,54,35,-35.2,1167,1238,6.1,1664,1825,9.7,6,11,83.3,208,220,5.8,805,997,23.9,32,8,-75,57,51,-10.5,2613,2868,9.8,180,185,2.8,129,158,22.5,1,1,0,225,235,4.4,5161,5504,6.6,13922,15069,8.2
20,State,Rajasthan,1622,1558,-3.9,2248,2395,6.5,87,76,-12.6,1162,1255,8,2857,2920,2.2,2485,2409,-3.1,372,511,37.4,97,149,53.6,2,11,450,1183,1347,13.9,8806,9040,2.7,17222,17822,3.5,21413,21565,0.7,953,882,-7.5,5853,6172,5.5,270,423,56.7,1173,1161,-1,14203,13800,-2.8,349,356,2,2583,2815,9,44,38,-13.6,3920,4304,9.8,75574,77380,2.4,161621,165469,2.4
21,State,Sikkim,5,15,200,5,9,80,2,2,0,9,7,-22.2,11,9,-18.2,8,9,12.5,3,0,-100,1,0,-100,0,0,NA,9,9,0,70,56,-20,134,112,-16.4,42,67,59.5,9,12,33.3,51,32,-37.3,1,0,-100,0,3,NA,125,96,-23.2,0,0,NA,47,32,-31.9,0,1,NA,0,1,NA,189,160,-15.3,710,623,-12.3
22,State,Tamil Nadu,1883,1987,5.5,1668,2075,24.4,16,27,68.8,327,324,-0.9,976,1116,14.3,858,989,15.3,118,127,7.6,171,212,24,1,1,0,600,726,21,6362,6687,5.1,18666,20208,8.3,7195,7426,3.2,474,590,24.5,1338,1566,17,236,245,3.8,1355,1784,31.7,20689,23332,12.8,112,153,36.6,1253,1461,16.6,1514,1532,1.2,353,424,20.1,66308,69991,5.6,131497,141867,7.9
23,State,Tripura,228,233,2.2,34,35,2.9,1,2,100,90,98,8.9,183,127,-30.6,43,56,30.2,140,71,-49.3,115,61,-47,4,0,-100,120,111,-7.5,301,323,7.3,488,447,-8.4,266,229,-13.9,27,26,-3.7,30,17,-43.3,5,0,-100,106,99,-6.6,566,512,-9.5,19,9,-52.6,94,93,-1.1,1,0,-100,66,119,80.3,886,903,1.9,3630,3444,-5.1
24,State,Uttar Pradesh,8500,7756,-8.8,8261,6986,-15.4,1332,1516,13.8,1854,1457,-21.4,3931,3714,-5.5,2501,2460,-1.6,1430,1254,-12.3,1146,1010,-11.9,113,131,15.9,5395,4458,-17.4,11819,9822,-16.9,33522,27831,-17,6980,5535,-20.7,3204,3092,-3.5,3433,3607,5.1,61,57,-6.6,1157,1235,6.7,14212,15995,12.5,1983,1786,-9.9,2526,2023,-19.9,118,105,-11,3989,3393,-14.9,58944,51270,-13,172480,152779,-11.4
25,State,West Bengal,1927,1780,-7.6,580,466,-19.7,631,583,-7.6,855,824,-3.6,906,983,8.5,786,853,8.5,120,130,8.3,510,409,-19.8,218,338,55,869,853,-1.8,752,674,-10.4,20695,18906,-8.6,6285,5089,-19,447,440,-1.6,1081,1027,-5,46,67,45.7,139,132,-5,5012,4169,-16.8,77,247,220.8,1254,1277,1.8,22,63,186.4,3437,3728,8.5,23375,23426,0.2,69118,65481,-5.3
Total States,State,Total States,37083,36892,-0.5,29033,28748,-1,3632,3786,4.2,14340,14761,2.9,19549,20583,5.3,13914,14660,5.4,5635,5923,5.1,7997,7814,-2.3,867,1033,19.1,22084,21499,-2.6,112248,110171,-1.9,262950,253049,-3.8,92387,91401,-1.1,14657,14381,-1.9,31884,33318,4.5,2727,2151,-21.1,12308,12288,-0.2,221033,225397,2,5378,5850,8.8,28202,30052,6.6,5472,5601,2.4,35104,36432,3.8,685165,697902,1.9,1644100,1653109,0.5
26,UT,A & N Islands,11,15,36.4,8,8,0,1,0,-100,7,9,28.6,2,1,-50,2,1,-50,0,0,NA,0,1,NA,0,0,NA,0,0,NA,42,54,28.6,38,52,36.8,8,11,37.5,3,4,33.3,6,13,116.7,0,1,NA,4,5,25,69,79,14.5,0,2,NA,9,10,11.1,2,0,-100,5,5,0,161,207,28.6,376,477,26.9
27,UT,Chandigarh,20,17,-15,21,26,23.8,5,4,-20,9,9,0,32,39,21.9,26,25,-3.8,6,14,133.3,0,0,NA,0,0,NA,5,7,40,172,221,28.5,876,840,-4.1,48,53,10.4,45,35,-22.2,91,155,70.3,0,2,NA,4,4,0,84,90,7.1,2,4,100,13,9,-30.8,4,5,25,13,30,130.8,604,631,4.5,2048,2181,6.5
28,UT,D & N Haveli,8,8,0,6,5,-16.7,2,0,-100,3,2,-33.3,4,3,-25,3,3,0,1,0,-100,3,9,200,0,0,NA,0,4,NA,59,35,-40.7,63,43,-31.7,40,48,20,2,2,0,1,3,200,0,0,NA,3,2,-33.3,53,26,-50.9,0,0,NA,7,2,-71.4,0,0,NA,8,8,0,148,147,-0.7,410,347,-15.4
29,UT,Daman & DIU,4,10,150,2,6,200,0,0,NA,1,1,0,4,2,-50,2,0,-100,2,2,0,1,6,500,0,0,NA,3,3,0,42,30,-28.6,37,37,0,26,26,0,7,4,-42.9,3,6,100,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,135,6.3,258,267,3.5
30,UT,Delhi,518,575,11,512,506,-1.2,82,78,-4.9,484,544,12.4,1250,1266,1.3,925,925,0,325,341,4.9,32,37,15.6,21,16,-23.8,609,625,2.6,2425,2722,12.2,20541,22579,9.9,236,211,-10.6,641,643,0.3,1813,1720,-5.1,66,60,-9.1,87,47,-46,2375,2591,9.1,132,148,12.1,694,675,-2.7,189,185,-2.1,114,113,-0.9,27050,25542,-5.6,59871,60883,1.7
31,UT,Lakshadweep,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,13,4,-69.2,7,8,14.3,1,1,0,0,0,NA,0,0,NA,0,0,NA,7,3,-57.1,9,4,-55.6,0,0,NA,0,0,NA,0,0,NA,0,0,NA,7,6,-14.3,44,26,-40.9
32,UT,Pondicherry,27,26,-3.7,15,23,53.3,6,1,-83.3,2,4,100,7,4,-42.9,5,3,-40,2,1,-50,2,0,-100,0,0,NA,4,3,-25,96,82,-14.6,473,469,-0.8,85,61,-28.2,13,8,-38.5,25,13,-48,2,13,550,12,14,16.7,354,310,-12.4,1,2,100,14,16,14.3,4,5,25,2,4,100,1325,1472,11.1,2469,2530,2.5
Total States,UT,Total States,588,651,10.7,564,574,1.8,96,83,-13.5,506,569,12.5,1299,1315,1.2,963,957,-0.6,336,358,6.5,38,53,39.5,21,16,-23.8,621,642,3.4,2849,3148,10.5,22035,24028,9,444,411,-7.4,711,696,-2.1,1939,1910,-1.5,69,77,11.6,117,75,-35.9,2944,3100,5.3,135,156,15.6,737,712,-3.4,199,195,-2,142,160,12.7,29422,28140,-4.4,65476,66711,1.9
Total (All -India),Total (All -India),Total (All -India),37671,37543,-0.3,29597,29322,-0.9,3728,3869,3.8,14846,15330,3.3,20848,21898,5,14877,15617,5,5971,6281,5.2,8035,7867,-2.1,888,1049,18.1,22705,22141,-2.5,115097,113319,-1.5,284985,277077,-2.8,92831,91812,-1.1,15368,15077,-1.9,33823,35228,4.2,2796,2228,-20.3,12425,12363,-0.5,223977,228497,2,5513,6006,8.9,28939,30764,6.3,5671,5796,2.2,35246,36592,3.8,714587,726042,1.6,1709576,1719820,0.6
33,City,Ahmedabad,95,114,20,58,79,36.2,2,1,-50,13,18,38.5,122,182,49.2,89,126,41.6,33,56,69.7,24,21,-12.5,0,0,NA,225,276,22.7,705,745,5.7,3851,3821,-0.8,185,304,64.3,136,150,10.3,305,234,-23.3,11,8,-27.3,11,14,27.3,1663,1714,3.1,12,16,33.3,35,47,34.3,27,20,-25.9,323,465,44,7441,8332,12,15244,16561,8.6
34,City,Bangalore,201,243,20.9,283,391,38.2,0,0,NA,34,41,20.6,105,185,76.2,63,111,76.2,42,74,76.2,42,52,23.8,2,0,-100,513,609,18.7,2650,3289,24.1,8089,8108,0.2,357,496,38.9,229,290,26.6,1069,979,-8.4,1176,623,-47,184,12,-93.5,3417,3775,10.5,56,49,-12.5,150,227,51.3,40,50,25,143,190,32.9,10135,10992,8.5,28875,30601,6
35,City,Bhopal,56,53,-5.4,120,92,-23.3,0,0,NA,60,59,-1.7,35,45,28.6,29,34,17.2,6,11,83.3,1,1,0,1,1,0,101,112,10.9,456,753,65.1,1170,1379,17.9,82,45,-45.1,12,26,116.7,153,200,30.7,7,0,-100,12,11,-8.3,941,638,-32.2,5,14,180,115,151,31.3,21,51,142.9,54,88,63,4310,5750,33.4,7712,9469,22.8
36,City,Calcutta,327,288,-11.9,187,182,-2.7,5,7,40,153,130,-15,169,172,1.8,127,113,-11,42,59,40.5,83,76,-8.4,43,54,25.6,628,528,-15.9,2554,2602,1.9,14086,14282,1.4,117,164,40.2,512,453,-11.5,1364,1158,-15.1,46,28,-39.1,6,4,-33.3,3728,3652,-2,32,38,18.8,264,223,-15.5,34,20,-41.2,181,196,8.3,7984,8397,5.2,32503,32654,0.5
37,City,Chennai,89,84,-5.6,176,143,-18.8,16,12,-25,29,28,-3.4,106,113,6.6,87,92,5.7,19,21,10.5,35,52,48.6,31,66,112.9,171,207,21.1,158,144,-8.9,5462,4728,-13.4,485,347,-28.5,216,207,-4.2,603,598,-0.8,32,43,34.4,5,4,-20,1423,1203,-15.5,8,6,-25,137,119,-13.1,11,53,381.8,149,134,-10.1,3053,2983,-2.3,12395,11274,-9
38,City,Coimbatore,19,44,131.6,17,25,47.1,0,0,NA,2,2,0,9,14,55.6,6,3,-50,3,11,266.7,1,0,-100,0,0,NA,20,12,-40,128,196,53.1,964,964,0,129,190,47.3,30,27,-10,64,76,18.8,20,17,-15,0,278,NA,65,124,90.8,3,15,400,1,2,100,1,219,21800,6,9,50,1789,2149,20.1,3268,4363,33.5
39,City,Delhi,426,475,11.5,432,438,1.4,62,52,-16.1,419,467,11.5,1050,1098,4.6,795,800,0.6,255,298,16.9,24,29,20.8,20,14,-30,522,551,5.6,2124,2432,14.5,19206,21282,10.8,180,158,-12.2,580,584,0.7,1739,1661,-4.5,66,58,-12.1,79,39,-50.6,2096,2356,12.4,102,124,21.6,587,586,-0.2,178,172,-3.4,84,98,16.7,24223,23151,-4.4,54199,55825,3
40,City,Hyderabad,111,100,-9.9,93,86,-7.5,6,2,-66.7,33,36,9.1,80,121,51.3,57,83,45.6,23,38,65.2,12,12,0,0,0,NA,49,69,40.8,1026,1410,37.4,2516,3068,21.9,205,226,10.2,73,106,45.2,620,869,40.2,13,18,38.5,0,0,NA,582,830,42.6,32,37,15.6,48,62,29.2,0,0,NA,447,587,31.3,3208,3421,6.6,9154,11060,20.8
41,City,Indore,87,93,6.9,131,119,-9.2,3,4,33.3,38,33,-13.2,35,33,-5.7,31,25,-19.4,4,8,100,2,0,-100,5,2,-60,75,38,-49.3,669,695,3.9,2253,2162,-4,86,41,-52.3,40,33,-17.5,109,75,-31.2,0,10,NA,21,11,-47.6,71,1114,1469,20,37,85,69,78,13,21,12,-42.9,123,67,-45.5,5167,3924,-24.1,9025,8581,-4.9
42,City,Jaipur,61,55,-9.8,168,131,-22,3,2,-33.3,25,44,76,201,206,2.5,178,153,-14,23,53,130.4,4,7,75,0,0,NA,68,75,10.3,1015,987,-2.8,3246,3293,1.4,1635,1580,-3.4,196,125,-36.2,644,754,17.1,70,171,144.3,28,27,-3.6,168,105,-37.5,17,18,5.9,134,102,-23.9,0,0,NA,212,278,31.1,5523,5399,-2.2,13418,13359,-0.4
43,City,Kanpur,169,223,32,170,154,-9.4,21,43,104.8,38,37,-2.6,159,193,21.4,129,140,8.5,30,53,76.7,37,46,24.3,3,6,100,139,199,43.2,605,465,-23.1,1287,1309,1.7,186,191,2.7,215,234,8.8,232,275,18.5,1,0,-100,20,20,0,629,718,14.1,51,77,51,53,68,28.3,0,0,NA,185,229,23.8,1504,1779,18.3,5704,6266,9.9
44,City,Kochi,11,14,27.3,18,18,0,8,10,25,11,17,54.5,6,11,83.3,4,5,25,2,6,200,5,7,40,0,0,NA,14,17,21.4,320,288,-10,272,287,5.5,152,220,44.7,18,31,72.2,131,209,59.5,0,3,NA,2,7,250,426,558,31,1,0,-100,31,52,67.7,1,4,300,16,42,162.5,2833,3106,9.6,4276,4901,14.6
45,City,Lucknow,117,118,0.9,135,168,24.4,20,10,-50,17,23,35.3,80,117,46.3,69,102,47.8,11,15,36.4,7,16,128.6,7,2,-71.4,86,123,43,399,432,8.3,1426,1913,34.2,164,161,-1.8,197,234,18.8,213,258,21.1,0,3,NA,17,8,-52.9,98,84,-14.3,23,28,21.7,38,20,-47.4,0,0,NA,103,126,22.3,2367,2220,-6.2,5514,6064,10
46,City,Ludhiana,61,54,-11.5,25,24,-4,16,7,-56.3,14,9,-35.7,30,49,63.3,16,30,87.5,14,19,35.7,3,6,100,4,7,75,5,9,80,118,147,24.6,250,318,27.2,0,3,NA,14,19,35.7,82,98,19.5,8,1,-87.5,0,1,NA,91,137,50.5,18,11,-38.9,2,7,250,0,0,NA,31,35,12.9,422,520,23.2,1194,1462,22.4
47,City,Madurai,64,90,40.6,283,255,-9.9,1,1,0,11,12,9.1,27,30,11.1,27,30,11.1,0,0,NA,3,18,500,0,0,NA,80,127,58.8,567,696,22.8,2732,3047,11.5,58,113,94.8,117,211,80.3,388,621,60.1,60,76,26.7,0,0,NA,434,559,28.8,8,9,12.5,14,15,7.1,0,0,NA,88,66,-25,1208,1661,37.5,6143,7607,23.8
48,City,Mumbai,26,31,19.2,73,50,-31.5,1,0,-100,4,5,25,14,21,50,5,21,320,9,0,-100,8,14,75,0,0,NA,78,49,-37.2,158,188,19,1040,1052,1.2,69,67,-2.9,32,18,-43.8,143,46,-67.8,18,16,-11.1,1,13,1200,220,197,-10.5,5,7,40,10,6,-40,86,30,-65.1,18,14,-22.2,2012,1873,-6.9,4016,3697,-7.9
49,City,Nagpur,101,132,30.7,65,86,32.3,0,0,NA,46,38,-17.4,67,73,9,46,52,13,21,21,0,16,19,18.8,1,1,0,244,241,-1.2,1236,1217,-1.5,2619,2310,-11.8,144,239,66,72,59,-18.1,172,154,-10.5,13,11,-15.4,25,23,-8,1072,981,-8.5,1,3,200,77,77,0,1,24,2300,114,84,-26.3,3243,3123,-3.7,9329,8895,-4.7
50,City,Patna,228,232,1.8,344,280,-18.6,20,19,-5,18,16,-11.1,95,113,18.9,23,20,-13,72,93,29.2,54,77,42.6,16,10,-37.5,223,292,30.9,306,334,9.2,1338,1433,7.1,126,198,57.1,201,156,-22.4,90,87,-3.3,1,1,0,14,11,-21.4,465,405,-12.9,29,35,20.7,50,49,-2,1,2,100,45,38,-15.6,1307,1617,23.7,4971,5405,8.7
51,City,Pune,85,65,-23.5,37,42,13.5,2,0,-100,55,45,-18.2,61,70,14.8,44,48,9.1,17,22,29.4,10,18,80,5,4,-20,73,89,21.9,746,844,13.1,2188,2539,16,1415,1464,3.5,80,88,10,194,276,42.3,8,0,-100,15,18,20,1268,1361,7.3,9,8,-11.1,84,87,3.6,135,110,-18.5,167,151,-9.6,2932,3176,8.3,9569,10455,9.3
52,City,Surat,100,98,-2,28,49,75,0,0,NA,17,15,-11.8,49,69,40.8,27,47,74.1,22,22,0,29,23,-20.7,0,0,NA,67,62,-7.5,475,511,7.6,1457,1470,0.9,107,99,-7.5,58,92,58.6,342,295,-13.7,2,6,200,7,10,42.9,617,664,7.6,36,26,-27.8,18,27,50,4,9,125,174,150,-13.8,1312,1383,5.4,4899,5058,3.2
