State,City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping and Abduction total,Kidnapping and Abduction of Women & Girls,Kidnapping and Abduction of others,Dacoity,Preaparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of trust,Cheating,Counterfeiting,Arson,Hurt / Grievous Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Others IPC Crimes,Total Cog. Crimes under IPC
Karnataka,Davanagere,3,2,1,0,3,2,1,0,0,2,91,165,48,3,20,0,0,152,2,7,0,20,279,798
Karnataka,Gulbarga,11,22,0,2,10,0,10,3,0,36,112,199,129,6,22,0,4,177,0,8,0,43,323,1107
Karnataka,Hubli Dharwad,14,16,3,1,13,8,5,1,0,21,219,286,81,10,90,1,5,248,2,5,0,29,1070,2115
Karnataka,Mysore,22,48,0,10,4,0,4,5,0,41,189,464,48,13,74,2,0,415,9,17,0,66,973,2400
Karnataka,Raichur,8,5,1,2,5,5,0,2,0,5,35,45,89,4,6,0,3,196,2,8,2,10,180,608
Kerala,Kochi,14,18,10,17,11,5,6,7,0,17,288,287,220,31,209,3,7,558,0,52,4,42,3106,4901
Kerala,Kozhikode,6,6,1,9,8,6,2,2,0,8,220,232,258,20,139,1,5,378,0,29,1,81,2121,3525
Kerala,Thiruvananthapuram,16,20,3,18,33,21,12,13,3,29,345,315,301,13,135,2,10,765,2,89,0,54,2214,4380
Madhya Pradesh,Bhilai (Durg),38,50,4,46,25,11,14,0,0,58,530,746,38,9,61,1,13,332,3,107,9,44,1787,3901
Madhya Pradesh,Bhopal,53,92,0,59,45,34,11,1,1,112,753,1379,45,26,200,0,11,638,14,151,51,88,5750,9469
Madhya Pradesh,Gwalior,67,116,0,24,53,47,6,4,1,86,654,975,93,17,125,1,11,641,11,108,18,66,2944,6015
Madhya Pradesh,Indore,93,119,4,33,33,25,8,0,2,38,695,2162,41,33,75,10,11,1114,37,78,12,67,3924,8581
Madhya Pradesh,Jabalpur,45,110,23,47,19,19,0,1,1,56,420,773,36,12,89,0,3,148,24,123,21,73,3321,5345
Madhya Pradesh,Raipur,28,54,3,61,15,9,6,0,0,31,326,571,51,18,29,0,23,494,4,92,18,55,1569,3442
Maharashtra,Aurangabad,29,12,1,13,13,12,1,20,2,51,396,609,119,15,84,0,9,389,5,30,18,156,759,2730
Maharashtra,Bombay,288,182,7,130,172,113,59,76,54,528,2602,14282,164,453,1158,28,4,3652,38,223,20,196,8397,32654
Maharashtra,Nagpur,132,86,0,38,73,52,21,19,1,241,1217,2310,239,59,154,11,23,981,3,77,24,84,3123,8895
Maharashtra,Nasik,22,22,0,10,12,4,8,9,0,27,206,567,126,20,54,0,2,267,3,22,15,94,770,2248
Maharashtra,New Bombay,35,24,1,20,23,11,12,23,10,61,432,908,96,82,83,1,1,319,11,15,11,38,1000,3194
Maharashtra,Pune,65,42,0,45,70,48,22,18,4,89,844,2539,1464,88,276,0,18,1361,8,87,110,151,3176,10455
Maharashtra,Solapur,25,16,0,6,8,4,4,2,0,22,127,305,37,12,36,4,1,285,1,11,7,21,622,1548
Maharashtra,Thane,151,79,3,55,87,51,36,40,11,215,1314,1975,355,75,246,8,16,1836,4,103,58,160,935,7726
Punjab,Amritsar,24,8,3,9,12,9,3,0,2,3,61,124,0,12,25,2,3,45,6,4,0,13,197,553
Punjab,Jalandhar,18,21,3,6,13,9,4,1,1,6,173,182,0,9,93,1,0,84,11,10,0,9,250,891
Punjab,Ludhiana,54,24,7,9,49,30,19,6,7,9,147,318,3,19,98,1,1,137,11,7,0,35,520,1462
Rajasthan,Ajmer,17,88,1,7,37,37,0,4,0,26,177,366,86,20,153,6,3,271,5,28,3,114,829,2241
Rajasthan,Bharatpur,10,12,0,2,22,12,10,1,0,11,54,274,257,14,59,5,5,1,2,16,0,26,664,1435
Rajasthan,Bikaner,18,35,1,6,19,19,0,3,0,4,127,217,111,3,75,17,0,0,7,0,0,61,1150,1854
Rajasthan,Jaipur,55,131,2,44,206,153,53,7,0,75,987,3293,1580,125,754,171,27,105,18,102,0,278,5399,13359
Rajasthan,Jodhpur,15,35,0,11,60,48,12,0,0,18,192,373,115,39,265,28,10,1010,13,27,2,219,659,3091
Rajasthan,Kota,39,224,4,44,134,134,0,6,0,110,474,1047,386,23,186,16,22,199,7,75,0,170,2059,5225
Rajasthan,Udaipur,11,39,2,7,60,40,20,2,0,45,201,404,223,39,137,12,6,49,4,16,2,52,1242,2553
Tamil Nadu,Chennai,90,255,1,12,30,30,0,18,0,127,696,3047,113,211,621,76,0,559,9,15,0,66,1661,7607
Tamil Nadu,Coimbatore,44,25,0,2,14,3,11,0,0,12,196,964,190,27,76,17,278,124,15,2,219,9,2149,4363
Tamil Nadu,Madurai,31,50,0,5,21,21,0,14,0,49,188,1052,67,18,46,16,13,197,7,6,30,14,1873,3697
Tamil Nadu,Salem,24,44,0,1,14,14,0,3,0,25,155,653,46,8,22,10,7,192,1,5,1,4,738,1953
Tamil Nadu,Tirunelveli,36,24,0,0,16,11,5,0,0,36,67,325,51,8,12,7,12,93,0,4,1,0,497,1189
Tamil Nadu,Trichy,26,41,0,1,19,19,0,0,0,14,140,495,62,9,63,5,5,615,1,8,0,0,851,2355
Uttar Pradesh,Agra,53,44,13,13,94,82,12,11,2,73,201,710,89,80,71,1,9,188,28,32,0,94,1047,2853
Uttar Pradesh,Aligarh,38,42,8,13,63,56,7,3,0,27,68,216,23,42,34,1,3,108,21,52,0,38,934,1734
Uttar Pradesh,Allahabad,71,75,12,9,55,46,9,5,1,104,223,426,69,50,443,2,6,238,16,25,0,25,902,2757
Uttar Pradesh,Bareilly,98,68,11,12,65,60,5,2,0,50,180,602,51,48,81,0,5,62,15,14,0,52,894,2310
Uttar Pradesh,Gorakhpur,42,65,15,7,12,10,2,2,3,66,199,285,64,33,52,3,1,137,0,8,0,9,384,1387
Uttar Pradesh,Kanpur,223,154,43,37,193,140,53,46,6,199,465,1309,191,234,275,0,20,718,77,68,0,229,1779,6266
Uttar Pradesh,Lucknow,118,168,10,23,117,102,15,16,2,123,432,1913,161,234,258,3,8,84,28,20,0,126,2220,6064
Uttar Pradesh,Meerut,85,1,11,16,66,37,29,2,2,74,189,725,81,51,72,2,10,231,16,22,0,112,689,2542
Uttar Pradesh,Moradabad,39,37,14,13,23,17,6,7,0,21,112,205,23,31,22,1,2,65,10,42,6,33,909,1615
Uttar Pradesh,Varanasi,79,94,10,8,43,4,39,6,1,57,132,454,78,32,55,4,4,185,13,4,0,14,268,1541
West Bengal,Calcutta,84,143,12,28,113,92,21,52,66,207,144,4728,347,207,598,43,4,1203,6,119,53,134,2983,11274
Delhi (UT),Delhi (City),475,438,52,467,1098,800,298,29,14,551,2432,21282,158,584,1661,58,39,2356,124,586,172,98,23151,55825
