SL. No.,States/U.Ts,Cities,Number of Cases Reported During ther Year 1980 - Murder,Number of Cases Reported During ther Year 1980 - Culpable Homicide Not Amounting to Murder,Number of Cases Reported During ther Year 1980 - Rape,Number of Cases Reported During ther Year 1980 - Kidnapping & Abduction,Number of Cases Reported During ther Year 1980 - Dacoity,Number of Cases Reported During ther Year 1980 - Robbery,Number of Cases Reported During ther Year 1980 - Burglary,Number of Cases Reported During ther Year 1980 - Thefts,Number of Cases Reported During ther Year 1980 - Riots,Number of Cases Reported During ther Year 1980 - Criminal Breach of Trust,Number of Cases Reported During ther Year 1980 - Cheating ,Number of Cases Reported During ther Year 1980 - Counterfeiting,Number of Cases Reported During ther Year 1980 - Total Cognizable Crimes Under IPC
12,Bihar,Arrah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Bihar,Katihar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Bihar,Chapra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Bihar,Purnea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Bihar,Bermo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Gujarat,Ahmedabad City,62,1,13,98,26,59,475,2585,438,124,117,4,4002
2,Gujarat,Rajkot City,19,1,6,27,1,27,175,607,24,31,50,NA,968
3,Gujarat,Baroda City,26,NA,4,30,3,23,506,1866,39,55,69,NA,2621
4,Gujarat,Surat City,24,NA,2,29,2,4,117,456,42,41,36,NA,753
5,Gujarat,Bhavnagar,63,NA,5,27,6,54,275,881,43,57,42,NA,1453
6,Gujarat,Jamnagar City,52,1,2,30,2,38,267,687,16,28,19,NA,1142
7,Gujarat,Nadiad,5,NA,NA,7,NA,3,25,163,12,11,10,NA,236
1,Haryana,Ambala Cantt.,3,NA,4,6,NA,3,77,149,6,8,8,NA,550
1,Karnataka,Bangalore City,58,NA,19,36,13,269,1883,8527,290,306,540,145,18307
2,Karnataka,Mysore City,11,NA,4,15,4,25,402,1641,101,41,116,1,4074
3,Karnataka,Mangalore City,2,NA,1,NA,NA,2,56,99,38,18,11,1,317
4,Karnataka,Hubli City,6,NA,NA,3,1,7,170,299,70,13,24,2,1041
5,Karnataka,Gulbarga City,3,1,NA,5,1,9,125,166,76,8,7,NA,735
6,Karnataka,Bellary City,9,NA,1,2,NA,4,93,167,13,7,4,NA,442
7,Karnataka,Belgaum City,4,NA,2,7,1,4,133,340,54,11,17,1,963
8,Karnataka,Davanagere City,2,NA,2,3,1,2,112,130,52,4,5,1,462
9,Karnataka,Bijapur City,1,NA,1,4,NA,5,81,115,25,7,7,NA,364
10,Karnataka,Shimoga City,4,NA,2,1,NA,1,170,126,39,5,8,NA,356
11,Karnataka,Bhadravathi City,7,NA,NA,1,NA,5,65,131,56,3,2,NA,270
1,Kerala,Trivandrum City,8,NA,2,7,3,13,272,475,213,12,23,NA,2457
2,Kerala,Alleppey Town,16,NA,1,7,2,3,152,105,287,11,17,5,2206
3,Kerala,Ernakulam City,11,NA,6,4,10,21,100,484,257,14,43,NA,3150
4,Kerala,Calicut City,7,NA,2,10,NA,6,166,163,171,19,23,1,1520
1,Madhya Pradesh,Gwalior,42,1,7,24,7,99,567,1249,141,7,38,NA,3354
2,Madhya Pradesh,Indore,25,2,24,81,9,128,1041,3609,213,68,96,NA,10556
3,Madhya Pradesh,Ujjain,22,NA,7,10,4,43,243,1233,68,25,9,NA,2933
4,Madhya Pradesh,Burhanpur ,1,NA,1,NA,NA,8,60,255,14,6,8,NA,1095
5,Madhya Pradesh,Ratlam,6,NA,4,19,1,13,132,364,29,14,20,NA,682
6,Madhya Pradesh,Jabalpur,33,NA,32,30,2,69,667,1905,83,42,58,NA,6055
7,Madhya Pradesh,Sagar,11,NA,10,7,NA,14,185,438,29,3,14,NA,845
8,Madhya Pradesh,Raipur,9,NA,4,14,1,56,329,1387,42,17,22,NA,2792
9,Madhya Pradesh,Bhilai Nagar,8,NA,8,13,NA,22,278,858,25,14,12,NA,2316
10,Madhya Pradesh,Bhopal,37,NA,23,52,5,108,835,2894,119,22,103,NA,8165
1,Maharashtra,Bombay City,217,2,49,219,56,382,2344,17616,233,926,1041,19,35695
2,Maharashtra,Pune City,41,3,12,29,11,41,536,2277,88,80,113,1,6688
3,Maharashtra,Nagpur City,45,NA,18,38,18,194,668,2595,76,141,82,NA,5811
4,Maharashtra,Thane,10,NA,1,11,4,31,183,773,45,38,52,NA,2030
5,Maharashtra,Ulhasnagar,20,NA,4,10,5,25,268,398,34,11,4,NA,1385
6,Maharashtra,Ahmednagar,5,NA,1,2,NA,23,79,299,19,5,15,NA,672
7,Maharashtra,Nasik,4,NA,2,6,1,16,171,454,20,10,5,NA,927
8,Maharashtra,Malegaon,3,3,3,8,NA,6,122,327,23,12,9,NA,777
9,Maharashtra,Dhule,2,NA,NA,2,1,13,70,470,9,12,15,NA,809
10,Maharashtra,Jalgaon,1,NA,NA,2,1,6,34,116,28,5,7,NA,311
11,Maharashtra,Sangli,3,NA,NA,7,2,12,85,369,19,12,15,NA,743
12,Maharashtra,Solapur,13,7,6,13,1,31,143,635,58,30,30,NA,967
13,Maharashtra,Kolhapur,4,NA,3,5,13,14,198,686,35,30,36,NA,1204
14,Maharashtra,Aurangabad,3,NA,6,13,3,46,235,715,46,19,44,NA,1497
15,Maharashtra,Nanded,5,1,1,8,1,7,84,231,8,9,6,NA,590
16,Maharashtra,Akola,3,NA,4,24,1,44,334,986,38,38,34,NA,2148
17,Maharashtra,Amravati,15,NA,2,3,2,34,398,1285,20,15,27,NA,2286
1,Manipur,Imphal,30,NA,4,101,30,101,134,319,84,31,36,NA,870
1,Orissa,Cuttack,5,NA,5,14,2,30,297,922,77,64,24,NA,1440
2,Orissa,Bhubaneswar,3,NA,2,9,5,32,325,861,63,34,14,1,1349
3,Orissa,Berhampur,4,NA,NA,4,3,19,95,182,32,8,8,NA,355
4,Orissa,Raurkela,12,3,11,14,6,43,220,945,76,18,12,NA,1360
1,Punjab,Amritsar,13,NA,NA,15,NA,1,35,145,NA,2,24,NA,535
2,Punjab,Jullundur,5,3,2,9,NA,NA,90,142,NA,9,33,NA,507
3,Punjab,Patiala,5,1,NA,9,NA,NA,22,91,1,23,11,NA,346
4,Punjab,Ludhiana,19,3,4,20,NA,1,65,194,3,39,26,3,603
1,Rajasthan,Ajmer,6,2,1,25,NA,14,110,263,78,22,24,NA,896
2,Rajasthan,Jaipur,16,1,18,99,2,119,608,2138,566,75,183,5,5289
3,Rajasthan,Jodhpur,6,NA,6,25,4,43,177,305,175,23,36,NA,1305
4,Rajasthan,Bikaner,8,NA,3,6,2,10,119,110,97,13,27,NA,642
5,Rajasthan,Kota,21,NA,6,21,NA,15,155,306,70,20,23,NA,1195
6,Rajasthan,Udaipur,2,NA,2,23,1,13,114,238,70,22,50,NA,942
1,Tamil Nadu,Madras City,52,3,16,84,2,85,859,9018,464,353,386,1,17279
2,Tamil Nadu,Madurai City,19,NA,4,9,NA,9,161,1077,163,45,49,11,2580
3,Tamil Nadu,Coimbatore City,47,NA,2,37,2,10,343,433,261,52,63,6,2583
4,Tamil Nadu,Vellore Town,3,NA,NA,4,NA,2,71,329,76,4,8,1,817
5,Tamil Nadu,Cuddalore Town,NA,NA,1,NA,NA,2,42,95,24,4,3,NA,104
6,Tamil Nadu,Thanjore Town,4,NA,2,12,NA,NA,158,394,88,13,13,NA,1112
7,Tamil Nadu,Tiruchi Town,10,NA,1,3,NA,2,268,1152,107,47,54,NA,2550
8,Tamil Nadu,Dindigul,6,NA,2,5,NA,NA,58,177,34,9,12,NA,484
9,Tamil Nadu,Tirunelveli Town,6,NA,2,8,NA,6,81,461,41,12,11,1,1604
10,Tamil Nadu,Tuticorin Town,7,NA,2,7,NA,7,92,422,39,14,12,1,696
11,Tamil Nadu,Nagercoil Town,5,NA,NA,NA,NA,NA,58,205,19,12,4,2,1781
12,Tamil Nadu,Salem Town,8,NA,3,9,NA,4,261,502,88,31,32,6,1986
13,Tamil Nadu,Kancheepuram Town,NA,NA,NA,NA,1,1,44,119,13,1,6,NA,261
14,Tamil Nadu,Kumbakonam,3,NA,1,NA,NA,1,67,221,69,9,2,NA,664
15,Tamil Nadu,Tiruppur,8,NA,NA,10,NA,3,101,378,117,11,10,NA,1217
16,Tamil Nadu,Erode,5,NA,NA,5,NA,NA,78,184,49,26,13,13,306
17,Tamil Nadu,Singanallur,3,NA,NA,1,1,NA,11,28,2,2,4,NA,76
1,Uttar Pradesh,Kanpur ,188,48,23,68,266,302,1803,4155,581,502,312,NA,7828
2,Uttar Pradesh,Lucknow,68,13,28,90,39,147,1208,5296,202,412,290,2,9707
3,Uttar Pradesh,Agra,36,14,8,52,40,85,600,1662,141,85,71,2,3870
4,Uttar Pradesh,Varanasi,32,13,14,22,40,62,304,1027,128,112,61,1,2383
5,Uttar Pradesh,Allahabad,48,16,6,14,8,45,288,954,78,83,52,NA,2478
6,Uttar Pradesh,Meerut,148,22,23,141,146,268,752,3161,386,181,120,1,6132
7,Uttar Pradesh,Bareilly,32,15,6,45,25,86,451,1322,103,200,66,NA,2806
8,Uttar Pradesh,Moradabad,74,2,11,47,169,147,428,820,119,58,27,NA,1896
9,Uttar Pradesh,Saharanpur,11,NA,1,11,10,18,166,402,15,21,16,NA,1093
10,Uttar Pradesh,Aligarh,25,7,7,34,41,70,455,721,113,63,31,NA,2053
11,Uttar Pradesh,Gorakhpur,30,23,1,22,10,26,258,599,120,110,55,16,2408
12,Uttar Pradesh,Jhansi,11,5,6,10,5,39,182,500,20,49,37,NA,864
13,Uttar Pradesh,Dehradun,24,10,6,29,18,46,299,699,66,43,16,NA,1989
14,Uttar Pradesh,Rampur,13,3,2,16,10,33,128,391,14,27,30,NA,816
15,Uttar Pradesh,Mathura,11,1,NA,14,1,19,82,206,31,38,11,NA,600
16,Uttar Pradesh,Shahjahanpur,13,25,3,17,5,34,201,509,46,36,26,NA,1154
17,Uttar Pradesh,Mirzapur,8,1,3,5,2,15,70,199,24,25,10,NA,575
