SL. No.,Category,States/U.Ts/Cities,Murder - 1979,Murder - 1980,Murder - Percentage Variation,Kidnapping & Abduction - 1979,Kidnapping & Abduction - 1980,Kidnapping & Abduction - Percentage Variation,Dacoity - 1979,Dacoity - 1980,Dacoity - Perentage Variation,Robbery - 1979,Robbery - 1980,Robbery - Percentage Variation,Burglary - 1979,Burglary - 1980,Burglary - Percentage Variation ,Thefts - 1979,Thefts - 1980,Thefts - Percentage Variation,Riots - 1979,Riots - 1980,Riots - Percentage Variation,Criminal Breach of Trust - 1979,Criminal Breach of Trust - 1980,Criminal Breach of Trust - Percentage Variation,Cheating  - 1979,Cheating  - 1980,Cheating  - Percentage Variation,Counterfeiting - 1979,Counterfeiting - 1980,Counterfeiting - Percentage Variation,Total Cognizable Crime - 1979,Total Cognizable Crime - 1980,Total Cognizable Crime - Percentage Variation
11,State,Maharashtra,1571,1643,4.6,759,853,12.4,511,689,34.8,2928,3222,10,19418,20126,3.6,61572,57462,-6.7,3707,8202,121.3,2987,2905,-2.7,2393,2251,-5.9,46,28,-39.1,154372,167347,8.4
12,State,Manipur,94,86,-8.5,174,179,2.9,52,89,71.2,74,151,104.1,262,274,4.6,807,851,5.5,165,213,29.1,46,63,37,131,83,-36.6,4,7,75,3242,3505,8.1
13,State,Meghalaya,92,87,-5.4,20,32,60,32,24,-25,40,54,35,285,179,-37.2,537,678,26.3,328,165,-49.7,31,22,-29,28,34,21.4,NA,NA,NA,2280,2203,-3.4
14,State,Nagaland,18,21,16.7,16,12,-25,6,14,133.3,29,34,17.2,277,291,5.1,385,440,14.3,22,27,22.7,32,23,-28.1,37,35,-5.4,NA,NA,NA,834,919,10.2
15,State,Orissa,461,502,8.9,168,201,19.6,165,391,47.5,630,784,24.4,7571,8092,6.9,12767,15402,20.6,2801,3339,19.2,553,582,5.2,268,325,21.3,10,9,-10,42595,48081,12.9
16,State,Punjab,590,620,5.1,306,256,-16.3,1,1,NA,28,21,-25,1252,1207,-3.6,2345,2299,-2,20,129,545,474,466,-1.7,394,338,-14.2,3,3,0,12128,11679,-3.7
17,State,Rajasthan,784,830,5.9,1472,1532,4.1,111,116,4.5,1294,1216,-6,6531,6736,3.1,13646,13807,1.2,8533,8510,-0.3,988,1053,6.6,1588,1462,-7.9,3,6,100,59877,60846,1.6
18,State,Sikkim ,13,6,-53.8,3,2,-33.3,1,NA,-100,9,1,-88.9,53,49,-7.5,143,92,-35.7,15,1,93.3,71,11,-84.5,2,4,100,NA,NA,NA,318,281,-11.6
19,State,Tamil Nadu,953,1289,35.3,724,750,3.6,47,82,74.5,306,336,9.8,10289,10206,-0.8,34545,34376,-0.5,8954,10606,18.4,1526,1313,-14,1471,1213,-17.5,28,97,246.4,104745,116110,10.8
20,State,Tripura,61,201,229.5,24,52,116.7,72,157,118.1,121,143,18.2,1286,955,-25.7,1540,1709,11,522,499,-4.4,40,36,-10,39,44,12.8,NA,1,100,5766,6098,5.8
21,State,Uttar Pradesh,5420,5680,4.8,2924,2746,-6.1,6970,7309,4.9,8563,8301,-3.1,32837,30492,-7.1,72088,71007,-1.5,12663,11339,-10.5,5522,4592,-16.8,2717,2427,-10.7,43,101,134.9,206230,198131,-29.1
22,State,West Bengal ,1046,1300,24.3,1046,1014,-3.1,1466,1446,-1.4,1162,1350,16.2,5946,5298,-10.9,36585,36859,0.7,13328,14611,9.6,1329,1389,4.5,1126,1107,-1.7,65,61,-6.2,92367,93618,1.4
Total (States),State,Total (States),20073,21856,8.9,12254,12727,3.9,13948,15100,8.3,22109,23091,4.4,164168,162808,-0.8,400454,404664,1.1,98002,106259,8.4,21103,19827,-6,17140,16375,-4.5,486,805,65.6,1280749,1319223,3
23,UT,A & N Islands,13,14,7.7,7,7,0,NA,NA,NA,6,7,16.7,73,83,13.7,134,176,31.3,40,55,37.5,15,13,-13.3,1,6,-500,NA,NA,NA,703,805,14.5
24,UT,Arunachal Pradesh,16,11,-31.2,10,12,20,4,8,100,12,13,8.3,74,111,50,192,222,15.6,14,18,28.6,12,13,8.3,2,7,250,NA,NA,NA,615,852,38.5
25,UT,Chandigarh,8,14,75,20,21,5,1,NA,-100,15,14,-6.7,177,138,-22,1484,1160,-21.8,21,17,-19,42,46,9.5,61,63,3.3,1,NA,-100,2430,2118,-12.8
26,UT,D & N Haveli,6,7,16.7,1,1,0,NA,1,100,5,3,-40,17,39,129.4,40,46,15,2,6,200,17,4,-76.5,5,3,-40,NA,NA,NA,191,177,-7.3
27,UT,Delhi,189,182,-3.7,793,775,-2.3,64,75,17.2,616,296,-51.9,3331,2682,-19.5,25755,22276,-13.5,395,201,-49.1,674,667,-1,1065,872,-18.1,37,23,-37.8,44078,37588,-14.7
28,UT,"Goa, Daman & Diu",9,20,122.2,5,10,100,4,1,-75,33,35,6.1,382,499,30.6,592,888,50,112,176,57.1,43,55,27.9,40,40,0,1,1,0,2209,2927,32.5
29,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,400,1,8,700,NA,1,100,NA,1,100,NA,NA,NA,NA,NA,NA,6,15,150
30,UT,Mizoram,27,32,18.5,7,8,14.3,6,5,-16.7,57,28,-50.9,63,64,1.6,213,181,-15,20,NA,-100,30,20,-33.3,33,26,-21.2,NA,NA,NA,1277,1055,-17.4
31,UT,Pondicherry,8,13,62.5,28,34,21.4,1,4,300,7,6,-14.3,288,266,-7.6,1618,1415,-12.5,290,224,-22.8,80,38,-52.5,23,24,4.3,NA,1,100,3910,3769,-3.6
Total (UTs),UT,Total (UTs),276,293,6.2,871,868,-0.3,80,94,17.5,751,402,-46.5,4406,3887,-11.8,30029,26372,-12.2,894,698,-21.9,913,857,-6.1,1230,1041,-15.4,39,25,-35.9,55419,49309,-11
Total (All-India),Total (All-India),Total (All-India),20349,22149,8.8,13125,13595,3.6,14028,15194,8.3,22860,23493,2.8,168574,166695,-1.1,430483,431036,0.1,98896,106957,8.2,22016,20684,-6.1,18370,17416,-5.2,525,830,58.1,1336168,1368529,2.4
1,City,Ahmedabad ,57,62,8.8,114,98,14,13,26,100,29,59,103.4,473,475,0.4,2591,2585,-0.2,272,438,61,152,124,-18.4,148,117,-20.9,8,4,-50,8017,8678,8.2
2,City,Bangalore ,48,58,20.8,74,37,-51.4,44,13,-70.5,310,269,-13.2,2483,1883,24.2,9383,8527,-9.1,447,290,-35.1,315,306,-2.9,661,540,-18.3,42,145,245.2,22439,18307,-18.4
3,City,Bombay,187,217,16,219,219,0,41,56,36.6,345,382,10.7,2572,2344,-8.9,17773,17616,-0.9,273,233,-14.7,958,926,-3.3,1154,1041,-9.8,27,20,-25.9,36448,35695,-2.1
4,City,Calcutta,93,117,25.8,130,146,12.3,48,62,29.2,181,330,82.3,620,829,33.7,6278,6659,6.1,855,984,15.1,329,332,0.9,346,450,30.1,35,41,17.1,13104,13981,6.7
5,City,Delhi,160,163,1.9,743,730,-1.8,52,67,28.8,571,274,-52,3060,2528,-17.4,25535,21339,-16.4,357,180,-49.6,658,646,-1.8,1044,861,-17.5,37,23,-37.8,41552,35648,-14.2
6,City,Hyderabad,45,45,0,31,34,9.7,14,12,-14.3,35,68,94.3,1242,1214,-2.3,4148,4127,-0.5,868,243,-72,125,95,-24,195,241,23.6,2,4,100,8478,7412,-12.6
7,City,Kanpur,188,197,4.8,68,145,113.2,266,299,12.4,302,252,-16.6,1468,1028,-30,4155,3301,-20.6,361,248,-31.3,502,320,-36.3,312,269,-13.8,18,50,177.8,10546,6300,-40.3
8,City,Madras,34,52,52.9,77,84,9.1,7,2,-71.4,70,85,21.4,900,859,-4.6,9762,9018,-7.6,231,463,100.4,416,353,-15.1,504,386,-23.4,NA,1,100,17288,17279,-0.1
Total (Cities),City,Total (Cities),812,911,12.2,1456,1492,2.5,485,537,10.7,1843,1719,-6.7,12818,11160,-12.9,79625,73172,-8.1,3664,3079,-16,3455,3102,-10.2,4364,3905,-10.5,169,288,70.4,157872,143300,-9.2
