SL. No.,States/U.Ts.,District,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating ,Counterfeiting,Total Cognizable Crimes Under IPC
6,Kerala,Idukki,37,NA,8,9,4,16,219,205,273,17,7,NA,2256
7,Kerala,Ernakulam City,11,NA,6,4,10,21,400,484,257,14,43,NA,3150
8,Kerala,Ernakulam Rural,42,NA,4,7,2,26,401,352,467,46,40,NA,3802
9,Kerala,Trichur,48,NA,5,6,6,3,334,283,579,26,31,NA,3711
10,Kerala,Palghat,46,NA,9,10,2,15,440,288,334,18,39,NA,3186
11,Kerala,Malappuram,23,NA,5,5,NA,10,237,195,393,14,22,1,2675
12,Kerala,Kozhikode City,7,NA,2,10,NA,6,166,163,171,19,23,1,1520
13,Kerala,Kozhikode Rural,25,NA,5,5,NA,5,188,126,218,9,18,NA,1702
14,Kerala,Wynad,14,NA,NA,6,1,12,130,89,102,4,3,NA,993
15,Kerala,Cannanore,53,NA,7,13,NA,6,365,184,677,16,28,NA,3944
16,Kerala,Railways,1,NA,NA,NA,NA,1,1,108,21,1,1,NA,216
17,Kerala,Crime Branch CID,14,NA,1,NA,NA,1,10,3,9,7,77,76,211
1,Madhya Pradesh,Gwalior,85,1,7,26,27,159,890,1821,236,11,51,1,5492
2,Madhya Pradesh,Shivpuri,37,NA,14,17,20,68,336,505,121,16,13,NA,2235
3,Madhya Pradesh,Guna,47,NA,19,18,24,71,460,831,228,35,21,1,3047
4,Madhya Pradesh,Bhind,80,1,5,56,15,64,368,604,139,4,20,1,2513
5,Madhya Pradesh,Morena,71,NA,18,36,18,71,487,1043,275,13,37,1,3980
6,Madhya Pradesh,Datiya,25,NA,4,5,10,14,172,196,51,1,8,NA,927
7,Madhya Pradesh,Indore ,55,2,38,96,22,156,1371,4479,343,115,108,3,11861
8,Madhya Pradesh,Dhar,63,NA,27,24,14,62,400,1034,145,26,28,NA,3420
9,Madhya Pradesh,Jhabua,151,NA,13,90,33,105,264,753,48,16,22,NA,2665
10,Madhya Pradesh,Khargoan,54,NA,32,28,11,76,588,1645,128,37,18,NA,4157
11,Madhya Pradesh,Khandawa,29,NA,6,14,6,27,355,1231,89,16,19,NA,3128
12,Madhya Pradesh,Ujjain,63,NA,22,23,19,120,925,2616,223,64,34,NA,6870
13,Madhya Pradesh,Mandsaur,39,NA,24,40,10,58,884,1649,242,72,31,NA,4751
14,Madhya Pradesh,Ratlam,34,NA,21,38,18,61,533,1212,83,37,35,NA,3587
15,Madhya Pradesh,Devas,37,1,27,26,7,53,586,1391,147,15,25,NA,3499
16,Madhya Pradesh,Shajapur,32,1,31,11,12,52,564,890,111,27,7,NA,2766
17,Madhya Pradesh,Jabalpur,81,NA,48,41,5,110,1374,3003,186,75,94,2,10522
18,Madhya Pradesh,Mandla,35,NA,17,NA,NA,30,641,598,25,26,46,NA,2217
19,Madhya Pradesh,Chhindwara,62,5,18,16,5,61,540,1169,82,16,25,1,3957
20,Madhya Pradesh,Balaghat,44,NA,15,10,NA,21,635,939,16,13,24,NA,2536
21,Madhya Pradesh,Sivni,23,NA,6,5,3,11,302,579,61,9,19,NA,1956
22,Madhya Pradesh,Narsinhpur,29,NA,20,13,8,38,285,614,74,9,13,NA,1932
23,Madhya Pradesh,Sagar,70,1,41,19,28,175,838,995,197,16,25,NA,5058
24,Madhya Pradesh,Panna,31,2,2,6,33,54,241,196,45,3,5,NA,1122
25,Madhya Pradesh,Damoh,40,NA,12,11,30,84,434,480,82,11,16,1,2414
26,Madhya Pradesh,Chhatarpur,76,3,14,15,71,144,513,373,114,9,17,1,2306
27,Madhya Pradesh,Tikamgarh,29,NA,9,5,34,62,310,387,74,7,3,NA,1538
28,Madhya Pradesh,Raipur,80,3,29,39,7,82,1315,2918,173,89,44,1,7231
29,Madhya Pradesh,Durg,45,NA,25,31,7,56,970,2222,130,76,51,NA,6234
30,Madhya Pradesh,Rajnandgaon,35,NA,26,14,7,23,514,771,50,14,37,NA,2497
31,Madhya Pradesh,Bastar,199,1,25,27,7,55,664,914,71,16,36,1,3257
32,Madhya Pradesh,Bilaspur,88,NA,17,29,3,58,1537,2833,150,66,78,NA,7155
33,Madhya Pradesh,Raigarh,53,4,8,8,10,31,433,778,63,38,76,2,2297
34,Madhya Pradesh,Sarguja,60,1,19,20,15,50,1013,1082,82,36,26,NA,3354
35,Madhya Pradesh,Reeva,24,NA,13,22,17,56,763,1032,124,24,35,NA,3003
36,Madhya Pradesh,Satna,34,NA,7,123,20,33,475,539,60,5,16,1,2036
37,Madhya Pradesh,Sidhi,27,NA,5,7,10,8,396,382,18,10,3,NA,1871
38,Madhya Pradesh,Shahdol,34,21,17,12,4,44,796,636,101,16,29,NA,2983
39,Madhya Pradesh,Sohore,25,1,23,16,10,36,419,729,118,12,10,NA,2369
40,Madhya Pradesh,Raisain,40,NA,21,14,14,61,399,757,119,4,22,1,2404
41,Madhya Pradesh,Hoshangabad,45,NA,40,18,5,49,396,955,79,24,20,1,3066
42,Madhya Pradesh,Betul,60,1,20,24,4,25,344,526,58,21,12,NA,2227
43,Madhya Pradesh,Vidisha,41,1,41,16,36,93,378,864,201,15,28,NA,3241
44,Madhya Pradesh,Rajgarh,16,NA,27,12,13,39,385,667,115,8,20,NA,2299
45,Madhya Pradesh,Bhopal,39,1,25,52,7,119,902,3082,154,24,109,NA,8902
46,Madhya Pradesh,Railway Police Jabalpur,9,NA,NA,3,6,48,44,1219,15,8,14,NA,1641
47,Madhya Pradesh,Railway Police Raipur,6,NA,1,8,NA,14,55,629,10,2,6,NA,876
48,Madhya Pradesh,Railway Police Indore,1,NA,NA,4,2,14,21,633,14,2,7,NA,852
1,Maharashtra,Thane,152,3,35,80,69,312,2202,4216,899,219,124,NA,14589
2,Maharashtra,Raigard,39,1,9,9,18,48,496,774,228,31,10,NA,3175
3,Maharashtra,Ratnagiri,33,NA,6,9,2,37,442,428,63,58,21,NA,2089
4,Maharashtra,Ahmednagar,54,NA,15,20,34,182,506,1446,228,95,34,NA,4141
5,Maharashtra,Nasik,66,1,20,28,22,86,1024,2067,412,136,43,1,6211
6,Maharashtra,Dhule,62,2,5,17,29,61,319,1352,235,68,29,NA,3540
7,Maharashtra,Jalgaon,54,NA,14,11,15,78,530,1734,425,84,34,1,4997
8,Maharashtra,Pune Rural,46,2,15,12,41,92,530,1022,167,45,19,NA,3318
9,Maharashtra,Satara,33,NA,11,17,25,71,661,1397,107,57,29,NA,3516
10,Maharashtra,Sangli,44,NA,6,19,9,60,363,1258,131,53,25,1,3173
11,Maharashtra,Solapur,86,2,21,30,52,128,579,1575,632,83,53,NA,4797
12,Maharashtra,Kolhapur,63,1,9,15,27,51,539,1311,198,84,49,1,3240
13,Maharashtra,Aurangabad,55,1,13,41,25,137,687,1929,564,67,68,NA,5756
14,Maharashtra,Parbhani,53,NA,2,12,27,135,285,861,214,52,13,NA,2689
15,Maharashtra,Beed,53,1,15,15,44,174,370,873,239,93,15,NA,2900
16,Maharashtra,Nanded,34,1,4,14,35,101,333,880,220,38,15,NA,2919
17,Maharashtra,Osmanabad,68,1,10,28,34,153,414,1286,116,57,25,NA,3451
18,Maharashtra,Buldhana,39,1,24,23,13,69,570,1525,183,58,26,NA,4010
19,Maharashtra,Akola,37,NA,15,38,13,119,1143,3207,336,90,52,NA,7361
20,Maharashtra,Amravati,43,NA,19,16,25,101,1319,4240,172,71,51,NA,8420
21,Maharashtra,Yavatmal,36,NA,16,29,10,56,701,2107,282,49,53,NA,5119
22,Maharashtra,Wardha,25,1,8,22,3,96,644,1460,109,50,31,NA,3715
23,Maharashtra,Nagpur Rural,34,NA,12,14,12,52,512,1400,121,35,18,NA,3602
24,Maharashtra,Bhandara,58,NA,15,18,2,32,665,1265,116,62,29,NA,3661
25,Maharashtra,Chandrapur,53,2,16,22,12,82,598,1371,35,49,30,NA,4070
26,Maharashtra,C.S.W. Rly. Pune,19,2,4,6,5,65,13,3095,38,31,47,NA,3552
27,Maharashtra,C.S.E.S.W. Rly. Nagpur,1,NA,NA,1,1,27,13,1017,6,8,15,NA,1192
28,Maharashtra,Pune City,41,3,12,30,11,41,608,2215,1338,80,111,1,6688
29,Maharashtra,Nagpur City,45,NA,18,38,18,194,716,2595,97,76,141,3,5811
30,Maharashtra,Greater Bombay,217,2,49,219,56,382,2344,17616,151,926,1041,20,35695
1,Manipur,Central District,67,NA,12,164,56,136,234,673,178,55,62,2,2786
2,Manipur,East District,6,1,3,1,5,2,6,33,5,6,6,4,159
3,Manipur,West District,NA,NA,NA,N,1,2,3,13,11,1,2,NA,64
4,Manipur,South District,4,1,1,8,5,1,6,58,3,NA,8,NA,162
5,Manipur,North District,6,NA,NA,5,12,4,14,52,15,1,3,NA,226
6,Manipur,Tengnoupal District,3,NA,1,1,10,6,11,22,1,NA,2,1,108
1,Meghalaya,Meghalaya,87,3,21,32,24,54,179,678,165,22,34,NA,2203
1,Nagaland,Kohima,9,15,6,7,4,24,155,257,6,6,12,NA,501
2,Nagaland,Mokoko-Hung,3,NA,1,3,4,1,39,53,6,2,3,NA,115
3,Nagaland,Tuansang,1,NA,NA,1,5,2,30,45,4,9,9,NA,106
4,Nagaland,Phek,3,NA,NA,NA,1,2,17,24,1,3,4,NA,55
5,Nagaland,Wokha,1,NA,NA,NA,NA,NA,16,19,1,2,2,NA,41
6,Nagaland,Zunhebot,NA,NA,NA,NA,NA,1,22,16,5,1,4,NA,49
7,Nagaland,Mon ,3,NA,NA,1,NA,4,12,26,5,NA,1,NA,52
1,Orissa,Balasore,24,NA,8,13,48,42,611,839,459,27,23,NA,3310
2,Orissa,Cuttack,47,6,12,32,52,91,1367,2536,598,107,47,NA,7772
3,Orissa,Ganjam,41,5,1,13,30,85,583,948,369,62,27,2,3786
4,Orissa,Koraput,76,5,9,9,13,86,657,959,188,45,30,NA,3493
5,Orissa,Puri,31,2,7,19,24,38,606,1412,322,39,17,NA,3852
6,Orissa,Sambalpur,50,NA,15,18,53,90,1281,1822,354,92,54,1,6004
7,Orissa,Dhenkanal,36,3,6,14,8,35,467,928,141,34,8,NA,2903
8,Orissa,Sundargarh,41,1,22,9,42,59,311,497,74,25,11,1,1886
9,Orissa,Bolangir,15,2,3,8,36,25,350,651,226,27,21,NA,2119
10,Orissa,Keonjhar,36,NA,8,10,6,17,320,619,96,16,20,NA,1976
11,Orissa,Phulbani,19,7,8,7,10,17,194,303,71,7,8,NA,1213
12,Orissa,Mayurbhanj,49,NA,8,13,32,32,296,520,56,19,7,NA,1906
13,Orissa,Kolahandi,15,4,7,6,15,40,382,537,102,14,9,NA,2002
14,Orissa,Rourkela,11,3,11,14,6,43,220,945,77,18,12,2,2103
15,Orissa,Govt. Rly. Police ,6,NA,6,2,9,36,47,819,44,6,14,NA,1171
16,Orissa,Bhubaneswar,5,NA,4,14,7,48,400,1067,162,44,17,3,2585
1,Punjab,Amritsar,83,25,4,37,NA,2,177,429,44,78,55,NA,1963
2,Punjab,Jullundhur,51,18,4,26,NA,1,183,291,14,22,59,NA,1304
3,Punjab,Gurdaspur,33,11,11,18,NA,NA,77,158,13,33,16,NA,731
4,Punjab,Hoshiarpur,24,5,8,16,NA,NA,74,99,9,18,18,NA,516
5,Punjab,Kapurthala,16,4,6,7,NA,1,36,73,NA,11,8,NA,388
6,Punjab,Patiala ,43,9,7,29,NA,2,97,264,12,66,22,NA,1261
7,Punjab,Ludhiana,78,7,8,42,1,2,154,352,17,85,38,3,1563
8,Punjab,Sangrur,76,8,13,17,NA,5,136,163,9,60,16,NA,1063
9,Punjab,Roopnagar,19,4,1,13,NA,NA,41,89,8,24,22,NA,496
10,Punjab,Ferozepur,64,16,3,13,NA,4,73,137,NA,28,27,NA,835
11,Punjab,Bhatinda,60,23,6,18,NA,3,91,129,1,30,26,NA,806
12,Punjab,Faridkot,73,17,7,20,NA,1,68,115,2,11,31,NA,753
1,Rajasthan,Ajmer,28,3,8,72,1,35,395,582,314,54,68,NA,2600
2,Rajasthan,Alwar,37,1,12,39,9,48,303,747,666,44,68,NA,2903
3,Rajasthan,Bharatpur,68,NA,12,118,31,121,385,1228,668,26,82,NA,4018
4,Rajasthan,Jaipur,63,3,27,156,12,201,1138,3091,1511,135,260,5,9418
5,Rajasthan,Sawai Madhopur,33,NA,23,64,14,49,344,587,555,31,38,NA,2587
6,Rajasthan,Bikaner,22,NA,9,14,3,30,164,262,206,23,35,NA,1412
7,Rajasthan,Churu,20,1,9,19,2,28,83,172,195,12,42,NA,1114
8,Rajasthan,Ganganagar,95,1,44,69,4,29,282,467,110,52,77,NA,3127
9,Rajasthan,Jhunjhunu,20,1,4,17,NA,21,129,221,276,16,25,NA,1152
10,Rajasthan,Sikar,27,2,7,17,NA,35,152,264,342,32,46,NA,1593
11,Rajasthan,Barmer,16,NA,10,13,NA,25,77,203,132,8,23,NA,1088
12,Rajasthan,Jaisalmer,3,NA,2,9,1,11,23,105,62,3,3,NA,380
13,Rajasthan,Jelore,17,2,8,11,1,15,49,126,110,26,32,NA,959
14,Rajasthan,Jodhpur,22,NA,18,41,6,106,271,533,461,40,61,1,2640
15,Rajasthan,Nagour,38,NA,10,39,10,78,230,366,386,29,42,NA,2218
16,Rajasthan,Pali,31,2,6,38,1,46,208,291,228,39,30,NA,1996
17,Rajasthan,Sirohi,21,1,4,8,1,6,76,93,67,6,2,NA,593
