SL. No.,Category,State/UT/City,Arms Act - Incidence (I),Arms Act - Volume (V),Narcotic Drugs and Psychotropic Substances Act - Incidence (I),Narcotic Drugs and Psychotropic Substances Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Excise Act - Incidence (I),Excise Act - Volume (V),Prohibition Act - Incidence (I),Prohibition Act - Volume (V),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Volume (V),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Volume (V),Indian Railways Act - Incidence (I),Indian Railways Act - Volume (V),Foreigners Registration Act - Incidence (I),Foreigners Registration Act - Volume (V),Protection of Civil Rights Act - Incidence (I),Protection of Civil Rights Act - Volume (V),Indian Passport Act - Incidence (I),Indian Passport Act - Volume (V),Essential Commodities Act - Incidence (I),Essential Commodities Act - Volume (V),Terrorist & Disruptive Activites Act - Incidence (I),Terrorist & Disruptive Activites Act - Volume (V),Antiquity & Art Treasure Act - Incidence (I),Antiquity & Art Treasure Act - Volume (V),Dowry Prohibition Act - Incidence (I),Dowry Prohibition Act - Volume (V),Other LSL Crimes - Incidence (I),Other LSL Crimes - Volume (V),Total Cognizable Crimes Under LSL - Incidence (I),Total Cognizable Crimes Under LSL - Volume (V)
29,UT,Daman & Diu,1,1.1,0,0,3,3.2,0,0,0,0,0,0,0,0,0,0,2,2.1,0,0,0,0,0,0,0,0,0,0,0,0,5,5.3,11,11.7
30,UT,Delhi,1348,16.1,1392,16.7,1032,12.3,991,11.9,0,0,26,0.3,73,0.9,451,5.4,113,1.4,9,0.1,0,0,43,0.5,1,0,0,0,5,0.1,946,11.3,6430,76.9
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,2,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.4
32,UT,Pondicherry,2,0.3,7,1,57,8,317,44.6,0,0,2,0.3,54,7.6,0,0,2,0.3,22,3.1,0,0,69,9.7,0,0,2,0.3,5,0.7,21300,2995.8,21839,3071.2
Total (UTs),UT,Total (UTs),1384,13.5,1416,13.8,1171,11.4,2657,25.9,69,0.7,34,0.3,127,1.2,451,4.4,125,1.2,34,0.3,0,0,125,1.2,7,0.1,2,0,10,0.1,23470,228.7,31082,302.9
Total (All-India),Total (All-India),Total (All-India),52601,6.6,13357,1.7,171024,21.5,88419,11.1,640011,80.3,3712,0.5,15989,2,37438,4.7,1119,1,2966,0.4,729,0.1,5829,0.7,763,0.1,12,0,2064,0.3,2729636,342.7,3765669,472.7
33,City,Ahmedabad,16,0.7,92,3.8,2582,107.6,0,0,10900,454.2,12,0.5,3,0.1,0,0,0,0,0,0,0,0,82,3.4,2,0.1,0,0,0,0,6654,277.3,20343,847.6
34,City,Bangalore,6,0.2,0,0,252,7.3,622,18.1,0,0,8,0.2,523,15.2,1,0,158,4.6,37,1.1,1,0,228,6.6,0,0,0,0,5,0.1,212440,6181,214281,6233.3
35,City,Bombay,460,4.5,281,2.7,8087,79,0,0,17144,167.5,292,2.9,807,7.9,0,0,538,5.3,5,0,4,0,10,0.1,0,0,0,0,1,0,295736,2889.2,323365,3159.1
36,City,Calcutta,40,1.2,188,5.6,6009,178.4,3039,90.2,0,0,57,1.7,40,1.2,18,0.5,0,0,0,0,0,0,136,4,0,0,0,0,0,0,122074,3623.4,131601,3905.4
37,City,Delhi,1250,15.8,1337,16.9,1015,12.8,825,10.4,0,0,26,0.3,73,0.9,451,5.7,113,1.4,9,0.1,0,0,32,0.4,1,0,0,0,5,0.1,650,8.2,5787,73.2
38,City,Hyderabad,40,1.6,0,0,1052,42.4,3096,124.9,0,0,3,0.1,37,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372003,15006.2,376231,15174.9
39,City,Jaipur,135,9.9,58,4.3,183,13.4,20,1.5,0,0,5,0.4,11,0.8,0,0,0,0,1,0.1,1,0.1,2,0.1,0,0,0,0,0,0,40,2.9,456,33.5
40,City,Kanpur,2927,165.6,4,0.2,389,22,1317,74.5,0,0,25,1.4,270,15.3,1,0.1,10,0.6,14,0.8,0,0,45,2.5,2,0.1,0,0,112,6.3,993,56.2,6109,345.7
41,City,Lucknow,1701,167.9,121,11.9,236,23.3,189,18.7,0,0,7,0.7,0,0,0,0,0,0,13,1.3,0,0,31,3.1,0,0,0,0,0,0,422,41.7,2720,268.5
42,City,Madras,4,0.1,5,0.1,7576,188.6,0,0,41106,1023.3,4,0.1,2816,70.1,0,0,0,0,0,0,19,0.5,0,0,0,0,0,0,133,3.3,394543,9821.8,446206,11107.9
43,City,Nagpur,232,15.1,1963,127.8,683,44.5,0,0,5138,334.5,2,0.1,6,0.4,0,0,0,0,8,0.5,0,0,63,4.1,0,0,0,0,0,0,4517,294.1,12612,821.1
44,City,Pune,12,0.8,126,8.3,243,16.1,0,0,4252,280.8,6,0.4,2,0.1,0,0,40,2.6,4,0.3,42,2.8,32,2.1,5,0.3,0,0,131,8.7,4749,313.7,9644,637
