SL. No.,State/UT,City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cog. Crimes Under IPC
5,Karnataka,Bijapur,3,0,0,2,9,9,0,2,0,4,51,102,48,11,30,0,234,496
6,Karnataka,Devangere,4,0,0,2,3,3,0,0,0,2,81,165,24,4,19,1,371,676
7,Karnataka,Dharwar,22,5,0,2,8,4,4,2,0,9,90,136,58,7,18,1,401,759
8,Karnataka,Gadagbetgery,5,3,0,1,3,1,2,0,0,0,39,45,15,5,12,2,156,286
9,Karnataka,Gulbarga,4,3,0,0,5,4,1,0,0,15,94,152,41,1,31,0,292,638
10,Karnataka,Hospet,7,1,0,2,0,0,0,1,0,1,68,76,32,1,7,2,292,490
11,Karnataka,Hubli,7,7,0,1,11,6,5,1,0,10,125,244,70,16,50,38,348,928
12,Karnataka,Mandya,2,0,0,1,0,0,0,1,0,10,46,53,18,3,2,0,330,466
13,Karnataka,Mangalore,3,0,1,0,1,1,0,0,0,2,57,75,31,10,20,3,127,330
14,Karnataka,Mysore,16,0,0,3,19,19,0,1,0,14,236,594,56,16,25,0,839,1819
15,Karnataka,Raichur,6,1,0,0,3,3,0,0,0,3,62,102,32,5,12,0,212,438
16,Karnataka,Shimoga,11,1,3,7,2,2,0,2,0,8,107,229,33,1,19,19,278,720
17,Karnataka,Tumkur,2,0,0,1,4,4,0,3,0,5,139,159,48,6,35,0,381,783
1,Kerala,Calicut,7,4,1,4,6,6,0,1,0,2,132,158,310,15,63,0,1716,2419
2,Kerala,Ernakulam,19,16,1,1,3,3,0,2,0,15,230,255,182,15,51,9,1687,2495
3,Kerala,Trivendrum,12,45,1,6,12,12,0,5,0,15,358,406,412,17,84,10,2123,3506
1,Maharashtra,Bombay,314,150,10,108,236,158,78,49,18,674,2320,15133,160,888,1012,70,14424,35566
2,Maharashtra,Nagpur,106,33,1,36,68,53,15,11,0,275,813,2485,172,109,120,16,3936,8181
3,Maharashtra,Pune,75,63,4,31,50,46,4,16,3,194,940,2704,259,115,148,36,5343,9981
4,Maharashtra,Solapur,15,15,4,8,4,0,4,0,0,24,120,368,28,6,33,4,801,1430
5,Maharashtra,Thane,142,111,2,57,83,53,30,65,0,375,1629,2887,495,172,175,11,4119,10323
1,Orissa,Bhubaneshwar,7,0,0,3,7,7,0,0,15,130,902,11,53,31,5,293,1459,NA
2,Orissa,Berhampur,11,15,1,2,6,6,0,0,21,134,179,40,10,9,1,157,589,NA
3,Orissa,Cuttack,4,0,0,2,0,0,0,0,14,185,607,16,0,33,0,669,1532,NA
4,Orissa,Rourkela,18,8,0,5,7,7,0,0,22,81,284,80,7,9,0,75,601,NA
1,Punjab,Amritsar,61,46,1,2,6,6,0,0,24,85,108,2,11,29,0,473,848,NA
2,Punjab,Jalandhar,23,11,1,0,9,7,2,1,6,60,106,0,12,11,0,227,467,NA
3,Punjab,Ludhiana,31,32,6,1,12,9,3,3,60,124,74,0,25,34,2,289,694,NA
4,Punjab,Patiala,13,9,3,0,6,6,0,0,7,66,51,0,8,22,0,195,380,NA
1,Rajasthan,Ajmer,15,0,0,6,30,30,0,0,6,138,244,68,19,49,2,566,1143,NA
2,Rajasthan,Bikaner,5,0,0,5,13,13,0,0,2,100,174,67,19,38,0,449,872,NA
3,Rajasthan,Jaipur,36,0,2,12,113,110,3,0,59,473,1841,816,173,309,20,3005,6860,NA
4,Rajasthan,Jodhpur,11,43,3,5,30,24,6,0,26,168,202,130,9,117,2,743,1489,NA
5,Rajasthan,Kota,17,134,4,30,49,45,4,0,28,329,617,176,30,109,2,1235,2764,NA
6,Rajasthan,Udaipur,7,0,0,7,25,25,0,0,23,134,247,102,4,58,0,729,1336,NA
1,Tamil Nadu,Coimbatore,18,24,0,0,5,5,0,0,25,361,900,143,56,69,9,1443,3053,NA
2,Tamil Nadu,Madras,49,44,2,23,38,34,4,0,62,366,4091,151,176,642,140,8805,14589,NA
3,Tamil Nadu,Madurai,24,38,0,2,3,3,0,0,22,126,815,61,17,153,17,864,2143,NA
4,Tamil Nadu,Nagercoil,12,13,0,0,8,8,0,0,0,73,184,138,10,24,0,553,1015,NA
5,Tamil Nadu,Salem,24,12,0,3,8,7,1,0,5,182,349,76,13,9,0,729,1410,NA
6,Tamil Nadu,Tiruchirapalli,22,10,0,3,10,10,0,0,8,250,839,35,60,64,20,1263,2584,NA
1,Uttar Pradesh,Agra,43,89,33,16,59,48,11,6,52,270,778,128,97,106,0,788,2482,NA
2,Uttar Pradesh,Aligarh,29,23,17,11,35,23,12,0,29,150,386,51,43,32,0,321,1145,NA
3,Uttar Pradesh,Allahabad,96,89,21,17,42,33,9,5,86,471,1021,98,72,103,0,657,2797,NA
4,Uttar Pradesh,Bareilly,35,46,23,11,31,29,2,0,26,138,578,46,53,40,0,509,1542,NA
5,Uttar Pradesh,Bulandshahar,15,0,0,1,22,14,8,0,14,82,199,23,15,10,0,138,526,NA
6,Uttar Pradesh,Gazipur,35,39,31,10,16,14,2,26,15,52,88,148,33,10,4,529,1052,NA
7,Uttar Pradesh,Kanpur,103,137,34,35,101,120,21,7,126,519,1841,189,242,255,31,2217,5916,NA
8,Uttar Pradesh,Lucknow,70,71,28,17,98,95,3,21,87,451,2007,180,181,268,6,897,4393,NA
9,Uttar Pradesh,Meerut,56,66,31,14,53,2,51,0,86,358,984,119,102,59,3,943,2916,NA
10,Uttar Pradesh,Moradabad,40,11,0,10,72,72,0,0,46,186,577,52,68,0,0,637,1719,NA
11,Uttar Pradesh,Varanasi,26,48,22,9,17,15,2,8,16,271,224,21,39,43,1,203,954,NA
1,West Bengal,Calcutta,56,166,10,18,116,84,32,6,180,387,7014,631,312,418,36,4279,13652,NA
