SL. No.,Category,State/UT/City,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic Drugs and Psychotropic Substances Act - Male,Narcotic Drugs and Psychotropic Substances Act - Female,Narcotic Drugs and Psychotropic Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosives and Explosive Substances Act - Male,Explosives and Explosive Substances Act - Female,Explosives and Explosive Substances Act - Total,Immoral Traffic (Prevention) Act - Male,Immoral Traffic (Prevention) Act - Female,Immoral Traffic (Prevention) Act - Total,Indian Railways Act - Male,Indian Railways Act - Female,Indian Railways Act - Total,Foreigners Registration Act - Male,Foreigners Registration Act - Female,Foreigners Registration Act - Total,Protection of Civil Rights Act - Male,Protection of Civil Rights Act - Female,Protection of Civil Rights Act - Total,Indian Passport Act - Male,Indian Passport Act - Female,Indian Passport Act - Total,Essential Commodities Act - Male,Essential Commodities Act - Female,Essential Commodities Act - Total,Terrorist & Disruptive Activites Act - Male,Terrorist & Disruptive Activites Act - Female,Terrorist & Disruptive Activites Act - Total,Antiquity & Art Treasure Act - Male,Antiquity & Art Treasure Act - Female,Antiquity & Art Treasure Act - Total,Dowry Prohibition Act - Male,Dowry Prohibition Act - Female,Dowry Prohibition Act - Total,Other LSL Crimes - Male,Other LSL Crimes - Female,Other LSL Crimes - Total,Total Cognizable Crimes Under LSL - Male,Total Cognizable Crimes Under LSL - Female,Total Cognizable Crimes Under LSL - Total
11,State,Kerala,133,0,133,148,22,170,6370,1,6371,112,7,119,125,3,128,157,0,157,73,166,239,36,0,36,0,0,0,28,7,35,1,0,1,70,4,74,0,0,0,0,0,0,0,0,0,4303,67,4370,11556,277,11833
12,State,Madhya Pradesh,3617,8,3625,375,4,379,50800,9,50809,14775,864,15639,8,0,8,356,5,361,2,1,3,17428,38,17466,40,0,40,711,15,726,1,0,1,309,0,309,0,0,0,0,0,0,203,17,220,152864,172,153036,241489,1133,242622
13,State,Maharashtra,1374,0,1374,2017,62,2079,94314,23,94337,0,0,0,124818,8784,133602,377,1,378,59,1748,1807,4915,3,4918,7,0,7,932,27,959,42,3,45,669,1,670,48,6,54,0,0,0,196,107,303,318476,19715,338191,548244,30480,578724
14,State,Manipur,22,0,22,252,30,282,483,2,458,3244,2635,5879,0,0,0,2,2,4,6,6,12,0,0,0,10,2,12,0,0,0,0,0,0,1,0,1,56,4,60,0,0,0,0,0,0,267,15,282,4343,2696,7039
15,State,Meghalaya,42,2,44,16,2,18,224,0,224,8,0,8,0,0,0,5,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,13,412,694,18,712
16,State,Mizoram,20,0,20,70,14,84,40,2,42,0,0,0,5,0,5,7,0,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,2209,95,2304,2358,111,2469
17,State,Nagaland,38,0,38,119,9,128,2,0,2,29,16,45,0,0,0,7,0,7,0,0,0,3,0,3,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,144,11,155,345,36,381
18,State,Orissa,17,0,170,22,1,23,4552,0,4552,359,0,359,0,0,0,80,4,84,2,8,10,81,0,81,0,0,0,41,0,41,0,0,0,65,0,65,0,0,0,0,0,0,134,0,134,1520,47,1567,7026,60,7086
19,State,Punjab,2894,1,2895,1474,38,1512,3322,0,3322,13637,626,14263,0,0,0,100,0,100,6,6,12,403,7,410,16,0,16,0,0,0,167,53,220,183,0,183,486,2,488,0,0,0,4,1,5,453,12,465,23145,746,23891
20,State,Rajasthan,3419,0,3419,683,0,683,3962,0,3962,2519,30,2549,0,0,0,146,0,146,139,0,139,907,3,910,9,0,9,116,0,116,105,0,105,133,0,133,3,0,3,0,0,0,0,0,0,104010,122,104132,116151,155,116306
21,State,Sikkim,11,1,12,0,0,0,22,0,22,190,4,194,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5426,9,5435,5653,14,5667
22,State,Tamil Nadu,193,0,193,1372,144,1516,46373,174,46547,3,0,3,310641,30165,340806,427,4,431,941,8112,9053,25,0,25,19,0,19,1280,41,1321,360,0,360,0,0,0,0,0,0,0,0,0,962,311,1273,799805,32655,832460,1162401,71606,1234007
23,State,Tripura,111,1,112,0,0,0,45,0,45,194,0,194,94,0,94,57,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,66,0,0,0,0,0,0,0,0,0,315,31,346,882,32,914
24,State,Uttar Pradesh,34659,0,34659,1423,10,1433,27738,47,27785,28371,299,28670,6,0,6,876,0,876,418,551,969,1918,0,1918,34,0,34,366,5,371,2,0,2,1487,0,1487,29,0,29,0,0,0,1029,115,1144,118405,278,118683,216761,1305,218066
25,State,West Bengal,818,1,819,209,17,226,20492,0,20492,3451,26,3477,17,0,17,290,0,290,37,137,174,5411,190,5601,0,0,0,0,0,0,0,0,0,141,10,151,0,0,0,0,0,0,0,0,0,200515,489,201004,231381,870,232251
Total (States),State,Total (States),54167,15,54183,10535,400,10935,350363,283,350646,91463,4945,96408,546390,63754,610144,4394,25,4419,2678,15104,17782,34509,400,34909,568,35,603,6076,222,6298,877,66,943,6730,17,6747,1828,13,1841,1,0,1,3500,652,4152,2576458,61810,2638268,3690537,147741,3838278
26,UT,A & N Islands,0,0,0,6,0,6,80,0,80,968,398,1366,84,0,84,4,0,4,0,0,0,0,0,0,47,0,47,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,273,7,280,1465,405,1870
27,UT,Chandigarh,28,0,28,9,0,9,93,1,94,33,1,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,9,0,9,16,0,16,0,0,0,0,0,0,58,0,58,248,2,250
28,UT,D & N Haveli,1,0,1,0,0,0,3,0,3,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,23,0,23,39,0,39
29,UT,Daman & Diu,1,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,18,0,18
30,UT,Delhi,1374,0,1374,1289,136,1425,1961,0,1961,1006,127,1133,0,0,0,37,0,37,4,219,223,414,73,487,103,10,113,10,0,10,0,0,0,33,0,33,1,0,1,0,0,0,10,3,13,998,143,1141,7240,711,7951
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
32,UT,Pondicherry,5,0,5,8,2,10,161,0,161,338,42,380,0,0,0,4,0,4,18,107,125,0,0,0,2,0,2,25,1,26,0,0,0,54,17,71,0,0,0,0,0,0,8,2,10,20999,302,21301,21622,473,22095
Total (UTs),UT,Total (UTs),1409,0,1409,1312,138,1450,2301,1,2302,2347,568,2915,86,0,86,46,0,46,22,326,348,414,73,487,165,10,175,37,1,38,0,0,0,107,17,124,17,0,17,0,0,0,18,5,23,22353,452,22805,30634,1591,32225
Total (All-India),Total (All-India),Total (All-India),55576,15,55591,11847,538,12385,352664,284,352948,93810,5513,99323,546476,63754,610230,4440,25,4465,2700,15430,18130,34923,473,35396,733,45,778,6113,223,6336,877,66,943,6837,34,6871,1845,13,1858,1,0,1,3518,657,4175,2598811,62262,2661073,3721171,149332,3870503
33,City,Ahmedabad,28,0,28,111,10,121,7893,6,7899,0,0,0,11185,1161,12346,9,4,13,9,9,18,0,0,0,0,0,0,0,0,0,0,0,0,89,0,89,3,0,3,0,0,0,0,0,0,8072,708,8780,27399,1898,29297
34,City,Bangalore,7,0,7,0,0,0,1260,0,1260,843,33,876,0,0,0,7,0,7,142,800,942,1,0,1,146,12,158,31,6,37,1,0,1,228,0,228,0,0,0,0,0,0,5,0,5,139384,42,139426,142055,893,142948
35,City,Bombay,339,0,339,176,39,215,35049,4,35053,0,0,0,9461,967,10428,317,0,317,16,1657,1673,0,0,0,268,270,538,7,0,7,3,0,3,14,0,14,0,0,0,0,0,0,1,0,1,278700,17157,295857,324351,20094,344445
36,City,Calcutta,45,0,45,187,17,204,18206,0,18206,3263,21,3284,0,0,0,85,0,85,37,137,174,18,0,18,0,0,0,0,0,0,0,0,0,141,10,151,0,0,0,0,0,0,0,0,0,180489,221,180710,202469,406,202875
37,City,Delhi,1368,0,1368,1188,106,1294,1947,0,1947,940,122,1062,0,0,0,26,0,26,4,216,220,414,73,487,103,10,113,10,0,10,0,0,0,28,0,28,1,0,1,0,0,0,10,3,13,978,130,1108,7017,660,7677
38,City,Hyderabad,53,0,53,0,0,0,2050,0,2050,2988,153,3141,0,0,0,4,0,4,14,77,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371438,2491,373929,346547,2721,379268
39,City,Jaipur,135,0,135,60,0,60,237,0,237,20,0,20,0,0,0,5,0,5,9,5,14,0,0,0,0,0,0,1,0,1,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,44,0,44,514,5,519
40,City,Kanpur,2951,0,2951,4,0,4,1711,0,1711,1338,0,1338,0,0,0,25,0,25,0,274,274,0,0,0,10,0,10,18,0,18,0,0,0,47,0,47,4,0,4,0,0,0,270,6,276,1025,3,1028,7403,283,7686
41,City,Lucknow,1709,0,1709,123,2,125,1166,0,1166,226,0,226,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,35,0,35,0,0,0,0,0,0,0,0,0,433,0,433,3719,2,3721
42,City,Madras,5,0,5,7,0,7,8726,174,8900,2,0,2,37142,6340,43482,6,0,6,647,1347,1994,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,48,24,72,160633,13062,173695,207241,20947,228188
43,City,Nagpur,232,0,232,700,4,704,5597,0,5597,0,0,0,5145,165,5310,2,0,2,3,36,39,0,0,0,0,0,0,17,0,17,0,0,0,71,0,71,0,0,0,0,0,0,0,0,0,4447,143,4590,16214,348,16562
44,City,Pune,16,0,16,158,5,163,951,0,951,0,0,0,4427,307,4734,7,0,7,0,11,11,0,0,0,39,5,44,8,0,8,42,0,42,40,0,40,14,0,16,0,0,0,181,107,288,4335,437,4772,10218,874,11092
