SL. No.,Category,State/UT/City,Murder - Male,Murder - Female,Murder - Total,Attempt to Commit Murder - Male,Attempt to Commit Murder - Female,Attempt to Commit Murder - Total,C.H. Not Amounting to Murder - Male,C.H. Not Amounting to Murder - Female,C.H. Not Amounting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abduction - Total - Male,Kidnapping & Abduction - Total - Female,Kidnapping & Abduction - Total - Total,Kidnapping & Abduction - Of Women & Girls - Male,Kidnapping & Abduction - Of Women & Girls - Female,Kidnapping & Abduction - Of Women & Girls - Total,Kidnapping & Abduction - Of Others - Male,Kidnapping & Abduction - Of Others - Female,Kidnapping & Abduction - Of Others - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Preparation & Assembly for Dacoity - Male,Preparation & Assembly for Dacoity - Female,Preparation & Assembly for Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Male,Theft - Female,Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total
11,State,Kerala,1132,57,1189,1879,69,1948,26,2,28,255,2,257,156,3,159,96,3,966,60,0,60,427,24,451,0,0,0,272,0,272,1976,12,1988,2678,54,2732,39186,1268,40454,287,3,290,873,26,899,173,0,173,53161,1642,54803,102481,3162,105643
12,State,Madhya Pradesh,6527,327,6854,5727,159,5886,93,7,100,3023,0,3023,1769,64,1833,1613,60,1673,156,4,160,1284,4,1288,619,0,619,3360,20,3380,11466,222,11688,21883,597,22480,28402,579,28981,989,25,1014,1808,10,1818,0,0,0,159733,2729,162462,246683,4743,251426
13,State,Maharashtra,5597,361,5958,3965,132,4097,137,9,146,1265,37,1302,1159,53,1212,880,53,933,279,0,279,3289,60,3349,186,4,190,4037,35,4072,12840,327,13167,30031,1392,31423,41740,2439,44179,2888,1,2889,2592,82,2674,24,0,24,315063,8394,323457,424813,13326,438139
14,State,Manipur,155,13,168,40,0,40,0,0,0,23,0,23,117,2,119,109,2,111,8,0,8,33,0,33,5,0,5,51,2,53,349,13,362,264,22,286,339,88,427,37,0,37,72,8,80,69,0,69,1075,54,1129,2629,202,2831
15,State,Meghalaya,147,6,153,14,0,14,2,0,2,17,0,17,25,0,25,25,0,25,0,0,0,65,0,65,4,0,4,40,0,40,130,0,130,310,1,311,261,6,267,22,0,22,57,0,57,0,0,0,976,16,992,2070,29,2099
16,State,Mizoram,27,0,27,10,0,10,0,0,0,58,0,58,4,0,4,4,0,4,0,0,0,1,0,1,4,0,4,29,0,29,107,2,109,263,15,278,0,0,0,39,1,40,50,3,53,0,0,0,743,12,755,1335,33,1368
17,State,Nagaland,57,4,61,18,0,18,10,0,10,13,0,13,6,5,11,4,0,4,2,5,7,55,0,55,0,0,0,127,0,127,210,0,210,227,9,236,83,0,83,23,0,23,28,0,28,1,0,1,498,14,512,1356,32,1388
18,State,Orissa,1249,17,1266,1023,5,1028,127,1,128,218,52,270,234,40,274,234,40,274,0,0,0,715,0,715,0,0,0,771,0,771,5101,21,5122,9919,58,9977,11010,101,11111,363,0,363,402,0,402,17,0,17,38366,503,38869,69515,798,70313
19,State,Punjab,1602,65,1667,1472,10,1482,206,16,222,90,2,92,178,10,188,106,9,115,72,1,73,88,0,88,211,0,211,387,0,387,875,6,881,1419,36,1455,120,0,120,336,1,337,331,5,336,7,0,7,10186,133,10319,17508,284,17792
20,State,Rajasthan,2097,126,2223,900,8,908,84,4,88,696,0,696,1296,39,1335,1239,39,1278,57,0,57,475,0,475,17,0,17,1152,8,1160,4092,46,4138,6389,175,6564,44594,1949,46543,487,5,492,1093,14,1107,11,0,11,57505,1941,59446,120888,4315,125203
21,State,Sikkim,8,0,8,0,0,0,2,0,2,6,0,6,7,0,7,7,0,7,0,0,0,5,0,5,0,0,0,21,0,21,30,0,30,37,2,39,63,4,67,13,3,16,14,0,14,0,0,0,204,14,218,410,23,433
22,State,Tamil Nadu,3353,184,3537,5964,153,6117,70,5,75,394,3,397,966,73,1039,966,73,1039,0,0,0,243,0,243,0,0,0,557,1,558,4737,35,4772,14852,505,15357,48462,3007,51469,585,13,598,891,24,915,74,0,74,107983,8843,116825,189130,12846,201976
23,State,Tripura,455,5,460,75,0,75,8,0,8,85,0,85,131,0,131,98,0,98,33,0,33,327,0,327,0,0,0,332,0,332,347,0,347,486,34,520,2499,22,2521,29,0,29,22,0,22,0,0,0,2933,198,3131,7729,259,7988
24,State,Uttar Pradesh,17273,267,17540,13579,95,13674,4977,97,5074,2110,16,2126,5500,150,5650,4821,150,4971,679,0,679,9451,33,9484,1684,0,1684,8215,24,8239,16929,39,16968,21365,141,21506,58967,458,59425,3045,4,3049,3334,17,3351,119,0,119,96299,599,96898,262847,1940,264787
25,State,West Bengal,2852,90,2942,99,2,101,875,25,900,817,4,821,986,55,1041,950,54,1004,36,1,37,2736,7,2743,20,0,20,1271,2,1273,2005,9,2014,22005,183,22188,31074,201,31275,1031,0,1031,717,10,727,49,0,49,29050,285,29335,95587,873,96460
Total (States),State,Total (States),64763,1,66931,51416,832,52248,7868,210,8078,12529,145,12674,19818,805,20623,17034,787,17821,2784,18,2802,32074,166,32240,3716,4,3720,28642,106,28748,91314,1029,92343,207958,4564,212522,525381,14740,540121,15904,105,16009,19445,331,19776,664,0,664,1243000,38190,1281190,2324492,63395,2387887
26,UT,A & N Islands,12,0,13,7,0,7,1,0,1,7,0,7,2,0,2,2,0,2,0,0,0,14,0,14,0,0,0,4,0,4,71,0,71,47,1,48,143,2,145,3,0,3,10,1,11,0,0,0,457,27,484,778,32,810
27,UT,Chandigarh,5,2,5,13,0,13,0,0,0,6,1,7,12,0,12,9,0,9,3,0,3,0,0,0,0,0,0,11,0,11,82,2,84,232,5,237,98,8,106,20,0,20,50,3,53,0,0,0,1473,47,1520,2002,66,2068
28,UT,D & N Haveli,13,0,15,0,0,0,0,0,0,9,0,9,11,0,11,8,0,8,3,0,3,9,0,9,0,0,0,20,0,20,90,18,108,46,1,47,181,3,184,2,0,2,5,0,5,0,0,0,413,30,443,799,54,853
29,UT,Daman & Diu,0,30,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,3,0,3,71,9,80,0,0,0,3,0,3,0,0,0,79,6,85,167,15,182
30,UT,Delhi,476,0,506,428,19,447,298,21,319,200,0,200,318,22,340,296,22,318,22,0,22,73,0,73,61,0,61,293,0,293,830,18,848,4039,370,4409,1185,21,1206,530,77,607,724,51,775,44,1,45,11704,264,11968,21203,894,22097
31,UT,Lakshadweep,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,3
32,UT,Pondicherry,63,0,70,75,0,75,0,0,0,5,0,5,14,3,17,14,3,17,0,0,0,0,0,0,0,0,0,8,0,8,101,0,101,365,6,371,1584,37,1621,28,0,28,31,3,34,0,0,0,2102,171,2273,4376,227,4603
Total (UTs),UT,Total (UTs),569,40,609,523,19,542,299,21,320,236,1,237,357,25,382,329,25,354,28,0,28,96,0,96,61,0,61,337,0,337,1175,38,1213,4733,383,5116,3262,80,3342,583,77,660,823,58,881,44,1,45,16230,454,16775,29328,1288,30616
Total (All-India),Total (All-India),Total (All-India),65332,2208,67540,51939,851,52790,8167,231,8398,12765,146,12911,20175,830,21005,17363,812,18175,2812,18,2830,32170,166,32336,3777,4,3781,28979,106,29085,92489,1067,93556,212691,4947,217638,528643,14820,543463,16487,182,16669,20268,389,20657,708,1,709,1259230,38735,1297965,2353820,64683,2418503
33,City,Ahmedabad,202,10,212,255,2,257,0,0,0,19,1,20,136,5,141,104,5,109,32,0,32,50,7,57,0,0,0,67,0,67,642,12,654,1520,78,1598,1276,41,1317,167,8,175,214,26,240,0,0,0,8575,478,34300,13123,668,13791
34,City,Bangalore,166,6,172,155,1,156,9,0,9,50,1,51,35,0,35,16,0,16,19,0,19,12,0,12,0,0,0,165,1,166,452,3,455,1735,67,1802,1195,38,1233,138,3,141,339,8,347,0,0,0,8915,85,35660,13366,213,13579
35,City,Bombay,615,12,627,271,6,277,43,6,49,128,3,131,225,7,232,153,7,160,72,0,72,159,4,163,45,0,45,707,0,707,1232,20,1252,5476,206,5682,1268,57,1325,666,50,716,629,31,660,4,0,25,16646,1184,66588,28114,1586,29700
36,City,Calcutta,92,5,97,99,2,101,19,0,19,28,0,28,95,7,102,59,6,65,36,1,37,85,0,85,20,0,20,266,0,266,730,1,731,7515,38,7553,2065,0,2065,149,0,149,258,2,260,22,0,110,7932,41,31750,19375,96,19471
37,City,Delhi,370,30,400,168,2,170,121,4,125,168,0,168,318,22,340,296,22,318,22,0,22,51,0,51,33,0,33,230,0,230,648,8,656,3315,190,3505,1136,19,1155,467,68,535,681,47,728,44,1,220,11658,255,46676,19408,646,20054
38,City,Hyderabad,123,13,136,215,3,218,2,0,2,29,0,29,30,0,30,30,0,30,0,0,0,50,0,50,0,0,0,118,0,118,469,0,469,1123,33,1156,1410,39,1449,47,0,47,201,9,210,2,0,10,2096,52,8386,5915,149,6064
39,City,Jaipur,55,10,65,0,0,0,0,0,0,23,0,23,66,0,66,64,0,64,2,0,2,2,0,2,0,0,0,53,0,53,183,0,183,467,3,470,1485,104,1589,78,0,78,96,0,96,4,0,20,2856,13,11428,5368,130,5498
40,City,Kanpur,265,6,271,255,0,255,87,0,87,54,0,54,160,1,161,144,1,145,16,0,16,142,0,142,25,0,25,136,0,136,519,0,519,393,1,394,727,0,727,242,0,242,263,0,263,1,0,5,3137,7,12549,6394,15,6409
41,City,Lucknow,174,4,178,140,4,144,50,3,53,15,0,15,126,0,126,126,0,126,0,0,0,41,0,41,96,0,96,71,0,71,288,0,288,423,7,430,696,3,699,111,0,111,241,0,241,1,0,5,576,0,2305,3049,21,3070
42,City,Madras,92,1,93,66,0,66,4,2,6,39,0,39,34,1,35,30,0,30,4,1,5,0,0,0,0,0,0,60,0,60,163,0,163,1992,89,2081,861,2,863,62,11,73,78,15,93,0,0,0,6973,2291,27892,10424,2412,12836
43,City,Nagpur,199,6,205,68,0,68,1,0,1,78,0,78,61,3,64,50,0,50,11,5,16,55,0,55,0,0,0,301,0,301,385,8,393,945,19,964,2094,13,2107,92,0,92,120,7,127,1,0,5,3950,75,15801,8350,131,8481
44,City,Pune,95,13,108,232,16,248,8,0,8,39,2,41,48,4,52,41,3,44,7,1,8,92,0,92,27,0,27,214,0,214,666,5,671,1505,60,1565,1611,129,1740,134,0,134,132,9,141,0,0,0,8298,255,33192,13101,493,13594
