SL. No.,Category,State/UT/City,Murder - Incidence (I),Murder - Volume (V),Attempt to Commit Murder - Incidence (I),Attempt to Commit Murder - Volume (V),C.H. Not Amounting to Murder - Incidence (I),C.H. Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Total - Incidence (I),Kidnapping & Abduction - Total - Volume (V),Kidnapping & Abduction - Of Women & Girls - Incidence (I),Kidnapping & Abduction - Of Women & Girls - Volume (V),Kidnapping & Abduction - Of Others - Incidence (I),Kidnapping & Abduction - Of Others - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Preparation & Assembly for Dacoity - Incidence (I),Preparation & Assembly for Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Theft - Incidence (I),Theft - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Other IPC Crimes - Incidence (I),Other IPC Crimes - Volume (V),Total Cognizable Crimes Under IPC - Incidence (I),Total Cognizable Crimes Under IPC - Volume (V)
Total (All-India),Total (All-India),Total (All-India),28771,3.6,20689,2.6,3755,0.5,9099,1.1,15771,2,13880,1.7,1891,0.2,9306,1.2,931,0.1,21611,2.7,124304,15.6,319848,40.2,94587,11.9,17352,2.2,22705,2.9,1537,0.2,750090,94.2,1440356,180.8
33,City,Ahmedabad,81,3.4,93,3.9,0,0,12,0.5,106,4.4,74,3.1,32,1.3,16,0.7,0,0,72,3,703,29.3,3553,148,182,7.6,166,6.9,196,8.2,20,0.8,7094,295.6,12294,512.3
34,City,Bangalore,103,3,56,1.6,3,0.1,29,0.8,78,2.3,16,0.5,62,1.8,11,0.3,0,0,166,4.8,1790,52.1,7211,209.8,328,9.5,265,7.7,750,21.8,261,7.6,11037,321.1,21998,640
35,City,Bombay,314,3.1,150,1.5,10,0.1,108,1.1,236,2.3,158,1.5,78,0.8,49,0.5,18,0.2,674,6.6,2320,22.7,15133,147.8,160,1.6,888,8.7,1012,9.9,70,0.7,14660,143.2,35802,349.8
36,City,Calcutta,56,1.7,166,4.9,10,0.3,18,0.5,116,3.4,84,2.5,32,0.9,23,0.7,6,0.2,118,3.5,387,11.5,7014,208.2,631,18.7,312,9.3,418,12.4,36,1.1,4279,127,13652,405.2
37,City,Delhi,239,3,152,1.9,21,0.3,100,1.3,698,8.8,629,8,69,0.9,5,0.1,6,0.1,183,2.3,1448,18.3,10562,133.6,92,1.2,647,8.2,1081,13.7,35,0.4,10261,129.8,25530,323
38,City,Hyderabad,90,3.6,101,4.1,2,0.1,17,0.7,51,2.1,51,2.1,0,0,4,0.2,0,0,84,3.4,1151,46.4,3079,124.2,191,7.7,95,3.8,379,15.3,32,1.3,2193,88.5,7469,301.3
39,City,Jaipur,36,2.6,0,0,0,0,12,0.9,113,8.3,111,8.2,2,0.1,1,0.1,0,0,59,4.3,473,34.8,1841,135.3,816,60,173,12.7,309,22.7,20,1.5,3007,220.9,6860,504
40,City,Kanpur,113,6.4,137,7.8,34,1.9,35,2,141,8,120,6.8,21,1.2,39,2.2,7,0.4,126,7.1,519,29.4,1841,104.2,189,10.7,242,13.7,255,14.4,31,1.8,2217,125.5,5926,335.4
41,City,Lucknow,71,7,71,7,23,2.3,17,1.7,116,11.5,113,11.2,3,0.3,11,1.1,21,2.1,90,8.9,526,51.9,2124,209.7,191,18.9,198,19.5,280,27.6,6,0.6,897,88.5,4642,457.8
42,City,Madras,49,1.2,44,1.1,2,0,23,0.6,38,0.9,34,0.8,4,0.1,0,0,0,0,62,1.5,366,9.1,4091,101.8,151,3.8,176,4.4,642,16,140,3.5,8163,203.2,13947,347.2
43,City,Nagpur,106,6.9,33,2.1,1,0.1,36,2.3,68,4.4,53,3.5,15,1,11,0.7,0,0,275,17.9,813,52.9,2485,161.8,172,11.2,109,7.1,120,7.8,16,1,4004,260.7,8249,537
44,City,Pune,75,5,63,4.2,4,0.3,31,2,50,3.3,46,3,4,0.3,16,1.1,3,0.2,194,12.8,940,62.1,2704,178.6,259,17.1,115,7.6,148,9.8,36,2.4,5413,357.5,10051,663.9
