SL. No.,Category,State/UT/City,Murder - 1987,Murder - 1988,Murder - Percentage Variation,Attempt to Commit Murder - 1987,Attempt to Commit Murder - 1988,Attempt to Commit Murder - Percentage Variation,C.H. Not Amounting to Murder - 1987,C.H. Not Amounting to Murder - 1988,C.H. Not Amounting to Murder - Percentage Variation,Rape - 1987,Rape - 1988,Rape - Percentage Variation,Kidnapping & Abduction - Total - 1987,Kidnapping & Abduction - Total - 1988,Kidnapping & Abduction - Total - Percentage Variation,Kidnapping & Abduction - Of Women & Girls - 1987,Kidnapping & Abduction - Of Women & Girls - 1988,Kidnapping & Abduction - Of Women & Girls - Percentage Variation,Kidnapping & Abduction - Of Others - 1987,Kidnapping & Abduction - Of Others - 1988,Kidnapping & Abduction - Of Others - Percentage Variation,Dacoity - 1987,Dacoity - 1988,Dacoity - Percentage Variation,Preparation and Assembly for Dacoity - 1987,Preparation and Assembly for Dacoity - 1988,Preparation and Assembly for Dacoity - Percentage Variation,Robbery - 1987,Robbery - 1988,Robbery - Percentage Variation,Burglary - 1987,Burglary - 1988,Burglary - Percentage Variation,Theft - 1987,Theft - 1988,Theft - Percentage Variation,Riots - 1987,Riots - 1988,Riots - Percentage Variation,Criminal Breach of Trust - 1987,Criminal Breach of Trust - 1988,Criminal Breach of Trust - Percentage Variation,Cheating - 1987,Cheating - 1988,Cheating - Percentage Variation,Counterfeiting - 1987,Counterfeiting - 1988,Counterfeiting - Percentage Variation,Other IPC Crimes - 1987,Other IPC Crimes - 1988,Other IPC Crimes - Percentage Variation,Total Cognizable Crimes Under IPC - 1987,Total Cognizable Crimes Under IPC - 1988,Total Cognizable Crimes Under IPC - Percentage Variation
25,State,West Bengal,1453,1440,-0.9,*,166,NA,494,494,0,632,631,-0.2,888,882,-0.7,*,850,NA,*,32,NA,817,810,-0.9,*,6,NA,805,797,-1,1977,1909,-3.4,24949,25200,1,7229,7311,1.1,946,944,-0.2,838,866,3.3,71,72,1.4,21848,21852,0,63947,63380,0.7
Total (States),State,Total (States),28144,28421,1,*,20298,NA,3519,3707,5.3,8435,8957,6.2,14403,14969,3.9,*,13160,NA,*,1809,NA,9999,9291,-7.1,*,925,NA,22696,21370,-5.8,123454,122074,-1.1,298761,306852,2.7,90410,94241,4.2,17333,16575,-4.4,21160,21490,1.6,1617,1498,-7.4,735699,735711,0,1375630,1406379,2.2
26,UT,A & N Islands,7,13,85.7,*,5,NA,1,1,0,6,4,-33.3,11,4,-63.6,*,4,NA,*,0,NA,0,3,@,*,0,NA,1,5,400,68,109,60.3,129,130,0.8,23,33,43.5,11,12,9.1,5,7,40,0,2,@,479,569,18.8,741,897,21.1
27,UT,Chandigarh,22,14,-36.4,*,8,NA,3,1,-66.7,5,4,-20,27,19,-29.6,*,15,NA,*,4,NA,1,0,-100,*,0,NA,3,14,366.7,183,233,27.3,757,769,1.6,10,20,100,17,32,88.2,78,52,-33.3,1,1,0,514,567,10.3,1621,1734,7
28,UT,D & N Haveli,4,10,150,*,0,NA,0,0,NA,2,5,150,3,5,66.7,*,3,NA,*,2,NA,2,4,100,*,0,NA,8,5,-37.5,106,101,-4.7,78,58,-25.6,23,30,30.4,3,7,133.3,0,2,@,0,0,NA,312,324,3.8,541,551,1.8
29,UT,Daman & Diu,7,1,-85.7,*,0,NA,0,0,NA,1,3,200,0,0,NA,*,0,NA,*,0,NA,2,0,-100,*,0,NA,2,1,-50,4,11,175,17,30,76.5,16,15,-6.3,3,2,-33.3,3,0,-100,0,0,NA,61,57,-6.6,116,120,3.4
30,UT,Delhi,311,295,-5.1,*,364,NA,198,46,-76.8,103,121,17.5,799,753,-5.8,*,680,NA,*,73,NA,32,7,-78.1,*,0,NA,197,203,3,1475,1591,7.9,10191,11253,10.4,173,113,-34.7,466,698,49.8,840,1116,32.9,29,35,20.7,11032,11412,3.4,25846,28013,8.4
31,UT,Lakshadweep,0,0,NA,*,0,NA,0,0,NA,0,0,NA,0,0,NA,*,0,NA,*,0,NA,0,0,NA,*,0,NA,0,0,NA,9,2,-77.8,4,8,100,7,5,-28.6,0,1,@,1,0,-100,0,0,NA,10,14,40,31,30,-3.2
32,UT,Pondicherry,18,17,-5.6,*,14,NA,0,0,NA,7,5,-28.6,8,21,162.5,*,18,NA,*,3,NA,0,1,@,*,0,NA,10,13,30,167,183,9.6,638,748,17.2,127,130,2.4,14,25,78.6,28,38,35.7,6,1,-83.3,1443,1436,-0.5,2466,2632,6.7
Total (UTs),UT,Total (UTs),369,350,-5.1,*,391,NA,202,48,-76.2,124,142,14.5,848,802,-5.4,*,720,NA,*,82,NA,37,15,-59.5,*,6,NA,221,241,9,2012,2230,10.8,11814,12996,10,379,346,-8.7,514,777,51.2,955,1215,27.2,36,39,8.3,13851,14379,3.8,31362,33977,8.3
Total (All-India),Total (All-India),Total (All-India),28513,28771,0.9,*,20689,NA,3721,3755,0.9,8559,9099,6.3,15251,15771,3.4,*,13880,NA,*,1891,NA,10036,9306,-7.3,*,931,NA,22917,21611,-5.7,125466,124304,-0.9,310575,319848,3,90789,94587,4.2,17847,17352,-2.8,22115,22705,2.7,1653,1537,-7,749550,750090,0.1,1406992,1440356,2.4
33,City,Ahmedabad,81,81,0,*,93,NA,1,0,-100,13,12,-7.7,109,106,-2.8,*,74,NA,*,32,NA,8,16,100,*,0,NA,75,72,-4,772,703,-8.9,3404,3553,4.4,267,182,-31.8,122,166,36.1,188,196,4.3,26,20,-23.1,5971,7094,18.8,11037,12294,11.4
34,City,Bangalore,108,103,-4.6,*,56,NA,3,3,0,46,29,-37,88,78,-11.4,*,16,NA,*,62,NA,13,11,-15.4,*,0,NA,246,166,-32.5,1744,1790,2.6,7144,7211,0.9,194,328,69.1,219,265,21,790,750,-5.1,173,261,50.9,11049,11037,-0.1,21817,21998,0.8
