SL. No.,State/UT,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - Of Women & Girls,Kidnapping & Abduction - Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
14,Himachal Pradesh,Total,92,44,16,45,93,81,12,4,0,25,790,738,329,112,78,0,4155,6521
1,Jammu Kashmir,Anantnag,7,13,1,19,58,58,0,0,0,3,147,225,269,16,13,0,820,1591
2,Jammu Kashmir,Baramulla,9,33,0,17,67,67,0,0,0,0,161,310,344,24,16,0,1175,2156
3,Jammu Kashmir,Budgam,4,22,2,2,33,33,0,0,0,1,38,106,244,6,8,0,390,856
4,Jammu Kashmir,Doda,7,24,1,12,35,35,0,2,0,3,63,105,80,10,4,0,594,940
5,Jammu Kashmir,Jammu,33,141,3,33,70,68,2,5,0,4,284,636,164,39,59,0,2370,3841
6,Jammu Kashmir,Kargil,0,0,0,2,2,2,0,0,0,0,3,9,0,3,1,0,58,78
7,Jammu Kashmir,Kathua,8,16,1,9,16,16,0,1,0,0,53,137,80,10,17,0,598,946
8,Jammu Kashmir,Kupwara,5,8,0,5,21,21,0,0,0,0,38,103,165,9,5,0,475,834
9,Jammu Kashmir,Leh,2,0,0,1,2,2,0,0,0,0,9,10,7,4,2,0,79,116
10,Jammu Kashmir,Poonch,8,17,0,5,15,15,0,4,0,0,42,215,101,1,8,0,369,785
11,Jammu Kashmir,Pulwama,3,20,0,20,32,32,0,0,0,3,104,333,169,12,7,0,558,1261
12,Jammu Kashmir,Rajouri,6,24,0,25,35,35,0,0,0,0,79,196,22,9,13,0,702,1111
13,Jammu Kashmir,Srinagar,9,27,2,31,82,82,0,0,0,8,412,561,282,44,62,0,2547,4067
14,Jammu Kashmir,Udhampur,10,22,0,30,56,56,0,5,0,4,133,144,30,9,15,0,788,1246
15,Jammu Kashmir,Railways,0,1,0,0,1,1,0,0,0,0,2,30,1,0,0,0,5,40
16,Jammu Kashmir,Total,111,368,10,211,525,523,2,17,0,26,1568,3120,1958,196,230,0,528,19868
1,Karnataka,Bangalore,197,84,7,44,97,93,4,46,0,200,2311,7867,577,288,768,261,14314,27061
2,Karnataka,Belgaum,140,24,5,6,37,37,0,6,0,23,364,714,583,63,136,8,3051,5160
3,Karnataka,Bellary,43,3,0,9,3,3,0,9,0,12,203,303,251,24,25,3,1528,2416
4,Karnataka,Bidar,28,19,1,5,15,10,5,10,0,15,143,216,244,8,18,0,1029,1751
5,Karnataka,Bijapur,102,45,5,13,43,43,0,29,0,28,234,395,674,56,87,4,1950,3665
6,Karnataka,Chickmagalur,33,3,3,7,4,4,0,8,0,11,187,207,111,20,7,0,1260,1861
7,Karnataka,ChitraDurga,66,7,2,19,18,18,0,3,0,15,391,536,449,24,64,1,2852,4447
8,Karnataka,Kannada South,36,12,2,8,7,5,2,2,0,13,255,276,288,23,48,13,2557,3540
9,Karnataka,Kannada North,22,5,1,5,2,2,0,0,0,0,121,188,111,15,39,2,1175,1686
10,Karnataka,Dharwad,104,33,1,8,47,28,19,32,0,73,509,833,640,76,121,45,2754,5276
11,Karnataka,Gulberga,76,12,12,5,18,12,6,7,0,25,220,279,369,11,45,0,1490,2569
12,Karnataka,Hassan,46,4,0,5,9,9,0,5,0,23,333,440,256,17,19,3,2197,3357
13,Karnataka,K.G.F.,9,8,0,3,10,10,0,2,0,3,125,279,81,10,16,0,610,1156
14,Karnataka,Kodagu,19,14,0,5,7,7,0,1,0,2,145,166,44,20,14,0,1126,1563
15,Karnataka,Kolar,38,18,0,6,16,16,0,101,0,18,364,473,459,28,38,2,2400,3961
16,Karnataka,Mandya,32,9,1,9,5,5,0,6,0,20,276,323,161,8,18,0,2154,3022
17,Karnataka,Mysore,79,13,0,8,27,27,0,6,0,17,620,994,392,38,42,6,2819,5061
18,Karnataka,Raichur,65,19,0,8,16,16,0,6,0,14,198,292,451,22,35,2,1526,2654
19,Karnataka,Shimoga,67,17,5,16,14,14,0,9,0,13,258,545,217,26,44,22,2333,3586
20,Karnataka,Tumkur,69,8,3,4,11,11,0,54,0,57,405,506,288,25,67,1,1102,2600
21,Karnataka,Railways,10,0,0,0,3,3,0,1,0,7,9,380,13,2,4,0,177,606
22,Karnataka,Total,1281,357,48,193,409,373,36,343,0,589,7671,16212,6659,804,1655,373,50404,86998
1,Kerala,Alleppey,28,60,1,2,14,14,0,5,0,18,332,146,516,23,60,0,3935,5140
2,Kerala,Calicut,29,14,1,12,10,10,0,2,0,13,286,262,938,27,84,2,3840,5520
3,Kerala,Cannanore,28,29,0,15,12,12,0,3,0,7,285,142,734,31,145,0,2855,4286
4,Kerala,Ernakulam,62,42,1,15,5,5,0,6,0,31,600,494,560,40,127,15,4626,6624
5,Kerala,Idukki,32,15,2,17,15,15,0,7,0,15,270,251,293,16,33,0,2379,3345
6,Kerala,Kasaragod,23,23,0,6,3,3,0,0,0,2,64,61,229,8,43,0,1108,1570
7,Kerala,Kottayam,50,11,0,8,9,9,0,5,0,20,361,253,455,50,76,0,3812,5110
8,Kerala,Malappuram,27,13,1,20,5,5,0,4,0,9,258,157,486,23,47,0,2813,3863
9,Kerala,Palghat,48,22,1,36,5,5,0,6,0,11,369,310,576,34,72,0,3012,4502
10,Kerala,Pathanamthitta,29,58,3,5,12,12,0,6,0,18,316,160,334,18,51,0,2812,3822
11,Kerala,Quilon,45,57,0,10,13,13,0,2,0,11,286,175,643,16,45,0,3662,4965
12,Kerala,Trivandrum,54,85,4,18,19,19,0,11,0,24,690,559,914,34,138,10,5586,8146
13,Kerala,Trichur,45,12,0,25,13,13,0,4,0,21,275,342,583,34,109,0,3153,4616
14,Kerala,Wyanadu,14,1,0,15,2,2,0,4,0,11,172,76,210,6,21,0,1255,1787
15,Kerala,Railways,0,1,0,0,0,0,0,0,0,3,4,154,9,0,1,0,80,252
16,Kerala,CB CID,27,3,1,1,0,0,0,2,0,3,19,18,7,31,99,240,87,538
17,Kerala,Total,541,446,15,205,137,137,0,67,0,217,4587,3560,7487,391,1151,267,45015,64086
1,Madhya Pradesh,Baitul,42,2,2,39,13,13,0,6,0,9,191,267,33,10,9,0,1133,1756
2,Madhya Pradesh,Balaghat,51,21,0,41,19,19,0,3,0,22,620,821,52,13,17,0,1651,3331
3,Madhya Pradesh,Bastar,166,92,0,67,34,34,0,8,0,47,618,855,153,34,27,0,2735,4836
4,Madhya Pradesh,Bhind,64,71,2,7,9,6,3,3,11,35,232,374,109,5,11,0,1426,2359
5,Madhya Pradesh,Bhopal,44,131,4,61,47,47,0,15,2,146,821,2178,102,20,132,0,8781,12484
6,Madhya Pradesh,Bilaspur,106,56,0,48,33,33,0,6,0,91,1100,2133,230,51,83,0,4281,8218
7,Madhya Pradesh,Chhatarpur,31,56,0,19,13,11,2,9,6,49,303,258,79,4,14,0,1052,1893
8,Madhya Pradesh,Chhindwara,56,24,0,57,11,11,0,0,0,15,204,476,28,7,17,0,2464,3359
9,Madhya Pradesh,Damoh,39,29,1,31,18,18,0,6,2,21,162,244,23,5,9,1,1516,2107
10,Madhya Pradesh,Datiya,13,0,0,6,3,0,3,2,0,9,107,140,18,4,10,0,593,905
11,Madhya Pradesh,Dewas,40,40,0,33,24,17,7,6,0,37,434,1164,129,30,22,0,1625,3584
12,Madhya Pradesh,Dhar,95,64,7,50,60,58,2,10,1,67,316,1148,127,26,33,0,2554,4558
13,Madhya Pradesh,Durg,65,68,0,95,30,30,0,5,0,61,752,1559,66,43,104,0,5530,8378
14,Madhya Pradesh,Guna,62,46,1,84,16,16,0,3,5,37,310,533,119,10,20,0,2199,3445
15,Madhya Pradesh,Gwalior,83,100,1,43,39,25,14,5,10,84,666,1090,122,24,43,0,2973,5283
16,Madhya Pradesh,Hoshangabad,52,40,1,81,21,21,0,2,2,49,210,513,63,8,22,0,2009,3073
17,Madhya Pradesh,Indore,83,135,2,34,76,76,0,3,0,116,1174,3173,190,83,133,0,9158,14360
18,Madhya Pradesh,Jabalpur,100,1,1,61,48,48,0,7,0,158,1133,1915,127,33,109,0,6857,10550
19,Madhya Pradesh,Khandwa,25,20,0,34,25,25,0,1,0,29,332,705,43,15,17,0,2623,3869
20,Madhya Pradesh,Khargon,77,74,5,65,47,47,0,9,2,72,512,1646,178,49,24,0,3033,5793
21,Madhya Pradesh,Mandla,44,13,3,33,11,11,0,3,0,21,421,357,50,16,38,0,1755,2765
22,Madhya Pradesh,Mandsaur,38,0,0,32,33,7,26,4,10,46,536,1062,100,46,15,0,1745,3667
23,Madhya Pradesh,Muraina,72,95,0,37,25,17,8,3,6,48,370,597,217,15,25,0,2601,4111
24,Madhya Pradesh,Narasingpur,32,46,1,14,9,9,0,2,0,28,138,285,18,3,8,0,1176,1760
25,Madhya Pradesh,Panna,23,7,2,7,0,0,0,7,2,12,74,95,20,0,1,0,572,822
26,Madhya Pradesh,Raigarh,77,10,1,26,16,16,0,4,1,17,289,395,74,11,15,0,1196,2132
27,Madhya Pradesh,Raipur,63,76,3,108,45,37,8,4,1,89,975,1673,159,69,96,0,4360,7721
28,Madhya Pradesh,Raisen,33,32,0,27,18,18,0,2,1,20,224,427,76,2,4,0,944,1810
29,Madhya Pradesh,Rajgarh,27,30,1,46,15,10,5,8,3,50,176,408,72,5,13,0,1404,2258
30,Madhya Pradesh,Rajnadgaon,28,12,1,46,14,13,1,0,1,21,274,398,24,20,28,0,1525,2392
31,Madhya Pradesh,Ratlam,40,0,0,22,13,12,1,7,1,34,256,768,62,39,26,0,1640,2908
32,Madhya Pradesh,Riva,42,47,1,20,22,22,0,13,3,51,706,832,140,10,18,0,1701,3606
33,Madhya Pradesh,Sagar,43,46,2,62,12,10,2,2,5,43,425,562,68,11,40,0,3089,4410
34,Madhya Pradesh,Sahadol,57,29,0,35,20,20,0,5,0,27,587,552,111,22,17,0,2108,3570
35,Madhya Pradesh,Shajapur,40,36,0,43,20,18,2,8,7,63,280,935,148,8,16,0,1477,3081
36,Madhya Pradesh,Sarguja,111,43,0,78,34,31,3,6,3,43,625,671,137,7,20,0,1910,3688
37,Madhya Pradesh,Satna,37,31,0,21,10,2,8,10,6,34,321,292,72,2,11,1,1343,2191
38,Madhya Pradesh,Shivpuri,54,0,0,25,12,11,1,1,35,31,85,261,86,3,6,0,1616,2215
39,Madhya Pradesh,Sidhi,41,16,1,16,14,12,2,5,1,17,289,288,23,3,17,0,1043,1774
40,Madhya Pradesh,Sihore,28,30,5,25,27,27,0,4,3,24,197,452,64,17,8,0,1344,2228
41,Madhya Pradesh,Sivani,24,17,3,27,14,12,2,1,0,23,220,367,36,7,23,0,1346,2108
42,Madhya Pradesh,Tikamgarh,56,21,1,29,8,4,4,10,0,28,125,185,70,10,6,0,1065,1614
