Category,Particulars,Number of Incidents,Seizure/ Recovered (Quantity in Kg./Litre/ Number),Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Total,Cases Registered in Local Police Station/NCB/Other Agencies
2. Seizure of Ammunition,7.65 MM,10,54,NA,NA,NA,NA
2. Seizure of Ammunition,PICCA Gun Round,2,66,NA,NA,NA,NA
2. Seizure of Ammunition,Other,82,3232,NA,NA,NA,NA
2. Seizure of Ammunition,Total,3243,18109,266,0,266,NA
3. Seizures of Explosives,Detonators (In No.),100,24283,160,4,164,NA
3. Seizures of Explosives,Gelatine Sticks (In Number),34,7936,NA,NA,NA,NA
3. Seizures of Explosives,Grenades (In Number),74,233,NA,NA,NA,NA
3. Seizures of Explosives,Landmines/IED (In Number),224,828,NA,NA,NA,NA
3. Seizures of Explosives,RDX (In Kg.),1,2.63,NA,NA,NA,NA
3. Seizures of Explosives,TNT (In Kg.),2,0.705,NA,NA,NA,NA
3. Seizures of Explosives,Plastic Explosives (In Kg.),2,0.65,NA,NA,NA,NA
3. Seizures of Explosives,Other (In Kg. And Litres),5,617.55,NA,NA,NA,NA
3. Seizures of Explosives,Ammonium Nitrate,5,569,NA,NA,NA,NA
3. Seizures of Explosives,Emer Gel Explosive (In Kg.),1,54,NA,NA,NA,NA
3. Seizures of Explosives,Black RDX,1,0.2,NA,NA,NA,NA
3. Seizures of Explosives,Explosive Power (In Kg) (unidentified),19,345,NA,NA,NA,NA
3. Seizures of Explosives,Gun Powder,10,7.141,NA,NA,NA,NA
3. Seizures of Explosives,Liquid Explosive,1,27.3,NA,NA,NA,NA
3. Seizures of Explosives,Total,479,1624.176,160,4,164,NA
