S. No. (Col.1),Category (Col.2),Crime Head (Col.3),Cases Pending Investigation from Previous Year (Col.4),Cases Reported During the Year (Col.5),Total Cases for Investigation (Col.6) = (Col. 4+5),Cases Withdrawn by Govt. (Col.7),Cases Transferred to other PS/ Magistrate (Col.8),Cases Not Investigated U/S 157(1)(b) of Cr.PC (Col.9),Final Report - True but Insufficient Evidence (Col.10),Final Report - False (Col.11),Final Report - Mistake of Fact (Col.12),Final Report - Non-Cognizable (Col.13),Final Report - Total (Col.14) = (Col.10 + Col.11+ Col.12+Col.13),Cases in Which Charge-sheets were Submitted (Col.15),Total Cases Disposed off by Police (Col.16) = (Col. 8+9+14+15),Cases Pending Investi- gation at the End of the Year (Col.17) = (Col.6 - Col.7 + Col.16),Charge-Sheeting Rate (Col.18) = (Col.15/ Col.16) * 100,Pendency Percentage (Col.19) = (Col.17/ Col.6) * 100
Total (C),C. Scheduled Castes and Scheduled Tribes - Related Acts,Total (C),537,442,979,2,11,0,33,90,21,1,145,363,519,458,69.9,46.8
11,D. Offences against State - Related Acts,"Prevention of Damage to Public Property Act, 1984",220,403,623,0,0,0,34,0,5,0,39,307,346,277,88.7,44.5
12,D. Offences against State - Related Acts,"Unlawful Activities (Prevention) Act, 1967",15,14,29,0,1,0,0,0,0,0,0,16,17,12,94.1,41.4
13,D. Offences against State - Related Acts,"Official Secrets Act, 1923",8,13,21,0,0,0,1,0,0,0,1,12,13,8,92.3,38.1
Total (D),D. Offences against State - Related Acts,Total (D),243,430,673,0,1,0,35,0,5,0,40,335,376,297,89.1,44.1
14,E. Arms/Explosive - Related Acts,"Arms Act, 1959",2016,4607,6623,0,13,4,115,7,9,0,131,4612,4760,1863,96.9,28.1
15,E. Arms/Explosive - Related Acts,Explosives and Explosive Substances Act,146,524,670,0,0,0,5,0,2,0,7,500,507,163,98.6,24.3
Total (E),E. Arms/Explosive - Related Acts,Total (E),2162,5131,7293,0,13,4,120,7,11,0,138,5112,5267,2026,97.1,27.8
16,F. Information Technology / Intellectual Property - Related Acts,"Information Technology Act, 2000",3085,2610,5695,0,15,0,1367,61,316,12,1756,601,2372,3323,25.3,58.3
17,F. Information Technology / Intellectual Property - Related Acts,"Copyright Act, 1957",1416,1479,2895,0,2,0,20,5,17,0,42,1412,1456,1439,97,49.7
18,F. Information Technology / Intellectual Property - Related Acts,"Trade Marks Act, 1999",79,53,132,0,0,0,22,0,0,0,22,42,64,68,65.6,51.5
Total (F),F. Information Technology / Intellectual Property - Related Acts,Total (F),4580,4142,8722,0,17,0,1409,66,333,12,1820,2055,3892,4830,52.8,55.4
19,G.Liquor & Drug - Related Acts,Prohibition Act (State),8799,65436,74235,0,0,0,19,0,0,0,19,65067,65086,9149,100,12.3
20,G.Liquor & Drug - Related Acts,"Excise Act, 1944",1464,7478,8942,0,3,0,47,0,5,0,52,6579,6634,2308,99.2,25.8
21,G.Liquor & Drug - Related Acts,"Narcotic Drugs & Psychotropic Substances Act, 1985",6207,17345,23552,0,1,0,33,0,3,0,36,17091,17128,6424,99.8,27.3
Total (G),G.Liquor & Drug - Related Acts,Total (G),16470,90259,106729,0,4,0,99,0,8,0,107,88737,88848,17881,99.9,16.8
22,H. Other Regulatory & Enforcement - Related Acts,"Gambling Act, 1867",1701,9016,10717,2,0,0,42,1,0,0,43,9259,9302,1413,99.5,13.2
23,H. Other Regulatory & Enforcement - Related Acts,"Electricity Act, 2003",2613,7274,9887,0,0,0,2840,3,20,0,2863,2976,5839,4048,51,40.9
24,H. Other Regulatory & Enforcement - Related Acts,"Lotteries (Regulation) Act, 1998",237,542,779,0,0,0,0,0,0,0,0,458,458,321,100,41.2
Total (H),H. Other Regulatory & Enforcement - Related Acts,Total (H),4551,16832,21383,2,0,0,2882,4,20,0,2906,12693,15599,5782,81.4,27
25,I. Environment - Related Acts,"Forest Act, 1927",87,40,127,0,2,0,15,0,0,0,15,35,52,75,67.3,59.1
26,I. Environment - Related Acts,"Wildlife Protection Act, 1972",45,53,98,0,5,0,0,0,2,1,3,32,40,58,80,59.2
27,I. Environment - Related Acts,"Environmental (Protection) Act, 1986",21,42,63,0,0,0,3,0,0,0,3,11,14,49,78.6,77.8
28,I. Environment - Related Acts,"Air (Prevention & Control of Pollution) Act, 1981",0,9,9,0,0,0,0,0,0,0,0,0,0,9,NA,100
29,I. Environment - Related Acts,"Water (Prevention & Control of Pollution) Act, 1974",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Total (I),I. Environment - Related Acts,Total (I),153,144,297,0,7,0,18,0,2,1,21,78,106,191,73.6,64.3
30,J. Foreigner & Passport - Related Acts,"Foreigners Act, 1946",35,64,99,0,0,0,1,0,1,0,2,62,64,35,96.9,35.4
31,J. Foreigner & Passport - Related Acts,"Passport Act, 1967",348,177,525,0,2,0,2,3,2,0,7,175,184,341,95.1,65
32,J. Foreigner & Passport - Related Acts,"Emigration Act, 1983",19,34,53,0,0,0,1,0,0,0,1,30,31,22,96.8,41.5
33,J. Foreigner & Passport - Related Acts,"Registration of Foreigners Act, 1939",27,3,30,0,0,0,0,0,0,0,0,7,7,23,100,76.7
34,J. Foreigner & Passport - Related Acts,"Citizenship Act, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Total (J),J. Foreigner & Passport - Related Acts,Total (J),429,278,707,0,2,0,4,3,3,0,10,274,286,421,95.8,59.5
35,K. Railways - Related Acts,"Indian Railways Act, 1989",5,2,7,0,0,0,1,0,0,0,1,1,2,5,50,71.4
36,K. Railways - Related Acts,"Railway Property (Unlawful Possession) Act, 1966",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Total (K),K. Railways - Related Acts,Total (K),5,2,7,0,0,0,1,0,0,0,1,1,2,5,50,71.4
37,L. Miscellaneous Acts,"Essential Commodities Act, 1955",665,435,1100,0,0,0,31,0,4,0,35,340,375,725,90.7,65.9
38,L. Miscellaneous Acts,"Representation of People Act, 1951",24,36,60,0,0,0,0,1,0,0,1,13,14,46,92.9,76.7
39,L. Miscellaneous Acts,"Bonded Labour System (Abolition) Act, 1976",15,31,46,0,0,0,1,0,0,0,1,23,24,22,95.8,47.8
40,L. Miscellaneous Acts,"Antiquities & Art Treasures Act, 1972",7,7,14,0,0,0,1,0,0,0,1,5,6,8,83.3,57.1
41,L. Miscellaneous Acts,"Prevention of Insults to National Honour Act, 1971",5,15,20,0,0,0,1,0,1,0,2,6,8,12,75,60
42,L. Miscellaneous Acts,"Transplantation of Human Organs Act, 1994",3,3,6,0,0,0,0,0,2,0,2,2,4,2,50,33.3
Total (L),L. Miscellaneous Acts,Total (L),719,527,1246,0,0,0,34,1,7,0,42,389,431,815,90.3,65.4
43,Other SLL Crimes*,Other SLL Crimes*,20677,174553,195230,2,11,0,1289,67,185,11,1552,165353,166916,28312,99.1,14.5
Total Cognizable SLL Crimes,Total Cognizable SLL Crimes,Total Cognizable SLL Crimes,52505,295002,347507,7,100,7,6001,272,612,25,6910,277222,284239,63261,97.5,18.2
