S. No. (Col.1),State/UT (Col.2),Murder (Section 302 IPC) - I (Col.3),Murder (Section 302 IPC) - V (Col.4),Murder (Section 302 IPC) - R (Col.5),Abetment of suicide of child (Section 305 IPC) - I (Col.6),Abetment of suicide of child (Section 305 IPC) - V (Col.7),Abetment of suicide of child (Section 305 IPC) - R (Col.8),Attempt to commit Murder (Section 307 IPC) - I (Col.9),Attempt to commit Murder (Section 307 IPC) - V (Col.10),Attempt to commit Murder (Section 307 IPC) - R (Col.11),Infanticide (Section 315 IPC) - I (Col.12),Infanticide (Section 315 IPC) - V (Col.13),Infanticide (Section 315 IPC) - R (Col.14),Foeticide (Section 316 IPC) - I (Col.15),Foeticide (Section 316 IPC) - V (Col.16),Foeticide (Section 316 IPC) - R (Col.17),Exposure and Abandonment (Section 317 IPC) - I (Col.18),Exposure and Abandonment (Section 317 IPC) - V (Col.19),Exposure and Abandonment (Section 317 IPC) - R (Col.20),Kidnapping & Abduction of Children - I (Col.21),Kidnapping & Abduction of Children - V (Col.22),Kidnapping & Abduction of Children - R (Col.23),Kidnapping & Abduction of Children - I (Col.21A),Kidnapping & Abduction of Children - V (Col.22A),Kidnapping & Abduction of Children - R (Col.23A),Kidnapping & Abduction of Children - I (Col.21B),Kidnapping & Abduction of Children - V (Col.22B),Kidnapping & Abduction of Children - R (Col.23B),Kidnapping & Abduction of Children - I (Col.21C),Kidnapping & Abduction of Children - V (Col.22C),Kidnapping & Abduction of Children - R (Col.23C),Kidnapping & Abduction of Children - I (Col.21D),Kidnapping & Abduction of Children - V (Col.22D),Kidnapping & Abduction of Children - R (Col.23D),Kidnapping & Abduction of Children - I (Col.21E),Kidnapping & Abduction of Children - V (Col.22E),Kidnapping & Abduction of Children - R (Col.23E),Kidnapping & Abduction of Children - I (Col.21F),Kidnapping & Abduction of Children - V (Col.22F),Kidnapping & Abduction of Children - R (Col.23F),Kidnapping & Abduction of Children - I (Col.21G),Kidnapping & Abduction of Children - V (Col.22G),Kidnapping & Abduction of Children - R (Col.23G),Human Trafficking (Sections 370 & 370A IPC) - I (Col.24),Human Trafficking (Sections 370 & 370A IPC) - V (Col.25),Human Trafficking (Sections 370 & 370A IPC) - R (Col.26),Selling of minors for prostitution (Sec 372 IPC) - I (Col.27),Selling of minors for prostitution (Sec 372 IPC) - V (Col.28),Selling of minors for prostitution (Sec 372 IPC) - R (Col.29),Buying of minors for prostitution (Sec 373 IPC) - I (Col.30),Buying of minors for prostitution (Sec 373 IPC) - V (Col.31),Buying of minors for prostitution (Sec 373 IPC) - R (Col.32),Unnatural Offences (Sec. 377 IPC) - I (Col.33),Unnatural Offences (Sec. 377 IPC) - V (Col.34),Unnatural Offences (Sec. 377 IPC) - R (Col.35),Total IPC Crimes* against Children - I (Col.36),Total IPC Crimes* against Children - V (Col.37),Total IPC Crimes* against Children - R (Col.38),"Protection of Children from Sexual Offences Act(POCSO) r/w Section 376, 354, 509 IPC - I (Col.39)","Protection of Children from Sexual Offences Act(POCSO) r/w Section 376, 354, 509 IPC - V (Col.40)","Protection of Children from Sexual Offences Act(POCSO) r/w Section 376, 354, 509 IPC - R (Col.41)","Protection of Children from Sexual Offences Act(POCSO) r/w Section 376, 354, 509 IPC - I (Col.39A)","Protection of Children from Sexual Offences Act(POCSO) r/w Section 376, 354, 509 IPC - V (Col.40A)","Protection of Children from Sexual Offences Act(POCSO) r/w Section 376, 354, 509 IPC - R (Col.41A)","Protection of Children from Sexual Offences Act(POCSO) r/w Section 376, 354, 509 IPC - I (Col.39B)","Protection of Children from Sexual Offences Act(POCSO) r/w Section 376, 354, 509 IPC - V (Col.40B)","Protection of Children from Sexual Offences Act(POCSO) r/w Section 376, 354, 509 IPC - R (Col.41B)","Protection of Children from Sexual Offences Act(POCSO) r/w Sec 376, 354, 509 IPC - I (Col.39C)","Protection of Children from Sexual Offences Act(POCSO) r/w Sec 376, 354, 509 IPC - V (Col.40C)","Protection of Children from Sexual Offences Act(POCSO) r/w Sec 376, 354, 509 IPC - R (Col.41C)","Protection of Children from Sexual Offences Act(POCSO) r/w Sec 376, 354, 509 IPC - I (Col.39D)","Protection of Children from Sexual Offences Act(POCSO) r/w Sec 376, 354, 509 IPC - V (Col.40D)","Protection of Children from Sexual Offences Act(POCSO) r/w Sec 376, 354, 509 IPC - R (Col.41D)","Protection of Children from Sexual Offences Act(POCSO) r/w Sec 376, 354, 509 IPC - I (Col.39E)","Protection of Children from Sexual Offences Act(POCSO) r/w Sec 376, 354, 509 IPC - V (Col.40E)","Protection of Children from Sexual Offences Act(POCSO) r/w Sec 376, 354, 509 IPC - R (Col.41E)","Juvenile Justice (Care and Protection of Children) Act, 2000** - I (Col.42)","Juvenile Justice (Care and Protection of Children) Act, 2000** - V (Col.43)","Juvenile Justice (Care and Protection of Children) Act, 2000** - R (Col.44)",Immoral Traffic (Prevention) Act 1956 - I (Col.45),Immoral Traffic (Prevention) Act 1956 - V (Col.46),Immoral Traffic (Prevention) Act 1956 - R (Col.47),"Child Labour (Prohibition & Regulation) Act, 1986-Total - I (Col.48)","Child Labour (Prohibition & Regulation) Act, 1986-Total - V (Col.49)","Child Labour (Prohibition & Regulation) Act, 1986-Total - R (Col.50)","Prohibition of Child Marriage Act, 2006 - I (Col.51)","Prohibition of Child Marriage Act, 2006 - V (Col.52)","Prohibition of Child Marriage Act, 2006 - R (Col.53)",Total SLL Crimes against Children @ - I (Col.54),Total SLL Crimes against Children @ - V (Col.55),Total SLL Crimes against Children @ - R (Col.56),Other IPC Crimes Against Children (IPC +SLL) # - I (Col.57),Other IPC Crimes Against Children (IPC +SLL) # - V (Col.58),Other IPC Crimes Against Children (IPC +SLL) # - R (Col.59),Total IPC Crimes Against Children (IPC+SLL) - I (Col.60),Total IPC Crimes Against Children (IPC+SLL) - V (Col.61),Total IPC Crimes Against Children (IPC+SLL) - R (Col.62)
13,Kerala,33,41,0.4,3,3,0,13,14,0.1,0,0,0,0,0,0,5,5,0.1,157,166,1.7,56,61,0.6,0,0,0,1,1,0,39,39,0.4,3,3,0,0,0,0,58,62,0.6,14,61,0.1,0,0,0,0,0,0,170,170,1.8,395,460,4.2,1848,1891,19.8,957,963,10.2,517,532,5.5,39,41,0.4,4,5,0,331,350,3.5,250,259,2.7,0,0,0,5,6,0.1,8,8,0.1,2111,2164,22.6,373,389,4,2879,3013,30.8
14,Madhya Pradesh,126,132,0.4,12,12,0,40,40,0.1,14,14,0,19,19,0.1,147,147,0.5,6016,6119,20,3374,3462,11.2,2,2,0,7,8,0,1554,1556,5.2,5,5,0,0,0,0,1074,1086,3.6,21,26,0.1,8,10,0,2,2,0,91,93,0.3,6496,6614,21.6,4717,4732,15.7,2467,2479,8.1,2106,2109,6.8,44,44,0.2,0,0,0,100,100,0.6,5,5,0,1,1,0,0,0,0,9,9,0,4732,4747,15.7,2518,2556,8.4,13746,13917,45.7
15,Maharashtra,162,191,0.4,10,10,0,49,51,0.1,7,7,0,7,7,0,194,196,0.5,7956,8267,21,6481,6737,17.1,1,1,0,10,10,0,754,771,2,7,7,0,0,0,0,703,741,1.9,10,53,0,3,3,0,0,0,0,120,123,0.3,8518,8908,22.5,4815,4885,12.7,2292,2333,6.1,2370,2396,6.3,86,87,0.2,1,1,0,66,68,0.2,344,412,0.9,13,14,0,93,114,0.2,16,16,0,5281,5441,14,760,798,2,14559,15147,38.5
16,Manipur,4,4,0.4,0,0,0,4,4,0.4,0,0,0,0,0,0,0,0,0,62,67,6.5,6,6,0.6,0,0,0,0,0,0,44,45,4.6,0,0,0,0,0,0,12,16,1.2,1,1,0.1,0,0,0,0,0,0,0,0,0,71,76,7.4,43,44,4.5,39,40,4,4,4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,44,4.5,20,22,2.1,134,142,14
17,Meghalaya,4,4,0.4,0,0,0,1,1,0.1,1,1,0.1,0,0,0,1,1,0.1,76,84,7.6,26,29,2.6,0,0,0,8,8,0.8,4,4,0.4,7,7,0.7,0,0,0,31,36,3.1,0,0,0,0,0,0,0,0,0,0,0,0,83,91,8.3,151,152,15.1,122,123,12.2,26,26,2.6,2,2,0.2,0,0,0,1,1,0.1,4,4,0.4,0,0,0,0,0,0,0,0,0,155,156,15.5,2,2,0.2,240,249,24
18,Mizoram,1,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1.4,4,5,1.1,0,0,0,0,0,0,1,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,1.6,167,184,45,99,105,26.7,62,71,16.7,0,0,0,1,1,0.3,5,7,1.3,12,16,3.2,3,4,0.8,0,0,0,0,0,0,182,204,49.2,0,0,0,188,211,50.8
19,Nagaland,2,2,0.3,0,0,0,1,2,0.1,0,0,0,0,0,0,0,0,0,47,53,7,40,45,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,50,57,7.5,27,29,4,21,22,3.1,5,6,0.7,0,0,0,0,0,0,1,1,0.1,1,2,0.1,0,0,0,0,0,0,0,0,0,28,31,4.2,0,0,0,78,88,11.6
20,Odisha,19,19,0.1,0,0,0,5,5,0,1,1,0,0,0,0,1,1,0,1154,1167,8.2,841,853,6,1,1,0,2,2,0,162,162,1.2,19,20,0.1,0,0,0,129,129,0.9,20,55,0.1,0,0,0,0,0,0,10,10,0.1,1210,1258,8.6,1928,1928,13.7,1258,1258,9,396,396,2.8,16,16,0.1,1,1,0,257,257,1.8,55,71,0.4,0,0,0,0,0,0,15,15,0.1,1998,2014,14.2,78,94,0.6,3286,3366,23.4
21,Punjab,55,58,0.6,0,0,0,1,1,0,8,8,0.1,4,4,0,24,24,0.3,1031,1052,11.8,45,50,0.5,3,3,0,6,6,0.1,702,709,8,25,26,0.3,0,0,0,250,258,2.8,4,4,0,1,2,0,0,0,0,61,61,0.7,1189,1214,13.6,596,599,6.8,410,411,4.7,172,174,2,1,1,0,0,0,0,13,13,0.1,20,83,0.2,1,1,0,0,0,0,8,8,0.1,625,691,7.1,29,30,0.3,1843,1935,21
22,Rajasthan,39,39,0.1,1,1,0,2,2,0,14,14,0,21,21,0.1,118,118,0.4,1891,1952,6.6,736,784,2.6,0,0,0,1,1,0,488,488,1.7,60,60,0.2,0,0,0,606,619,2.1,2,2,0,0,0,0,0,0,0,10,10,0,2098,2159,7.4,1479,1481,5.2,858,858,3,359,359,1.3,12,13,0,3,3,0,247,248,0.9,288,713,1,0,0,0,21,24,0.1,12,12,0,1800,2230,6.3,136,141,0.5,4034,4530,14.1
23,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,5.5,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2.5,0,0,0,0,0,0,0,0,0,2,2,1,13,13,6.5,92,101,45.3,66,72,32.5,22,25,10.8,3,3,1.5,0,0,0,1,1,0.5,4,4,2,0,0,0,0,0,0,0,0,0,96,105,48,1,1,0.5,110,119,55
24,Tamil Nadu,87,102,0.4,0,0,0,9,10,0,2,2,0,0,0,0,2,2,0,373,376,1.8,40,41,0.2,0,0,0,6,7,0,277,277,1.4,2,2,0,0,0,0,48,49,0.2,2,3,0,0,0,0,0,0,0,0,0,0,475,495,2.4,1583,1628,7.8,1169,1188,5.8,211,234,1,96,97,0.5,9,9,0,98,100,0.5,242,354,1.2,2,4,0,0,0,0,55,55,0.3,1882,2041,9.3,499,590,2.5,2856,3126,14.1
25,Telangana,48,57,0.4,3,3,0,3,4,0,6,6,0.1,0,0,0,6,6,0.1,759,791,6.8,427,449,3.8,0,0,0,1,1,0,161,162,1.4,32,32,0.3,0,0,0,138,147,1.2,23,111,0.2,1,1,0,0,0,0,4,4,0,853,983,7.6,1158,1159,10.4,690,690,6.2,189,189,1.7,178,178,1.6,0,0,0,101,102,0.9,491,574,4.4,1,2,0,6,9,0.1,19,19,0.2,1675,1763,15,381,496,3.4,2909,3242,26
26,Tripura,4,6,0.3,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,100,104,8.1,33,36,2.7,2,2,0.2,0,0,0,44,44,3.6,0,0,0,0,0,0,21,22,1.7,0,0,0,0,0,0,0,0,0,1,1,0.1,106,112,8.5,156,156,12.6,108,108,8.7,48,48,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.1,157,157,12.7,11,11,0.9,274,280,22.1
27,Uttar Pradesh,506,513,0.6,0,0,0,5,5,0,21,21,0,52,52,0.1,5,5,0,9657,9678,10.9,2091,2098,2.4,182,182,0.2,39,39,0,7331,7345,8.3,0,0,0,0,0,0,14,14,0,20,23,0,9,9,0,2,2,0,491,491,0.6,10768,10799,12.2,4954,4954,5.6,2115,2115,2.4,2652,2652,3,123,123,0.1,2,2,0,62,62,0.1,54,54,0.1,8,11,0,6,11,0,3,3,0,5025,5033,5.7,286,287,0.3,16079,16119,18.2
28,Uttarakhand,4,4,0.1,0,0,0,0,0,0,0,0,0,4,4,0.1,1,1,0,436,437,11.3,57,58,1.5,0,0,0,0,0,0,10,10,0.3,1,1,0,0,0,0,368,368,9.6,1,1,0,0,0,0,0,0,0,3,3,0.1,449,450,11.7,218,219,5.7,91,91,2.4,35,36,0.9,3,3,0.1,0,0,0,89,89,2.3,5,5,0.1,0,0,0,0,0,0,1,2,0,224,226,5.8,3,3,0.1,676,679,17.6
29,West Bengal,67,69,0.2,5,5,0,11,15,0,0,0,0,0,0,0,0,0,0,4178,4395,14.2,1529,1668,5.2,7,7,0,18,18,0.1,497,497,1.7,706,727,2.4,5,7,0,1416,1471,4.8,38,59,0.1,67,77,0.2,2,2,0,23,23,0.1,4391,4645,15,2132,2140,7.3,718,719,2.4,374,381,1.3,47,47,0.2,2,2,0,991,991,3.4,44,58,0.1,5,8,0,4,4,0,41,41,0.1,2226,2251,7.6,387,443,1.3,7004,7339,23.8
Total (States),Total (States),1601,1735,0.4,41,41,0,199,210,0,89,89,0,135,135,0,775,779,0.2,48582,49811,11.1,21450,22307,4.9,222,225,0.1,164,166,0,16588,16644,3.8,2464,2487,0.6,5,7,0,7689,7975,1.8,318,669,0.1,120,133,0,6,6,0,1127,1133,0.3,52993,54741,12.1,34223,34495,7.8,18862,19000,4.3,11437,11532,2.6,882,888,0.2,47,48,0,2995,3027,0.7,2165,3104,0.5,55,68,0,173,248,0,319,320,0.1,36935,38235,8.4,8416,8936,1.9,98344,101912,22.4
30,A & N Islands,1,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,17.9,24,25,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,26,27,18.6,49,50,36,1,1,0.7,0,0,0,0,0,0,0,0,0,48,49,35.3,0,0,0,0,0,0,0,0,0,1,1,0.7,50,51,35.7,10,15,7.4,86,93,61.4
31,Chandigarh,1,1,0.3,0,0,0,3,3,0.8,0,0,0,1,1,0.3,2,2,0.5,145,159,36.3,96,107,24,0,0,0,0,0,0,46,49,11.5,0,0,0,0,0,0,3,3,0.8,1,1,0.3,0,0,0,0,0,0,6,6,1.5,159,173,39.8,51,51,12.8,41,41,10.3,10,10,2.5,0,0,0,0,0,0,0,0,0,6,6,1.5,0,0,0,0,0,0,0,0,0,57,57,14.3,6,6,1.5,222,236,55.5
32,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,7.7,10,10,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,7.7,11,11,8.7,9,9,7.1,0,0,0,0,0,0,0,0,0,2,2,1.6,0,0,0,0,0,0,0,0,0,0,0,0,11,11,8.5,0,0,0,21,21,16.2
