S. No.,Category,Crime Head,Below 18 Years - Male,Below 18 Years - Female,Below 18 Years - Total,18 Years & Above – Below 30 Years - Male,18 Years & Above – Below 30 Years - Female,18 Years & Above – Below 30 Years - Total,30 Years & Above – Below 45 Years - Male,30 Years & Above – Below 45 Years - Female,30 Years & Above – Below 45 Years - Total,45 Years & Above – Below 60 Years - Male,45 Years & Above – Below 60 Years - Female,45 Years & Above – Below 60 Years - Total,60 Years & Above - Male,60 Years & Above - Female,60 Years & Above - Total,Total of Overall Age-Group - Male,Total of Overall Age-Group - Female,Total of Overall Age-Group - Total
30,J. Foreigner & Passport - Related Acts,"Passport Act, 1967",8,2,10,333,59,392,371,44,415,229,8,237,22,0,22,963,113,1076
31,J. Foreigner & Passport - Related Acts,"Emigration Act, 1983",0,0,0,28,3,31,68,8,76,22,0,22,0,0,0,118,11,129
32,J. Foreigner & Passport - Related Acts,"Registration of Foreigners Act, 1939",1,0,1,26,0,26,53,3,56,9,0,9,3,0,3,92,3,95
33,J. Foreigner & Passport - Related Acts,"Citizenship Act, 1955",0,0,0,11,2,13,24,3,27,2,0,2,0,0,0,37,5,42
Total (J),J. Foreigner & Passport - Related Acts,Total (J),32,5,37,1983,492,2475,1834,456,2290,608,62,670,54,1,55,4511,1016,5527
34,K. Railways - Related Acts,"Indian Railways Act, 1989",3,0,3,335,0,335,43,0,43,15,0,15,0,0,0,396,0,396
35,K. Railways - Related Acts,"Railway Property (Unlawful Possession) Act, 1966",0,0,0,3,0,3,5,0,5,0,0,0,0,0,0,8,0,8
Total (K),K. Railways - Related Acts,Total (K),3,0,3,338,0,338,48,0,48,15,0,15,0,0,0,404,0,404
36,L. Miscellaneous Acts,"Essential Commodities Act, 1955",4,0,4,1910,9,1919,3225,16,3241,1122,4,1126,63,3,66,6324,32,6356
37,L. Miscellaneous Acts,"Representation of People Act, 1951",1,0,1,271,1,272,399,11,410,116,6,122,1,0,1,788,18,806
38,L. Miscellaneous Acts,"Bonded Labour System (Abolition) Act, 1976",0,0,0,44,0,44,110,9,119,18,1,19,0,0,0,172,10,182
39,L. Miscellaneous Acts,"Antiquities & Art Treasures Act, 1972",0,0,0,104,0,104,48,0,48,4,0,4,1,0,1,157,0,157
40,L. Miscellaneous Acts,"Prevention of Insults to National Honour Act, 1971",2,0,2,41,0,41,42,0,42,14,0,14,0,0,0,99,0,99
41,L. Miscellaneous Acts,"Transplantation of Human Organs Act, 1994",0,0,0,4,0,4,28,0,28,0,0,0,0,0,0,32,0,32
Total (L),L. Miscellaneous Acts,Total (L),7,0,7,2374,10,2384,3852,36,3888,1274,11,1285,65,3,68,7572,60,7632
42,Other SLL Crimes *,Other SLL Crimes *,801,8,809,365498,4250,369748,319026,5709,324735,133642,2077,135719,14815,110,14925,833782,12154,845936
Total Cognizable SLL Crimes,Total Cognizable SLL Crimes,Total Cognizable SLL Crimes,2312,33,2345,899765,34699,934464,910680,65951,976631,397653,37321,434974,40603,3620,44223,2251013,141624,2392637
