SL. No.,States/U.Ts,Cities,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating ,Counterfeiting,Total Cognizable Crimes Under IPC
1,Jammu & Kashmir,Jammu & Kashmir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Karnataka,Mysore City,5,18,1,17,1,20,266,1490,74,45,70,1,3921
2,Karnataka,Hubli City,9,NA,1,5,7,8,263,528,56,26,45,6,1600
3,Karnataka,Mangalore City,2,NA,1,1,NA,NA,55,125,49,9,17,NA,415
4,Karnataka,Gulbarga City,5,NA,2,NA,NA,6,137,196,61,7,20,NA,782
5,Karnataka,Bellary City,5,NA,NA,1,NA,NA,91,225,27,5,11,5,570
6,Karnataka,Belgaum City,2,NA,NA,11,3,9,178,515,71,14,45,4,1247
7,Karnataka,Davanagere City,5,NA,1,5,NA,2,87,147,13,12,10,2,479
8,Karnataka,Bijapur City,4,NA,1,4,NA,2,73,71,43,10,16,NA,361
9,Karnataka,Shimoga City,2,2,NA,1,NA,2,189,312,108,10,6,NA,459
10,Karnataka,Bhadravathy ,2,NA,1,1,1,1,102,182,75,NA,4,1,28
1,Kerala,Trivandrum City,8,NA,3,6,3,9,399,515,203,27,33,NA,2595
2,Kerala,Alleppey Town,21,NA,1,7,3,9,231,167,368,18,33,NA,2923
3,Kerala,Ernakulam City,20,1,3,5,12,22,363,458,276,33,33,NA,3047
4,Kerala,Calicut City,2,1,3,11,2,1,133,120,116,11,26,NA,910
1,Madhya Pradesh,Gwalior,42,NA,11,21,6,153,613,1347,141,12,53,3,4022
2,Madhya Pradesh,Indore,28,NA,19,59,5,96,906,3319,159,55,89,NA,7987
3,Madhya Pradesh,Ujjain,4,NA,2,2,NA,9,119,280,81,3,8,NA,434
4,Madhya Pradesh,Ratlam,14,NA,13,16,3,31,328,993,49,17,8,NA,2853
5,Madhya Pradesh,Burhanpur ,9,NA,8,11,3,19,156,533,48,20,23,NA,1388
6,Madhya Pradesh,Jabalpur,36,1,17,25,2,50,564,1635,92,24,65,NA,5930
7,Madhya Pradesh,Sagar,10,NA,7,14,2,29,164,323,58,8,36,NA,1639
8,Madhya Pradesh,Raipur,9,NA,NA,5,3,64,399,1552,42,26,32,1,3480
9,Madhya Pradesh,Bhilai Nagar,13,NA,11,14,8,23,205,632,54,11,11,NA,1327
10,Madhya Pradesh,Bhopal,46,NA,19,62,13,157,1008,2785,155,28,69,NA,6371
1,Maharashtra,Thane,13,NA,8,12,5,98,226,999,123,59,56,NA,2601
2,Maharashtra,Ulhasnagar,15,1,10,19,11,65,288,514,86,21,35,NA,1954
3,Maharashtra,Ahmednagar,2,NA,2,1,NA,11,48,230,37,10,8,NA,499
4,Maharashtra,Nasik,8,NA,3,6,3,27,138,524,45,19,11,NA,1104
5,Maharashtra,Malegaon,7,NA,4,15,2,9,130,313,24,26,10,NA,1191
6,Maharashtra,Dhule,4,NA,3,4,NA,18,75,488,12,19,15,NA,851
7,Maharashtra,Jalgaon,7,NA,3,3,3,30,133,501,18,17,10,NA,997
8,Maharashtra,Sangli,3,NA,3,4,NA,12,93,288,6,11,7,NA,682
9,Maharashtra,Solapur,12,10,5,12,1,22,182,476,66,22,27,NA,835
10,Maharashtra,Kolhapur,7,1,8,7,1,5,202,647,41,29,38,3,989
11,Maharashtra,Aurangabad,8,3,NA,7,2,40,198,630,41,21,29,NA,1338
12,Maharashtra,Nanded,16,NA,2,10,3,18,102,275,13,12,14,NA,724
13,Maharashtra,Akola,4,NA,5,18,1,45,312,1031,17,38,41,NA,1961
14,Maharashtra,Amravati,8,NA,6,15,5,74,414,1362,28,26,34,NA,2574
1,Manipur,Imphal City,43,2,3,107,17,65,74,247,55,18,29,3,1400
1,Orissa,Cuttack,3,1,5,6,1,44,261,850,63,32,18,NA,2152
2,Orissa,Bhubaneswar,2,1,1,8,1,55,305,642,78,34,15,8,1150
3,Orissa,Berhampur,NA,NA,2,NA,NA,22,89,156,12,NA,10,NA,291
4,Orissa,Raurkela,12,1,11,14,19,64,195,743,95,16,15,NA,1185
1,Rajasthan,Ajmer,10,NA,4,25,4,36,160,312,130,18,41,NA,1341
2,Rajasthan,Jodhpur,16,NA,5,37,3,37,164,346,197,19,57,NA,1513
3,Rajasthan,Kota,11,NA,7,33,NA,27,233,355,77,38,23,NA,1457
4,Rajasthan,Udaipur,3,2,3,22,2,18,97,201,90,22,39,NA,949
5,Rajasthan,Bikaner,5,NA,4,10,NA,24,114,134,111,15,24,NA,797
6,Rajasthan,Chittorgarh,4,NA,1,24,NA,8,57,157,85,15,10,1,592
1,Tamil Nadu,Kancheepuram Town,3,NA,NA,NA,NA,NA,21,26,104,2,7,NA,307
2,Tamil Nadu,Erode,8,NA,2,3,NA,1,114,247,68,7,13,7,682
3,Tamil Nadu,Coimbatore City,17,NA,2,19,NA,2,276,1055,263,26,47,7,2872
4,Tamil Nadu,Singanallur Town,1,NA,NA,NA,NA,NA,15,52,33,NA,NA,NA,140
5,Tamil Nadu,Madurai City,17,NA,8,8,NA,4,131,789,276,50,42,22,1952
6,Tamil Nadu,Vellore Town,4,NA,NA,1,NA,2,132,484,50,11,14,5,972
7,Tamil Nadu,Cuddalore Town,2,NA,2,2,NA,1,22,110,47,9,5,NA,200
8,Tamil Nadu,Thanjavur Town,11,NA,NA,3,1,NA,115,272,47,6,9,4,1611
9,Tamil Nadu,Tiruchirapalli Town,14,NA,1,5,1,3,76,358,122,8,7,6,1916
10,Tamil Nadu,Dindigul,4,NA,1,10,NA,NA,62,152,25,12,16,NA,462
11,Tamil Nadu,Tirunelveli Town,7,NA,2,7,1,4,85,369,23,4,4,2,690
12,Tamil Nadu,Tuticorin Town,7,NA,2,8,NA,3,95,425,28,3,4,3,708
13,Tamil Nadu,Nagercoil Town,4,NA,1,9,1,4,73,212,156,7,13,2,1828
14,Tamil Nadu,Salem Town,6,NA,1,12,NA,2,226,617,50,25,38,3,1600
15,Tamil Nadu,Kumbakonam,6,NA,NA,1,NA,NA,67,212,26,7,6,4,554
16,Tamil Nadu,Tiruppur,22,NA,2,5,1,3,76,358,122,8,7,6,1916
1,Uttar Pradesh,Agra,147,50,25,172,219,230,988,2324,473,139,109,2,6967
2,Uttar Pradesh,Varanasi,118,34,14,47,209,131,695,1553,350,175,79,22,5059
3,Uttar Pradesh,Allahabad,186,70,30,57,215,165,949,1947,279,141,136,NA,5910
4,Uttar Pradesh,Meerut,182,18,25,144,123,288,810,2603,345,181,137,NA,6822
5,Uttar Pradesh,Bareilly,162,38,23,86,143,151,678,2279,195,169,84,NA,5489
6,Uttar Pradesh,Moradabad,235,18,39,39,162,292,643,3474,306,158,68,NA,7006
7,Uttar Pradesh,Saharanpur,99,23,15,71,72,101,464,1320,147,84,43,NA,3720
8,Uttar Pradesh,Aligarh,148,22,19,81,148,115,619,1410,301,107,58,NA,4464
9,Uttar Pradesh,Gorakhpur,148,44,28,75,245,168,917,1739,426,131,93,2,2778
10,Uttar Pradesh,Jhansi,44,20,12,18,44,81,384,695,115,41,24,NA,2199
11,Uttar Pradesh,Dehradun,22,10,7,41,17,40,223,662,98,57,20,NA,1642
12,Uttar Pradesh,Rampur,61,13,13,40,52,69,264,612,55,31,30,NA,1889
13,Uttar Pradesh,Mathura,71,13,11,33,100,61,368,588,193,73,29,NA,2321
14,Uttar Pradesh,Shahjahanpur,138,28,32,51,94,127,274,887,139,65,29,NA,2805
15,Uttar Pradesh,Mirzapur,78,19,12,19,62,52,354,750,164,47,28,NA,2411
