SL. No. ,Category, States/U.Ts/Cities                           ,Arms Act - Incidence (I),Arms Act - Volume (V),Opium Act - Incidence (I),Opium Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Excise Act - Incidence (I),Excise Act - Volume (V),Prohibition Act - Incidence (I),Prohibition Act - Volume (V),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Volume (V),Suppression of Immoral Traffic in Women and Girls Act - Incidence (I),Suppression of Immoral Traffic in Women and Girls Act  - Volume (V),Motor Vehicles Act - Incidence (I),Motor Vehicles Act - Volume (V),Prevention of Corruption Act - Incidence (I),Prevention of Corruption Act - Volume (V),Customs Act - Incidence (I),Customs Act - Volume (V),Indian Railways Act - Incidence (I),Indian Railways Act - Volume (V),Other offences - Incidence (I),Other offences - Volume (V),Grand Total - Incidence (I),Grand Total - Volume (V)
Total (States),State,Total (States),65137,9.7,13761,2,232182,34.4,105570,15.7,320606,47.6,2773,0.4,15540,2.1,671475,99.6,293,0,28,0,41968,6.2,1048545,155.5,2517878,373.5
23,UT,A & N Islands,NA,NA,3,1.6,24,12.8,1232,655.3,NA,NA,NA,NA,NA,NA,19,10.1,NA,NA,NA,NA,NA,NA,286,152.1,1564,831.9
24,UT,Arunachal Pradesh,10,1.6,8,1.3,NA,NA,NA,NA,NA,NA,8,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.5,29,4.6
25,UT,Chandigarh,151,33.6,106,23.6,228,50.7,482,107.1,NA,NA,8,1.8,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,266,59.1,1242,276
26,UT,D & N Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5.8,6,5.8
27,UT,Delhi,4347,70.2,467,7.5,2209,35.7,2998,48.4,NA,NA,14,0.2,86,1.4,NA,NA,8,0.1,NA,NA,140,2.3,946,15.3,11215,181
28,UT,"Goa, Daman & Diu",2,0.2,NA,NA,10555,97.5,49,4.5,NA,NA,NA,NA,10,0.9,75,6.9,NA,NA,NA,NA,20,1.8,352,32.5,1563,144.5
29,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.5,1,2.5
30,UT,Mizoram,9,1.8,NA,NA,NA,NA,NA,NA,NA,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,22.3,128,26.2
31,UT,Pondicherry,6,1,2,0.3,126,20.9,187,31,NA,NA,5,0.8,22,3.6,2929,484.9,NA,NA,NA,NA,NA,NA,9496,1572.2,12773,2114.7
Total (UTs),UT,Total (UTs),4525,46.3,586,6,3642,37.2,4948,50.6,NA,NA,45,0.5,118,1.2,3023,30.9,9,0.1,NA,NA,160,1.6,11465,117.2,28521,291.6
Total (All-India),Total (All-India),Total (All-India),69662,10.2,14347,2.1,235824,34.5,110518,16.2,320606,46.9,2818,0.4,15658,2.3,674498,98.6,302,0,28,0,42128,6.2,1060010,155,2546399,372.3
1,City,Ahmedabad ,8,0.4,NA,NA,6068,299.7,NA,NA,13453,664.3,10,0.5,3,0.1,7,0.3,NA,NA,NA,NA,NA,NA,7086,349.9,26635,1315.3
2,City,Bangalore ,NA,NA,4,0.2,236,9.5,501,20.2,NA,NA,13,0.5,228,9.2,69035,2781.4,NA,NA,NA,NA,NA,NA,809,32.6,70826,2853.6
3,City,Bombay,54,0.7,NA,NA,22418,272.5,NA,NA,54519,662.7,NA,NA,890,10.1,44453,540.3,NA,NA,NA,NA,NA,NA,279721,3400,402055,4887
4,City,Calcutta,100,3,NA,NA,6534,198.5,2965,90.1,NA,NA,122,3.7,48,1.5,4890,148.5,NA,NA,NA,NA,NA,NA,129076,3920.9,143735,4366.2
5,City,Delhi,4288,75,463,8.1,2174,38,2905,50.8,NA,NA,14,0.2,86,1.5,NA,NA,8,0.1,NA,NA,140,2.5,896,15.7,10974,192.1
6,City,Hyderabad,30,1.4,1,0,815,38,2307,107.7,NA,NA,5,0.2,66,3.1,69486,3244,NA,NA,NA,NA,NA,NA,28357,1323.9,101067,4718.3
7,City,Kanpur,3694,241.3,205,13.4,539,35.2,2083,136.7,NA,NA,10,0.7,91,5.9,2682,175.2,NA,NA,NA,NA,NA,NA,2498,163.2,11802,770.2
8,City,Madras,1,0,3,0.1,10300,315.4,NA,NA,8508,260.5,NA,NA,1362,41.7,53444,1636.4,NA,NA,NA,NA,NA,NA,110843,3393.8,183461,5647.9
9,City,Pune,3,0.2,NA,NA,1023,85,NA,NA,8607,715.5,2,0.2,7,0.6,156,13,NA,NA,NA,NA,NA,NA,9537,792.8,19335,1607.2
10,City,Jaipur,139,14.4,11,1.1,328,33.9,12,1.2,225,26.4,2,0.2,2,0.2,312,32.3,NA,NA,NA,NA,NA,NA,126,13,1187,122.8
11,City,Lucknow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,City,Nagpur,185,15.2,NA,NA,2706,222.7,NA,NA,4222,347.5,NA,NA,NA,NA,166,13.7,1,0.1,NA,NA,NA,NA,3705,304.9,10985,904.1
Total (Cities),City,Total (Cities),8502,25.8,687,2.1,53141,161.2,10773,32.7,89564,271.7,178,0.5,2783,8.4,244631,742.2,9,0.03,NA,NA,140,0.4,572654,1737.4,983062,2982.6
