SL. No.,Category,State/U.Ts/Cities,Total Cognizable Crime - Male,Total Cognizable Crime - Female,Murder - Male,Murder - Female,Culpable Homicide Not Amounting to Murder - Male,Culpable Homicide Not Amounting to Murder - Female,Rape - Male,Rape - Female,Kidnapping & Abduction - Male,Kidnapping & Abduction - Female,Dacoity - Male,Dacoity - Female,Robbery - Male,Robbery - Female,Burglary - Male,Burglary - Female,Thefts - Male,Thefts - Female,Riots - Male,Riots - Female,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Cheating - Male,Cheating - Female,Counterfeiting - Male,Counterfeiting - Female
4,City,Calcutta,22376,242,140,3,9,NA,28,NA,156,4,207,NA,722,NA,1143,NA,8867,144,4581,NA,337,NA,372,9,36,NA
5,City,Delhi,16945,122,214,3,409,4,65,NA,310,13,111,1,162,NA,509,3,2271,34,764,5,149,2,160,4,8,NA
6,City,Hyderabad,3505,239,68,1,8,NA,8,NA,25,NA,76,NA,60,NA,378,10,935,43,736,13,15,NA,71,NA,3,NA
7,City,Kanpur,8614,30,532,6,111,2,39,NA,160,6,1271,NA,191,NA,516,NA,1023,NA,1341,8,104,NA,99,NA,9,NA
8,City,Madras,9988,489,86,2,3,NA,10,NA,29,NA,2,NA,100,NA,418,3,2877,163,1447,4,140,2,156,NA,1,NA
9,City,Pune,10144,1122,89,6,5,NA,26,NA,41,3,11,NA,99,2,606,18,1574,123,1704,81,107,4,130,2,NA,NA
10,City,Jaipur,3767,275,40,NA,15,NA,11,NA,73,NA,19,NA,79,NA,271,4,469,9,1273,143,24,NA,62,NA,NA,NA
11,City,Lucknow,NA,NA,150,2,37,NA,18,NA,59,3,89,NA,111,NA,209,NA,534,7,620,7,75,NA,87,NA,NA,NA
12,City,Nagpur,5559,152,85,4,NA,NA,42,1,45,1,33,NA,191,NA,330,7,794,18,1170,94,62,1,161,1,5,NA
Total (Cities),City,Total (Cities),134479,3717,2024,43,605,6,356,1,1300,55,2161,2,2582,5,6697,81,29778,937,20103,521,1774,15,2050,29,173,NA
