SL. No.,Category,States/UTs/Cities,Murder - Incidence (I),Murder - Volume (V),Culpable Homicide Not Amounting to Murder - Incidence (I),Culpable Homicide Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Thefts - Incidence (I),Thefts - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Others -  Incidence (I),Others - Volume (V),Total Cognizable Crimes - Incidence (I),Total Cognizable Crimes - Volume (V)
14,State,Nagaland,28,3.6,7,0.9,7,0.9,17,2.2,9,1.2,54,7,286,37,486,62.9,37,4.8,29,3.8,32,4.1,1,0.1,NA,0,993,128.5
15,State,Orissa,541,2.1,42,0.2,124,0.5,210,0.8,416,1.6,1091,4.2,7691,29.3,14611,55.6,3313,12.6,558,2.1,342,1.3,13,0,18828,71.7,47780,181.9
16,State,Punjab,555,3.3,133,0.8,88,0.5,279,1.7,1,0,21,0.1,1212,7.3,2315,13.9,119,0.7,681,4.1,335,2,1,0,7848,47.1,13588,81.5
17,State,Rajasthan,882,2.6,43,0.1,298,0.9,1674,4.9,152,0.4,1247,3.7,6891,20.2,14016,41.1,10138,29.7,1151,3.4,1691,4.9,NA,NA,28869,84.6,67052,196.6
18,State,Sikkim ,8,2.5,2,0.6,7,2.2,3,1,NA,NA,9,2.9,33,10.5,99,31.4,3,0.9,9,2.8,7,2.2,2,0.6,113,35.9,295,93.7
19,State,Tamil Nadu,1391,2.9,10,0,180,0.4,711,1.5,46,0.1,294,0.6,9959,20.6,33135,68.6,12406,25.7,1252,2.6,1169,2.4,211,0.4,57707,119.5,118471,245.3
20,State,Tripura,93,4.5,2,0.1,19,0.9,51,2.5,160,7.8,126,6.2,853,41.7,2393,116.9,416,20.3,24,1.2,38,1.8,3,0.1,NA,NA,4178,204.1
21,State,Uttar Pradesh,5693,5.1,1606,1.4,942,0.8,2978,2.7,6129,5.5,6606,6,26718,24.1,63761,57.5,10136,9.1,4700,4.2,2599,2.3,311,0.3,53306,48.1,185485,167.3
22,State,West Bengal ,1393,2.6,508,0.9,504,0.9,954,1.8,1411,2.6,1337,2.5,4763,8.7,34587,63.5,13190,24.2,1439,2.6,1041,1.9,42,0.1,28938,51.4,89207,163.7
Total (States),State,Total (States),22443,3.3,3020,0.4,5278,0.8,13008,1.9,14561,2.2,22674,3.4,154579,22.9,400920,59.5,109654,16.3,19834,2.9,17004,2.5,971,0.1,559872,83,1343818,199.3
23,UT,A & N Islands,6,3.2,1,0.5,1,0.5,9,4.8,NA,NA,5,2.6,79,42,210,111.7,43,22.9,10,5.3,1,0.5,NA,NA,372,197.9,737,392
24,UT,Arunachal Pradesh,17,2.7,3,0.5,9,1.4,20,3.2,5,0.8,24,3.8,94,15,215,34.2,17,2.7,14,2.2,11,1.7,NA,NA,412,65.6,841,133.9
25,UT,Chandigarh,9,2,4,0.9,3,0.7,30,6.7,NA,NA,5,1.1,87,19.3,843,187.3,21,4.7,50,11.1,70,15.6,NA,NA,561,124.7,1683,374
26,UT,D & N Haveli,2,1.9,NA,NA,NA,NA,3,2.9,1,1,3,2.9,25,24,44,42.3,4,3.8,12,11.5,5,4.8,NA,NA,93,89.4,192,184.6
27,UT,Delhi,199,3.2,230,3.7,79,1.3,726,11.7,47,0.8,187,3,1734,28,17253,278.5,165,2.7,537,8.7,589,9.5,16,0.3,8874,143.2,30636,494.4
28,UT,"Goa, Daman & Diu",21,1.9,7,0.6,5,0.5,19,1.8,7,0.6,59,5.5,655,60.5,1044,96.5,243,22.5,53,4.9,43,4,12,1.1,1250,115.5,3418,315.9
29,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,3,7.5,2,5,1,2.5,NA,NA,NA,NA,2,5,12,30
30,UT,Mizoram,19,3.9,7,1.4,29,5.9,5,1,4,0.8,33,6.8,46,9.4,254,52,5,1,26,5.3,20,4.1,5,1,1053,215.8,1506,308.4
31,UT,Pondicherry,11,1.8,NA,NA,5,0.8,13,2.2,1,0.2,6,1,237,39.2,1273,210.8,207,34.3,42,7,24,4,NA,NA,1095,181.3,2914,482.5
Total (UTs),UT,Total (UTs),284,2.9,252,2.6,131,1.3,825,8.4,65,0.7,322,3.3,2961,30.3,21139,216.1,707,7.2,745,7.6,763,7.8,33,0.3,13712,140.2,41939,428.8
Total (All-India),Total (All-India),Total (All-India),22727,3.3,3272,0.5,5409,0.8,13833,2,14626,2.1,22996,3.4,157540,23,422059,61.7,110361,16.1,20579,3,17767,2.6,1004,0.1,573584,83.9,1385757,202.6
1,City,Ahmedabad ,57,2.8,1,0,5,0.2,115,5.7,45,2.2,46,2.3,529,26.1,2672,132,891,44,95,4.7,88,4.3,NA,NA,5958,294.2,10502,518.1
2,City,Bangalore ,38,1.5,2,0.1,19,0.8,63,2.5,11,0.4,344,13.9,1710,68.9,8021,323.2,384,15.5,256,10.3,592,23.9,93,3.7,5589,225.2,17122,689.8
3,City,Bombay,228,2.8,3,0,74,0.9,190,2.3,48,0.6,443,5.4,1872,22.8,17073,270.5,296,3.6,843,10.2,930,11.3,9,0.1,13254,161.1,35263,428.6
4,City,Calcutta,100,3,11,0.3,24,0.7,138,4.2,63,1.9,374,11.4,908,27.6,6513,197.8,886,26.9,347,10.5,414,12.6,28,0.9,4145,125.9,13951,423.5
5,City,Delhi,176,3.1,207,3.6,78,1.4,690,12.1,44,0.8,174,3,1645,28.8,16787,293.8,140,2.4,521,9.1,474,8.3,16,0.3,8389,146.8,29341,543.58
6,City,Hyderabad,29,1.4,13,0.6,8,0.4,51,2.4,17,0.8,50,2.3,1164,54.3,3272,152.8,344,16.1,57,2.7,233,10.9,5,0.2,1627,76,6870,320.7
7,City,Kanpur,204,13.3,50,3.3,45,2.9,172,11.2,250,16.3,186,12.1,812,53,3309,216.1,265,17.3,312,20.4,240,15.7,37,2.4,NA,NA,5882,384.2
8,City,Madras,49,1.5,5,0.2,10,0.3,82,2.5,3,0.1,50,1.5,690,21.1,7413,227,359,11,322,9.9,395,12.1,39,1.2,6276,192.2,15693,480.5
9,City,Pune,59,4.9,3,0.2,12,1,45,3.7,9,0.7,83,6.9,754,62.7,2707,225,184,15.3,92,7.6,135,11.2,NA,NA,3948,328.2,8031,667.6
10,City,Jaipur,24,2.5,7,0.7,10,1,116,12,5,0.5,87,0.9,574,59.4,2231,230.7,632,65.4,89,9.2,171,17.7,3,0.3,1628,168.4,5577,576.7
11,City,Lucknow,71,7.9,25,2.8,18,2,110,12.3,34,3.8,121,13.5,1137,126.9,4936,550.9,251,28,307,34.3,271,30.2,NA,NA,3010,335.9,10291,1148.5
12,City,Nagpur,56,4.6,NA,NA,26,2.1,41,3.4,12,1,197,16.2,616,50.7,2505,206.2,120,9.9,88,7.2,179,14.7,6,0.5,1904,156.7,5750,473.3
Total (Cities),City,Total (Cities),1091,3.3,327,1,329,1,1813,5.5,541,1.6,2155,6.5,12411,37.7,77439,234.9,4752,14.4,3329,10.1,4122,12.5,236,0.7,55728,169.1,164273,498.4
