SL. No.,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
25,West Bengal,404,96.5,65,29.5,0,0,6,3,13,25.7,32,16.5,35,15.7,555,186.7
Total (States),Total (States),6510,2424.7,1637,559.9,3,0.1,150,22.2,54,73.4,368,293.1,2544,3728.3,11266,7101.7
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,1,1.6,0,0,1,1.6
29,Daman & Diu,2,0.4,0,0,0,0,0,0,0,0,0,0,1,0.1,3,0.5
30,Delhi,28,26.1,3,1.1,0,0,0,0,0,0,0,0,4,1.7,35,28.8
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,2,0.9,0,0,0,0,0,0,0,0,0,0,1,0,3,0.9
Total (UTs),Total (UTs),32,27.4,3,1.1,0,0,0,0,0,0,1,1.6,6,1.8,42,31.9
Total (All -India),Total (All -India),6542,2452.2,1640,560.9,3,0.1,150,22.2,54,73.4,369,294.7,2550,3730,11308,7133.6
33,Ahmedabad,8,5.6,0,0,0,0,0,0,0,0,15,56.1,12,4.3,35,66.1
34,Bangalore,23,4.5,0,0,0,0,0,0,0,0,2,0.1,18,1.3,43,5.8
35,Bhopal,268,301.2,0,0,0,0,0,0,0,0,0,0,0,0,268,301.2
36,Bombay,21,64.2,6,2.2,0,0,0,0,1,5.3,62,47.6,49,230.7,139,349.9
37,Calcutta,10,19.7,9,2.6,0,0,0,0,1,11.8,17,12.5,2,0.2,39,46.9
38,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,0,2,6.5,2,6.5
39,Delhi,22,19.8,2,0.9,0,0,0,0,0,0,0,0,3,0.9,27,21.7
40,Hyderabad,23,21.4,3,0.4,0,0,0,0,0,0,0,0,2,0.5,28,22.3
41,Indore,2,1.9,0,0,0,0,0,0,0,0,0,0,2,20,4,21.9
42,Jaipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Kanpur,41,13.5,10,0.3,0,0,0,0,0,0,0,0,0,0,51,13.8
44,Kochi,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,3,0.1
45,Lucknow,11,9.4,4,3.8,0,0,0,0,0,0,0,0,1,0,16,13.2
46,Ludhiana,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5
47,Madras,0,0,0,0,0,0,0,0,0,0,0,0,4,2.4,4,2.4
48,Madurai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Nagpur,4,15.6,0,0,0,0,0,0,0,0,12,1.9,7,0.3,23,17.9
50,Patna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Pune,4,0.5,0,0,0,0,0,0,0,0,3,1.1,9,0.7,16,2.3
52,Surat,115,858.8,0,0,0,0,0,0,0,0,2,0.7,21,2490.4,138,3349.9
53,Vadodara,2,1.2,1,0,0,0,0,0,0,0,0,0,6,3.1,9,4.3
54,Varanasi,14,9.1,0,0,0,0,0,0,0,0,0,0,0,0,14,9.1
55,Vishakhapatnam,3,1.2,0,0,0,0,0,0,0,0,0,0,1,0.1,4,1.2
