SL. No.,State/UT/City,Murder - Incidence,Murder - Rate,Attempt to Commit Murder - Incidence,Attempt to Commit Murder - Rate,C.H. Not Amounting to Murder - Incidence,C.H. Not Amounting to Murder - Rate,Rape - Incidence,Rape - Rate,Kidnapping and Abduction - Total - Incidence,Kidnapping and Abduction - Total - Rate,Kidnapping and Abduction - Of Women & Girls - Incidence,Kidnapping and Abduction - Of Women & Girls - Rate,Kidnapping and Abduction - Of Others - Incidence,Kidnapping and Abduction - Of Others - Rate,Dacoity - Incidence,Dacoity - Rate,Preparation & Assembly for Dacoity - Incidence,Preparation & Assembly for Dacoity - Rate,Robbery - Incidence,Robbery - Rate,Burglary - Incidence,Burglary - Rate,Theft - Incidence,Theft - Rate,Riots - Incidence,Riots - Rate,Criminal Breach of Trust - Incidence,Criminal Breach of Trust - Rate,Cheating - Incidence,Cheating - Rate,Counterfeiting - Incidence,Counterfeiting - Rate,Other IPC Crimes - Incidence,Other IPC Crimes - Rate,Total Cognizable Crimes Under IPC - Incidence,Total Cognizable Crimes Under IPC - Rate
25,West Bengal,1770,2.5,606,0.9,779,1.1,615,0.9,1104,1.6,632,0.9,472,0.7,555,0.8,151,0.2,778,1.1,1243,1.8,26913,38.6,7256,10.4,663,1,994,1.4,57,0.1,28687,41.2,72171,103.6
Total (States),Total (States),39523,4.6,30608,3.6,4225,0.5,11407,1.3,19530,2.3,13276,1.6,6254,0.7,11266,1.3,1262,0.1,26129,3.1,125259,14.6,334276,39.1,104264,12.2,17204,2,27824,3.3,4984,0.6,888475,103.8,1646236,192.4
26,A & N Islands,6,2.1,4,1.4,0,0,4,1.4,3,1,3,1,0,0,0,0,0,0,1,0.3,96,33.1,110,37.9,11,3.8,7,2.4,2,0.7,7,2.4,374,129,625,215.5
27,Chandigarh,14,2.1,23,3.4,5,0.7,15,2.2,20,2.9,17,2.5,3,0.4,0,0,0,0,3,0.4,107,15.7,523,76.9,15,2.2,14,2.1,82,12.1,2,0.3,554,81.5,1377,202.5
28,D & N Haveli,5,3.6,1,0.7,1,0.7,1,0.7,2,1.4,1,0.7,1,0.7,1,0.7,0,0,3,2.1,18,12.9,54,38.6,14,10,3,2.1,1,0.7,0,0,223,159.3,327,233.6
29,Daman & Diu,7,7,0,0,0,0,1,1,5,5,2,2,3,3,3,3,0,0,3,3,23,23,34,34,22,22,10,10,4,4,5,5,88,88,205,205
30,Delhi,521,5.3,535,5.4,389,3.9,276,2.8,948,9.6,687,7,261,2.6,35,0.4,35,0.4,294,3,1559,15.8,13872,140.5,325,3.3,669,6.8,1459,14.8,96,1,15289,154.9,36302,367.8
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,18,36,2,4,1,2,0,0,0,0,16,32,46,92
32,Pondicherry,29,3.5,31,3.7,1,0.1,4,0.5,10,1.2,10,1.2,0,0,3,0.4,0,0,11,1.3,210,25.3,1695,204.2,96,11.6,17,2,25,3,39,4.7,2052,247.2,4223,508.8
Total (UTs),Total (UTs),582,4.9,594,5,396,3.3,301,2.5,988,8.3,720,6,268,2.2,42,0.4,35,0.3,315,2.6,2022,16.9,16306,136.3,485,4.1,721,6,1573,13.2,149,1.2,18596,155.5,43105,360.4
Total (All -India),Total (All -India),40105,4.6,31202,3.6,4621,0.5,11708,1.3,20518,2.4,13996,1.6,6522,0.8,11308,1.3,1297,0.1,26444,3,127281,14.7,350582,40.4,104749,12.1,17925,2.1,29397,3.4,5133,0.6,907071,104.5,1689341,194.7
33,Ahmedabad,158,4.7,163,4.8,3,0.1,27,0.8,205,6,164,4.8,41,1.2,35,1,0,0,131,3.9,953,28.1,4935,145.6,390,11.5,462,13.6,576,17,40,1.2,11797,348,19875,586.3
34,Bangalore,151,3.6,205,4.9,2,0,27,0.6,84,2,30,0.7,54,1.3,43,1,0,0,172,4.1,1830,43.6,7793,185.5,618,14.7,262,6.2,716,17,2056,49,12288,292.6,26247,624.9
35,Bhopal,116,10.5,135,12.3,20,1.8,44,4,24,2.2,24,2.2,0,0,268,24.4,3,0.3,77,7,493,44.8,1089,99,244,22.2,21,1.9,89,8.1,12,1.1,4824,438.5,7459,678.1
36,Bombay,487,3.7,289,2.2,5,0,104,0.8,341,2.6,154,1.2,187,1.4,139,1.1,52,0.4,1219,9.4,2708,20.8,15977,122.9,446,3.4,729,5.6,1181,9.1,96,0.7,17206,132.4,40979,315.2
37,Calcutta,83,0.7,144,1.3,23,0.2,38,0.3,132,1.2,91,0.8,41,0.4,39,0.3,15,0.1,160,1.4,345,3.1,6536,58.5,624,5.6,346,3.1,638,5.7,31,0.3,4956,44.4,14110,126.3
38,Coimbatore,27,2.3,33,2.8,0,0,1,0.1,10,0.9,10,0.9,0,0,2,0.2,0,0,15,1.3,285,24.6,1242,107.1,349,30.1,34,2.9,58,5,95,8.2,1470,126.7,3621,312.2
39,Delhi,418,4.8,466,5.3,357,4.1,236,2.7,846,9.6,627,7.1,219,2.5,27,0.3,31,0.4,258,2.9,1400,15.9,13190,150.1,266,3,630,72,1408,16,95,1.1,13427,152.8,33055,376.1
40,Hyderabad,153,3.5,140,3.2,6,0.1,41,0.9,103,2.3,46,1,57,1.3,28,0.6,0,0,126,2.8,1344,30.3,3594,81.1,267,6,83,1.9,424,9.6,130,2.9,3867,87.3,10306,232.6
41,Indore,93,8.2,204,17.9,0,0,32,2.8,36,3.2,36,3.2,0,0,4,0.4,2,0.2,89,7.8,1108,97.2,2881,252.7,81,7.1,40,3.5,65,5.7,0,0,6178,541.9,10813,948.5
42,Jaipur,47,3,60,3.8,1,0.1,27,1.7,144,9.2,130,8.3,14,0.9,0,0,2,0.1,77,4.9,566,36.1,2339,149,1265,80.6,166,10.6,466,29.7,64,4.1,4189,266.8,9413,599.6
43,Kanpur,286,13.2,263,12.1,27,1.2,38,1.8,207,9.5,58,2.7,149,6.9,51,2.4,67,3.1,225,10.4,707,32.6,2119,97.6,461,21.2,333,15.3,286,13.2,77,3.5,2965,136.6,8112,373.8
44,Kochi,21,1.8,16,1.4,0,0,10,0.8,8,0.7,5,0.4,3,0.3,3,0.3,0,0,11,0.9,319,27,266,22.5,189,16,21,1.8,96,8.1,4,0.3,2356,199.7,3320,281.4
45,Lucknow,112,6.6,151,8.9,15,0.9,46,2.7,102,6,18,1.1,84,4.9,16,0.9,7,0.4,119,7,760,44.7,2784,163.8,234,13.8,234,13.8,305,17.9,30,1.8,2769,162.9,7684,452
46,Ludhiana,69,6.6,73,7,8,0.8,6,0.6,25,2.4,14,1.3,11,1.1,1,0.1,8,0.8,4,0.4,99,9.5,121,11.6,3,0.3,11,1.1,26,2.5,0,0,305,29.3,759,73
47,Madras,106,1.9,169,3.1,7,0.1,17,0.3,35,0.6,35,0.6,0,0,4,0.1,0,0,116,2.1,667,12.2,5464,100.1,174,3.2,188,3.4,516,9.5,323,5.9,5388,98.7,13174,241.3
48,Madurai,36,3.2,54,4.9,0,0,1,0.1,18,1.6,18,1.6,0,0,0,0,0,0,17,1.5,227,20.5,1092,98.4,84,7.6,17,1.5,61,5.5,103,9.3,1665,150,3375,304.1
49,Nagpur,131,7.7,47,2.7,1,0.1,48,2.8,79,4.6,65,3.8,14,0.8,23,1.3,2,0.1,342,20,876,51.2,3645,213.2,182,10.6,124,7.3,195,11.4,45,2.6,4676,273.5,10416,609.1
50,Patna,192,17,301,26.6,26,2.3,21,1.9,111,9.8,33,2.9,78,6.9,24,2.1,9,0.8,218,19.3,400,35.4,2101,185.9,185,16.4,99,8.8,159,14.1,0,0,3389,299.9,7235,640.3
51,Pune,105,4.1,39,1.5,2,0.1,51,2,65,2.5,53,2.1,12,0.5,16,0.6,5,0.2,114,4.4,1001,38.9,3190,124.1,171,6.7,84,3.3,175,6.8,30,1.2,6348,247,11396,443.4
52,Surat,162,10.3,58,3.7,1,0.1,17,1.1,52,3.3,31,2,21,1.3,138,8.8,0,0,58,3.7,387,24.6,1472,93.8,405,25.8,76,4.8,230,14.6,4,0.3,1807,115.1,4867,310
53,Vadodara,52,4.5,31,2.7,2,0.2,4,0.3,50,4.3,36,3.1,14,1.2,9,0.8,0,0,38,3.3,445,38.7,1960,170.4,348,30.3,149,13,282,24.5,9,0.8,3780,328.7,7159,622.5
54,Varanasi,72,6.9,103,9.8,26,2.5,8,0.8,45,4.3,43,4.1,2,0.2,14,1.3,4,0.4,75,7.1,324,30.9,876,83.4,147,14,91,8.7,72,6.9,0,0,1137,108.3,2994,285.1
55,Vishakhapatnam,31,2.8,31,2.8,1,0.1,16,1.5,5,0.5,5,0.5,0,0,4,0.4,0,0,42,3.9,458,42,1286,118,67,6.1,60,5.5,119,10.9,10,0.9,1768,162.2,3898,357.6
