SL. No.,State/UT,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction Of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
50,Bihar,Vaishali,98,11,4,14,72,0,72,94,0,69,165,515,311,6,44,0,1634,3037
51,Bihar,Dhanbad Rly.,4,1,0,1,1,0,1,21,0,12,13,120,13,1,1,0,50,238
52,Bihar,Jamalpur Rly.,15,0,0,0,3,0,3,9,2,6,7,234,16,1,10,0,109,412
53,Bihar,Jamshedpur Rly.,7,1,1,0,2,0,2,3,0,6,4,111,11,1,3,0,58,208
54,Bihar,Katihar Rly.,12,0,0,1,7,2,5,21,0,20,25,235,12,0,6,0,89,428
55,Bihar,Muzaffarpur Rly.,20,1,0,3,7,0,7,9,0,18,15,216,16,0,13,0,170,488
56,Bihar,Patna Rly.,24,5,0,2,8,0,8,15,0,27,7,712,13,7,9,0,191,1020
57,Bihar,Total,5112,4907,631,1120,2734,968,1766,3287,283,3508,7694,23443,15067,1485,1580,14,60142,131007
1,Goa,North Goa,21,7,1,5,12,7,5,3,0,14,278,579,172,44,18,4,1023,2181
2,Goa,South Goa,13,3,6,7,6,4,2,3,0,11,245,493,85,17,29,7,862,1787
3,Goa,Total,34,10,7,12,18,11,7,6,0,25,523,1072,257,61,47,11,1885,3968
1,Gujarat,Ahmedabad Commr.,158,163,3,27,205,164,41,35,0,131,953,4935,390,462,576,40,11797,19875
2,Gujarat,Ahmedabad Rural,59,19,0,11,44,36,8,18,0,54,203,731,180,84,72,3,3511,4989
3,Gujarat,Amreli,38,24,0,6,32,29,3,1,0,29,110,303,74,34,66,1,1564,2282
4,Gujarat,Anand,69,63,2,11,75,69,6,14,0,41,380,958,132,163,382,0,4050,6340
5,Gujarat,Banaskantha,61,36,0,6,44,44,0,20,0,129,388,922,163,78,160,5,3757,5769
6,Gujarat,Bharuch,89,44,0,28,77,69,8,47,0,54,343,842,120,80,190,5,4209,6128
7,Gujarat,Bhavnagar,70,39,0,22,52,40,12,6,0,52,210,721,144,177,81,13,2686,4273
8,Gujarat,Gandhinagar,17,8,0,3,7,4,3,5,0,10,103,554,21,12,20,2,1256,2018
9,Gujarat,Jamnagar,47,34,0,30,35,22,13,10,0,51,223,633,52,116,211,0,2478,3920
10,Gujarat,Junagadh,56,36,0,9,30,25,5,1,0,63,283,706,86,119,161,21,3201,4772
11,Gujarat,Kheda North,43,28,0,23,52,52,0,19,0,30,248,686,73,104,168,4,2701,4179
12,Gujarat,Kutch,34,17,1,11,8,7,1,4,0,17,163,324,69,32,75,10,2101,2866
