SL. No.,State/UT/City,Murder - 1991,Murder - 1992,Murder - Percentage Variation,Attempt to Commit Murder - 1991,Attempt to Commit Murder - 1992,Attempt to Commit Murder - Percentage Variation,C.H. Not Amounting to Murder - 1991,C.H. Not Amounting to Murder - 1992,C.H. Not Amounting to Murder - Percentage Variation,Rape - 1991,Rape - 1992,Rape - Percentage Variation,Kidnapping & Abduction - Total - 1991,Kidnapping & Abduction - Total - 1992,Kidnapping & Abduction - Total - Percentage Variation,Kidnapping & Abduction - Of Women & Girls - 1991,Kidnapping & Abduction - Of Women & Girls - 1992,Kidnapping & Abduction - Of Women & Girls - Percentage Variation,Kidnapping & Abduction - Of Others - 1991,Kidnapping & Abduction - Of Others - 1992,Kidnapping & Abduction - Of Others - Percentage Variation,Dacoity - 1991,Dacoity - 1992,Dacoity - Percentage Variation,Preparation and Assembly for Dacoity - 1991,Preparation and Assembly for Dacoity - 1992,Preparation and Assembly for Dacoity - Percentage Variation,Robbery - 1991,Robbery - 1992,Robbery - Percentage Variation,Burglary - 1991,Burglary - 1992,Burglary - Percentage Variation,Theft - 1991,Theft - 1992,Theft - Percentage Variation,Riots - 1991,Riots - 1992,Riots - Percentage Variation,Criminal Breach of Trust - 1991,Criminal Breach of Trust - 1992,Criminal Breach of Trust - Percentage Variation,Cheating - 1991,Cheating - 1992,Cheating - Percentage Variation,Counterfeiting - 1991,Counterfeiting - 1992,Counterfeiting - Percentage Variation,Other IPC Crimes - 1991,Other IPC Crimes - 1992,Other IPC Crimes - Percentage Variation,Total Cognizable Crimes Under IPC - 1991,Total Cognizable Crimes Under IPC - 1992,Total Cognizable Crimes Under IPC - Percentage Variation
11,Kerala,561,544,-3,355,360,1.4,34,37,8.8,211,227,7.6,145,120,-17.2,99,86,-13.1,46,34,-26.1,72,125,73.6,4,0,-100,226,211,-6.6,4409,4140,-6.1,4261,3876,-9,7837,6564,-16.2,355,263,-25.9,1007,1120,11.2,311,133,-57.2,54315,54199,-0.2,74103,71919,-2.9
12,Madhya Pradesh,3415,3545,3.8,3395,3345,-1.5,193,208,7.8,2596,2733,5.3,1241,1081,-12.9,1151,976,-15.2,90,105,16.7,342,557,62.9,127,137,7.9,2650,2328,-12.2,21870,20525,-6.1,42536,37024,-13,5089,4732,-7,980,831,-15.2,1812,1662,-8.3,26,47,80.8,132159,122626,-7.2,218431,201381,-7.8
13,Maharashtra,3044,3206,5.3,1414,1533,8.4,79,132,67.1,906,991,9.4,1278,1243,-2.7,839,773,-7.9,439,470,7.1,884,974,10.2,109,98,-10.1,3779,3924,3.8,16500,17177,4.1,58483,58510,0,4644,5582,20.2,2383,2326,-2.4,3256,3129,-3.9,337,321,-4.7,95199,97224,2.1,192295,196370,2.1
14,Manipur,100,141,41,32,89,178.1,0,0,NA,11,18,63.6,113,156,38.1,86,90,4.7,27,66,144.4,17,12,-29.4,0,0,NA,30,60,100,150,100,-33.3,256,352,37.5,132,128,-3,26,24,-7.7,84,113,34.5,27,22,-18.5,1122,1172,4.5,21,2387,13.7
15,Meghalaya,108,112,3.7,13,42,223.1,1,3,200,28,33,17.9,22,23,4.5,20,9,-55,2,14,600,22,66,200,1,1,0,52,86,65.4,169,255,50.9,549,693,26.2,41,102,148.8,24,16,-33.3,45,38,-15.6,1,2,100,650,949,46,1726,2421,40.3
16,Mizoram,26,29,11.5,24,12,-50,7,7,0,46,35,-23.9,10,1,-90,1,0,-100,9,1,-88.9,19,9,-52.6,0,0,NA,42,35,-16.7,304,270,-11.2,615,582,-5.4,0,0,NA,40,37,-7.5,57,59,3.5,12,5,-58.3,579,621,7.3,1781,1702,-4.4
17,Nagaland,49,70,42.9,36,26,-27.8,3,6,100,13,10,-23.1,36,25,-30.6,13,8,-38.5,23,17,-26.1,27,37,37,0,0,NA,91,130,42.9,308,298,-3.2,388,328,-15.5,19,21,10.5,45,58,28.9,62,39,-37.1,2,10,400,562,547,-2.7,1641,1605,-2.2
18,Orissa,721,760,5.4,734,866,18,90,114,26.7,313,326,4.2,310,397,28.1,310,397,28.1,0,0,NA,312,335,7.4,0,0,NA,825,914,10.8,5126,4764,-7.1,10743,10412,-3.1,2028,2569,26.7,416,425,2.2,345,376,9,21,33,57.1,30097,28147,-6.5,52081,50438,-3.2
19,Punjab,3048,1875,-38.5,1981,1800,-9.1,125,112,-10.4,64,66,3.1,394,257,-34.8,100,103,3,294,154,-47.6,78,38,-51.3,35,24,-31.4,475,159,-66.5,1474,1219,-17.3,2723,1546,-43.2,27,35,29.6,151,120,-20.5,353,338,-4.2,2,12,500,5151,4779,-7.2,16081,12380,-23
20,Rajasthan,1421,1473,3.7,1448,1445,-0.2,52,80,53.8,803,848,5.6,2218,2435,9.8,2007,2241,11.7,211,194,-8.1,92,104,13,5,17,240,1257,1228,-2.3,7872,7955,1.1,15013,15645,4.2,18122,18424,1.7,993,1060,6.7,3678,4377,19,88,179,103.4,60555,68156,12.6,113617,123426,8.6
21,Sikkim,9,17,88.9,2,3,50,1,1,0,9,11,22.2,4,6,50,4,6,50,0,0,NA,1,1,0,0,0,NA,9,5,-44.4,93,72,-22.6,111,138,24.3,9,9,0,6,7,16.7,11,16,45.5,0,0,NA,204,271,32.8,469,557,18.8
22,Tamil Nadu,1650,1569,-4.9,1228,1413,15.1,19,23,21.1,316,256,-19,763,859,12.6,705,825,17,58,34,-41.4,116,167,44,0,0,NA,520,502,-3.5,8499,7442,-12.4,28199,25990,-7.8,11123,6587,-40.8,558,650,16.5,1420,1330,-6.3,1190,999,-16.1,77683,80878,4.1,133284,128665,-3.5
23,Tripura,203,267,31.5,64,88,37.5,5,1,-80,58,76,31,80,90,12.5,64,55,-14.1,16,35,118.8,140,148,5.7,6,10,66.7,261,241,-7.7,775,518,-33.2,1098,1058,-3.6,516,344,-33.3,14,14,0,20,22,10,1,3,200,2353,2205,-6.3,5594,5085,-9.1
24,Uttar Pradesh,9994,10559,5.7,9588,9804,2.3,1990,1728,-13.2,1417,1757,24,4944,4352,-12,2824,2550,-9.7,2120,1802,-15,2353,2210,-6.1,532,496,-6.8,7695,7591,-1.4,19132,18400,-3.8,50861,49956,-1.8,10317,10604,2.8,3604,3799,5.4,3077,3894,26.6,164,246,50,82893,90943,9.7,208561,216339,3.7
25,West Bengal,1712,1770,3.4,547,606,10.8,706,779,10.3,469,615,31.1,923,1104,19.6,662,632,-4.5,261,472,80.8,592,555,-6.3,232,151,-34.9,822,778,-5.4,1376,1243,-9.7,26947,26913,-0.1,6842,7256,6.1,802,663,-17.3,1098,994,-9.5,72,57,-20.8,25933,28687,10.6,69073,72171,4.5
Total (States),Total (States),38612,39523,2.4,29220,30608,4.8,4131,4225,2.3,10174,11407,12.1,19170,19530,1.9,13637,13276,-2.6,5533,6254,13,10790,11266,4.4,1366,1262,-7.6,26119,26129,0,129905,125259,-3.6,346540,334276,-3.5,104566,104264,-0.3,16906,17204,1.8,26008,27824,7,4318,4984,15.4,867729,888475,2.4,1635554,1646236,0.7
26,A & N Islands,9,6,-33.3,5,4,-20,1,0,-100,2,4,100,8,3,-62.5,8,3,-62.5,0,0,NA,0,0,NA,0,0,NA,0,1,@,60,96,60,59,110,23.6,10,11,10,4,7,75,0,2,@,3,7,133.3,360,374,3.9,551,625,13.4
27,Chandigarh,18,14,-22.2,25,23,-8,3,5,66.7,7,15,114.3,22,20,-9.1,14,17,21.4,8,3,-62.5,1,0,-100,0,0,NA,2,3,50,158,107,-32.3,725,523,-27.9,33,15,-54.5,13,14,7.7,57,82,43.9,1,2,100,564,554,-1.8,1629,1377,-15.5
28,D & N Haveli,4,5,25,1,1,0,0,1,@,1,1,0,4,2,-50,2,1,-50,2,1,-50,2,1,-50,0,0,NA,3,3,0,49,18,-63.3,96,54,-43.8,37,14,-62.2,4,3,-25,1,1,0,0,0,NA,235,223,-5.1,437,327,-25.2
29,Daman & Diu,6,7,16.7,1,0,-100,0,0,NA,1,1,0,4,5,25,2,2,0,2,3,50,1,3,200,0,0,NA,5,3,-40,24,23,-4.2,57,34,-40.4,30,22,-26.7,4,10,150,1,4,300,3,5,66.7,120,88,-26.1,257,205,-20.2
30,Delhi,496,521,5,501,535,6.8,108,389,260.2,214,276,29,858,948,10.5,609,687,12.8,249,261,4.8,33,35,6.1,27,35,29.6,284,294,3.5,1628,1559,-4.2,13145,13872,5.5,329,325,-1.2,546,669,22.5,1354,1459,7.8,71,96,35.2,15282,15289,0,34876,36302,4.1
31,Lakshadweep,1,0,-100,20,0,-100,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,11,9,-18.2,15,18,20,6,2,-66.7,1,1,0,0,0,NA,0,0,NA,18,16,-11.1,54,46,-14.8
32,Pondicherry,28,29,3.6,23,31,34.8,0,1,@,11,4,-63.6,13,10,-23.1,11,10,-9.1,2,0,-100,4,3,-25,0,0,NA,15,11,-26.7,252,210,-16.7,2261,1695,-25,298,96,-67.8,17,17,0,45,25,-44.4,71,39,-45.1,1979,2052,3.7,5017,4223,-15.8
Total (UTs),Total (UTs),562,582,3.6,558,594,6.5,112,396,253.6,236,301,27.5,909,988,8.7,646,720,11.5,263,268,1.9,41,42,2.4,27,35,29.6,309,315,1.9,2182,2022,-7.3,16388,16306,-0.5,743,485,-34.7,589,721,22.4,1458,1573,7.9,149,149,0,18558,18596,0.2,42821,43105,0.7
Total (All -India),Total (All -India),39174,40105,2.4,29778,31202,4.8,4243,4621,8.9,10410,11708,12.5,20079,20518,2.2,14283,13996,-2,5796,6522,12.5,10831,11308,4.4,1393,1297,-6.9,26428,26444,0.1,132087,127281,-3.6,362928,350582,-3.4,105309,104749,-0.5,17495,17925,2.5,27466,29397,7,4467,5133,14.9,886287,907071,2.3,1678375,1689341,0.7
33,Ahmedabad,136,158,16.2,137,163,19,9,3,-66.7,26,27,3.8,203,205,1,164,164,0,39,41,5.1,26,35,34.6,0,0,NA,134,131,-2.2,905,953,5.3,5382,4935,-8.3,220,390,77.3,581,462,-20.5,837,576,-31.2,23,40,73.9,9398,11797,25.5,18017,19875,10.3
34,Bangalore,129,151,17.1,61,205,236.1,3,2,-33.3,25,27,8,85,84,-1.2,32,30,-6.3,53,54,1.9,22,43,95.5,1,0,-100,134,172,28.4,1854,1830,-1.3,7688,7793,1.4,1053,618,-41.3,252,262,4,625,716,14.6,1395,2056,47.4,11984,12288,2.5,25311,26247,3.7
35,Bhopal,*,116,NA,*,135,NA,*,20,NA,*,44,NA,*,24,NA,*,24,NA,*,0,NA,*,268,NA,*,3,NA,*,77,NA,*,493,NA,*,1089,NA,*,244,NA,*,21,NA,*,89,NA,*,12,NA,*,4824,NA,*,7459,NA
36,Bombay,473,487,3,261,289,10.7,6,5,-16.7,114,104,-8.8,332,341,2.7,164,154,-6.1,168,187,11.3,115,139,20.9,58,52,-10.3,1136,1219,7.3,2665,2708,1.6,16201,15977,-1.4,220,446,102.7,687,729,6.1,1255,1181,-5.9,55,96,74.5,16319,17206,5.4,39897,40979,2.7
37,Calcutta,92,83,-9.8,149,144,-3.4,17,23,35.3,17,38,123.5,110,132,20,78,91,16.7,32,41,28.2,21,39,85.7,26,15,-42.3,159,160,0.6,350,345,-1.4,6899,6536,-5.3,617,624,1.1,322,346,7.5,584,638,9.2,39,31,-20.5,4401,4956,12.6,13803,14110,2.2
38,Coimbatore,*,27,NA,*,33,NA,*,0,NA,*,1,NA,*,10,NA,*,10,NA,*,0,NA,*,2,NA,9,0,NA,*,15,NA,*,285,NA,*,1242,NA,*,349,NA,*,34,NA,*,58,NA,*,95,NA,*,1470,NA,*,3621,NA
39,Delhi,417,418,0.2,438,466,6.4,87,357,310.3,195,236,21,767,846,10.3,551,627,13.8,216,219,1.4,29,27,-6.9,23,31,34.8,264,258,-2.3,1509,1400,-7.2,12587,13190,4.8,292,266,-8.9,515,630,22.3,1331,1408,5.8,69,95,37.7,13939,13427,-3.7,32462,33055,1.8
40,Hyderabad,178,153,-14,241,140,-41.9,6,6,0,38,41,7.9,79,103,30.4,33,46,39.4,46,57,23.9,18,28,55.6,0,0,NA,126,126,0,1493,1344,-10,3749,3594,-4.1,658,267,-59.4,84,83,-1.2,404,424,5,25,130,420,3637,3867,6.3,10736,10306,-4
41,Indore,*,93,NA,*,204,NA,*,0,NA,*,32,NA,*,36,NA,*,36,NA,*,0,NA,*,4,NA,*,2,NA,*,89,NA,*,1108,NA,*,2881,NA,*,81,NA,*,40,NA,*,65,NA,*,0,NA,*,6178,NA,*,10813,NA
42,Jaipur,56,47,-16.1,57,60,5.3,4,1,-75,22,27,22.7,134,144,7.5,121,130,7.4,13,14,7.7,2,0,-100,0,2,@,78,77,-1.3,641,566,-11.7,2149,2339,8.8,1078,1265,17.3,150,166,10.7,372,466,25.3,19,64,236.8,3479,4189,20.4,8241,9413,14.2
43,Kanpur,196,286,45.9,231,263,13.9,39,27,-30.8,23,38,65.2,194,207,6.7,153,58,-62.1,41,149,263.4,52,51,-1.9,18,67,272.2,176,225,27.8,739,707,-4.3,2124,2119,-0.2,233,461,97.9,288,333,15.6,231,286,23.8,50,77,54,3118,2965,-4.9,7712,8112,5.2
44,Kochi,*,21,NA,*,16,NA,*,0,NA,*,10,NA,*,8,NA,*,5,NA,*,3,NA,*,3,NA,*,0,NA,*,11,NA,*,319,NA,*,266,NA,*,189,NA,*,21,NA,*,96,NA,*,4,NA,*,2356,NA,*,3320,NA
45,Lucknow,143,112,-21.7,130,151,16.2,28,15,-46.4,28,46,64.3,92,102,10.9,29,18,-37.9,63,84,33.3,25,16,-36,21,7,-66.7,135,119,-11.9,691,760,10,2297,2784,21.2,241,234,-2.9,222,234,5.4,242,305,26,14,30,114.3,2485,2769,11.4,6794,7684,13.1
46,Ludhiana,*,69,NA,*,73,NA,*,8,NA,*,6,NA,*,25,NA,*,14,NA,*,11,NA,*,1,NA,*,8,NA,*,4,NA,*,99,NA,*,121,NA,*,3,NA,*,11,NA,*,26,NA,*,0,NA,*,305,NA,*,759,NA
47,Madras,81,106,30.9,118,169,43.2,3,7,133.3,26,17,-34.6,24,35,45.8,24,35,45.8,0,0,NA,3,4,33.3,0,0,NA,134,116,-13.4,747,667,-10.7,6135,5464,-10.9,458,174,-62,126,188,49.2,394,516,31,449,323,-28.1,3935,5388,36.9,12633,13174,4.3
48,Madurai,*,36,NA,*,54,NA,*,0,NA,*,1,NA,*,18,NA,*,18,NA,*,0,NA,*,0,NA,*,0,NA,*,17,NA,*,227,NA,*,1092,NA,*,84,NA,*,17,NA,*,61,NA,*,103,NA,*,1665,NA,*,3375,NA
49,Nagpur,143,131,-8.4,68,47,-30.9,2,1,-50,51,48,-5.9,87,79,-9.2,70,65,-7.1,17,14,-17.6,14,23,64.3,0,2,@,328,342,4.3,792,876,10.6,3263,3645,11.7,174,182,4.6,126,124,0.8,177,195,10.2,115,45,-60.9,4650,4676,0.6,9987,10416,4.3
50,Patna,*,192,NA,*,301,NA,*,26,NA,*,21,NA,*,111,NA,*,33,NA,*,78,NA,*,24,NA,*,9,NA,*,218,NA,*,400,NA,*,2101,NA,*,185,NA,*,99,NA,*,159,NA,*,0,NA,*,3389,NA,*,7235,NA
51,Pune,69,105,52.2,40,39,-2.5,5,2,-60,36,51,41.7,70,65,-7.1,50,53,6,20,12,-40,13,16,23.1,7,5,-28.6,143,114,-20.3,990,1001,1.1,3398,3190,-6.1,178,171,-3.9,135,84,-37.8,253,175,-30.8,38,30,-21.4,6036,6348,5.2,11411,11396,-0.1
52,Surat,*,162,NA,*,58,NA,*,1,NA,*,17,NA,*,52,NA,*,31,NA,*,21,NA,*,138,NA,*,0,NA,*,58,NA,*,387,NA,*,1472,NA,*,405,NA,*,76,NA,*,230,NA,*,4,NA,*,1807,NA,*,4867,NA
53,Vadodara,*,52,NA,*,31,NA,*,2,NA,*,4,NA,*,50,NA,*,36,NA,*,14,NA,*,9,NA,*,0,NA,*,38,NA,*,445,NA,*,1960,NA,*,348,NA,*,149,NA,*,282,NA,*,9,NA,*,3780,NA,*,7159,NA
54,Varanasi,*,72,NA,*,103,NA,*,26,NA,*,8,NA,*,45,NA,*,43,NA,*,2,NA,*,14,NA,*,4,NA,*,75,NA,*,324,NA,*,876,NA,*,147,NA,*,91,NA,*,72,NA,*,0,NA,*,1137,NA,*,2994,NA
55,Vishakhapatnam,*,31,NA,*,31,NA,*,1,NA,*,16,NA,*,5,NA,*,5,NA,*,0,NA,*,4,NA,*,0,NA,*,42,NA,*,458,NA,*,1286,NA,*,67,NA,*,60,NA,*,119,NA,*,10,NA,*,1768,NA,*,3898,NA
