SL. No.,State/UT,Murder - Male,Murder - Female,Murder - Total,Attempt to Commit Murder - Male,Attempt to Commit Murder - Female,Attempt to Commit Murder - Total,C.H. Not Amounting to Murder - Male,C.H. Not Amounting to Murder - Female,C.H. Not Amounting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abuduction - Total - Male,Kidnapping & Abuduction - Total - Female,Kidnapping & Abuduction - Total - Total,Kidnapping & Abuduction - of Women & Girls - Male,Kidnapping & Abuduction -of Women & Girls - Female,Kidnapping & Abuduction - of Women & Girls - Total,Kidnapping & Abuduction - of Others - Male,Kidnapping & Abuduction - of Others - Female,Kidnapping & Abuduction - of Others - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Preparation & Assembly For Dacoity - Male,Preparation & Assembly For Dacoity - Female,Preparation & Assembly for Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Male,Theft - Female,Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable crimes under IPC - Female,Total Cognizable Crimes under IPC - Total
13,Maharashtra,6908,522,7430,6377,218,6595,278,55,333,1476,37,1513,1648,92,1740,980,63,1043,668,29,697,4661,68,4729,484,0,484,4475,39,4514,12458,302,1276,28539,1380,29919,42640,2892,45532,2327,36,2363,2900,88,2988,157,2,159,141668,12780,154448,256996,18511,275507
14,Manipur,149,4,153,85,1,86,0,0,0,26,0,26,171,7,178,166,4,170,5,3,8,4,0,4,0,0,0,37,0,37,92,0,92,238,3,241,374,147,521,7,0,7,87,11,98,26,4,30,863,30,893,2159,207,2366
15,Meghalaya,259,9,268,61,0,61,4,0,4,43,0,43,25,0,25,12,0,12,13,0,13,174,0,174,6,0,6,160,3,163,240,0,240,611,10,621,333,0,333,18,0,18,32,0,32,5,0,5,902,89,991,2873,111,2984
16,Mizoram,19,0,19,5,0,5,5,0,5,28,0,28,2,0,2,0,0,0,2,0,2,8,0,8,0,0,0,53,0,53,162,0,162,457,11,468,0,0,0,21,1,22,28,3,31,3,0,3,762,20,782,1553,35,1588
17,Nagaland,58,1,59,18,0,18,12,2,14,12,1,13,23,3,26,5,0,5,18,3,21,50,0,50,0,0,0,112,0,112,141,2,143,207,0,207,54,0,54,64,0,64,30,1,31,15,0,15,474,7,471,1270,17,1287
18,Orissa,1840,15,1855,2315,0,2315,173,2,175,392,0,392,493,2,495,493,2,495,0,0,0,1267,0,1267,0,0,0,1228,2,1230,5377,52,5429,10194,151,10345,17801,312,18113,363,11,374,406,15,421,56,0,56,52198,0,52198,94103,562,94665
19,Punjab,1185,55,1240,1388,5,1393,157,11,168,92,1,93,160,11,171,85,6,91,75,5,80,53,0,53,103,0,103,96,0,96,443,2,445,743,19,762,85,0,85,115,1,116,389,10,399,8,0,8,7444,115,7559,12461,230,12691
20,Rajasthan,2889,163,3052,3073,161,3234,148,7,155,833,15,848,1890,76,1966,1460,69,1529,430,7,437,253,7,260,55,0,55,1347,14,1361,3953,39,3992,7223,124,7347,55683,3106,58789,386,9,395,1433,40,1473,10,0,10,90913,4580,95493,170089,8341,178430
21,Sikkim,28,3,31,3,0,3,1,0,1,16,0,16,11,0,11,11,0,11,0,0,0,0,0,0,0,0,0,3,0,3,31,1,32,77,1,78,42,8,50,5,0,5,15,1,16,0,0,0,306,12,318,538,26,564
22,Tamil Nadu,4093,236,4329,6120,95,6215,34,7,41,393,5,398,1299,52,1351,1292,50,1342,7,2,9,552,17,569,0,0,0,661,1,662,5751,53,5804,17682,877,18559,55440,4336,59776,481,9,490,745,8,753,135,0,135,102059,6059,108118,195445,11755,207200
23,Tripura,462,8,470,117,7,124,1,0,1,135,0,135,193,7,200,143,5,148,50,2,52,346,0,346,41,0,41,364,0,364,454,10,464,1023,22,1045,1270,47,1317,34,0,34,48,5,53,10,0,10,2503,88,2591,7001,194,7195
24,Uttar Pradesh,26022,470,26492,19474,90,19564,3981,51,4032,2665,20,2685,7531,219,7750,3943,170,4113,3588,49,3637,7327,3,7330,2074,0,2074,7667,12,7679,11523,27,11550,23424,135,23559,58575,272,58847,3189,5,3194,4085,23,4108,165,0,165,145788,1927,147715,323490,3254,326744
25,West Bengal,3801,99,3900,1491,33,1524,1259,18,1277,881,0,881,1392,52,1444,728,50,778,664,2,666,2536,16,2552,1355,1,1356,1478,13,1491,1655,12,1667,23258,436,23694,31709,484,32193,719,6,725,858,19,877,28,0,28,35185,957,36142,107605,2146,109751
Total (States),Total (States),85502,2921,88423,75212,1303,76515,8627,266,8893,15899,198,16097,27503,1058,28561,16792,794,17586,10711,264,10975,35674,226,35900,6387,6,6393,31949,178,32127,86961,1024,87985,214275,5364,219639,513224,18386,531610,15827,295,16122,23046,544,23590,1024,10,1034,1278683,56292,1334975,2419793,88071,2507864
26,A & N Islands,6,0,6,8,0,8,0,0,0,4,0,4,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,4,0,4,29,0,29,49,0,49,77,0,77,8,0,8,2,0,2,0,0,0,396,49,445,586,49,635
27,Chandigarh,20,1,21,23,0,23,12,0,12,17,0,17,13,0,13,9,0,9,4,0,4,0,0,0,0,0,0,5,0,5,38,0,38,213,0,213,47,1,48,9,1,10,77,3,80,0,0,0,574,13,587,1048,19,1067
28,D & N Haveli,8,0,8,14,0,14,1,0,1,2,0,2,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,40,0,40,82,0,82,76,0,76,5,1,6,2,0,2,0,0,0,336,21,357,570,22,592
29,Daman & DIU,8,0,8,0,0,0,0,0,0,1,0,1,9,0,9,6,0,6,3,0,3,3,0,3,0,0,0,0,0,0,18,1,19,27,3,30,117,16,133,5,1,6,1,1,2,0,0,0,104,5,109,293,27,320
30,Delhi,620,48,668,620,30,650,407,31,438,288,2,290,490,60,550,316,44,360,174,16,190,152,0,152,96,0,96,342,0,342,971,10,981,8726,214,8940,2936,10,2946,504,103,607,1316,21,1337,32,0,32,12274,888,13162,29774,1417,31191
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,14,0,14
32,Pondicherry,108,1,109,193,0,193,0,0,0,3,0,3,6,0,6,6,0,6,0,0,0,16,0,16,0,0,0,9,0,9,74,0,74,394,10,404,503,8,511,16,0,16,16,0,16,2,0,2,2767,235,3002,4107,254,4361
Total (UTs),Total (UTs),770,50,820,858,30,888,420,31,451,315,2,317,523,60,583,340,44,384,183,16,199,171,0,171,96,0,96,362,0,362,1171,11,1182,9493,227,9720,3756,35,3791,547,106,653,1414,25,1439,34,0,34,16462,1211,17673,36392,1788,38180
Total (All -India),Total (All -India),86272,2971,89243,76070,1333,77403,9047,297,9344,16214,200,16414,28026,1118,29144,17132,838,17970,10894,280,11174,35845,226,36071,6483,6,6489,32311,178,32489,88132,1035,89167,223768,5591,229359,516980,18421,535401,16374,401,16775,24460,569,25029,1058,10,1068,1295145,57503,1352648,2456185,89859,2546044
33,Ahmedabad,372,30,402,494,10,504,3,0,3,23,1,24,220,11,231,126,11,137,94,0,94,138,1,139,0,0,0,203,5,208,666,13,679,2070,52,2122,1799,116,1915,136,6,142,231,6,237,0,0,0,13931,1625,15556,20286,1876,22162
34,Bangalore,287,11,298,424,6,430,9,2,11,68,0,68,49,6,55,19,6,25,30,0,30,67,0,67,0,0,0,150,0,150,647,2,649,2088,62,2150,1575,12,1587,120,6,126,264,14,278,19,0,19,8426,422,8848,14193,543,14736
35,Bhopal,442,13,455,546,0,546,17,3,20,68,0,68,40,1,41,40,1,41,0,0,0,562,0,562,8,0,8,139,0,139,153,0,153,1086,3,1089,23,0,23,0,0,0,122,0,122,1,0,1,8442,9,8451,11649,29,11678
36,Calcutta,996,26,1022,951,8,959,10,0,10,161,8,169,341,38,379,175,28,203,166,10,176,289,4,293,243,0,243,1004,3,1007,1039,14,1053,4535,162,4697,2811,176,2987,488,6,494,575,23,598,18,0,18,19035,688,19723,32496,1156,33652
37,Chennai,52,7,59,66,2,68,16,0,16,36,0,36,89,6,95,55,6,61,34,0,34,55,0,55,27,0,27,124,0,124,293,5,298,3966,21,3987,1912,0,1912,142,0,142,328,1,329,1,0,1,4851,47,4898,11958,89,12047
38,Coimbatore,58,0,58,123,0,123,0,0,0,1,0,1,14,0,14,14,0,14,0,0,0,0,0,0,0,0,0,14,0,14,117,0,117,572,4,576,2275,162,2437,7,0,7,13,0,13,0,0,0,1750,13,1763,4944,179,5123
39,Delhi,541,32,573,597,15,612,372,21,393,280,2,282,454,43,497,315,40,355,139,3,142,97,0,97,85,0,85,318,0,318,866,4,870,8593,193,8786,2879,4,2883,474,85,559,1251,17,1268,32,0,32,11741,742,12483,28580,1158,29738
40,Hyderabad,124,0,124,210,0,210,5,0,5,50,0,50,36,9,45,7,6,13,29,3,32,36,0,36,0,0,0,56,0,56,416,0,416,998,8,1006,937,17,954,30,0,30,133,0,133,0,0,0,1615,117,1732,4646,151,4797
41,Indore,241,5,246,525,4,529,0,0,0,48,0,48,66,2,68,66,2,68,0,0,0,46,0,46,11,0,11,103,0,103,742,5,747,955,10,965,412,4,416,29,0,29,72,0,72,0,0,0,8164,52,8216,11414,82,11496
42,Jaipur,45,1,46,98,1,99,0,0,0,32,1,33,61,8,69,54,6,60,7,2,9,0,0,0,11,0,11,67,0,67,142,1,143,600,22,622,2827,195,3022,19,0,19,143,6,149,0,0,0,4508,160,4668,8553,395,8948
43,Kanpur,750,32,782,503,0,503,58,1,59,56,2,58,202,11,213,67,11,78,135,0,135,178,0,178,109,0,109,204,0,204,613,0,613,618,1,619,2083,5,2088,317,0,317,344,3,347,6,0,6,5684,81,5765,11725,136,11861
44,Kochi,51,2,53,135,1,136,0,0,0,15,0,15,3,1,4,0,1,1,3,0,3,6,0,6,0,0,0,12,0,12,184,2,186,178,16,194,1002,64,1066,11,0,11,59,1,60,0,0,0,2644,38,2682,4300,125,4425
45,Lucknow,279,19,298,272,0,272,41,1,42,87,1,88,147,7,154,15,4,19,132,3,135,75,0,75,31,0,31,109,0,109,292,3,295,511,5,516,1065,1,1066,140,0,140,208,2,210,2,0,2,3250,98,3348,6509,137,6646
46,Ludhiana,34,2,36,73,0,73,7,0,7,6,0,6,2,0,2,0,0,0,2,0,2,0,0,0,40,0,40,5,0,5,35,0,35,41,0,41,15,0,15,11,0,11,23,0,23,0,0,0,443,3,446,735,5,740
47,Madurai,367,0,367,472,12,484,7,4,11,35,0,35,14,8,22,14,8,22,0,0,0,16,0,16,0,0,0,154,1,155,519,0,519,3284,17,3301,952,9,961,37,0,37,42,0,42,0,0,0,4702,132,4834,10601,183,10784
48,Mumbai,115,0,115,169,0,169,0,0,0,2,0,2,25,0,25,25,0,25,0,0,0,0,0,0,0,0,0,18,0,18,138,0,138,739,0,739,296,17,313,17,0,17,150,0,150,10,0,10,2077,30,2107,3756,47,3803
49,Nagpur,298,0,298,70,0,70,3,0,3,72,0,72,63,0,63,53,0,53,10,0,10,63,0,63,10,0,10,297,0,297,218,2,220,672,6,678,857,0,857,61,0,61,95,0,95,0,0,0,4173,2,4175,6952,10,6962
50,Patna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Pune,147,23,170,67,7,74,2,0,2,80,4,84,72,3,75,48,3,51,24,0,24,52,2,54,23,0,23,149,7,156,720,27,747,1703,119,1822,1641,140,1781,100,12,112,204,23,227,5,1,6,8699,1796,10495,13664,2164,15828
52,Surat,204,8,212,199,2,201,1,0,1,23,2,25,75,4,79,58,2,60,17,2,19,384,4,388,0,0,0,81,1,82,296,5,301,583,15,598,1627,38,1665,52,1,53,44,11,55,0,0,0,1806,38,1844,5375,129,5504
53,Vadodra,87,1,88,88,2,90,4,0,4,7,0,7,48,7,55,35,2,37,13,5,18,13,0,13,0,0,0,41,6,47,254,35,289,526,36,562,1087,116,1203,211,10,221,339,22,361,2,0,2,4631,265,4896,7338,500,7838
54,Varanasi,295,3,298,224,4,228,64,1,65,10,0,10,79,5,84,77,5,82,2,0,2,42,0,42,18,0,18,82,0,82,130,0,130,326,6,332,789,0,789,58,0,58,85,0,85,0,0,0,1500,39,1539,3702,58,3760
55,Vishakhapatnam,107,11,118,115,5,120,6,0,6,12,0,12,3,1,4,0,1,1,3,0,3,18,0,18,0,0,0,41,0,41,321,0,321,850,21,871,333,132,465,26,0,26,60,4,64,2,0,2,2167,132,2299,4061,306,4367
