SL. No.,State/UT/City,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic Drugs and Psychotropic Substances Act - Male,Narcotic Drugs and Psychotropic Substances Act - Female,Narcotic Drugs and Psychotropic Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosives and Explosive Substances Act - Male,Explosives and Explosive Substances Act - Female,Explosives and Explosive Substances Act - Total,Immoral Traffic (Prevention) Act - Male,Immoral Traffic (Prevention) Act - Female,Immoral Traffic (Prevention) Act - Total,Indian Railways Act - Male,Indian Railways Act - Female,Indian Railways Act - Total,Registration of Foreigners Act - Male,Registration of Foreigners Act - Female,Registration of Foreigners Act - Total,Protection of Civil Rights Act - Male,Protection of Civil Rights Act - Female,Protection of Civil Rights Act - Total,Indian Passport Act - Male,Indian Passport Act - Female,Indian Passport Act - Total,Essential Commodities Act - Male,Essential Commodities Act - Female,Essential Commodities Act - Total,Terrorist & Disruptive Activites Act - Male,Terrorist & Disruptive Activites Act - Female,Terrorist & Disruptive Activites Act - Total,Antiquity & Art Treasure Act - Male,Antiquity & Art Treasure Act - Female,Antiquity & Art Treasure Act - Total,Dowry Prohibition Act - Male,Dowry Prohibition Act - Female,Dowry Prohibition Act - Total,Other LSL Crimes - Male,Other LSL Crimes - Female,Other LSL Crimes - Total,Total Cognizable Crimes Under LSL - Male,Total Cognizable Crimes Under LSL - Female,Total Cognizable Crimes Under LSL - Total
11,Kerala,340,0,340,400,6,406,6746,1,6747,1040,36,1076,282,1,283,420,0,420,88,30,118,15,2,17,4,1,5,36,0,36,10,1,11,134,0,134,0,0,0,0,0,0,0,0,0,5813,119,5932,15328,197,15525
12,Madhya Pradesh,5680,12,5692,1290,42,1332,51666,49,51715,15377,1009,16386,7,0,7,491,0,491,26,1,27,14870,84,14954,36,0,36,296,22,318,0,0,0,358,0,358,0,0,0,8,0,8,73,21,94,147404,1860,149264,237582,3100,240682
13,Maharashtra,1913,3,1916,1603,82,1685,91174,1475,92649,0,0,0,121201,8706,129907,142,0,142,947,459,1406,4892,13,4905,660,228,888,1257,40,1297,168,28,196,809,11,820,219,0,219,4,0,4,15,0,15,335247,19833,355080,560251,30878,591129
14,Manipur,24,3,27,324,30,354,199,0,199,1682,1186,2868,0,0,0,11,0,11,0,0,0,0,0,0,14,1,15,0,0,0,0,0,0,24,14,38,288,8,296,0,0,0,0,0,0,162,35,197,2728,1277,4005
15,Meghalaya,54,0,54,27,2,29,102,0,102,6,12,18,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,12,111,290,27,31
16,Mizoram,15,0,15,201,23,224,8,0,8,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,176,30,206,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1018,108,1126,1423,163,1586
17,Nagaland,47,2,49,184,18,202,3,0,3,82,22,104,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,31,326,621,73,694
18,Orissa,252,0,252,179,9,188,3302,0,3302,532,29,561,21,0,21,110,0,110,0,50,50,39,0,39,0,0,0,91,0,91,0,0,0,111,0,111,0,0,0,0,0,0,64,23,87,2825,0,2825,7526,111,7637
19,Punjab,2029,3,2032,1244,57,1301,2351,0,2351,9133,666,9799,0,0,0,81,0,81,0,1,1,215,0,215,27,2,29,1,0,1,44,11,55,182,0,182,19,0,19,0,0,0,4,1,5,264,2,266,15594,743,16337
20,Rajasthan,2330,2,2332,1034,13,1047,7233,0,7233,3550,99,3679,0,0,0,256,0,256,66,36,102,1001,0,1001,5,0,5,119,8,127,176,0,176,299,0,299,32,0,32,0,0,0,1,0,1,7460,79,7539,23562,237,23799
21,Sikkim,58,0,58,9,0,9,0,0,0,67,123,190,0,0,0,9,0,9,0,0,0,0,0,0,68,1,69,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,205,0,205,423,124,547
22,Tamil Nadu,118,1,119,3097,226,3323,31935,2565,34500,0,0,0,267750,70464,338214,432,9,441,601,5205,5806,403,0,403,36,0,36,1074,53,1127,372,55,427,53,0,53,0,0,0,0,0,0,221,69,290,517513,4829,522342,823605,83476,907081
23,Tripura,104,0,104,14,0,14,0,0,0,0,0,0,0,0,0,18,0,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,0,0,0,0,0,0,12,0,12,12,0,12,192,0,192
24,Uttar Pradesh,40924,25,40949,9979,59,10038,31248,9,31257,30095,686,30781,11,0,11,2463,1,2464,305,207,512,1541,3,1544,412,0,412,2244,18,2262,4,0,4,2822,8,2830,314,1,315,2,0,2,1152,128,1280,300870,882,301752,424386,2027,426413
25,West Bengal,1272,0,1272,481,25,506,20807,0,20807,2042,31,2073,63,0,63,545,0,545,59,108,167,1776,70,1846,1241,134,1375,0,0,0,122,30,152,1842,0,1842,0,0,0,27,0,27,128,18,146,442426,1041,443467,472831,1457,474288
Total (States),Total (States),64490,76,64566,22386,694,23080,344136,4121,348257,90042,5004,95046,505847,124736,630583,6875,40,6915,2781,10581,13362,27851,196,28047,2918,411,3329,8198,264,8462,1588,126,1714,9184,47,9231,2512,53,2565,56,0,56,3847,892,4739,2967731,41334,3009065,4060442,188575,4249017
26,A & N Islands,0,0,0,2,1,3,83,0,83,1155,311,1466,84,0,84,3,0,3,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,1,602,199,313,2246
27,Chandigarh,52,0,52,11,1,12,294,0,294,158,3,161,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,4,25,2,27,0,0,0,0,0,0,65,0,65,611,6,617
28,D & N Haveli,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,29,0,29
29,Daman & Diu,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,4,12,0,12
30,Delhi,3347,0,3347,1136,150,1286,8591,0,8591,2735,501,3236,0,0,0,21,0,21,40,152,192,67,0,67,81,0,81,2,0,2,0,0,0,103,20,123,21,0,21,0,0,0,8,0,8,1190,54,1244,17342,877,18219
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,9,0,9,4,5,9,452,0,452,0,0,0,0,0,0,2,0,2,36,299,335,0,0,0,4,0,4,16,1,17,6,0,6,78,11,89,0,0,0,0,0,0,2,2,4,44386,390,44776,44995,708,45703
Total (UTs),Total (UTs),3411,0,3411,1153,157,1310,9427,0,9427,4051,815,4866,84,0,84,27,0,27,76,451,527,67,0,67,92,0,92,18,1,19,6,0,6,186,31,217,46,2,48,0,0,0,10,2,12,46268,445,46713,64922,1904,66826
Total (All -India),Total (All -India),67901,76,67977,23539,851,24390,353563,4121,357684,94093,5819,99912,505931,124736,630667,6902,40,6942,2857,11032,13889,27918,196,28114,3010,411,3421,8216,265,8481,1594,126,1720,9370,78,9448,2558,55,2613,56,0,56,3857,894,4751,3013999,41779,3055778,4125364,190479,4315843
33,Ahmedabad,103,0,103,45,2,47,9347,1,9348,0,0,0,14194,1567,15761,18,0,18,5,7,12,0,0,0,2,0,2,16,1,17,0,0,0,146,0,146,0,0,0,0,0,0,4,2,6,11955,1369,13324,35835,2949,38784
34,Bangalore,14,0,14,30,24,54,1570,0,1570,217,19,236,36,0,36,10,0,10,67,701,768,1,0,1,26,9,35,79,18,97,3,0,3,191,6,197,0,0,0,1,0,1,159,106,265,365228,432,365660,367632,1315,368947
35,Bhopal,460,0,460,33,0,33,1870,0,1870,141,0,141,0,0,7949,55,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,11355,0,11355,13915,0,13915
36,Bombay,267,1,268,190,31,221,31664,1420,33084,0,0,0,7337,612,0,50,0,50,848,372,1220,0,0,0,568,223,791,4,0,4,146,27,173,127,6,133,215,0,215,0,0,0,0,0,0,294130,17269,311399,335546,19961,355507
37,Calcutta,83,0,83,268,22,290,19429,0,19429,1949,23,1972,0,0,442,37,0,37,46,103,149,17,0,17,0,0,0,0,0,0,0,0,0,113,0,113,0,0,0,0,0,0,0,0,0,434472,623,435095,456417,771,457185
38,Coimbatore,0,0,0,99,13,112,525,0,525,0,0,0,433,9,0,0,0,0,6,507,513,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,27885,436,28321,28961,966,29927
39,Delhi,3169,0,3169,855,82,937,8069,0,8069,2155,318,2473,0,0,0,18,0,18,35,130,165,65,0,65,78,0,78,2,0,2,0,0,0,99,20,119,14,0,14,0,0,0,6,0,6,1190,54,1244,15755,604,16359
40,Hyderabad,225,0,225,39,0,39,1804,0,1804,2385,122,2507,0,0,0,18,0,18,9,23,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,374990,3877,378867,379473,4022,383495
41,Indore,350,0,350,30,0,30,1475,0,1475,250,0,250,0,0,0,32,0,32,0,0,0,0,0,0,17,0,17,1,0,1,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,72,0,72,2237,0,2237
42,Jaipur,224,1,225,55,1,56,921,0,921,197,6,203,0,0,0,3,0,3,15,8,23,0,0,0,1,0,1,9,3,12,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,300,1,301,1750,20,1770
43,Kanpur,2637,1,2638,448,4,452,1546,1,1547,1106,29,1135,0,0,0,147,0,147,14,28,42,2,0,2,0,0,0,12,0,12,0,0,0,77,0,77,0,0,0,0,0,0,0,0,0,4434,31,4465,10423,94,10517
44,Kochi,13,0,13,51,0,51,138,1,139,50,13,63,0,0,0,9,0,9,8,11,19,1,0,1,0,0,0,2,0,2,0,0,0,6,1,7,0,0,0,0,0,0,0,0,0,265,0,265,543,26,569
45,Lucknow,1483,0,1483,290,3,293,894,1,895,244,7,251,0,0,0,41,0,41,19,5,24,0,0,0,0,0,0,58,0,58,0,0,0,33,0,33,10,1,11,0,0,0,0,0,0,10881,0,10881,13953,17,13970
46,Ludhiana,293,0,293,41,2,43,559,0,559,258,0,258,0,0,0,7,0,7,0,0,0,41,0,41,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,12,0,12,1223,2,1225
47,Madras,0,0,0,114,10,124,3569,77,3646,0,0,0,11783,434,12217,0,0,0,42,888,930,0,0,0,1,0,1,0,0,0,4,0,4,5,0,5,0,0,0,0,0,0,1,0,1,69197,9845,79042,84716,11254,95970
48,Madurai,2,0,2,102,0,102,555,0,555,0,0,0,961,50,1011,3,0,3,0,662,662,0,0,0,27,0,27,10,0,10,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,56014,794,56808,57680,1506,59186
49,Nagpur,535,0,535,105,13,118,5679,0,5679,0,0,0,5435,9,5444,0,0,0,53,4,57,0,0,0,0,0,0,17,0,17,1,0,1,17,0,17,0,0,0,0,0,0,0,0,0,3876,0,3876,15718,26,15744
50,Patna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Pune,76,0,76,61,4,65,998,22,1020,0,0,0,4639,1065,5704,2,0,2,18,41,59,0,0,0,86,5,91,6,6,12,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,3424,166,3590,9327,1309,10636
52,Surat,37,0,37,20,1,21,2416,0,2416,0,0,0,12013,15885,27898,5,2,7,0,0,0,0,0,0,17,0,17,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,7453,704,8157,21965,16592,38557
53,Vadodara,30,1,31,25,2,27,1350,1,1351,0,0,0,5813,669,6482,9,0,9,0,0,0,0,0,0,5,0,5,2,0,2,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,2931,252,3183,10174,925,11099
54,Varanasi,416,0,416,613,10,623,598,0,598,277,3,280,0,0,0,85,1,86,0,38,38,0,0,0,1,0,1,0,0,0,0,0,0,61,0,61,0,0,0,0,0,0,0,0,0,2317,89,2406,4368,141,4509
55,Vishakhapatnam,1,0,1,25,30,55,2075,1,2076,121,0,121,0,0,0,9,0,9,50,90,140,0,0,0,0,0,0,6,6,12,0,0,0,0,0,0,12,0,12,3,0,3,5,0,5,28759,444,29203,31066,571,31637
