SL. No.,State/UT,Pending Investigation from Previous Year,Cases Regd. During the Year,Total Cases for Investigation,Cases Investigated,Cases not Investigated or Investigation Dropped,Cases Transferred to Local Police,Cases Declared False Etc.,Cases Chargesheeted,Cases Pending for Dept. Sanction for Prosecution,Cases Sent-up for Trial and also Reported for Dept. Action,Cases Reported for Regudept Action,Cases Reported for Suitable Action,Cases in which Chargesheets not Laid but Final Report Submitted,Cases Pending Investigation at the End of the Year,Cases Resulted in Recovery or Seizure,Value of Property Recovered/Seized (In Rs.000),Percentage of Cases Chargesheeted to Total Cases Investigated,Cases Pending Trial from the the Previous Year,Cases Sent up for Trial During the Year,Total Cases For Trial,Cases Withdrawn/Discharged or Otherwise Disposed of,Trial Completed During the Year,Cases Convicted,Cases Acquitted or Discharged,Pending Trial at the Year,Percentage of Cases Convicted to Trials Completed,Total Amount of Fine Imposed During the year (In Rs. 000)
11,Kerala,178,43,221,221,0,1,17,33,17,1,14,3,17,144,2,0,14.9,193,33,226,9,51,17,34,166,33.3,57
12,Madhya Pradesh,695,168,863,373,130,0,0,243,53,33,30,3,NA,311,143,67207,65.1,511,243,754,151,36,17,19,567,47.2,NA
13,Maharashtra,329,276,605,507,8,5,0,199,121,38,3,0,6,384,111,3593,39.3,954,199,1153,4,90,37,53,1059,41.1,91
14,Manipur,31,6,37,37,0,0,0,5,0,0,0,0,0,32,0,0,13.5,29,5,34,12,0,0,0,22,NA,0
15,Meghalaya,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,NA,0
16,Mizoram,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,NA,7,0,7,0,0,0,0,7,NA,0
17,Nagaland,0,5,5,5,0,0,0,1,0,0,0,0,0,4,0,0,20,0,1,1,0,0,0,0,1,NA,0
18,Orissa,369,120,489,489,0,0,2,89,51,2,26,1,53,267,76,23015,18.2,555,89,644,2,44,11,33,598,25,8
19,Punjab,163,123,286,133,6,4,1,123,45,123,2,0,0,147,0,0,92.5,340,123,463,16,84,14,70,379,16.7,39
20,Rajasthan,350,162,512,512,0,0,8,130,103,0,0,0,82,277,104,595,25.4,449,130,579,0,52,17,35,527,32.7,55
21,Sikkim,1,5,6,4,0,0,0,4,0,0,0,0,0,6,0,0,100,1,4,5,1,0,0,0,4,NA,0
22,Tamil Nadu,266,85,351,351,0,0,0,2,8,0,49,0,4,288,0,0,0.6,82,2,84,0,4,3,1,80,75,3
23,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0
24,Uttar Pradesh,78,26,104,79,14,0,3,12,11,3,12,5,27,73,2,3,15.2,95,12,107,2,16,1,15,89,6.3,0
25,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total (States),Total (States),3414,1729,5143,3613,169,11,68,1323,635,590,188,29,269,3237,709,103912,36.6,5005,1323,6328,308,556,169,387,5498,30.4,391
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0
27,Chandigarh,3,4,7,3,0,0,0,3,5,0,0,0,0,5,3,5,100,2,3,5,0,0,0,0,5,NA,0
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,1,1,0,0,0,0,NA,0
29,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0
30,Delhi,69,37,106,106,0,0,0,35,6,0,2,0,1,71,NA,NA,33,184,35,219,5,0,0,0,214,NA,0
31,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Pondicherry,6,2,8,8,0,0,0,4,0,3,0,0,0,7,0,0,50,2,4,6,0,0,0,0,6,NA,0
Total (UTs),Total (UTs),78,43,121,117,0,0,0,42,11,3,2,0,1,83,3,5,35.9,191,42,231,6,0,0,0,225,NA,0
Total (All -India),Total (All -India),3492,1772,5264,3730,169,11,68,1365,646,593,190,29,279,3320,712,103918,36.6,5196,1365,6559,314,556,169,387,5723,30.4,391
