SL. No.,State,City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - Of Women & Girls,Kidnapping & Abduction - Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
1,Madhya Pradesh,Bhilai durg,25,50,6,35,19,17,2,5,1,63,436,725,67,NA,32,1,2179,3663
2,Madhya Pradesh,Bhopal,116,135,20,44,24,24,0,268,3,77,493,1089,244,21,89,12,4824,7459
3,Madhya Pradesh,Gwalior,54,73,12,34,16,10,6,5,12,60,312,772,74,14,89,4,3434,4965
4,Madhya Pradesh,Indore,93,204,0,32,36,36,0,4,2,89,1108,2881,81,40,65,0,6178,10813
5,Madhya Pradesh,Jabalpur,54,123,5,52,20,20,0,0,2,80,507,979,63,11,48,0,3009,4953
1,Maharashtra,Aurangabad,24,20,1,11,21,17,4,15,0,42,430,881,149,24,69,4,1177,2868
2,Maharashtra,Bombay,487,289,5,104,341,154,187,139,52,1219,2708,15977,446,729,1181,96,17206,40979
3,Maharashtra,Nagpur,131,47,1,48,79,65,14,23,2,342,876,3645,182,124,195,45,4676,10416
4,Maharashtra,Nasik,25,16,0,5,15,10,5,7,0,32,253,666,37,37,71,0,981,2145
5,Maharashtra,Pune,105,39,2,51,65,53,12,16,5,114,1001,3190,171,84,175,30,6348,11396
6,Maharashtra,Solapur,33,18,5,8,11,7,4,4,1,30,111,265,39,18,30,7,666,1246
7,Maharashtra,Thane,189,96,4,33,66,37,29,38,14,168,1173,1971,376,127,113,6,2762,7136
1,Punjab,Amritsar,44,32,3,2,22,8,14,4,1,32,67,129,0,8,98,1,121,546
2,Punjab,Jalandhar,22,25,4,5,11,7,4,4,2,12,117,132,0,4,20,5,202,545
3,Punjab,Ludhiana,69,73,8,6,25,14,11,1,8,4,99,121,3,11,26,0,305,759
1,Rajasthan,Ajmer,14,44,4,8,36,36,0,0,0,16,104,223,141,8,95,3,673,1369
2,Rajasthan,Bharatpur,14,0,1,5,28,20,8,4,0,19,113,260,187,11,49,0,588,1279
3,Rajasthan,Bikaner,12,36,0,4,15,15,0,0,0,3,123,22,102,5,55,0,782,1359
4,Rajasthan,Jaipur,47,60,1,27,144,130,14,0,2,77,566,2339,1265,166,466,64,4189,9413
5,Rajasthan,Jodhpur,25,71,0,16,37,29,8,1,0,45,326,528,226,45,223,12,1428,2983
6,Rajasthan,Kota,31,161,5,21,77,68,9,2,0,34,439,794,267,37,175,0,1861,3904
7,Rajasthan,Udaipur,13,27,0,4,39,39,0,0,0,44,222,325,171,21,98,0,681,1645
1,Tamil Nadu,Coimbatore,27,33,0,1,10,10,0,2,0,15,285,1242,349,34,58,95,1470,3621
2,Tamil Nadu,Madras,106,169,7,17,35,35,0,4,0,116,667,5464,174,188,516,323,5388,13174
3,Tamil Nadu,Madurai,36,54,0,1,18,18,0,0,0,17,227,1092,84,17,61,103,1665,3375
4,Tamil Nadu,Salem,142,94,7,13,66,66,0,17,0,39,379,1281,498,9,3,56,374,2978
5,Tamil Nadu,Trichy,119,83,0,8,58,58,0,8,0,24,369,1077,244,53,63,37,4438,6581
1,Uttar Pradesh,Agra,44,135,13,18,120,98,22,44,0,122,579,1261,216,122,192,0,1738,4604
2,Uttar Pradesh,Aligarh,46,79,2,2,63,53,10,9,2,193,66,432,91,29,48,0,675,1737
3,Uttar Pradesh,Allahabad,142,266,12,14,129,117,12,3,5,175,380,1220,206,102,187,0,1362,4203
4,Uttar Pradesh,Bareilly,83,74,19,11,80,75,5,8,1,75,222,664,60,56,67,3,782,2205
5,Uttar Pradesh,Gorakhpur,30,47,7,9,37,36,1,7,4,66,205,420,151,78,42,0,400,1503
6,Uttar Pradesh,Kanpur,286,263,27,38,207,58,149,51,67,225,707,2119,461,333,286,77,2965,8112
7,Uttar Pradesh,Lucknow,112,151,15,46,102,18,84,16,7,119,760,2784,234,234,305,30,2769,7684
8,Uttar Pradesh,Meerut,97,147,18,18,92,66,26,59,13,118,9,1268,170,120,128,0,1977,4234
9,Uttar Pradesh,Moradabad,173,155,15,32,131,131,0,23,12,191,195,980,205,55,103,0,1020,3290
10,Uttar Pradesh,Varanasi,72,103,26,8,45,43,2,14,4,75,324,876,147,91,72,0,1137,2994
1,West Bengal,Calcutta,83,144,23,38,132,91,41,39,15,160,345,6536,624,346,638,31,4956,14110
