SL. No.,State/UT/City,Arms Act - Incidence (I),Arms Act - Rate (R ),Narcotic Drugs and Psychotropic Substances Act - Incidence (I),Narcotic Drugs and Psychotropic Substances Act - Rate (R ),Gambling Act - Incidence (I),Gambling Act - Rate (R ),Excise Act - Incidence (I),Excise Act - Rate (R ),Prohibition Act - Incidence (I),Prohibition Act - Rate (R ),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Rate (R ),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Rate (R ),Indian Railways Act - Incidence (I),Indian Railways Act - Rate (R ),Registration of Foreigners Act - Incidence (I),Registration of Foreigners Act - Rate (R ),Protection of Civil Rights Act - Incidence (I),Protection of Civil Rights Act - Rate (R ),Indian Passport Act - Incidence (I),Indian Passport Act - Rate (R),Essential Commodities Act - Incidence (I),Essential Commodities Act - Rate (R ),Terrorist & Disruptive Activites Act - Incidence (I),Terrorist & Disruptive Activites Act - Rate (R ),Antiquity & Art Treasure Act - Incidence (I),Antiquity & Art Treasure Act - Rate (R ),Dowry Prohibition Act - Incidence (I),Dowry Prohibition Act - Rate (R ),Other LSL Crimes - Incidence (I),Other LSL Crimes - Rate (R ),Total Cognizable Crimes Under LSL - Incidence (I),Total Cognizable Crimes Under LSL - Rate (R )
11,Kerala,207,0.7,353,1.2,890,3,1253,4.2,252,0.8,314,1.1,31,0.1,142,0.5,8,0,24,0.1,8,0,107,0.4,0,0,1,0,0,0,4638,15.6,8228,27.7
12,Madhya Pradesh,5602,8.2,1258,1.8,18216,26.8,16016,23.5,2,0,429,0.6,9,0,14393,21.2,33,0,197,0.3,0,0.9,240,0.4,0,0,0,0,42,0.1,71473,105.1,127910,188
13,Maharashtra,1658,2,1420,1.8,38304,47.3,0,0,126023,155.5,3193,3.9,604,0.7,4762,5.9,848,1,682,0.8,769,0,557,0.7,90,0.1,2,0,6,0,285412,352.2,464330,573
14,Manipur,19,1,300,15.9,54,2.9,2822,149.3,0,0,9,0.5,0,0,0,0,3,0.2,0,0,0,0,36,1.9,38,2,0,0,0,0,74,3.9,3355,177.5
15,Meghalaya,26,1.4,15,0.8,73,4,18,1,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2.7,184,10.1
16,Mizoram,18,2.5,188,26.1,3,0.4,0,0,0,0,3,0.4,0,0,0,0,78,10.8,0,0,0,0,0,0,1,0.1,0,0,0,0,285,39.6,576,80
17,Nagaland,39,3.1,143,11.3,2,0.2,94,7.5,0,0,8,0.6,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,192,15.2,479,38
18,Orissa,165,0.5,113,0.3,771,2.4,560,1.7,10,0,70,0.2,7,0,35,0.1,0,0,13,0,0,0,88,0.3,0,0,0,0,84,0.3,1458,4.5,3374,10.4
19,Punjab,2069,10,1231,5.9,1219,5.9,9605,46.4,0,0,96,0.5,3,0,204,1,26,0.1,1,0,43,0.2,98,0.5,6,0,0,0,3,0,225,1.1,14829,71.6
20,Rajasthan,2360,5.2,885,2,3677,8.1,3638,8,0,0,234,0.5,119,0.3,827,1.8,11,0,200,0.4,127,0.3,309,0.7,9,0,0,0,1,0,5537,12.2,17934,39.6
21,Sikkim,36,8.6,8,1.9,0,0,167,39.8,0,0,4,1,0,0,0,0,25,6,0,0,0,0,2,0.5,0,0,0,0,0,0,195,46.4,437,104
22,Tamil Nadu,89,0.2,3567,6.3,27562,48.7,0,0,348205,614.9,316,0.6,7530,13.3,456,0.8,73,0.1,764,1.3,58,0.1,80,0.1,2,0,0,0,310,0.5,403462,712.5,792474,1399.4
23,Tripura,64,2.3,8,0.3,0,0,0,0,0,0,10,0.4,0,0,0,0,0,0,0,0,0,0,39,1.4,0,0,0,0,0,0,12,0.4,133,4.7
24,Uttar Pradesh,40658,28.5,9863,6.9,8511,6,29469,20.7,5,0,2421,1.7,148,0.1,2005,1.4,171,0.1,1128,0.8,4,0,2223,1.6,235,0.2,2,0,369,0.3,235723,165.4,332935,233.6
25,West Bengal,734,1.1,374,0.5,5507,7.9,1979,2.8,64,0.1,281,0.4,37,0.1,740,1.1,475,0.7,0,0,68,0.1,1466,2.1,0,0,22,0,86,0.1,279744,401.6,291577,418.6
Total (States),Total (States),60452,7.1,21554,2.5,163619,19.1,90613,10.6,627357,73.3,8870,1,12285,1.4,26475,3.1,1896,0.2,4359,0.5,1169,0.1,7067,0.8,4052,0.5,39,0,2094,0.2,2466788,288.3,3498689,408.9
26,A & N Islands,0,0,3,1,12,4.1,1410,486.2,68,23.4,3,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,523,180.3,2022,697.2
27,Chandigarh,52,7.6,12,1.8,127,18.7,140,20.6,0,0,0,0,0,0,0,0,2,0.3,0,0,0,0,8,1.2,22,3.2,0,0,0,0,56,8.2,419,61.6
28,D & N Haveli,2,1.4,0,0,0,0,2,1.4,0,0,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,26,18.6
29,Daman & Diu,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,5,9,9
30,Delhi,3383,34.3,902,9.1,3214,32.6,2943,29.8,0,0,23,0.2,130,1.3,73,0.7,91,0.9,2,0,0,0,147,1.5,19,0.2,0,0,4,0,1083,11,12014,121.7
31,Lakshadweep,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,7,14
32,Pondicherry,4,0.5,7,0.8,218,26.3,0,0,0,0,2,0.2,165,19.9,0,0,4,0.5,19,2.3,0,0,69,8.3,0,0,1,0.1,4,0.5,44769,5393.9,45262,5453.3
Total (UTs),Total (UTs),3441,28.8,924,7.7,3574,29.9,4495,37.6,69,0.6,29,0.2,295,2.5,73,0.6,100,0.8,21,0.2,0,0,225,1.9,41,0.3,1,0,8,0.1,46463,388.5,59759,499.7
Total (All -India),Total (All -India),63893,7.4,22478,2.6,167193,19.3,95108,11,627426,72.3,8899,1,12580,1.4,26548,3.1,1996,0.2,4380,0.5,1169,0.1,7292,0.8,4093,0.5,40,0,2102,0.2,2513251,289.7,3558448,410.1
33,Ahmedabad,54,1.6,23,0.7,2745,81,0,0,13113,386.8,20,0.6,1,0,0,0,4,0.1,18,0.5,0,0,137,4,0,0,0,0,1,0,8946,263.9,25062,739.3
34,Bangalore,8,0.2,49,1.2,344,8.2,168,4,4,0.1,10,0.2,533,12.7,1,0,32,0.8,45,1.1,2,0,139,3.3,0,0,1,0,149,3.5,365660,8706.2,367145,8741.5
35,Bhopal,460,41.8,26,2.4,403,36.6,74,6.7,0,0,35,3.2,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,10809,982.6,11808,1073.5
36,Bombay,248,1.9,190,1.5,6796,52.3,0,0,12229,94.1,22,0.2,571,4.4,0,0,754,5.8,6,0,757,5.8,90,0.7,89,0.7,0,0,0,0,248243,1909.6,269995,2076.9
37,Calcutta,83,0.7,242,2.2,4952,44.3,1923,17.2,0,0,48,0.4,31,0.3,15,0.1,0,0,0,0,0,0,101,0.9,0,0,0,0,0,0,272273,2437.5,279668,2503.7
38,Coimbatore,1,0.1,112,9.7,165,14.2,0,0,440,37.9,0,0,513,44.2,0,0,0,0,7,0.6,0,0,0,0,0,0,0,0,1,0.1,22344,1926.2,23583,2033
39,Delhi,3079,35,854,9.7,3102,35.3,2490,28.3,0,0,20,0.2,130,1.5,73,0.8,91,1,2,0,0,0,126,1.4,17,0.2,0,0,3,0,1007,11.5,10994,125.1
40,Hyderabad,186,4.2,27,0.6,778,17.6,2530,57.1,0,0,12,0.3,10,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,378109,8535.2,381655,8615.2
41,Indore,350,30.7,17,1.5,509,44.6,224,19.6,0,0,16,1.4,0,0,0,0,17,1.5,1,0.1,0,0,7,0.6,0,0,0,0,0,0,75,6.6,1216,106.7
42,Jaipur,218,13.9,49,3.1,333,21.2,188,12,0,0,2,0.1,15,1,0,0,1,0.1,18,1.1,2,0.1,23,1.5,0,0,0,0,0,0,250,15.9,1099,70
43,Kanpur,2638,121.6,450,20.7,338,15.6,1118,51.5,0,0,139,6.4,31,1.4,1,0,0,0,5,0.2,0,0,56,2.6,0,0,0,0,0,0,3725,171.7,8501,391.8
44,Kochi,11,0.9,44,3.7,18,1.5,69,5.8,0,0,9,0.8,6,0.5,4,0.3,0,0,1,0.1,2,0.2,6,0.5,0,0,0,0,0,0,214,18.1,384,32.5
45,Lucknow,1482,87.2,284,16.7,195,11.5,239,14.1,0,0,38,2.2,7,0.4,1,0.1,0,0,41,2.4,0,0,26,1.5,2,0.1,0,0,0,0,10090,593.5,12405,729.7
46,Ludhiana,293,28.2,43,4.1,262,25.2,252,24.2,0,0,10,1,0,0,41,3.9,0,0,0,0,0,0,9,0.9,0,0,0,0,0,0,12,1.2,922,88.7
47,Madras,0,0,137,2.5,3467,63.5,0,0,12202,223.5,0,0,930,17,0,0,1,0,0,0,4,0.1,5,0.1,0,0,0,0,1,0,77077,1411.7,93824,1718.4
48,Madurai,4,0.4,102,9.2,559,50.4,0,0,1011,91.1,3,0.3,662,59.6,0,0,27,2.4,7,0.6,6,0.5,0,0,0,0,0,0,1,0.1,52956,4770.8,55338,4985.4
49,Nagpur,535,31.3,1720,100.6,91,5.3,0,0,5221,305.3,0,0,5,0.3,0,0,0,0,17,1,1,0.1,17,1,0,0,0,0,0,0,3777,220.9,11384,665.7
50,Patna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Pune,51,2,55,2.1,262,10.2,0,0,5483,213.3,2,0.1,7,0.3,0,0,94,3.7,7,0.3,0,0,11,0.4,0,0,0,0,0,0,3172,123.4,9144,355.8
52,Surat,21,1.3,12,0.8,675,43,0,0,26610,1694.9,7,0.4,0,0,0,0,12,0.8,2,0.1,0,0,2,0.1,0,0,0,0,0,0,6000,382.2,33341,2123.6
53,Vadodara,16,1.4,21,1.8,508,44.2,0,0,6012,522.8,8,0.7,0,0,0,0,5,0.4,2,0.2,0,0,7,0.6,0,0,0,0,0,0,2635,229.1,9214,801.2
54,Varanasi,416,39.6,623,59.3,194,18.5,280,26.7,0,0,80,7.6,37,3.5,0,0,1,0.1,0,0,0,0,65,6.2,0,0,0,0,0,0,1919,182.8,3615,344.3
55,Vishakhapatnam,1,0.1,14,1.3,1865,171.1,116,10.6,0,0,4,0.4,77,7.1,0,0,1,0.1,15,1.4,0,0,1,0.1,1,0.1,1,0.1,4,0.4,29117,2671.3,31217,2863.9
