SL. No.,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
25,West Bengal,1115,54.1,0,0,0,0,0,0,1,0.3,101,5.3,26,1.7,1243,69.2
Total (States),Total (States),100818,8376.9,63,7.2,75,9.4,149,13.1,66,5.7,6093,13.1,17995,2062.2,125259,11339.2
26,A & N Islands,87,6.2,0,0,0,0,0,0,0,0,0,0,9,1.6,96,7.8
27,Chandigarh,91,21.1,0,0,0,0,0,0,1,0.2,7,0.9,8,0.8,107,22.9
28,D & N Haveli,5,0.1,0,0,0,0,0,0,1,0,7,8.7,5,0.4,18,9.1
29,Daman & Diu,8,0.9,0,0,0,0,0,0,0,0,11,7.2,4,0.1,23,8.1
30,Delhi,1183,165.1,29,0.9,0,0,1,0,0,0,42,8.3,304,57.6,1559,231.8
31,Lakshadweep,3,0.2,0,0,0,0,0,0,0,0,0,0,6,0.1,9,0.3
32,Pondicherry,152,12.7,0,0,0,0,0,0,1,0,11,0.3,46,2.3,210,15.3
Total (UTs),Total (UTs),1529,206.3,29,0.9,0,0,1,0,3,0.2,78,25.4,382,62.7,2022,295.3
Total (All -India),Total (All -India),102347,8583.2,92,8.1,75,9.4,150,13.1,69,5.8,6171,890.1,18377,2124.9,127281,11634.6
33,Ahmedabad,574,88.9,0,0,0,0,0,0,2,0,144,32.4,233,26.3,953,147.6
34,Bangalore,857,73.2,0,0,0,0,0,0,0,0,129,37,1114,11.8,1830,122
35,Bhopal,323,17.5,0,0,0,0,0,0,0,0,170,8.7,0,0,493,26.2
36,Bombay,1607,473.4,16,3.3,0,0,0,0,1,0.1,570,241.6,514,210.2,2708,928.6
37,Calcutta,251,34.1,0,0,0,0,0,0,0,0,86,11.9,8,1.2,345,47.2
38,Coimbatore,245,27.1,0,0,0,0,0,0,0,0,16,4.5,24,5.4,285,36.9
39,Delhi,1074,143.9,27,0.8,0,0,0,0,0,0,38,7.5,261,39,1400,191.2
40,Hyderabad,987,139.9,0,0,0,0,0,0,0,0,0,0,357,33.7,1344,173.6
41,Indore,28,0.1,0,0,0,0,0,0,0,0,12,0.3,1068,55.5,1108,55.9
42,Jaipur,521,44.9,0,0,0,0,0,0,0,0,31,7.8,14,5.1,566,57.8
43,Kanpur,706,77.7,0,0,0,0,0,0,1,0,0,0,0,0,707,77.7
44,Kochi,196,24.8,0,0,4,1.2,0,0,1,0,74,11.4,44,16.9,319,54.3
45,Lucknow,718,61.2,0,0,0,0,0,0,0,0,0,0,42,1.1,760,62.4
46,Ludhiana,77,24.6,0,0,0,0,0,0,0,0,14,4.8,8,2,99,31.4
47,Madras,591,61.6,0,0,0,0,0,0,0,0,29,0.4,47,0.9,667,62.9
48,Madurai,119,9.2,0,0,0,0,0,0,0,0,38,2.4,70,4.1,227,15.7
49,Nagpur,839,72.4,0,0,0,0,0,0,0,0,37,4.6,0,0,876,76.9
50,Patna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Pune,889,71.1,0,0,0,0,0,0,0,0,43,3.8,69,25.6,1001,100.5
52,Surat,210,39,0,0,0,0,0,0,0,0,39,61.1,138,23,387,123
53,Vadodara,420,33,0,0,0,0,0,0,0,0,19,7,6,4.8,445,44.8
54,Varanasi,324,44.1,0,0,0,0,0,0,0,0,0,0,0,0,324,44.1
55,Vishakhapatnam,305,14.9,0,0,0,0,0,0,1,0,105,9.6,47,10.6,458,35.1
