SL. No.,State/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction Of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
36,Bombay,3,1,0,3,3,1,2,2,0,2,60,155,12,0,0,0,53,294
37,Calcutta,1,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,1,11
38,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,11,3,1,0,0,2,17
39,Delhi,9,1,1,2,4,4,0,0,0,5,25,114,4,0,3,0,35,203
40,Hyderabad,0,0,0,0,0,0,0,0,0,0,26,37,0,0,0,0,0,63
41,Indore,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,28,41
42,Jaipur,0,1,0,0,0,0,0,0,0,0,11,16,9,0,0,0,31,68
43,Kanpur,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
44,Kochi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
45,Lucknow,1,0,1,0,0,0,0,0,0,0,5,8,0,0,0,0,8,23
46,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Madras,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,16,99
48,Madurai,1,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,4,51
49,Nagpur,0,0,0,0,0,0,0,0,0,1,2,3,2,0,0,0,19,27
50,Patna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Pune,5,2,0,1,0,0,0,0,0,0,37,52,2,1,0,0,30,130
52,Surat,1,0,0,1,1,0,1,2,0,0,10,6,21,0,0,0,9,51
53,Vadodara,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,7,16
54,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Vishakhapatnam,0,0,0,0,0,0,0,0,0,1,18,32,10,0,0,0,5,66
