SL. No.,States/U.Ts.,District,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
12,Bihar,East Champaran,70,10,5,34,78,23,177,602,743,126,43,NA,3335
13,Bihar,Muzaffarpur,56,13,11,43,135,46,371,616,553,12,36,NA,3790
14,Bihar,Vaishali,32,9,4,26,86,20,182,446,509,41,39,6,2544
15,Bihar,Sitamarahi,62,6,13,31,98,29,205,318,362,29,25,NA,2185
16,Bihar,Darbhanga,28,6,15,15,56,22,357,716,621,55,27,NA,3015
17,Bihar,Samastipur,53,6,18,28,77,27,250,519,677,53,55,1,2741
18,Bihar,Madhubani,34,5,3,6,110,32,477,340,430,9,17,NA,2919
19,Bihar,Begusarai,63,3,7,43,52,33,286,319,511,15,103,NA,2323
20,Bihar,Bhagalpur,155,12,13,39,152,88,472,733,776,56,17,NA,4052
21,Bihar,Munger,146,13,14,61,255,125,215,1548,625,24,32,NA,4185
22,Bihar,Dumka,51,14,19,21,87,32,307,426,419,26,26,NA,2006
23,Bihar,Shahibganj,58,1,24,4,57,17,238,269,183,14,9,NA,1235
24,Bihar,Katihar,24,NA,37,77,39,28,359,638,459,26,45,1,2487
25,Bihar,Saharsa,35,15,10,24,59,16,319,520,503,21,29,1,2149
26,Bihar,Madhopura,26,4,NA,4,50,13,158,190,188,7,11,NA,1371
27,Bihar,Purnea,80,25,43,67,281,85,713,1395,1120,47,55,NA,5067
28,Bihar,Hazaribagh,102,4,15,12,111,89,551,767,390,20,23,NA,4351
29,Bihar,Giridih,68,7,17,24,67,58,388,574,220,21,16,NA,2546
30,Bihar,Bokaro,22,2,3,10,23,38,107,377,121,14,14,NA,1259
31,Bihar,Dhanbad,83,8,17,45,133,116,596,1350,226,44,52,NA,4338
32,Bihar,Palamau,72,11,24,40,88,54,311,623,380,34,31,NA,2728
33,Bihar,Ranchi,217,17,30,42,68,140,306,1315,257,46,21,NA,4303
34,Bihar,Singhbhum,85,8,21,19,96,32,294,691,291,29,3,NA,2330
35,Bihar,Jamshedpur,33,3,10,28,17,51,121,375,148,22,20,NA,1927
36,Bihar,Railway Patna,13,18,1,7,10,12,NA,416,11,7,5,NA,639
37,Bihar,Railway Jamshedpur,4,NA,NA,1,2,5,1,86,8,NA,2,NA,132
38,Bihar,Railway Dhanbad,7,NA,NA,NA,6,18,7,205,5,NA,NA,NA,257
39,Bihar,Railway Jamalpur,7,NA,NA,2,16,8,5,174,15,5,1,NA,279
40,Bihar,Railway Katihar,4,NA,2,3,9,22,17,306,29,4,8,NA,464
41,Bihar,Railway Muzaffarpur,9,NA,3,5,18,22,28,298,45,11,6,NA,506
1,Gujarat,Ahmedabad Rural,41,2,11,24,12,48,424,862,88,49,24,NA,3526
2,Gujarat,Kheda,36,NA,4,23,11,21,232,640,85,81,39,NA,2817
3,Gujarat,Anand,48,NA,4,23,14,16,241,667,62,71,21,2,3270
4,Gujarat,Sabarkantha,27,NA,4,25,4,17,238,680,76,188,23,1,3023
5,Gujarat,Banaskantha,43,NA,4,10,3,50,299,699,64,51,27,NA,3059
6,Gujarat,Meshana,24,1,2,29,16,63,270,1378,150,101,44,1,4113
7,Gujarat,Patan,28,NA,2,14,10,46,175,768,89,56,14,1,2570
8,Gujarat,Jamnagar,47,NA,4,28,3,44,173,511,49,33,29,NA,2226
9,Gujarat,Kutch,41,NA,2,14,6,34,226,480,59,40,35,NA,2463
10,Gujarat,Rajkot Rural,41,NA,3,25,6,29,141,678,34,33,28,NA,2754
11,Gujarat,Surendranagar,39,2,3,20,3,23,176,504,54,31,26,NA,2301
12,Gujarat,Amreli,25,NA,6,13,1,44,122,442,35,32,17,NA,1960
13,Gujarat,Bhavnagar,51,NA,4,23,4,40,234,649,113,37,24,1,3092
14,Gujarat,Junagarh,69,NA,3,34,10,67,295,847,80,92,30,1,3307
15,Gujarat,Vadodara Rural,88,NA,9,22,13,35,209,615,78,53,13,NA,3859
16,Gujarat,Bharuch,62,NA,10,28,9,29,232,604,71,48,23,NA,3532
17,Gujarat,Panchamahal,71,NA,5,26,14,72,265,531,46,53,18,4,3040
18,Gujarat,Surat Rural,61,NA,2,17,11,12,183,288,60,27,10,NA,2011
19,Gujarat,Valsad,53,NA,6,23,8,20,337,611,65,77,37,NA,3310
20,Gujarat,Western Railway,11,NA,NA,10,3,20,47,1202,19,19,7,1,1809
21,Gujarat,Ahmedabad City,62,2,11,115,13,39,502,2921,297,97,178,12,11432
22,Gujarat,Rajkot City,18,NA,1,15,NA,10,109,512,59,19,23,NA,1908
23,Gujarat,Surat City,30,NA,1,39,4,24,218,1322,191,58,91,2,3445
24,Gujarat,Vadodara City,40,NA,6,35,97,28,485,2150,226,54,74,NA,5853
1,Haryana,Ambala,18,9,16,56,NA,8,244,444,5,62,52,1,2153
2,Haryana,Kurukshetra,31,6,17,23,NA,4,297,428,1,29,48,NA,1659
3,Haryana,Karnal,31,13,11,14,5,3,319,487,9,28,35,1,1745
4,Haryana,Jind,28,6,7,10,NA,8,145,184,4,5,16,NA,820
5,Haryana,Sonepat,19,9,6,8,1,1,145,218,35,3,9,NA,939
6,Haryana,Faridabad,29,8,16,24,14,16,230,396,45,43,31,NA,2022
7,Haryana,Gurgaon,18,13,4,16,10,9,192,265,38,19,13,NA,1270
8,Haryana,Rohtak,48,13,4,11,2,9,231,275,44,18,25,NA,1347
9,Haryana,Narnaul,19,6,4,15,1,2,125,222,14,29,15,NA,1082
10,Haryana,Bhiwani,18,5,5,10,1,5,107,125,13,21,21,NA,862
11,Haryana,Hissar,52,11,4,18,2,2,201,342,28,35,34,NA,1802
12,Haryana,Sirsa,29,4,6,12,1,9,117,127,2,6,12,NA,862
1,Himachal Pradesh,Mandi,10,1,3,5,NA,1,59,76,23,12,4,NA,553
2,Himachal Pradesh,Shimla,6,6,2,8,NA,2,78,103,51,21,17,NA,636
3,Himachal Pradesh,Kangra,10,1,8,9,NA,3,57,72,11,9,19,NA,606
4,Himachal Pradesh,Solan,5,1,6,8,NA,3,66,75,34,7,10,NA,553
5,Himachal Pradesh,Sirmaur,6,NA,2,7,NA,3,23,50,23,11,5,NA,318
6,Himachal Pradesh,Chamba,6,1,NA,9,NA,NA,47,30,7,6,3,NA,242
7,Himachal Pradesh,Bilaspur,4,NA,1,5,NA,3,15,34,20,1,5,NA,235
8,Himachal Pradesh,Hamirpur,6,NA,1,5,NA,4,14,22,11,3,3,NA,250
9,Himachal Pradesh,Una,9,1,6,3,NA,NA,20,37,8,5,9,NA,290
10,Himachal Pradesh,Kullu,4,2,4,4,1,NA,29,30,6,4,3,1,204
11,Himachal Pradesh,Kinnaur,3,NA,NA,1,NA,NA,14,10,5,5,2,NA,84
12,Himachal Pradesh,Lahaul & Spiti,NA,1,1,1,NA,NA,2,3,1,NA,NA,NA,14
13,Himachal Pradesh,Railway & Traffic,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,4
1,Jammu Kashmir,Anantnag,5,NA,8,27,NA,NA,68,101,191,11,13,NA,818
2,Jammu Kashmir,Bramulla,5,NA,11,54,NA,1,105,214,360,22,15,NA,1906
3,Jammu Kashmir,Badgam,3,2,4,23,NA,2,46,133,210,6,2,NA,760
4,Jammu Kashmir,Doda,9,NA,8,4,NA,NA,62,120,75,9,3,1,824
5,Jammu Kashmir,Jammu,30,1,13,61,4,14,376,696,91,22,32,1,2960
6,Jammu Kashmir,Kathua,5,2,7,21,4,1,107,146,77,5,9,NA,897
7,Jammu Kashmir,Kargil,NA,NA,NA,NA,NA,NA,3,8,8,NA,NA,NA,46
8,Jammu Kashmir,Kupwara,5,1,1,24,NA,NA,45,146,120,5,8,NA,743
9,Jammu Kashmir,Leh,1,NA,1,1,NA,NA,16,12,2,NA,1,NA,67
10,Jammu Kashmir,Poonch,5,1,6,26,NA,NA,34,142,90,5,NA,NA,615
11,Jammu Kashmir,Pulwama,NA,1,NA,28,NA,4,31,90,114,4,9,NA,796
12,Jammu Kashmir,Rajouri,8,NA,7,23,NA,NA,67,132,91,8,13,NA,633
13,Jammu Kashmir,Srinagar,4,1,17,90,NA,20,263,404,343,39,61,NA,3273
14,Jammu Kashmir,Udhampur,10,1,14,35,2,3,167,198,56,9,3,NA,1076
15,Jammu Kashmir,Railways,1,NA,NA,NA,NA,NA,1,39,NA,NA,NA,NA,54
1,Karnataka,Bangalore City,65,7,23,73,15,219,1902,8052,638,197,550,97,22202
2,Karnataka,Bangalore District,44,2,3,3,13,13,461,641,239,6,11,2,4176
3,Karnataka,Kolar,42,2,4,6,1,5,274,445,135,6,15,8,2225
4,Karnataka,K.G.F.,7,NA,2,6,2,2,161,230,123,3,5,2,903
5,Karnataka,Tumkur,30,1,3,9,13,21,533,798,291,20,33,1,3985
6,Karnataka,Shimoga,33,NA,2,9,5,12,371,470,259,16,22,NA,3024
7,Karnataka,ChitraDurga,36,NA,7,9,1,6,298,412,307,16,34,2,2372
8,Karnataka,Mysore,47,NA,5,13,4,31,715,1659,204,61,52,5,5185
9,Karnataka,Mandya,26,NA,3,7,26,6,342,381,222,33,11,2,2739
10,Karnataka,Hassan,32,NA,NA,4,8,15,286,351,111,37,4,1,1633
11,Karnataka,Chickmagalur,19,NA,4,1,6,13,200,220,330,4,19,NA,1380
12,Karnataka,Kodagu,24,NA,3,12,3,8,200,266,71,7,6,1,1698
13,Karnataka,Dakshina Kannada,36,NA,2,12,1,5,293,214,220,23,34,8,2710
14,Karnataka,Belgaum,118,1,3,31,9,38,373,868,516,44,73,NA,4129
15,Karnataka,Bijapur,76,1,1,10,8,14,187,391,425,29,32,NA,2491
16,Karnataka,Dharwad,65,NA,1,20,24,24,439,813,469,62,64,3,4041
17,Karnataka,Uttara Kannada,13,NA,2,4,1,7,252,289,149,16,18,1,1658
18,Karnataka,Gulbarga,50,NA,7,15,7,27,227,438,371,31,26,NA,2478
19,Karnataka,Bidar,39,1,2,2,8,22,154,316,165,4,11,NA,1474
20,Karnataka,Raichur,64,2,2,8,11,17,205,269,290,28,44,NA,1878
21,Karnataka,Bellary,19,NA,NA,6,5,4,211,382,181,7,17,2,1695
22,Karnataka,Railways,1,1,NA,NA,NA,4,7,309,17,3,7,NA,403
1,Kerala,Trivendrum City,16,NA,4,1,NA,5,365,455,207,12,19,NA,2149
2,Kerala,Trivendrum Rural,33,3,5,8,5,18,381,318,525,24,27,NA,4704
3,Kerala,Quilon,66,NA,6,8,2,5,245,128,499,11,29,1,3756
4,Kerala,Alleppey,26,NA,3,11,7,21,291,195,522,11,54,NA,4025
5,Kerala,Kottayam,54,NA,9,9,2,8,345,318,264,38,32,NA,3772
6,Kerala,Idukki,42,NA,8,11,3,20,265,171,331,13,15,NA,2492
7,Kerala,Ernakulam City,11,1,NA,5,7,18,341,382,269,23,36,NA,2964
8,Kerala,Ernakulam Rural,41,1,8,8,1,16,320,255,378,21,22,NA,3397
9,Kerala,Trichur,56,NA,10,12,NA,15,295,240,568,21,34,NA,3633
10,Kerala,Palghat,47,NA,17,12,2,17,466,259,451,28,26,NA,3349
11,Kerala,Malappuram,28,1,5,8,2,4,325,181,405,17,35,2,2926
12,Kerala,Calicut City,9,1,3,3,NA,5,201,168,250,11,32,NA,1436
13,Kerala,Kozhikode Rural,19,NA,6,8,NA,5,221,99,245,15,11,2,1860
14,Kerala,Wynad,27,NA,1,2,4,8,69,74,97,2,2,NA,996
15,Kerala,Cannanore,36,1,11,13,3,6,325,170,621,14,73,NA,4123
16,Kerala,Railways,NA,NA,NA,NA,NA,NA,6,87,12,NA,2,NA,175
17,Kerala,Crime Branch CID,17,NA,NA,1,1,NA,9,3,1,7,107,130,330
1,Madhya Pradesh,Gwalior,89,1,19,24,14,212,807,1705,257,15,53,NA,5657
2,Madhya Pradesh,Bhind,72,NA,9,21,17,49,428,566,235,21,39,NA,2677
3,Madhya Pradesh,Morena,86,1,11,22,7,65,349,971,349,18,38,NA,4126
4,Madhya Pradesh,Shivpuri,43,2,24,18,9,45,265,345,122,8,17,NA,2188
5,Madhya Pradesh,Guna,47,1,37,16,9,51,354,582,216,25,28,NA,2979
6,Madhya Pradesh,Datiya,26,NA,3,3,6,20,134,215,37,2,7,1,861
7,Madhya Pradesh,Indore,63,19,32,52,8,128,1130,3538,253,108,114,2,10276
8,Madhya Pradesh,Dhar,68,2,48,27,16,75,427,1277,230,43,17,NA,4201
9,Madhya Pradesh,Jhabua,199,2,15,70,34,147,225,501,108,37,17,1,3038
10,Madhya Pradesh,Khargoan,67,1,42,44,9,83,395,1342,158,65,34,NA,4087
11,Madhya Pradesh,Khandawa,34,3,9,20,8,42,295,937,81,15,19,NA,2947
12,Madhya Pradesh,Ujjain,57,1,37,22,5,79,793,2153,246,60,56,1,6683
13,Madhya Pradesh,Mandsaur,34,1,19,35,NA,52,786,1633,158,103,27,NA,4644
14,Madhya Pradesh,Ratlam,39,NA,35,14,1,49,527,1299,133,136,40,NA,4076
15,Madhya Pradesh,Dewas,34,1,37,25,6,43,482,1398,207,16,26,NA,3843
16,Madhya Pradesh,Shajapur,42,NA,2,18,2,33,433,696,216,8,16,NA,2567
17,Madhya Pradesh,Jabalpur,94,2,43,39,7,71,1179,2564,675,49,91,2,10195
18,Madhya Pradesh,Mandla,34,NA,27,14,4,31,445,493,47,29,51,1,2277
19,Madhya Pradesh,Chindwada,61,1,48,11,8,42,407,954,100,29,20,NA,3842
20,Madhya Pradesh,Balaghat,38,NA,33,17,2,26,392,663,44,35,32,NA,2516
21,Madhya Pradesh,Seoni,32,NA,18,4,3,21,318,606,57,23,24,NA,2057
22,Madhya Pradesh,Narsinghpur,43,NA,19,11,4,22,316,534,49,4,9,NA,1801
23,Madhya Pradesh,Sagar,54,1,30,25,10,99,680,942,166,32,47,NA,4667
24,Madhya Pradesh,Panna,26,NA,4,4,13,40,214,217,46,3,7,NA,1101
25,Madhya Pradesh,Damoh,33,NA,14,8,15,43,376,422,112,21,21,NA,2348
26,Madhya Pradesh,Chhatarpur,56,1,26,15,24,90,333,367,87,5,10,NA,2127
27,Madhya Pradesh,Tikamgarh,21,NA,12,11,8,36,209,310,77,8,9,NA,1493
28,Madhya Pradesh,Raipur,54,4,55,26,8,90,1058,2520,187,65,56,6,7446
29,Madhya Pradesh,Durg,62,1,48,36,14,68,857,1959,140,51,47,7,5793
30,Madhya Pradesh,Rajnandgaon,23,NA,26,11,1,23,404,804,84,32,39,2,2772
31,Madhya Pradesh,Bastar,186,NA,31,42,11,66,531,980,168,27,33,NA,3952
32,Madhya Pradesh,Bilaspur,101,NA,18,28,6,64,1233,2498,218,63,62,1,7322
33,Madhya Pradesh,Raigarh,37,NA,25,26,10,43,443,821,140,25,53,3,3375
34,Madhya Pradesh,Surguja,95,NA,31,18,15,63,912,1014,118,19,31,NA,4159
35,Madhya Pradesh,Reva,42,NA,13,19,17,39,654,833,160,13,18,NA,3107
36,Madhya Pradesh,Satna,33,NA,15,17,15,57,507,515,100,11,23,NA,2396
37,Madhya Pradesh,Sidhi,25,NA,11,21,11,20,396,382,45,8,9,NA,1660
38,Madhya Pradesh,Shahdol,41,1,13,17,7,29,493,449,94,20,11,1,2384
39,Madhya Pradesh,Sehore,28,NA,22,11,5,19,293,580,146,11,98,NA,2227
40,Madhya Pradesh,Raisen,50,NA,24,11,18,48,356,616,125,16,9,1,2453
41,Madhya Pradesh,Hoshangabad,62,2,40,18,9,38,351,795,105,21,22,NA,2958
42,Madhya Pradesh,Betul,53,2,17,NA,9,29,204,508,71,9,24,NA,2230
43,Madhya Pradesh,Vidisha,43,NA,37,26,4,44,282,857,120,22,27,1,3213
44,Madhya Pradesh,Rajgarh,32,NA,19,13,16,38,349,645,139,18,20,NA,2521
45,Madhya Pradesh,Bhopal,47,NA,27,39,6,136,896,2292,106,37,75,NA,8386
46,Madhya Pradesh,S.Railway Police Jabalpur,3,NA,3,1,1,24,7,360,4,3,9,NA,523
47,Madhya Pradesh,S.Railway Police Raipur,1,NA,2,17,NA,12,14,441,5,2,13,NA,593
48,Madhya Pradesh,S.Railway Police Indore,1,NA,2,1,2,17,13,326,17,4,3,NA,492
49,Madhya Pradesh,Railway Police Bhopal,5,1,2,3,2,45,33,797,6,3,6,NA,1074
1,Maharashtra,Thane Rural,105,NA,14,10,49,107,620,704,260,65,9,2,4559
2,Maharashtra,Raigard,43,1,6,17,28,55,402,637,269,36,21,4,3291
3,Maharashtra,Ratnagiri,24,NA,4,8,6,17,327,258,84,47,3,9,1651
4,Maharashtra,Sindhudurg,14,NA,2,5,4,42,185,134,47,7,5,NA,931
5,Maharashtra,Ahmednagar,64,NA,14,10,10,102,386,1092,348,72,39,4,3643
6,Maharashtra,Nasik,78,NA,20,20,38,107,894,1919,519,154,68,6,6896
7,Maharashtra,Dhulo,81,NA,17,14,40,54,345,1140,283,62,39,2,3745
8,Maharashtra,Jalgaon,60,2,12,8,17,66,389,1320,417,68,17,6,4322
9,Maharashtra,Pune Rural,71,1,27,10,17,63,419,722,158,43,20,2,3237
10,Maharashtra,Satara,65,1,13,24,13,45,535,1028,164,59,36,3,3117
11,Maharashtra,Sangli,58,NA,7,17,8,29,269,725,100,54,27,3,2236
12,Maharashtra,Solapur,97,1,8,22,42,163,507,936,728,78,41,NA,4073
13,Maharashtra,Kolhapur,60,1,16,8,11,34,395,966,180,83,51,2,2698
14,Maharashtra,Aurangabad,37,NA,10,36,17,94,480,1437,262,51,40,NA,4230
15,Maharashtra,Jalna,22,NA,NA,12,20,63,252,737,270,13,16,NA,2260
16,Maharashtra,Parbhani,40,1,3,25,34,121,288,770,259,40,36,NA,2769
17,Maharashtra,Beed,44,NA,4,18,20,141,292,624,228,48,18,NA,2443
18,Maharashtra,Nanded,38,1,14,18,23,110,331,778,247,58,33,NA,2966
19,Maharashtra,Osmanabad,24,NA,9,12,17,73,158,540,77,17,24,NA,1623
20,Maharashtra,Nagpur,45,1,7,19,17,89,262,683,143,22,28,NA,2107
21,Maharashtra,Buldhana,41,NA,17,16,9,67,40,1502,204,40,31,NA,4161
22,Maharashtra,Akola,67,NA,15,27,22,109,928,2868,228,74,58,1,6886
23,Maharashtra,Amravati,67,NA,34,52,19,189,1053,3906,271,63,79,2,8542
24,Maharashtra,Yavatmal,36,NA,26,14,15,37,436,1660,255,47,79,NA,4391
25,Maharashtra,Wardha,36,NA,8,20,7,64,547,1302,130,31,43,1,3410
26,Maharashtra,Nagpur (Rural),44,NA,19,13,8,63,430,1154,111,36,22,NA,3538
27,Maharashtra,Bhandara,75,3,23,23,2,43,605,1084,143,67,53,NA,3878
28,Maharashtra,Chandrapur,40,NA,12,7,5,55,262,855,85,29,23,NA,3051
29,Maharashtra,Gadchiroli,22,NA,1,9,4,15,115,230,27,10,5,NA,894
30,Maharashtra,Bombay Railways,8,NA,6,4,11,110,8,2934,43,35,31,3,3396
31,Maharashtra,Pune Railways,7,NA,1,2,5,29,2,917,46,9,5,1,1150
32,Maharashtra,Nagpur Railways,4,NA,3,5,7,42,16,1205,8,15,9,1,1467
33,Maharashtra,Thane City,67,NA,21,56,55,293,1546,2828,715,148,114,6,9645
34,Maharashtra,Pune City,50,NA,15,47,10,114,707,2269,1518,80,121,4,7892
35,Maharashtra,Nagpur City,51,1,34,42,19,191,750,2363,191,73,138,15,5993
36,Maharashtra,Greater Bombay,249,9,70,196,84,617,1929,15926,413,716,820,55,34696
1,Manipur,South District,7,NA,2,4,2,1,31,31,NA,7,7,1,155
2,Manipur,West District,NA,NA,NA,NA,2,NA,7,12,4,2,7,NA,70
3,Manipur,North District,6,NA,1,5,5,8,8,36,15,NA,3,NA,183
4,Manipur,East District,6,NA,NA,1,2,6,10,23,8,5,6,NA,109
5,Manipur,Tengnoupal,3,1,2,1,4,3,5,24,6,3,NA,NA,86
6,Manipur,Central District,48,1,10,170,14,72,189,501,157,51,104,6,2478
1,Meghalaya,East Khasi Hills,26,NA,8,13,9,28,111,291,47,6,19,NA,924
2,Meghalaya,West Khasi Hills,15,NA,1,3,2,3,3,26,1,2,NA,NA,125
3,Meghalaya,West Garo Hills,10,NA,1,4,11,6,53,147,39,4,3,NA,462
4,Meghalaya,East Garo Hills,1,NA,2,3,3,NA,8,23,1,2,1,NA,78
5,Meghalaya,Jaintia Hills,15,NA,3,NA,1,6,8,28,NA,1,NA,NA,144
1,Nagaland,Dimapur,6,2,4,11,8,40,128,179,11,10,14,NA,413
2,Nagaland,Kohima,3,NA,1,2,1,5,60,76,4,3,10,NA,165
3,Nagaland,Mokoko-Hung,1,NA,NA,6,1,4,32,34,26,16,5,NA,125
4,Nagaland,Tuensang,2,NA,2,NA,2,9,41,43,10,3,4,NA,116
5,Nagaland,Phek,NA,1,NA,1,NA,2,14,28,5,3,2,NA,56
6,Nagaland,Wokha,NA,NA,NA,1,NA,2,5,36,4,NA,4,NA,52
7,Nagaland,Zunhebot,2,1,2,NA,NA,4,44,38,NA,3,2,1,97
8,Nagaland,Mon,4,1,NA,NA,NA,1,4,23,NA,NA,1,NA,34
1,Orissa,Balasore,20,2,7,25,37,32,448,797,376,27,18,1,2953
2,Orissa,Cuttack (R),39,1,7,17,52,67,674,1328,361,37,10,NA,4383
3,Orissa,Cuttack (S ),7,NA,8,11,27,102,511,1128,122,57,46,2,3209
4,Orissa,Ganjam,58,5,6,16,24,55,491,918,324,53,26,NA,5532
5,Orissa,Karaput,77,10,12,10,8,109,576,896,272,39,35,2,3976
6,Orissa,Puri,31,1,5,17,58,62,632,1356,392,43,24,NA,4383
7,Orissa,Sambalpur,40,1,21,22,11,83,901,1292,240,67,35,NA,4660
8,Orissa,Dhenkanal,28,8,5,10,6,28,280,759,77,20,4,NA,2277
9,Orissa,Sundargarh,54,2,20,16,31,53,250,464,36,18,9,NA,1730
10,Orissa,Bolangir,31,1,6,5,5,21,296,594,158,8,19,NA,2107
11,Orissa,Keonjhar,32,6,8,4,12,22,306,440,89,12,7,NA,1849
12,Orissa,Phulbani,18,1,4,6,10,33,237,265,58,13,17,NA,1295
13,Orissa,Mayurbhanj,65,1,18,22,28,38,303,558,75,22,11,NA,2160
14,Orissa,Kalahandi,27,NA,11,6,7,36,376,483,106,13,15,NA,2013
15,Orissa,Raurkella,11,2,13,14,7,49,227,672,80,8,16,NA,2037
16,Orissa,Govt. Rly. Police,4,NA,2,4,3,21,63,636,31,4,11,NA,939
17,Orissa,Bhubaneswar,10,NA,3,13,7,62,393,943,81,51,24,3,2557
1,Punjab,Ferozepur Range,169,34,13,46,NA,8,221,386,3,77,74,NA,2796
2,Punjab,Patiala Range,182,57,16,101,NA,7,403,701,35,129,73,1,3813
3,Punjab,Jullundhur Range,224,60,24,98,1,8,470,901,34,163,160,2,5654
1,Rajasthan,Ajmer,38,5,11,64,3,46,402,561,342,60,79,NA,2996
2,Rajasthan,Bhilwara,23,3,8,139,2,45,341,487,433,67,107,NA,3069
3,Rajasthan,Nagaur,27,NA,17,49,12,86,222,320,542,22,53,NA,2808
4,Rajasthan,Jaipur,71,7,15,181,8,2149,899,2782,1813,113,285,7,9841
5,Rajasthan,Sikar,35,NA,8,19,5,31,189,333,572,21,62,NA,2028
6,Rajasthan,Jhunjhunu,21,3,5,7,2,12,79,163,310,15,23,NA,1218
7,Rajasthan,Tonk,19,NA,4,52,NA,15,134,328,35,19,33,NA,1646
