SL. No.,Category,State/U.Ts/Cities,Total Cognizable Crime - Male,Total Cognizable Crime - Female,Murder - Male,Murder - Female,Culpable Homicide Not Amounting to Murder - Male,Culpable Homicide Not Amounting to Murder - Female,Rape - Male,Rape - Female,Kidnapping & Abduction - Male,Kidnapping & Abduction - Female,Dacoity - Male,Dacoity - Female,Robbery - Male,Robbery - Female,Burglary - Male,Burglary - Female,Thefts - Male,Thefts - Female,Riots - Male,Riots - Female,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Cheating - Male,Cheating - Female,Counterfeiting - Male,Counterfeiting - Female
11,State,Maharashtra,217984,9847,4305,229,44,2,715,9,958,55,3560,57,4305,55,14683,518,32721,1541,54553,1943,2646,33,2218,33,210,NA
12,State,Manipur,4213,46,131,NA,2,NA,32,NA,283,NA,73,NA,118,NA,180,NA,559,NA,678,45,99,1,167,NA,1,NA
13,State,Meghalaya,2400,96,104,4,NA,NA,17,NA,30,NA,97,NA,55,NA,220,1,515,21,237,24,12,NA,31,NA,NA,NA
14,State,Nagaland,990,NA,26,NA,5,NA,15,NA,20,NA,24,NA,73,NA,270,NA,360,NA,129,NA,23,NA,44,NA,1,NA
15,State,Orissa,87872,265,1602,13,90,NA,293,NA,223,8,1799,1,1229,1,6455,26,15084,70,21309,118,400,NA,348,5,9,NA
16,State,Punjab,21996,256,1410,44,300,4,86,2,328,13,2,NA,47,NA,1099,8,2327,30,236,NA,619,NA,458,10,3,NA
17,State,Rajasthan,113970,5416,2277,82,63,2,401,14,1681,26,549,2,1501,4,4264,304,7331,756,42570,2096,507,1,910,24,NA,NA
18,State,Sikkim,172,1,9,1,1,NA,4,NA,NA,NA,7,NA,6,NA,16,NA,48,NA,21,NA,8,NA,5,NA,NA,NA
19,State,Tamil Nadu,165369,5273,3534,127,24,NA,232,NA,778,23,147,2,369,1,5473,100,17974,500,55289,3041,859,14,721,22,109,NA
20,State,Tripura,7006,389,203,21,80,9,24,NA,181,2,467,NA,252,6,638,57,857,98,1550,100,44,NA,33,NA,1,NA
21,State,Uttar Pradesh,236101,868,16072,101,3609,27,1195,16,3899,298,19226,26,6772,10,17156,58,23651,184,56863,132,2739,7,2166,5,25,1
22,State,West Bengal,131905,1899,2698,60,1204,10,627,1,1237,49,5770,10,1884,NA,3301,13,23591,397,58834,610,1288,3,990,2,61,NA
Total (States),State,Total (States),1930171,42993,54800,1195,6561,82,7257,57,16264,742,47107,226,26341,182,99095,1832,225797,5419,552999,14045,16119,92,14475,176,725,2
23,UT,A & N Islands,1001,61,5,1,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,24,NA,168,5,302,18,8,NA,4,NA,NA,NA
24,UT,Arunachal Pradesh,1091,2,22,2,5,NA,8,NA,18,NA,16,NA,43,NA,80,NA,219,NA,141,NA,6,NA,4,NA,NA,NA
25,UT,Chandigarh,1345,33,9,5,6,NA,3,NA,13,NA,NA,NA,11,NA,34,NA,206,16,155,NA,28,1,49,NA,NA,NA
26,UT,D & N Haveli,168,2,10,NA,NA,NA,2,NA,4,NA,NA,NA,2,NA,6,NA,61,NA,64,1,10,1,9,NA,NA,NA
27,UT,Delhi,20731,206,286,25,411,6,71,4,297,12,274,NA,157,NA,684,7,1883,36,567,4,243,2,334,NA,11,NA
28,UT,"Goa, Daman & Diu",3702,311,23,2,4,1,2,NA,11,1,18,NA,40,3,319,28,521,55,1131,116,40,3,39,NA,1,NA
29,UT,Lakshadweep,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,UT,Mizoram,2196,183,24,NA,10,NA,33,NA,12,NA,8,NA,56,1,53,NA,165,7,18,5,117,2,31,NA,7,1
31,UT,Pondicherry,2638,135,12,NA,NA,NA,5,NA,5,NA,2,NA,7,NA,89,NA,214,12,803,9,12,2,14,3,3,NA
Total (UTs),UT,Total (UTs),32887,933,391,35,436,7,124,4,370,13,318,NA,316,4,1294,35,3440,131,3181,153,464,11,484,3,22,1
Total (All-India),Total (All-India),Total (All-India),1963604,43926,55191,1230,6997,89,7381,61,16634,755,47425,226,26657,186,100389,1867,229237,5550,556180,14198,16583,103,14959,179,747,3
1,City,Ahmedabad,14927,491,111,10,2,NA,9,NA,103,10,81,2,63,3,521,3,1591,81,2147,75,96,6,186,8,5,1
2,City,Bangalore,7698,102,152,5,5,NA,17,NA,12,4,11,NA,163,NA,407,6,1312,47,917,18,57,2,137,10,90,NA
3,City,Bombay,29112,333,535,2,14,NA,92,NA,212,14,436,3,728,NA,1356,8,6122,110,3210,72,605,11,542,5,4,NA
4,City,Calcutta,21238,168,137,6,16,NA,24,NA,129,4,188,NA,534,NA,805,NA,7603,81,2890,NA,283,2,352,NA,30,NA
5,City,Delhi,20696,206,261,20,395,6,61,4,288,12,269,NA,147,NA,673,7,1833,36,539,2,243,2,284,NA,11,NA
6,City,Hyderabad,3966,331,62,2,3,NA,27,NA,40,3,20,NA,73,NA,390,7,913,18,1008,15,27,NA,105,7,NA,NA
7,City,Jaipur,4481,297,32,3,1,NA,10,NA,74,2,33,NA,68,NA,249,2,555,6,1421,176,23,NA,67,NA,NA,NA
8,City,Kanpur,5032,10,290,5,52,3,27,NA,130,2,140,NA,98,NA,358,NA,552,NA,914,NA,80,NA,127,NA,NA,NA
9,City,Lucknow,NA,NA,367,20,34,9,37,NA,122,2,387,2,188,NA,407,NA,947,3,1033,NA,132,NA,77,NA,19,NA
10,City,Madras,9025,371,51,1,2,NA,20,NA,31,1,1,NA,69,NA,287,11,2910,98,817,2,226,2,234,1,NA,NA
11,City,Nagpur,5615,177,117,2,2,NA,72,NA,37,1,92,NA,278,NA,357,1,898,56,639,37,136,3,135,9,1,NA
12,City,Pune,10617,912,85,6,NA,NA,25,NA,43,5,33,NA,152,11,592,18,1378,87,1467,53,91,3,165,6,40,3
Total (Cities),City,Total (Cities),132407,3398,2200,82,526,18,421,4,1221,60,1691,7,2561,14,6402,63,26614,623,17002,450,1999,31,2411,46,203,4
