SL. No.,Category,States/U.Ts./Cities,By Religion - Hindu,By Religion - Muslim,By Religion - Sikh,By Religion - Christian,By Religion - Other,By Religion - Total,By Community - Schedule Caste,By Community - Schedule Tribe,By Community - Other,By Community - Total,By Education - Illiterate,By Education - Below Primary,By Education - Above Primary But Below Matric/Hr. Sec.,By Education - Matric/ Higher Secondary and Above,By Education - Total,By Family Background - Living with Parents,By Family Background - Living with Guardians,By Family Background - Homeless,By Family Background - Total,By Economic Set-Up - Lower Income (Below Rs. 150/PM),By Economic Set-Up - Lower Middle Income (Above Rs.150 But Below Rs. 500 P.M.),By Economic Set-Up - Upper Middle Income (Above Rs. 500 But Below Rs.1000P.M.),By Economic Set-Up - Upper Income (Above Rs. 1000 P.M.),By Economic Set-Up - Total,Recidivism - New Delinquents,Recidivism - Old Delinquents,Recidivism - Total
3,City,Bombay,1163,445,65,95,391,2159,1395,85,679,2159,1235,138,138,401,2159,1437,295,427,2159,1665,325,169,NA,2159,1843,316,2159
4,City,Calcutta,166,110,NA,2,NA,278,NA,NA,278,278,118,22,22,NA,278,220,32,26,278,214,64,NA,NA,278,278,NA,278
5,City,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,City,Hyderabad,803,392,61,53,142,1451,234,97,1120,1451,773,422,422,63,1451,522,695,234,1451,798,583,62,8,1451,1152,299,1451
7,City,Jaipur,114,122,13,5,72,326,39,49,238,326,63,109,109,63,326,326,NA,NA,326,NA,NA,NA,NA,NA,326,NA,326
8,City,Kanpur,5,NA,NA,NA,NA,5,NA,NA,5,5,NA,NA,NA,NA,NA,5,NA,NA,5,NA,5,NA,NA,5,5,NA,5
9,City,Lucknow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,City,Madras,7365,710,11,923,NA,9009,2318,284,6407,9009,4382,812,812,29,9009,6111,2605,293,9009,4819,3903,259,28,9009,7717,1292,9009
11,City,Nagpur,2815,1165,113,89,948,5130,1439,1119,2572,5130,1123,1793,1793,757,5130,2986,1385,759,5130,2359,1474,1297,NA,5130,3717,1413,5130
12,City,Pune,3329,1364,183,565,311,5752,938,561,4253,5752,689,1123,1123,266,5752,4041,1171,540,5752,1207,3717,765,63,5752,4876,876,5752
Total (Cities),City,Total (Cities),25490,6091,556,2084,3490,37711,8682,7768,21261,37711,16083,6048,6048,2482,37706,27125,7769,2817,37711,20316,13266,3594,209,37385,31709,6002,37711
