SL. No.,Category,States/UTs/Cities,Murder - Incidence (I),Murder - Volume (V),Culpable Homicide Not Amounting to Murder - Incidence (I),Culpable Homicide Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Theft - Incidence (I),Theft - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Other IPC Crimes - Incidence (I),Other IPC Crimes - Volume (V),Total Cognizable Crimes Under IPC - Incidence (I),Total Cognizable Crimes Under IPC - Volume (V)
20,State,Sikkim,4,1,2,0.5,5,1.3,5,1.3,1,0.3,8,2.1,44,11.4,77,20,9,2.3,22,5.7,14,3.6,NA,NA,182,47.3,373,96.9
21,State,Tamil Nadu,1422,2.7,22,Neg.,252,0.5,686,1.3,79,0.1,444,0.8,8899,16.8,25205,47.7,8810,16.7,962,1.8,1353,2.6,296,0.6,67846,128.4,116276,220
22,State,Tripura,127,5.4,1,Neg.,38,1.6,57,2.4,119,5.1,135,5.8,748,31.9,896,38.2,369,15.7,31,1.3,19,0.8,NA,NA,2174,92.8,4714,201.2
23,State,Uttar Pradesh,6836,5.5,2051,1.7,1292,1,3664,3,3660,3,8142,6.6,24310,19.6,50347,40.6,10315,8.3,4548,3.7,3603,2.9,80,0.1,65970,53.2,184818,149.2
24,State,West Bengal,1372,2.3,585,1,612,1,965,1.6,867,1.4,848,1.4,2013,3.3,27702,45.7,8059,13.3,1010,1.7,1017,1.7,140,0.2,23336,38.5,68526,113
Total (States),State,Total (States),26725,3.6,3980,0.5,7843,1,14767,2,10385,1.4,22110,2.9,126064,16.7,308235,40.8,93370,12.4,18383,2.4,21411,2.8,1648,0.2,711163,94.1,1366284,180.9
25,UT,A & N Islands,12,5,2,0.8,2,0.8,3,1.2,NA,NA,1,0.4,65,26.9,117,48.3,28,11.6,12,5,16,6.6,NA,NA,461,190.5,719,297.1
26,UT,Chandigarh,9,1.5,NA,NA,5,0.8,18,3,NA,NA,8,1.3,108,18,725,120.6,9,1.5,28,4.7,85,14.1,2,0.3,513,85.4,1510,251.2
27,UT,D & N Haveli,6,5,NA,NA,NA,NA,4,3.4,1,0.8,6,5,22,18.5,54,45.4,22,18.5,8,6.7,2,1.7,NA,NA,339,284.9,464,389.9
28,UT,Delhi,276,3.6,204,2.6,89,1.2,857,11.1,40,0.5,203,2.6,1884,24.4,12543,162.3,179,2.3,521,6.7,985,12.7,22,0.3,12025,155.6,29828,385.9
29,UT,"Goa, Daman & Diu",27,2.2,9,0.7,8,0.6,14,1.1,16,1.3,59,4.8,645,52.2,1217,98.5,470,38.1,49,4,53,4.3,11,0.9,2072,167.8,4650,376.5
30,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6.8,6,13.6,2,4.5,2,4.5,NA,NA,NA,NA,7,15.9,20,45.5
31,UT,Pondicherry,14,2,NA,NA,5,0.7,4,0.6,2,0.3,8,1.2,155,22.7,636,93.1,117,17.1,18,2.6,27,4,4,0.6,1370,200.6,2360,345.5
Total (UTs),UT,Total (UTs),344,3.2,215,2,109,1,900,8.4,59,0.6,285,2.7,2882,27.1,15298,143.6,827,7.8,638,6,1168,11,39,0.4,16797,157.6,39551,371.3
All India,All India,All India,27269,3.6,4195,0.5,7952,1,15667,2,10444,1.4,22395,2.9,128946,16.8,323533,42.2,94197,12.3,19021,2.5,22579,2.9,1687,0.2,727950,95,1405835,183.5
1,City,Ahmedabad,111,NA,4,NA,4,NA,103,NA,8,NA,69,NA,677,NA,2989,NA,390,NA,155,NA,175,NA,14,NA,5806,NA,10505,NA
2,City,Bangalore,69,NA,3,NA,25,NA,84,NA,9,NA,211,NA,1120,NA,6467,NA,292,NA,209,NA,655,NA,185,NA,7263,NA,16592,NA
3,City,Bombay,297,NA,NA,NA,102,NA,230,NA,70,NA,741,NA,2444,NA,15821,NA,223,NA,892,NA,1131,NA,119,NA,14573,NA,36643,NA
4,City,Calcutta,69,NA,14,NA,31,NA,141,NA,26,NA,242,NA,557,NA,7065,NA,582,NA,363,NA,474,NA,30,NA,4419,NA,14013,NA
5,City,Delhi,227,NA,165,NA,72,NA,799,NA,30,NA,177,NA,1769,NA,11996,NA,154,NA,491,NA,966,NA,22,NA,10945,NA,27813,NA
6,City,Hyderabad,50,NA,NA,NA,23,NA,53,NA,12,NA,78,NA,1294,NA,3133,NA,310,NA,74,NA,289,NA,44,NA,2121,NA,7481,NA
7,City,Jaipur,34,NA,3,NA,4,NA,88,NA,1,NA,21,NA,362,NA,1115,NA,732,NA,105,NA,229,NA,28,NA,2266,NA,4988,NA
8,City,Kanpur,133,NA,37,NA,27,NA,187,NA,46,NA,204,NA,834,NA,2488,NA,279,NA,428,NA,325,NA,21,NA,2623,NA,7632,NA
9,City,Lucknow,78,NA,22,NA,19,NA,111,NA,17,NA,96,NA,596,NA,2739,NA,199,NA,249,NA,319,NA,2,NA,367,NA,4814,NA
10,City,Madras,64,NA,2,NA,16,NA,26,NA,3,NA,54,NA,438,NA,4462,NA,134,NA,213,NA,421,NA,125,NA,7508,NA,13466,NA
11,City,Nagpur,76,NA,7,NA,63,NA,81,NA,13,NA,271,NA,737,NA,2868,NA,232,NA,95,NA,161,NA,18,NA,4210,NA,8832,NA
12,City,Pune,65,NA,2,NA,27,NA,75,NA,12,NA,135,NA,887,NA,2534,NA,236,NA,124,NA,145,NA,14,NA,5166,NA,9422,NA
Total (Cities),City,Total (Cities),1273,NA,259,NA,413,NA,1978,NA,247,NA,2299,NA,11715,NA,63677,NA,3763,NA,3398,NA,5290,NA,622,NA,67267,NA,162201,NA
