SL. No.,Category,States/U.Ts/Cities,Residential Premises - Number of Cases Reported,Residential Premises - Value of Property Stolen,Highways - Number of Cases Reported,Highways - Value of Property Stolen,Rivers & Seas - Number of Cases Reported,Rivers & Seas - Value of Property Stolen,Railways - Number of Cases Reported,Railways - Value of Property Stolen,Banks - Number of Cases Reported,Banks - Value of Property Stolen,Commercial Establishments - Number of Cases Reported,Commercial Establishments - Value of Property Stolen,Other Places - Number of Cases Reported,Other Places - Value of Property Stolen,Total - Number of Cases Reported,Total - Value of Property Stolen
27,UT,D & N Haveli,1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,1,0.03,4,0.02,6,0.06
28,UT,Delhi,78,6.74,33,3.21,NA,NA,1,NA,2,0.14,36,3.7,53,3.15,203,16.94
29,UT,"Goa, Daman & Diu",10,3.88,3,0.03,NA,NA,NA,NA,NA,NA,NA,NA,46,3.68,59,7.59
30,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,UT,Pondicherry,3,0.32,3,0.14,NA,NA,NA,NA,NA,NA,NA,NA,2,0.23,8,0.69
Total (UTs),UT,Total (UTs),96,11.22,39,3.38,NA,NA,1,NA,3,1.48,37,3.73,109,7.25,285,27.06
All India,All India,All India,8275,424.08,3033,199.63,7,0.03,374,9.38,71,61.98,597,58.25,10038,692.42,22395,1445.77
1,City,Ahmedabad,7,0.63,5,4.02,1,0.03,NA,NA,3,4.58,NA,NA,53,3.98,69,13.24
2,City,Bangalore,35,1.91,1,NA,NA,NA,NA,NA,NA,NA,6,0.22,169,4.81,211,6.94
3,City,Bombay,115,45.98,49,8.68,NA,NA,1,0,4,11.69,74,15.81,498,219.42,741,301.58
4,City,Calcutta,39,5.24,164,6.54,NA,NA,NA,NA,1,0.31,9,9.88,29,4.25,242,26.22
5,City,Delhi,72,5.21,30,2.7,NA,NA,1,NA,2,0.14,33,2.79,39,1.65,177,12.49
6,City,Hyderabad,14,2.27,43,0.8,NA,NA,NA,NA,3,0.19,1,0.02,17,1.36,78,4.64
7,City,Jaipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0.19,21,0.19
8,City,Kanpur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,5.72,204,5.72
9,City,Lucknow,71,4.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,2.45,96,7.13
10,City,Madras,18,0.49,33.3,0.93,NA,NA,NA,NA,NA,NA,3,0.11,NA,NA,54,1.53
11,City,Nagpur,22,0.18,3,0.02,NA,NA,NA,NA,NA,NA,29,0.47,217,2.2,271,2.86
12,City,Pune,32,0.75,8,0.13,NA,NA,NA,NA,1,0.13,3,0.21,91,2.82,135,4.05
Total (Cities),City,Total (Cities),425,67.34,336,23.82,1,0.03,2,NA,14,17.04,158,29.51,1363,248.85,2299,386.59
