SL. No.,States/UTs,Cities,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Theft,Riot,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
7,Karnataka,Mysore,8,NA,2,2,2,15,194,592,180,11,42,2,1000
8,Karnataka,Mandya,4,NA,NA,3,NA,2,68,85,18,8,6,2,411
9,Karnataka,Mangalore,4,NA,1,1,NA,3,57,75,30,5,14,15,292
10,Karnataka,Belgaum,6,2,1,2,1,5,134,218,71,6,42,13,826
11,Karnataka,Bijapur,8,NA,2,6,1,4,30,40,20,3,18,2,151
12,Karnataka,Dharwar,NA,NA,NA,3,4,5,69,108,19,8,24,4,471
13,Karnataka,Hubli,4,NA,1,4,4,17,122,254,57,12,34,19,1026
14,Karnataka,Gadag Betgery,5,NA,1,NA,2,1,30,49,19,5,10,2,235
15,Karnataka,Raichur,5,NA,1,NA,2,2,51,73,33,2,8,NA,350
16,Karnataka,Gulbarga,4,NA,NA,3,4,8,101,175,39,4,12,1,639
17,Karnataka,Bellary,5,NA,NA,NA,NA,2,39,72,50,4,14,3,357
18,Karnataka,Hospet,2,1,NA,1,NA,2,43,48,4,2,3,1,228
1,Kerala,Trivendrum City,17,3,2,12,3,15,365,393,336,26,108,NA,3599
2,Kerala,Alleppey Town,34,14,4,16,3,10,306,181,498,17,112,4,4866
3,Kerala,Ernakulam City,4,1,2,5,4,10,243,310,165,27,90,9,2598
4,Kerala,Calicut City,9,1,NA,2,NA,4,150,139,174,18,54,13,1989
1,Madhya Pradesh,Gwalior,50,2,15,27,NA,82,479,940,79,14,55,NA,3988
2,Madhya Pradesh,Indore,68,NA,54,56,1,80,962,2818,178,85,157,NA,11529
3,Madhya Pradesh,Ujjain,7,NA,16,17,2,31,232,554,57,18,48,NA,5110
4,Madhya Pradesh,Khandwa,4,NA,2,NA,NA,14,58,152,7,8,4,NA,847
5,Madhya Pradesh,Jabalpur,58,3,22,19,2,58,576,1153,152,28,88,NA,6475
6,Madhya Pradesh,Sagur,16,NA,11,8,NA,9,175,246,18,7,23,1,1499
7,Madhya Pradesh,Raipur,91,2,89,45,7,91,1045,1762,259,75,75,3,7849
8,Madhya Pradesh,Bhilai Zone,19,NA,13,5,NA,20,255,600,21,17,15,NA,2639
9,Madhya Pradesh,Ratlam,6,NA,9,1,NA,10,109,249,12,13,13,NA,944
10,Madhya Pradesh,Bhopal,43,NA,34,41,9,140,541,1453,115,13,76,NA,8494
1,Maharashtra,Bombay,297,NA,102,230,70,741,2444,15821,223,892,1131,119,36643
2,Maharashtra,Nasik City,11,NA,8,5,1,21,158,476,38,11,24,NA,1219
3,Maharashtra,Malegaon City,2,NA,1,NA,NA,8,98,284,44,10,11,NA,868
4,Maharashtra,Pune City,65,2,27,75,12,135,887,2534,236,124,145,14,9422
5,Maharashtra,Sangli,11,NA,6,4,4,13,89,353,28,20,27,3,857
6,Maharashtra,Nanded,22,NA,3,8,1,122,90,215,21,14,15,NA,829
7,Maharashtra,Jalgaon,15,NA,2,1,1,12,73,189,14,7,18,NA,686
8,Maharashtra,Bhusawal,13,5,4,5,3,5,42,141,8,6,4,NA,441
9,Maharashtra,Aurangabad,19,NA,4,14,3,73,658,653,80,26,31,NA,1845
10,Maharashtra,Akola,12,1,7,16,1,72,252,994,17,33,39,4,2402
11,Maharashtra,Thane City,18,NA,11,16,12,84,343,900,95,55,62,2,3100
12,Maharashtra,Ulhasnagar,23,NA,6,15,4,44,287,405,61,16,17,7,1557
13,Maharashtra,Nagpur,76,7,63,81,13,271,686,2868,232,95,161,18,8832
14,Maharashtra,Jalana,4,NA,4,4,2,6,30,164,16,24,14,NA,400
15,Maharashtra,Dhule,4,NA,2,4,1,14,75,191,14,8,11,NA,664
16,Maharashtra,Kolhapur,6,NA,4,14,5,16,335,119,49,23,24,11,709
17,Maharashtra,Ahmednagar,3,NA,2,2,1,5,54,147,4,NA,7,1,351
18,Maharashtra,Solapur,16,1,3,10,NA,22,82,395,25,18,40,19,1672
1,Manipur,Imphal City,19,1,3,122,6,26,144,241,77,34,102,2,1337
1,Orissa,Cuttack,24,NA,10,31,20,61,440,1001,86,90,47,NA,2280
2,Orissa,Bhubanesvar,3,NA,3,23,2,58,376,811,29,42,29,4,1504
3,Orissa,Barhampur,4,NA,1,2,NA,13,113,121,15,4,1,NA,374
4,Orissa,Rourkela,1,1,15,15,7,19,155,357,107,11,17,1,782
1,Punjab,Amritsar,133,5,2,11,1,44,33,165,NA,13,22,NA,973
2,Punjab,Jalandhar,31,2,1,11,NA,12,78,148,1,19,18,NA,440
3,Punjab,Patiala,16,1,1,5,NA,4,48,90,1,13,9,NA,293
4,Punjab,Sangrur,7,1,1,2,NA,2,46,47,NA,10,4,NA,738
5,Punjab,Ludhiana,36,9,1,16,1,19,93,108,1,12,46,NA,732
6,Punjab,Bhatinda,8,NA,2,6,NA,NA,44,49,4,5,11,NA,196
1,Rajasthan,Ajmer,16,NA,8,45,NA,25,167,277,139,33,81,NA,1542
2,Rajasthan,Jaipur City,34,3,4,88,1,21,362,1115,732,105,229,28,4988
3,Rajasthan,Bikaner,6,2,4,11,NA,2,103,193,82,11,20,NA,942
4,Rajasthan,Jodhpur,19,2,3,48,NA,14,199,333,185,16,97,NA,1679
5,Rajasthan,Kota City,24,7,9,48,NA,10,165,342,112,33,79,1,1785
6,Rajasthan,Udaipur,7,1,8,25,NA,23,170,266,128,28,73,NA,1455
1,Tamil Nadu,Madras City,64,2,16,26,3,54,438,4462,134,213,421,125,13466
2,Tamil Nadu,Madurai City,27,NA,2,11,2,8,210,815,94,48,113,18,2342
3,Tamil Nadu,Coimbatore City,17,NA,3,2,1,33,397,750,245,50,64,11,2804
4,Tamil Nadu,Vellore Town,4,NA,2,6,NA,5,135,484,75,6,26,3,1183
5,Tamil Nadu,Cuddalore Town,1,NA,NA,3,NA,2,18,122,23,2,10,1,350
6,Tamil Nadu,Thanjavur Town,3,NA,NA,7,NA,NA,70,313,40,6,10,4,399
7,Tamil Nadu,Tiruchirapalli Town,11,NA,1,9,1,5,220,847,14,28,46,18,2010
8,Tamil Nadu,Dindigul,10,NA,2,10,NA,2,160,251,100,12,17,8,577
9,Tamil Nadu,Tirunelveli Town,12,NA,3,15,3,10,107,174,28,11,9,4,407
10,Tamil Nadu,Tuticorin Town,21,NA,1,3,NA,5,26,185,34,2,4,1,467
11,Tamil Nadu,Nagercoil Town,5,NA,NA,1,NA,2,79,59,66,5,2,1,603
12,Tamil Nadu,Salem Town,10,NA,1,13,NA,9,174,394,66,13,27,3,1320
13,Tamil Nadu,Kanchepuram Town,2,NA,NA,6,NA,1,27,93,20,5,5,2,185
14,Tamil Nadu,Kumbakonam Town,1,NA,NA,3,NA,NA,50,89,5,3,2,NA,136
15,Tamil Nadu,Trippur,11,NA,1,6,NA,5,109,262,120,6,12,2,1094
16,Tamil Nadu,Erode,9,NA,2,10,2,8,87,300,12,18,17,4,564
17,Tamil Nadu,Singanallur,17,NA,8,2,1,33,397,750,245,50,64,11,2804
1,Uttar Pradesh,Meerut,64,16,13,57,12,92,241,219,146,55,72,NA,1139
2,Uttar Pradesh,Saharanpur,27,4,2,26,9,30,119,283,41,34,25,NA,726
3,Uttar Pradesh,Ghaziabad,29,11,8,24,10,23,81,216,33,14,9,NA,578
4,Uttar Pradesh,Dehradun,8,2,4,5,2,6,79,105,15,12,18,NA,329
5,Uttar Pradesh,Kanpur Nagar,100,30,25,177,35,175,735,2322,238,413,317,NA,5071
6,Uttar Pradesh,Allahabad,98,29,9,51,25,70,405,1142,93,92,106,NA,2692
7,Uttar Pradesh,Agra,32,9,8,64,13,87,344,315,81,59,37,NA,1371
8,Uttar Pradesh,Mathura,19,6,11,13,9,22,103,194,55,34,47,NA,629
9,Uttar Pradesh,Aligarh,29,8,8,37,5,32,151,322,29,29,44,NA,921
10,Uttar Pradesh,Jhansi,15,6,5,7,5,10,87,102,46,21,26,NA,419
11,Uttar Pradesh,Lucknow,78,28,24,109,13,96,577,2739,199,244,319,1,5024
12,Uttar Pradesh,Bareilly,41,13,11,50,14,64,305,849,70,68,84,NA,1916
13,Uttar Pradesh,Shahjahanpur,34,11,9,28,12,63,87,212,58,23,16,1,678
14,Uttar Pradesh,Moradabad,50,6,13,84,13,77,234,694,70,32,27,NA,1569
15,Uttar Pradesh,Rampur,21,5,5,16,3,34,100,251,17,27,26,NA,609
16,Uttar Pradesh,Gorakhpur,24,15,6,27,12,64,142,253,103,28,31,NA,1088
17,Uttar Pradesh,Azamgarh,13,9,2,8,14,31,101,182,93,15,17,1,583
18,Uttar Pradesh,Varanasi,26,11,5,17,13,21,255,513,102,39,47,NA,1256
19,Uttar Pradesh,Mirzapur,13,18,2,17,15,22,166,215,46,39,20,1,765
1,West Bengal,Calcutta,69,14,31,141,26,242,577,7065,582,363,474,30,14013
