SL. No.,Category,States/U.Ts./Cities,By Family Background - Living with Parents,By Family Background - Living with Guardians,By Family Background - Homeless,By Family Background - Total,By Economic Set-Up - Lower Income (Below Rs. 150/PM),By Economic Set-Up - Lower Middle Income (Above Rs.150/ But Below Rs. 500/PM),By Economic Set-Up - Upper Middle Income (Above Rs. 500/PM But Below Rs. 1000/PM),By Economic Set-Up - Upper Income (Above Rs. 1000PM),By Economic Set-Up - Total,Recidivism - New Delinquents,Recidivism - Old Delinquents,Recidivism - Total,By Religion - Hindu,By Religion - Muslim,By Religion - Sikh,By Religion - Christian,By Religion - Others,By Religion - Total,By Community - Scheduled Caste,By Community - Scheduled Tribe,By Community - Others,By Community - Total,By Education - Illiterate,By Education - Below Primary,By Education - Above Primary But Below Matric,By Education - Matric/ Higher Secondary and Above,By Education - Total
1,City,Ahmedabad,3725,2599,221,6545,3058,3353,134,NA,6545,5488,1057,6545,4566,1851,34,84,10,6545,1981,743,3821,6545,2630,1810,1771,334,6545
2,City,Bangalore,446,60,54,560,86,194,82,198,560,551,9,560,297,140,23,62,38,560,35,24,501,560,155,177,167,61,560
3,City,Bombay,1603,115,367,3085,474,2150,305,156,3085,2019,1066,3085,683,845,280,451,826,3085,375,415,2295,3085,840,1218,645,382,3085
4,City,Calcutta,9,7,18,34,34,NA,NA,NA,34,34,NA,34,23,11,NA,NA,NA,34,NA,NA,34,34,21,13,NA,NA,34
5,City,Delhi,NA,NA,NA,4394,NA,NA,NA,NA,4394,NA,NA,4394,NA,NA,NA,NA,NA,4394,NA,NA,NA,4394,NA,NA,NA,NA,4394
6,City,Hyderabad,3340,1346,697,5383,1764,2957,373,289,5383,4457,926,5383,2946,2301,49,87,NA,5383,467,229,4687,5383,537,415,1964,2467,5383
7,City,Jaipur,804,83,27,914,103,445,339,27,914,903,11,914,513,374,16,11,NA,914,129,203,582,914,37,103,647,127,914
8,City,Kanpur,16,8,4,28,20,8,NA,NA,28,28,NA,28,25,3,NA,NA,NA,28,1,NA,27,28,17,7,3,1,28
9,City,Lucknow,23,10,3,36,25,8,3,NA,36,34,2,36,25,5,NA,NA,6,36,7,2,27,36,10,12,12,2,36
10,City,Madras,7893,4031,849,12773,5981,6510,211,71,12773,10894,1879,12773,9451,1059,3,1315,945,12773,8997,3209,567,12773,6597,5989,112,75,12773
11,City,Nagpur,2346,692,287,3325,354,1542,1273,156,3325,2858,467,3325,2434,752,37,28,74,3325,446,182,2697,3325,174,436,2486,229,3325
12,City,Pune,2747,1235,516,4498,812,1531,1076,1079,4498,3761,737,4498,2693,1057,88,246,414,4498,1048,492,2958,4498,1256,1231,872,1139,4498
Total (Cities),City,Total (Cities),22952,11186,3043,41757,12711,18698,3796,1976,41575,31027,6154,41575,23656,8398,530,2284,2313,41575,13486,5499,18196,41575,12274,11411,8679,4817,41575
