SL. No.,Category,State/U.Ts/Cities,Arms Act - Incidence (I),Arms Act - Volume (V),Narcotic Drugs and Psychotropic Substances Act - Incidence (I),Narcotic Drugs and Psychotropic Substances Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Excise Act - Incidence (I),Excise Act - Volume (V),Prohibition Act - Incidence (I),Prohibition Act - Volume (V),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Volume (V),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Volume (V),Motor Vehicle Act - Incidence (I),Motor Vehicle Act - Volume (V),Prevention of Corruption Act - Incidence (I),Prevention of Corruption Act - Volume (V),Customs Act - Incidence (I),Customs Act - Volume (V),Indian Railways Act - Incidence (I),Indian Railways Act - Volume (V),Other Offences under Total of Local & Special Laws - Incidence (I),Other Offences under Total of Local & Special Laws - Volume (V),Total of Local & Special Laws - Incidence (I),Total of Local & Special Laws - Volume (V)
31,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4.5,2,4.5
32,UT,Pondicherry,2,0.3,NA,NA,118,17.3,235,34.4,NA,NA,2,0.3,1,0.1,7257,1062.5,NA,NA,NA,NA,NA,NA,12960,1897.5,20575,3012.4
Total (UTs),UT,Total (UTs),1788,16.8,2432,22.8,1797,16.9,3171,29.8,65,0.6,25,0.2,113,1.1,7505,70.4,1,Neg.,NA,NA,399,3.7,15368,144.3,32664,306.6
All India,All India,All India,56954,7.4,13253,1.7,163097,21.3,95011,12.4,365300,47.7,3205,0.4,14403,1.9,1173061,153.1,204,Neg.,158,Neg.,37460,4.9,1062548,138.7,2984654,389.6
1,City,Ahmedabad,30,NA,NA,NA,2247,NA,NA,NA,12057,NA,2,NA,4,NA,19,NA,NA,NA,NA,NA,NA,NA,4576,NA,18935,NA
2,City,Bangalore,6,NA,2,NA,131,NA,338,NA,2,NA,7,NA,107,NA,157112,NA,NA,NA,NA,NA,NA,NA,428,NA,158133,NA
3,City,Bombay,300,NA,350,NA,5941,NA,NA,NA,21037,NA,78,NA,989,NA,45139,NA,NA,NA,NA,NA,NA,NA,215404,NA,289238,NA
4,City,Calcutta,43,NA,136,NA,5651,NA,2110,NA,2,NA,59,NA,87,NA,1204,NA,NA,NA,NA,NA,20,NA,75595,NA,84907,NA
5,City,Delhi,1670,NA,2226,NA,813,NA,814,NA,NA,NA,19,NA,41,NA,NA,NA,NA,NA,NA,NA,327,NA,1350,NA,7260,NA
6,City,Hyderabad,18,NA,NA,NA,1010,NA,3933,NA,NA,NA,6,NA,362,NA,195696,NA,NA,NA,NA,NA,NA,NA,83533,NA,284558,NA
7,City,Jaipur,332,NA,44,NA,163,NA,56,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,700,NA
8,City,Kanpur,2726,NA,29,NA,342,NA,907,NA,NA,NA,41,NA,53,NA,4223,NA,1,NA,NA,NA,NA,NA,6245,NA,14567,NA
9,City,Lucknow,1938,NA,25,NA,207,NA,385,NA,NA,NA,7,NA,NA,NA,2766,NA,NA,NA,NA,NA,NA,NA,258,NA,5586,NA
10,City,Madras,NA,NA,NA,NA,7459,NA,3,NA,13347,NA,6,NA,1932,NA,77202,NA,NA,NA,23,NA,NA,NA,106523,NA,206495,NA
11,City,Nagpur,136,NA,119,NA,1432,NA,NA,NA,5135,NA,NA,NA,NA,NA,246,NA,NA,NA,NA,NA,NA,NA,3711,NA,10779,NA
12,City,Pune,25,NA,446,NA,458,NA,NA,NA,6416,NA,3,NA,2,NA,330,NA,1,NA,NA,NA,2,NA,7851,NA,15534,NA
Total (Cities),City,Total (Cities),7224,NA,3377,NA,25854,NA,8546,NA,57996,NA,228,NA,3590,NA,483937,NA,2,NA,23,NA,349,NA,505566,NA,1096692,NA
