SL. No.,Category,State/UT/City,Murder - Male,Murder - Female,Murder - Total,C.H. Not Amounting to Murder - Male,C.H. Not Amounting to Murder - Female,C.H. Not Amounting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abduction - Male,Kidnapping & Abduction - Female,Kidnapping & Abduction - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Male,Theft - Female,Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total
12,State,Maharashtra,5170,428,5598,215,19,234,1250,24,1274,1292,75,1367,3899,50,3949,5147,55,5202,13492,313,13805,31211,1972,33183,56669,2504,59173,2691,167,2858,2465,77,2542,155,4,159,261776,14347,276123
13,State,Manipur,135,1,136,5,NA,5,17,NA,17,156,29,185,119,1,120,92,1,93,369,NA,369,686,10,696,791,88,879,35,NA,35,73,1,74,8,NA,8,3000,185,3185
14,State,Meghalaya,104,9,113,4,NA,4,25,NA,25,20,NA,20,35,NA,35,49,NA,49,114,NA,114,435,7,442,242,NA,242,28,NA,28,29,NA,29,NA,NA,NA,2138,37,2175
15,State,Mizoram,58,2,60,2,NA,2,47,NA,47,2,1,3,7,NA,7,26,4,30,90,1,91,207,5,212,10,NA,10,34,1,35,25,2,27,5,2,7,1188,55,1243
16,State,Nagaland,63,3,66,3,NA,3,6,NA,6,10,NA,10,27,NA,27,90,NA,90,148,NA,148,205,NA,205,22,NA,22,32,NA,32,45,NA,45,6,NA,6,1183,3,1186
17,State,Orissa,1898,28,1926,82,NA,82,278,2,280,370,7,377,1541,16,1557,1455,10,1465,6391,25,6416,13333,168,13501,19652,368,20020,466,2,468,347,6,353,1,NA,1,95840,732,96572
18,State,Punjab,1657,59,1716,320,13,333,83,NA,83,165,8,173,73,NA,73,303,1,304,962,5,967,1313,53,1366,224,NA,224,252,3,255,309,14,323,NA,2,2,19791,240,20031
19,State,Rajasthan,2443,109,2552,68,NA,68,692,NA,692,1698,21,1719,305,NA,305,939,3,942,4327,43,4370,7656,241,7897,47291,1836,49127,640,6,464,1250,10,1260,NA,NA,NA,120224,4465,124689
20,State,Sikkim,4,1,5,2,NA,2,4,NA,4,5,NA,5,NA,NA,NA,25,NA,25,25,NA,25,62,1,63,63,4,67,18,NA,18,13,1,14,NA,NA,NA,416,15,431
21,State,Tamil Nadu,3446,161,3607,19,NA,19,312,NA,312,1086,59,1145,255,2,257,585,4,589,5279,36,5315,17013,583,17596,57600,2986,60586,618,19,637,822,31,853,110,1,111,187482,9079,196561
22,State,Tripura,403,6,409,2,NA,2,201,NA,201,212,NA,212,909,NA,909,273,NA,273,1269,NA,1269,1100,17,1117,1611,47,1658,54,NA,54,51,NA,51,NA,NA,NA,8961,122,9083
23,State,Uttar Pradesh,18358,245,18603,4885,31,4916,1865,4,1869,5667,117,5784,15072,3,15075,8940,23,8963,18332,38,18370,26796,147,26943,59810,195,60005,3072,2,3074,3914,16,3930,116,NA,116,281252,904,282156
24,State,West Bengal,2890,65,2955,1062,11,1073,895,NA,895,1374,40,1414,3146,22,3168,1620,2,1622,2007,4,2011,22416,167,22583,41580,263,41843,877,6,883,1327,15,1342,147,NA,147,112767,752,113519
Total (States),State,Total (States),63683,3044,66727,8003,145,8148,11307,43,11350,19723,603,20326,40942,263,41205,30161,168,30329,92302,1783,94085,211337,6017,217354,540946,15284,556230,15819,284,16103,20151,375,20526,909,12,921,2116243,52670,2168913
25,UT,A & N Islands,13,1,14,2,NA,2,2,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,33,1,34,50,NA,50,85,11,96,9,NA,9,19,NA,19,NA,NA,NA,412,15,427
26,UT,Chandigarh,19,NA,19,NA,NA,NA,9,NA,9,8,NA,8,NA,NA,NA,9,NA,9,44,6,50,176,2,178,24,NA,24,21,8,29,69,NA,69,NA,NA,NA,1094,31,1125
27,UT,D & N Haveli,9,2,11,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,12,NA,12,15,NA,15,36,4,40,107,4,111,3,NA,3,NA,NA,NA,NA,NA,NA,643,52,695
28,UT,Delhi,403,28,431,468,24,492,135,4,139,402,23,425,189,NA,189,301,NA,301,1202,5,1207,3165,52,3217,1163,40,1203,303,6,309,451,1,452,11,NA,11,23947,583,24530
29,UT,"Goa, Daman & Diu",77,4,81,16,2N,18,9,NA,9,15,3,18,32,4,36,56,NA,56,250,3,253,573,14,587,1713,193,1906,36,6,42,45,3,48,1,NA,1,4948,362,5310
30,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,9
31,UT,Pondicherry,39,NA,39,NA,26,NA,6,NA,6,4,NA,4,52,NA,52,15,NA,15,88,NA,88,337,9,346,1351,17,1368,15,NA,15,11,NA,11,NA,NA,NA,3846,248,4094
Total (UTs),UT,Total (UTs),560,35,595,486,171,512,161,4,165,433,26,459,273,4,277,393,NA,393,1638,16,1654,4337,81,4418,4443,265,4708,387,20,407,595,4,599,12,NA,12,34896,1294,36190
All India,All India,All India,64243,3079,67322,8489,NA,8660,11468,47,11515,20156,629,20785,41215,267,41482,30554,168,30722,93940,1799,95739,215674,6098,221772,545389,15549,560938,16206,304,16510,20746,379,21125,921,12,933,2151139,53964,2205103
1,City,Ahmedabad,352,23,375,7,NA,7,6,NA,6,116,19,135,46,9,55,100,2,102,617,5,622,1282,79,1361,2884,51,2935,169,10,179,194,11,205,1,NA,1,13427,1019,14446
2,City,Bangalore,118,5,123,3,NA,3,34,NA,34,63,8,71,19,NA,19,132,NA,132,333,14,347,1416,269,1480,761,4,765,107,5,112,263,1,264,1,NA,1,9869,237,10106
3,City,Bombay,545,12,557,NA,NA,NA,129,NA,129,221,9,230,302,1,303,823,1,824,1366,10,1376,5922,269,6191,1671,33,1704,638,6,644,639,37,676,25,NA,25,29106,961,30067
4,City,Calcutta,165,2,167,21,NA,21,29,NA,29,120,6,126,94,NA,94,411,NA,411,967,NA,967,9161,31,9192,2080,NA,2080,243,NA,243,269,2,271,32,NA,32,21784,100,21884
5,City,Delhi,345,21,366,434,24,458,130,4,134,388,23,411,157,NA,157,278,NA,278,1134,5,1139,3061,51,3112,1034,38,1072,297,6,303,442,1,443,11,NA,11,22465,547,23012
6,City,Hyderabad,236,11,247,NA,NA,NA,30,NA,30,50,NA,50,46,NA,46,99,NA,99,458,2,460,1076,18,1094,1191,127,1318,29,1,30,138,6,144,NA,NA,NA,5582,191,5773
7,City,Jaipur,41,3,44,2,NA,2,5,NA,5,53,7,60,5,NA,5,25,NA,25,241,4,245,414,10,424,1724,110,1834,38,NA,38,79,5,84,NA,NA,NA,5155,247,5402
8,City,Kanpur,216,17,233,54,1,55,29,NA,29,187,5,192,149,NA,149,163,NA,163,490,6,496,486,NA,486,924,NA,924,84,NA,84,172,NA,172,3,NA,3,6425,43,6468
9,City,Lucknow,152,11,163,41,1,42,44,1,45,111,3,114,50,NA,50,80,NA,80,267,NA,267,524,4,528,813,1,814,82,2,84,154,NA,154,6,NA,6,2663,23,2686
10,City,Madras,80,19,99,2,NA,2,20,NA,20,43,NA,43,11,NA,11,71,NA,71,310,NA,310,2698,99,2797,1038,173,1211,73,9,82,111,10,121,NA,NA,NA,12391,674,13065
11,City,Nagpur,209,4,213,19,NA,19,103,NA,103,93,5,98,37,NA,37,270,NA,270,328,NA,328,798,43,841,2147,322,2469,85,NA,85,127,4,131,NA,NA,NA,8959,507,9466
12,City,Pune,113,21,134,2,NA,2,43,2,45,83,15,98,56,NA,56,174,3,177,862,26,888,1381,105,1486,2135,146,2281,121,1,122,133,5,138,3,NA,3,12957,927,13884
Total (Cities),City,Total (Cities),2572,149,2721,585,26,611,602,7,609,1528,100,1628,972,10,982,2626,6,2632,7373,72,7445,28219,773,28992,18402,1005,19407,1966,40,2006,2721,82,2803,82,NA,82,150783,5476,156259
