SL. No.,States/U.Ts.,Districts,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
16,Gujarat,Vadodara Rural,85,2,11,23,14,30,142,390,48,68,28,NA,3382
17,Gujarat,Bharuch,67,NA,10,40,19,29,208,506,103,70,17,NA,3572
18,Gujarat,Panchmahals,83,NA,7,21,28,53,224,396,52,92,17,3,3195
19,Gujarat,Surat Rural,58,1,9,14,6,13,103,255,31,48,6,1,2035
20,Gujarat,Valsad,64,NA,6,9,9,16,252,461,51,53,19,3,3292
21,Gujarat,W.Railway,6,NA,NA,3,2,27,29,998,14,17,6,NA,1557
22,Gujarat,Ahmedabad City,111,4,4,103,8,69,677,2989,387,155,175,14,10505
23,Gujarat,Rajkot City,18,NA,NA,19,1,2,88,333,47,13,33,2,1591
24,Gujarat,Surat City,41,1,3,26,6,29,276,806,171,42,43,NA,2986
25,Gujarat,Baroda City,37,3,5,36,27,29,496,1868,302,64,93,13,5227
1,Haryana,Hissar,60,8,14,18,2,6,196,335,22,21,67,1,2011
2,Haryana,Bhiwani,25,3,7,10,2,2,106,172,30,16,15,2,1202
3,Haryana,Narnaul,15,11,6,6,1,NA,124,244,18,24,17,NA,1521
4,Haryana,Sirsa,26,12,1,16,NA,4,119,174,1,11,37,1,1237
5,Haryana,Gurgaon,36,5,18,16,5,13,167,236,36,20,53,2,2022
6,Haryana,Faridabad,31,8,14,23,6,12,247,408,38,41,59,NA,2472
7,Haryana,Rohtak,49,16,15,12,4,12,170,328,47,16,44,2,2384
8,Haryana,Sonepat,33,10,9,2,2,1,109,237,38,7,15,NA,1670
9,Haryana,Ambala,37,8,14,35,3,7,293,466,3,45,43,NA,2629
10,Haryana,Kurukshetra,38,10,14,14,4,3,174,278,NA,16,39,1,1368
11,Haryana,Karnal,45,18,22,24,6,6,280,450,10,60,27,NA,2395
12,Haryana,Jind,22,1,8,6,1,4,148,196,2,6,7,1,886
1,Himachal Pradesh,Mandi,7,NA,10,17,NA,2,127,82,20,17,5,NA,855
2,Himachal Pradesh,Kangra,8,7,4,13,NA,5,115,83,39,11,5,NA,913
3,Himachal Pradesh,Hamirpur,2,3,3,3,NA,1,44,22,11,4,5,1,260
4,Himachal Pradesh,Una,3,NA,2,1,NA,1,27,13,19,7,12,NA,363
5,Himachal Pradesh,Kullu,3,1,3,6,NA,1,35,25,5,3,6,1,293
6,Himachal Pradesh,Chamba,7,2,5,5,1,1,66,26,8,6,1,NA,315
7,Himachal Pradesh,Lahaul & Spiti,2,NA,1,1,NA,NA,2,1,NA,NA,NA,1,19
8,Himachal Pradesh,Shimla,14,1,13,18,NA,4,130,144,76,35,35,1,1178
9,Himachal Pradesh,Bilaspur,5,NA,3,7,1,3,31,32,39,9,9,NA,423
10,Himachal Pradesh,Sirmaur,4,NA,3,7,NA,3,45,75,29,10,10,NA,543
11,Himachal Pradesh,Solan,2,4,3,7,NA,1,74,87,54,10,10,NA,654
12,Himachal Pradesh,Kinnaur,2,NA,2,4,NA,1,23,26,2,1,1,NA,133
13,Himachal Pradesh,Railway & Traffic,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,6
1,Jammu Kashmir,Doda,2,3,11,58,NA,1,89,171,71,12,12,NA,1149
2,Jammu Kashmir,Jammu,17,2,30,59,6,7,411,725,97,71,71,NA,3719
3,Jammu Kashmir,Kathua,10,1,4,14,2,2,71,115,74,9,9,NA,991
4,Jammu Kashmir,Poonch,5,NA,8,16,6,3,35,186,119,3,3,NA,789
5,Jammu Kashmir,Rajouri,8,1,17,36,NA,NA,62,256,47,21,21,NA,981
6,Jammu Kashmir,Udhampur,10,2,22,57,1,6,124,206,53,8,8,NA,1392
7,Jammu Kashmir,Railways,NA,NA,NA,3,NA,NA,1,19,NA,2,2,NA,34
8,Jammu Kashmir,Anantnag,5,NA,16,48,NA,NA,111,213,321,14,14,NA,1477
9,Jammu Kashmir,Bramulla,10,NA,28,67,NA,3,111,291,380,31,31,NA,2245
10,Jammu Kashmir,Budgam,NA,NA,10,26,NA,NA,29,165,255,13,13,NA,954
11,Jammu Kashmir,Kargil,NA,NA,1,1,NA,NA,5,7,3,1,1,NA,55
12,Jammu Kashmir,Kupwara,6,NA,10,22,NA,1,42,124,107,6,6,NA,872
13,Jammu Kashmir,Leh,1,NA,NA,2,NA,1,20,9,7,NA,NA,NA,123
14,Jammu Kashmir,Pulwama,3,NA,11,17,NA,2,79,181,132,8,8,NA,923
15,Jammu Kashmir,Srinagar,10,NA,19,83,NA,3,342,658,139,68,68,NA,4151
1,Karnataka,Bangalore City,83,3,32,122,41,197,1538,7489,325,806,806,185,21211
2,Karnataka,Bangalore Distt.,73,1,8,8,12,21,541,869,430,17,17,NA,5408
3,Karnataka,Kolar,40,NA,3,10,6,15,302,576,194,19,19,6,3326
4,Karnataka,K.G.F.,9,NA,2,8,1,6,136,236,55,5,5,2,985
5,Karnataka,Tumkur,45,NA,7,5,3,13,528,705,213,29,29,2,4191
6,Karnataka,ChitraDurga,59,1,14,22,12,17,212,513,296,54,54,1,3794
7,Karnataka,Shimoga,37,2,5,3,3,8,279,375,208,7,20,12,2755
8,Karnataka,Mysore,61,NA,7,4,7,24,632,1102,515,30,57,5,4924
9,Karnataka,Mandya,47,NA,6,5,3,11,347,412,246,28,26,2,3409
10,Karnataka,Hassan,40,NA,2,8,19,12,327,425,141,83,16,2,2327
11,Karnataka,Chickmagalur,29,NA,NA,1,6,6,130,136,116,9,NA,NA,1396
12,Karnataka,Kodagu,29,NA,3,11,NA,2,174,139,82,7,23,NA,1632
13,Karnataka,Dakshina Kannada,44,NA,1,8,6,20,244,249,399,20,38,24,3384
14,Karnataka,Belgaum,115,7,2,24,25,11,334,601,519,47,85,16,3860
15,Karnataka,Bijapur,87,1,9,22,25,12,165,418,498,43,74,7,2922
16,Karnataka,Dharwad,79,1,12,22,26,37,401,943,578,67,108,27,4939
17,Karnataka,Uttar Kanada,13,NA,2,4,NA,7,167,221,140,10,14,NA,1905
18,Karnataka,Gulbarga,51,4,5,9,4,19,224,331,301,21,53,2,2268
19,Karnataka,Bidar,29,NA,NA,11,6,7,137,159,160,1,18,1,1431
20,Karnataka,Raichur,42,1,9,9,24,12,202,289,325,13,30,3,2293
21,Karnataka,Bellary,56,2,4,12,10,10,182,283,270,23,37,5,2482
22,Karnataka,Railways,3,NA,NA,1,NA,8,4,386,8,2,9,NA,698
1,Kerala,Trivandrum City,17,3,2,12,3,15,365,393,336,26,108,NA,3599
2,Kerala,Trivandrum Rural,43,1,6,17,4,6,309,166,386,16,95,NA,4744
3,Kerala,Quilon,53,1,4,11,1,6,199,111,371,16,51,7,3582
4,Kerala,Pathanamthitta,29,NA,1,4,1,4,181,59,153,15,33,7,2461
5,Kerala,Alleppey,34,14,4,16,3,10,306,181,498,17,112,4,4866
6,Kerala,Kottayam,45,1,8,9,2,16,333,200,328,30,50,NA,4200
7,Kerala,Idukki,58,1,16,13,5,17,223,154,303,22,32,NA,2768
8,Kerala,Ernakulam City,4,1,2,5,4,10,243,310,165,27,90,9,2598
9,Kerala,Ernakulam Rural,27,NA,10,7,1,7,246,208,309,30,64,NA,3046
10,Kerala,Trichur,56,1,18,15,3,19,325,223,420,32,97,6,3906
11,Kerala,Palghat,35,1,22,8,1,6,347,229,426,25,91,NA,3633
12,Kerala,Malappuram,30,5,12,8,4,5,181,130,283,15,59,4,2975
13,Kerala,Calicut City,9,1,NA,2,NA,4,150,139,174,18,54,13,1989
14,Kerala,Calicut Rural,15,2,12,4,NA,5,105,85,302,12,28,NA,2500
15,Kerala,Wynad,19,1,6,2,NA,5,80,67,89,15,12,NA,1370
16,Kerala,Cannanore,19,2,11,14,NA,6,190,129,394,32,120,15,3566
17,Kerala,Kasaragod,19,NA,3,1,NA,4,65,62,173,10,24,3,1423
18,Kerala,Railways,NA,NA,NA,1,NA,4,4,197,21,2,1,NA,340
19,Kerala,Crime Branch,23,1,1,NA,NA,NA,4,13,NA,2,99,156,345
1,Madhya Pradesh,Gwalior,91,2,22,40,18,115,815,1412,133,16,61,NA,6223
2,Madhya Pradesh,Bhind,55,2,12,5,5,55,293,578,132,NA,28,NA,2682
3,Madhya Pradesh,Datiya,19,NA,7,1,2,7,60,121,7,11,4,NA,779
4,Madhya Pradesh,Muraina,75,NA,4,23,8,49,287,592,246,12,23,NA,3948
5,Madhya Pradesh,Shivpuri,44,NA,21,12,3,6,211,230,72,13,9,1,1840
6,Madhya Pradesh,Guna,37,1,19,15,24,4,724,67,130,11,41,NA,3661
7,Madhya Pradesh,Indore,68,NA,54,56,1,80,932,2818,178,85,157,15,11529
8,Madhya Pradesh,Dhar,64,2,63,NA,13,68,373,1097,173,58,202,1,4980
9,Madhya Pradesh,Jhabua,171,4,19,132,NA,86,203,494,78,22,45,NA,2987
10,Madhya Pradesh,Khargon,68,7,44,40,6,57,490,1227,113,53,43,NA,4348
11,Madhya Pradesh,Khandwa,35,NA,15,7,3,36,325,655,44,19,6,NA,3320
12,Madhya Pradesh,Ujjain,61,NA,38,37,13,108,682,1855,179,40,62,1,6386
13,Madhya Pradesh,Mandsaur,43,2,32,NA,6,4,652,1038,86,78,13,1,1226
14,Madhya Pradesh,Ratlam,42,NA,35,10,3,57,312,870,108,46,38,NA,3083
15,Madhya Pradesh,Dewas,38,NA,84,25,11,21,430,1147,119,15,24,1,3640
16,Madhya Pradesh,Shajapur,46,1,46,16,13,42,437,898,122,16,13,NA,2956
17,Madhya Pradesh,Jabalpur,119,NA,55,30,7,111,1105,1866,165,28,88,2,10571
18,Madhya Pradesh,Mandla,37,NA,24,14,2,23,382,324,44,13,49,NA,2551
19,Madhya Pradesh,Chindwada,74,NA,50,17,3,NA,312,504,65,16,14,NA,3697
20,Madhya Pradesh,Balaghat,49,NA,53,17,1,28,544,723,73,13,28,1,3186
21,Madhya Pradesh,Sivani,26,NA,36,6,NA,31,251,387,47,11,25,NA,2051
22,Madhya Pradesh,Narsinhpur,32,NA,21,NA,2,1,168,282,46,4,12,NA,1750
23,Madhya Pradesh,Sagur,75,2,60,12,9,54,528,750,76,8,32,1,5171
24,Madhya Pradesh,Panna,23,NA,7,1,7,18,145,177,50,3,5,NA,977
25,Madhya Pradesh,Damoh,40,1,26,7,1,16,229,174,51,13,25,3,4021
26,Madhya Pradesh,Chatarpur,71,NA,19,13,13,47,332,281,92,2,15,NA,1925
27,Madhya Pradesh,Tikamgarh,27,NA,27,8,6,25,152,249,45,15,5,NA,1601
28,Madhya Pradesh,Raipur,19,2,53,NA,7,2,1045,1762,259,75,75,3,7849
29,Madhya Pradesh,Rajnadgaon,23,NA,45,11,5,38,374,561,63,17,34,NA,3017
30,Madhya Pradesh,Durg,56,6,61,26,3,39,636,1525,76,54,34,2,6385
31,Madhya Pradesh,Bastar,198,NA,64,22,6,50,44,1028,151,28,41,NA,4578
32,Madhya Pradesh,Bilaspur,113,NA,39,45,4,65,804,1932,57,47,52,1,6642
33,Madhya Pradesh,Raigarh,66,NA,27,95,5,NA,275,472,80,15,17,NA,2202
34,Madhya Pradesh,Sarguja,171,NA,19,132,5,118,203,554,78,22,45,NA,2987
35,Madhya Pradesh,Riva,37,1,19,NA,24,65,724,827,183,11,NA,NA,3661
36,Madhya Pradesh,Satna,33,NA,3,NA,10,26,521,367,90,3,25,3,2374
37,Madhya Pradesh,Sidhi,33,NA,13,NA,11,5,299,383,45,6,8,NA,1832
38,Madhya Pradesh,Shehdol,67,1,27,11,5,28,556,489,146,16,22,NA,3431
39,Madhya Pradesh,Bhopal,51,NA,26,33,2,NA,132,1920,147,34,130,NA,8030
40,Madhya Pradesh,Sehore,31,NA,18,20,2,29,209,504,60,20,5,NA,2220
41,Madhya Pradesh,Rajgarh,36,1,25,2,5,4,23,344,76,16,13,NA,2208
42,Madhya Pradesh,Hoshangabad,57,NA,52,16,2,37,300,593,62,14,19,NA,3045
43,Madhya Pradesh,Raisen,30,NA,24,NA,7,43,261,854,79,59,5,NA,2104
44,Madhya Pradesh,Betul,50,NA,30,17,3,NA,189,321,79,20,31,1,1765
45,Madhya Pradesh,Vidisha,37,2,61,15,2,36,233,97,102,399,23,NA,2909
46,Madhya Pradesh,Railway Police Jabalpur,4,NA,2,NA,2,11,4,255,7,3,3,NA,399
47,Madhya Pradesh,Railway Police Raipur,NA,NA,NA,3,1,NA,15,240,2,2,3,NA,351
48,Madhya Pradesh,Railway Police Indore,3,NA,1,NA,3,13,10,450,15,NA,NA,NA,574
49,Madhya Pradesh,Railway Police Bhopal,5,3,4,3,NA,23,18,874,9,3,5,NA,1021
1,Maharashtra,Thane Rural,80,32,41,31,44,150,532,857,232,99,50,3,1532
2,Maharashtra,Raigad,57,1,12,16,28,30,322,488,197,81,22,3,2903
3,Maharashtra,Ratnagiri,31,NA,4,3,NA,14,256,114,125,25,11,8,1653
4,Maharashtra,Sindhudurg,21,NA,3,4,4,8,117,120,51,6,11,4,1781
5,Maharashtra,Ahmednagar,66,13,18,26,5,118,348,982,164,56,37,3,3923
6,Maharashtra,Nasik,92,NA,29,21,32,92,901,1728,405,124,63,2,7537
7,Maharashtra,Dhule,73,NA,15,16,15,36,295,759,133,91,27,4,4732
8,Maharashtra,Jalgaon,71,NA,25,18,23,57,288,1041,147,55,38,1,4273
9,Maharashtra,Pune Rural,86,NA,26,13,19,56,336,638,258,33,40,NA,3258
10,Maharashtra,Satara,54,3,28,16,8,36,365,718,116,39,31,11,3218
11,Maharashtra,Sangli,76,22,10,16,7,33,190,715,86,49,27,3,4567
12,Maharashtra,Solapur,90,4,21,27,14,82,243,864,120,74,71,23,3923
13,Maharashtra,Kolhapur,66,2,17,30,16,42,841,440,226,97,51,13,2970
14,Maharashtra,Aurangabad,47,1,15,33,20,79,433,1084,105,49,46,NA,3813
15,Maharashtra,Jalana,35,3,15,14,23,76,253,520,114,19,19,NA,2510
16,Maharashtra,Parbhani,65,NA,13,24,28,110,276,617,112,34,35,NA,3006
17,Maharashtra,Beed,40,4,11,25,15,104,233,452,25,177,20,12,2645
18,Maharashtra,Nanded,80,2,14,18,26,128,308,770,199,45,38,NA,2753
19,Maharashtra,Osmanabad,27,NA,9,16,4,24,95,352,86,70,16,NA,1223
20,Maharashtra,Latur,44,NA,13,22,3,60,228,451,145,22,56,NA,2307
21,Maharashtra,Buldhana,45,1,19,17,25,56,376,1473,NA,81,34,NA,4789
22,Maharashtra,Akola,71,1,34,34,16,135,757,2711,159,84,82,4,7876
23,Maharashtra,Amravati,92,1,33,53,22,170,976,3541,199,62,76,3,8734
24,Maharashtra,Yevatmal,52,NA,34,42,19,55,599,1945,152,64,44,NA,5626
25,Maharashtra,Wardha,57,NA,20,23,6,30,325,873,129,31,37,3,3923
26,Maharashtra,Nagpur (Rural),52,4,30,13,13,45,361,1389,107,31,32,NA,4558
27,Maharashtra,Bhandara,50,2,32,22,5,44,406,799,94,56,53,NA,3598
28,Maharashtra,Chandrapur,40,NA,21,20,7,37,317,843,62,48,36,NA,1431
29,Maharashtra,Gadchiroli,19,1,2,7,NA,10,55,150,47,13,5,NA,815
30,Maharashtra,Bombay Railways,5,NA,2,2,1,37,3,2120,10,15,23,NA,4981
31,Maharashtra,Pune Railways,10,1,NA,6,5,27,2,906,14,11,10,NA,1124
32,Maharashtra,Nagpur Railways,5,NA,5,2,7,39,3,1132,8,9,9,9,1355
33,Maharashtra,Thane City,107,2,41,65,51,258,1467,2653,391,132,123,24,11639
34,Maharashtra,Pune City,65,2,27,75,12,135,887,2534,236,124,145,14,11422
35,Maharashtra,Nagpur City,76,7,63,81,13,271,737,2868,232,95,161,18,8985
36,Maharashtra,Bombay City,275,NA,102,230,70,741,2444,15821,303,892,1131,116,36643
1,Manipur,Imphal District,16,2,3,87,17,19,112,473,50,33,64,1,1485
2,Manipur,Churachandpur,5,NA,NA,4,3,3,33,43,12,5,6,1,183
3,Manipur,Bishenpur District,6,NA,1,19,3,5,10,34,7,3,10,NA,251
4,Manipur,Ukhrul District,15,NA,3,1,3,6,17,27,5,5,3,1,153
5,Manipur,Tamenglong District,3,NA,NA,1,1,1,3,6,2,NA,NA,NA,44
6,Manipur,Senapati District,7,2,2,2,1,3,7,16,14,2,1,NA,134
7,Manipur,Thoubal District,15,NA,1,41,5,11,19,122,21,9,13,3,242
8,Manipur,Tengnoupal District,3,NA,NA,3,5,3,11,21,7,4,6,2,112
1,Meghalaya,East Khasi Hills,41,2,12,11,8,21,59,211,41,13,21,NA,807
2,Meghalaya,West Khasi Hills,19,NA,1,2,2,4,5,18,1,NA,1,NA,96
3,Meghalaya,West Garo Hills,2,1,NA,2,NA,NA,7,31,5,NA,1,NA,89
4,Meghalaya,East Garo Hills,10,1,2,7,10,5,44,99,31,4,1,NA,399
5,Meghalaya,Jaintia Hills,26,NA,4,2,3,6,10,30,1,6,5,NA,203
1,Mizoram,Aizawl,28,2,31,5,1,16,83,128,1,23,16,3,595
2,Mizoram,Lunglei,4,2,6,NA,NA,2,21,38,1,4,5,1,253
3,Mizoram,Chhimtuipui,5,NA,9,NA,1,NA,8,39,NA,5,1,3,158
1,Nagaland,Mokakchung,5,NA,1,NA,3,1,27,28,NA,NA,6,NA,133
