SL. No.,Category,State/UT/City,Murder - 1988,Murder - 1989,Murder - Percentage Variation,Attempt to Commit Murder - 1988,Attempt to Commit Murder - 1989,Attempt to Commit Murder - Perentage Variation,C.H. Not Amounting to Murder - 1988,C.H. Not Amounting to Murder - 1989,C.H. Not Amounting to Murder - Percentage Variation,Rape - 1988,Rape - 1989,Rape - Percentage Variation,Kidnapping & Abduction - Total - 1988,Kidnapping & Abduction - Total - 1989,Kidnapping & Abduction - Total - Percentage Variation,Kidnapping & Abduction - Of Women & Girls - 1988,Kidnapping & Abduction - Of Women & Girls - 1989,Kidnapping & Abduction - Of Women & Girls - Percentage Variation,Kidnapping & Abduction - Of Others - 1988,Kidnapping & Abduction - Of Others - 1989,Kidnapping & Abduction - Of Others - Percentage Variation,Dacoity - 1988,Dacoity - 1989,Dacoity - Percentage Variation,Preparation & Assembly for Dacoity - 1988,Preparation & Assembly for Dacoity - 1989,Preparation & Assembly for Dacoity - Percentage Variation,Robbery - 1988,Robbery - 1989,Robbery - Percentage Variation,Burglary - 1988,Burglary - 1989,Burglary - Percentage Variation,Theft - 1988,Theft - 1989,Theft - Percentage Variation,Riots - 1988,Riots - 1989,Riots - Percentage Variation,Criminal Breach of Trust - 1988,Criminal Breach of Trust - 1989,Criminal Breach of Trust - Percentage Variation,Cheating - 1988,Cheating - 1989,Cheating - Percentage Variation,Counterfeiting - 1988,Counterfeiting - 1989,Counterfeiting - Percentage Variation,Other IPC Crimes - 1988,Other IPC Crimes - 1989,Other IPC Crimes - Percentage Variation,Total Cognizable Crimes Under IPC - 1988,Total Cognizable Crimes Under IPC - 1989,Total Cognizable Crimes Under IPC - Percentage Variation
11,State,Kerala,541,495,-8.5,446,369,-17.3,15,29,93.3,205,206,0.5,137,116,-15.3,137,74,-46,0,42,@,67,58,-13.4,0,0,0,217,208,-4.1,4587,4776,4.1,3560,3882,9,7487,7430,-0.8,391,470,20.2,1151,1447,25.7,267,200,-25.1,45015,47365,5.2,64086,67051,4.6
12,State,Madhya Pradesh,2576,2747,6.6,2021,2596,28.5,58,131,125.9,1885,2244,19,1130,1108,-1.9,1026,994,-3.1,104,114,9.6,242,273,12.8,137,101,-26.3,2153,2223,3.3,18920,21179,11.9,37172,39071,5.1,4062,4606,13.4,860,768,-10.7,1434,1481,3.3,3,27,800,107977,116628,8,180630,195183,8.1
13,State,Maharashtra,2444,2726,11.5,1064,1143,7.4,88,49,-44.3,838,825,-1.6,1034,1135,9.8,764,880,15.2,270,255,-5.6,631,704,11.6,37,49,32.4,3410,3433,0.7,16792,16490,-1.8,57024,59547,4.4,4857,4772,-1.8,2626,2603,-0.9,2594,2850,9.9,207,190,-8.2,89711,92539,3.2,183357,189055,3.1
14,State,Manipur,95,82,-13.7,49,27,-44.9,1,8,700,8,13,62.5,130,114,-12.3,119,103,-13.4,11,11,0,15,19,26.7,3,1,-66.7,36,25,-30.6,185,181,-2.2,353,521,47.6,108,82,-24.1,35,28,-20,89,80,-10.1,4,2,-50,1268,1262,-0.5,2379,2445,2.8
15,State,Meghalaya,97,102,5.2,12,16,33.3,2,2,0,16,20,25,19,16,-15.8,19,16,-15.8,0,0,0,40,19,-52.5,1,0,-100,37,38,2.7,186,176,-5.4,384,464,20.8,73,75,2.7,18,20,11.1,53,40,-24.5,0,0,0,797,763,-4.3,1735,1751,0.9
16,State,Mizoram,28,29,3.6,10,19,90,0,3,@,56,47,-16.1,8,8,0,8,0,-100,0,8,@,1,14,1300,1,0,-100,22,35,59.1,152,161,5.9,353,471,33.4,3,0,-100,36,58,61.1,40,73,82.5,2,1,-50,555,719,29.5,1267,1638,29.3
17,State,Nagaland,37,50,35.1,14,14,0,6,11,83.3,12,10,-16.7,21,34,61.9,8,12,50,13,22,69.2,30,13,-56.7,0,3,@,82,91,11,281,276,-1.8,284,349,22.9,25,39,56,41,44,7.3,40,48,20,1,0,-100,534,609,14,1408,1591,13
18,State,Orissa,593,621,4.7,466,638,36.9,130,75,-42.3,183,196,7.1,243,303,24.7,243,303,24.7,0,0,0,162,191,17.9,0,0,0,563,598,6.2,4625,4608,-0.4,9209,9822,6.7,1506,1783,18.4,382,407,6.5,350,393,12.3,11,18,63.6,22645,24668,8.9,41068,44321,7.9
19,State,Punjab,1761,1667,-5.3,1184,1171,-1.1,122,138,13.1,49,81,65.3,193,243,25.9,125,114,-8.8,68,129,89.7,84,37,-56,38,39,2.6,582,352,-39.5,154,1413,-8.2,2128,2195,3.1,32,43,34.4,284,200,-29.6,322,323,0.3,3,3,0,5953,6261,5.2,14275,14166,-0.8
20,State,Rajasthan,1041,1135,9,606,996,64.4,60,55,-8.3,620,721,16.3,1751,2070,18.2,1671,1986,18.9,80,84,5,111,97,-12.6,8,8,0,1086,1063,-2.1,6727,7122,5.9,12865,14013,8.9,13411,15298,14.1,998,990,-0.8,2799,3129,11.8,41,39,-4.9,46022,52881,14.9,88146,99617,13
21,State,Sikkim,7,6,-14.3,1,2,100,0,0,0,6,5,-16.7,6,2,-66.7,6,2,-166.7,0,0,0,1,0,-100,0,0,0,6,3,-50,39,50,28.2,93,106,14,9,39,333.3,10,3,-70,15,15,0,0,0,0,140,149,6.4,333,380,14.1
22,State,Tamil Nadu,1582,1493,-5.6,1027,1047,1.9,49,29,-40.8,305,279,-8.5,806,690,-14.4,806,530,-34.2,0,160,@,53,98,84.9,0,1,@,430,423,-1.6,7935,8421,6.1,23259,24859,6.9,8973,8732,-2.7,886,819,-7.6,1692,1415,-16.4,253,306,20.9,81475,77463,-4.9,128725,126075,-2.1
23,State,Tripura,141,154,9.2,61,37,39.3,4,1,-75,43,66,53.5,61,84,37.7,53,29,-45.3,8,55,587.5,61,95,55.7,0,1,@,111,120,8.1,821,689,-16.1,987,998,1.1,576,505,-12.3,24,16,-33.3,19,16,-15.8,0,1,@,2611,2580,-1.2,5520,5363,-2.8
24,State,Uttar Pradesh,6502,7594,16.8,6517,7312,12.2,1951,2051,5.1,1385,1468,6,3346,4043,20.8,2915,3108,6.6,431,935,116.9,2297,2494,8.6,445,381,-14.4,6416,6984,8.9,18987,19407,2.2,41748,44691,7,9411,9818,4.3,3492,3562,2,2880,2899,0.7,99,120,21.2,54777,60056,9.6,160253,172880,7.9
25,State,West Bengal,1440,1621,12.6,166,610,267.5,494,496,0.4,631,575,-8.9,882,586,-33.6,850,561,-34,32,25,-21.9,810,564,-30.4,6,71,1083.3,797,862,8.2,1909,2185,14.5,25200,29981,19,7311,7498,2.6,944,932,-1.3,866,1037,19.7,72,96,33.3,21852,21295,-2.5,63380,68409,7.9
Total (States),State,Total (States),28421,30805,8.4,20298,23352,15,3707,4039,9,8957,9579,6.9,14969,16383,9.4,13160,13307,1.1,1809,3076,70,9291,9878,6.3,925,991,7.1,21370,22227,4,122074,126863,3.9,306582,326816,6.5,94241,98518,4.5,16575,16847,1.6,21490,22517,4.8,1498,2036,35.9,735711,781793,6.3,1406379,1492644,6.1
26,UT,A & N Islands,13,11,-15.4,5,5,0,1,1,0,4,6,50,4,15,275,4,13,225,0,2,@,3,0,-100,0,0,0,5,2,-60,109,103,-5.5,130,182,40,33,38,15.2,12,11,-8.3,7,5,-28.6,2,0,-100,569,765,34.4,897,1144,27.5
27,UT,Chandigarh,14,17,21.4,8,7,-12.5,1,1,0,4,7,75,19,19,0,15,16,6.7,4,3,-25,0,0,0,0,0,0,14,10,-28.6,233,186,-20.2,769,817,6.2,20,12,-40,32,24,-25,52,37,-28.8,1,0,-100,567,568,0.2,1734,1705,-1.7
28,UT,D & N Haveli,10,6,-40,0,4,@,0,2,@,5,2,-60,5,2,-60,3,1,-66.7,2,1,-50,4,0,-100,0,0,0,5,5,0,101,36,-64.4,58,59,1.7,30,13,-56.7,7,3,-57.1,2,1,-50,0,0,0,324,219,-32.4,551,352,-36.1
29,UT,Daman & Diu,1,2,100,0,1,@,0,0,0,3,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,12,9.1,30,30,0,15,15,0,2,2,0,0,2,@,0,0,0,57,82,43.9,120,147,22.5
30,UT,Delhi,295,342,15.9,364,359,-1.4,46,57,23.9,121,152,25.6,753,877,16.5,680,813,19.6,73,64,-12.3,7,13,85.7,6,24,300,203,214,5.4,1591,1559,-2,11253,12346,9.7,113,151,33.6,698,633,-9.3,1116,1105,-1,35,33,-5.7,11412,12658,10.9,28013,30523,9
31,UT,Lakshadweep,0,0,0,0,1,@,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,300,8,12,50,5,27,440,1,2,100,0,0,0,0,0,0,14,41,192.9,30,91,203.3
32,UT,Pondicherry,17,39,129.4,14,19,35.7,0,0,0,5,6,20,21,22,4.8,18,19,5.6,3,3,0,1,5,400,0,0,0,13,21,61.5,183,253,38.3,748,978,30.7,130,169,30,25,19,-24,38,24,-36.8,1,6,500,1436,1677,16.8,2632,3238,23
Total (UTs),UT,Total (UTs),350,417,19.1,391,396,1.3,48,61,27.1,142,173,21.8,802,935,16.6,720,862,19.7,82,73,-11,15,18,20,6,24,300,241,253,5,2230,2157,-3.3,12996,14424,11,346,425,22.8,777,694,-10.7,1215,1174,-3.4,39,39,0,14379,16010,11.3,33977,37200,9.5
Total (All-India),Total (All-India),Total (All-India),28771,31222,8.5,20689,23748,14.8,3755,4100,9.2,9099,9752,7.2,15771,17318,9.8,13880,14169,2.1,1891,3149,66.5,9306,9896,6.3,931,1015,9,21611,22480,4,124304,129020,3.8,319848,341240,6.7,94587,98943,4.6,17352,17541,1.1,22705,23691,4.3,1537,2075,35,750090,797803,6.4,1440356,1529844,6.2
33,City,Ahmedabad,81,96,18.5,114,114,22.6,0,3,@,12,13,8.3,106,125,17.9,74,97,31.1,32,28,-12.5,16,16,0,0,0,0,72,94,30.6,703,810,15.2,3553,4186,17.8,182,183,0.5,166,124,-25.3,196,163,-16.8,20,20,0,7094,7417,4.6,12294,13364,8.7
34,City,Bangalore,103,111,7.8,43,43,-23.2,3,1,-66.7,29,31,6.9,78,80,2.6,16,27,68.8,62,53,-14.5,11,19,72.7,0,0,0,166,188,13.3,1790,1712,-4.4,7211,7399,2.6,328,241,-26.5,265,326,23,750,727,-3.1,261,657,151.7,11037,11572,4.8,21998,23107,5
35,City,Bombay,314,375,19.4,197,197,31.3,10,4,-60,108,108,0,236,267,13.1,158,201,27.2,78,66,-15.4,49,56,14.3,18,28,55.6,674,670,-0.6,2320,2282,-1.6,15133,14802,-2.2,160,261,63.1,888,1028,15.8,1012,1196,18.2,70,47,-32.9,14660,15988,9.1,35802,37309,4.2
36,City,Calcutta,56,60,7.1,169,169,1.8,10,24,140,18,27,50,116,110,-5.2,84,85,1.2,32,25,-21.9,23,28,21.7,6,2,-66.7,118,155,31.4,387,375,-3.1,7014,6973,-0.6,631,580,-8.1,312,321,2.9,418,478,14.4,36,56,55.6,4279,4380,2.4,13652,13738,0.6
37,City,Delhi,239,295,23.4,319,319,109.9,21,31,47.6,100,137,37,698,797,14.2,629,750,19.2,69,47,-31.9,5,11,120,6,21,250,183,200,9.3,1448,1450,0.1,10562,11805,11.8,92,133,44.6,647,599,-7.4,1081,1069,-1.1,35,33,-5.7,10261,11567,12.7,25530,28467,11.5
38,City,Hyderabad,90,123,36.7,97,97,-4,2,9,350,17,16,-5.9,51,47,-7.8,51,47,-7.8,0,0,0,4,13,225,0,0,0,84,59,-29.8,1151,1367,18.8,3079,3241,5.3,191,306,60.2,95,60,-36.8,379,424,11.9,32,29,-9.4,2193,2272,3.6,7469,8063,8
39,City,Jaipur,36,36,0,25,25,@,0,1,@,12,19,58.3,113,124,9.7,111,122,9.9,2,2,0,1,1,0,0,3,@,59,35,-40.7,473,424,-10.4,1841,1480,-19.6,816,827,1.3,173,132,-23.7,309,255,-17.5,20,15,-25,3007,2892,-3.8,6860,6269,-8.6
40,City,Kanpur,113,121,7.1,146,146,6.6,34,28,-17.6,35,18,-48.6,141,163,15.6,120,138,15,21,25,19,39,38,-2.6,7,8,14.3,126,115,-8.7,519,539,3.9,1841,1651,-10.3,189,174,-7.9,242,255,5.4,255,229,-10.2,31,39,25.8,2217,2002,-9.7,5926,5526,-6.7
41,City,Lucknow,71,96,35.2,73,73,2.8,23,30,30.4,17,30,76.5,116,113,-2.6,113,102,-9.7,3,11,266.7,11,28,154.5,21,12,-42.9,90,119,32.2,526,604,14.8,2124,2228,4.9,191,313,63.9,198,228,15.2,280,270,-3.6,6,5,-16.7,897,1187,32.3,4642,5336,15
42,City,Madras,49,62,26.5,0,0,-100,2,7,250,23,25,8.7,38,33,-13.2,34,33,-2.9,4,0,-100,0,3,@,0,0,0,62,87,40.3,366,461,26,4091,4415,7.9,151,162,7.3,176,187,6.3,642,475,-26,140,199,42.1,8163,8052,-1.4,13947,14168,1.6
43,City,Nagpur,106,126,18.9,52,52,57.6,1,1,0,36,50,38.9,68,74,8.8,53,57,7.5,15,17,13.3,11,20,81.8,0,0,0,275,323,17.5,813,856,5.3,2485,2612,5.1,172,241,40.1,109,99,-9.2,120,222,85,16,28,75,4004,4664,16.5,8249,9368,13.6
44,City,Pune,75,81,8,65,65,3.2,4,5,25,31,28,-9.7,50,47,-6,46,38,-17.4,4,9,125,16,21,31.3,3,2,-33.3,194,168,-13.4,940,872,-7.2,2704,2887,6.8,259,291,12.4,115,93,-19.1,148,137,-7.4,36,20,-44.4,5413,5663,4.6,10051,10380,3.3
