SL. No.,Category,State/UT/City,Murder - Male,Murder - Female,Murder - Total,Attempt to Commit Murder - Male,Attempt to Commit Murder - Female,Attempt to Commit Murder - Total,C.H. Not Amounting to Murder - Male,C.H. Not Amounting to Murder - Female,C.H. Not Amounting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abduction - Total - Male,Kidnapping & Abduction - Total - Female,Kidnapping & Abduction - Total - Total,Kidnapping & Abduction - Of Women & Girls - Male,Kidnapping & Abduction - Of Women & Girls - Female,Kidnapping & Abduction - Of Women & Girls - Total,Kidnapping & Abduction - Of Others - Male,Kidnapping & Abduction - Of Others - Female,Kidnapping & Abduction - Of Others - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Preparation & Assembly for Dacoity - Male,Preparation & Assembly for Dacoity - Female,Preparation & Assembly for Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Male,Theft - Female,Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total
11,State,Kerala,1179,58,1237,1422,14,1436,94,2,96,221,0,221,161,5,166,61,2,63,100,3,103,302,2,304,0,0,0,234,0,234,2696,2,2698,2939,38,2977,42977,1201,44178,369,7,376,994,36,1030,118,1,119,58623,1632,60255,112329,2998,115327
12,State,Madhya Pradesh,6166,238,6404,7633,119,7752,174,26,200,3200,0,3200,1626,42,1668,1479,42,1521,147,0,147,1106,0,1106,536,0,536,3118,7,3125,12406,183,12589,20174,789,20963,28054,469,28523,786,12,798,1435,61,1496,28,0,28,166860,3784,170644,253302,5730,259032
13,State,Maharashtra,5999,446,6445,3877,78,3955,71,2,73,1233,28,1261,1286,81,1367,1043,52,1095,243,29,272,3757,18,3775,204,0,204,3936,51,3987,12593,345,12938,30339,1810,32149,45778,1924,47702,3282,56,3338,2707,97,2804,59,0,59,130590,9319,139909,245711,14255,259966
14,State,Manipur,114,2,116,22,1,23,16,0,16,26,0,26,134,17,151,122,17,139,12,0,12,27,0,27,4,0,4,21,0,21,315,0,315,421,15,436,213,91,304,31,1,32,55,16,71,9,0,9,1097,36,1133,2505,179,2684
15,State,Meghalaya,135,7,142,13,0,13,3,0,3,26,0,26,17,0,17,17,0,17,0,0,0,41,0,41,0,0,0,51,1,52,208,0,208,592,3,595,94,3,97,25,0,25,40,0,40,0,0,0,856,14,870,2101,28,2129
16,State,Mizoram,11,0,11,7,0,7,3,0,3,31,0,31,3,0,3,0,0,0,3,0,3,1,0,1,0,0,0,7,0,7,81,0,81,278,6,284,0,0,0,20,2,22,34,1,35,1,0,1,372,70,442,849,79,928
17,State,Nagaland,52,4,56,23,0,23,7,0,7,8,0,8,19,11,30,0,11,11,19,0,19,33,0,33,18,0,18,77,0,77,192,0,192,253,2,255,76,0,76,32,0,32,31,0,31,0,0,0,493,0,493,1314,17,1331
18,State,Orissa,1308,23,1331,1840,12,1852,109,5,114,309,2,311,355,7,362,355,7,362,0,0,0,839,1,840,0,0,0,875,16,891,4904,21,4925,12222,97,12319,13391,65,13456,401,1,402,420,1,421,9,0,9,44042,63,44105,81024,314,81338
19,State,Punjab,1301,65,1366,1164,14,1178,226,10,236,144,6,150,151,13,164,89,13,102,62,0,62,84,0,84,154,0,154,251,0,251,755,5,760,1318,26,1344,64,0,64,236,3,239,353,0,353,1,0,1,9824,203,10027,16026,345,16371
20,State,Rajasthan,2128,114,2242,2866,63,2929,85,7,92,797,4,801,1261,44,1305,1150,42,1192,111,2,113,317,6,323,35,0,35,1173,11,1184,3793,28,3821,6956,119,7075,51500,2072,53572,409,7,416,1233,11,1244,3,0,3,68085,1546,69631,140641,4032,144673
21,State,Sikkim,6,1,7,3,0,3,0,0,0,8,0,8,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,12,0,12,42,0,42,76,4,80,119,16,135,3,1,4,18,0,18,0,0,0,210,20,230,499,42,541
22,State,Tamil Nadu,3130,162,3292,6626,204,6830,28,0,28,370,3,373,945,46,991,812,39,851,133,7,140,198,0,198,0,0,0,518,19,537,5682,457,6139,17137,1027,18164,48235,3174,51409,501,17,518,849,34,883,77,0,77,96189,8435,104624,180485,13578,194063
23,State,Tripura,332,7,339,71,0,71,13,0,13,79,0,79,150,7,157,91,4,95,59,3,62,226,0,226,11,0,11,253,0,253,520,0,520,725,33,758,1376,91,1467,73,0,73,55,0,55,3,1,4,2448,135,2583,6335,274,6609
24,State,Uttar Pradesh,19684,275,19959,14914,125,15039,5131,66,5197,2242,11,2253,6136,86,6222,4463,82,4545,1673,4,1677,10227,3,10230,1643,0,1643,8429,9,8438,15588,33,15621,23100,87,23187,55942,351,56293,2830,2,2832,3041,18,3059,129,0,129,100557,670,101227,269593,1736,271329
25,State,West Bengal,2808,111,2919,1384,24,1408,816,40,856,906,60,966,978,52,1030,948,49,997,30,3,33,3055,404,3459,294,2,296,1184,33,1217,1784,41,1825,20036,117,20153,34043,672,34715,608,361,969,1041,50,1091,41,4,45,26452,805,27257,95430,2776,98206
Total (States),State,Total (States),67447,2148,69595,59945,935,60880,8286,210,8496,13605,135,13740,20841,1082,21923,16195,1011,17206,4646,71,4717,32931,456,33387,3845,2,3847,28836,168,29004,91044,1374,92418,212809,5299,218108,530098,14688,544786,15639,536,16175,19643,452,20095,649,6,655,1095136,38506,1133642,2200754,56997,2266751
26,UT,A & N Islands,14,1,15,6,0,6,1,0,1,6,0,6,15,0,15,12,0,12,3,0,3,0,0,0,0,0,0,4,4,8,65,4,69,96,4,100,124,18,142,13,0,13,4,0,4,0,0,0,690,85,775,1038,116,1154
27,UT,Chandigarh,15,1,16,23,0,23,3,0,3,14,0,14,23,0,23,18,0,18,5,0,5,0,0,0,0,0,0,9,0,9,89,7,96,270,12,282,79,0,79,10,1,11,28,1,29,0,0,0,5497,39,5536,6060,61,6121
28,UT,D & N Haveli,9,0,9,6,1,7,1,1,2,3,0,3,7,0,7,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,29,0,29,36,0,36,57,8,65,8,0,8,1,0,1,0,0,0,272,21,293,429,31,460
29,UT,Daman & Diu,4,5,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,15,0,15,84,12,96,6,0,6,1,0,1,0,0,0,97,7,104,211,24,235
30,UT,Delhi,529,39,568,647,54,701,132,1,133,204,5,209,440,34,474,379,34,413,61,0,61,78,0,78,95,0,95,313,0,313,912,4,916,4819,253,5072,802,42,844,515,64,579,1086,46,11132,16,0,16,11732,832,12564,22320,1374,23694
31,UT,Lakshadweep,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,19,0,17,22,0,22
32,UT,Pondicherry,122,1,123,90,2,92,0,0,0,6,1,7,36,1,37,15,1,16,21,0,21,10,0,10,0,0,0,18,0,18,80,1,81,359,8,367,1300,13,1313,10,0,10,14,0,14,3,0,3,2499,221,2720,4547,248,4795
Total (UTs),UT,Total (UTs),693,47,740,774,57,831,137,2,139,233,6,239,521,35,556,424,35,459,97,0,97,88,0,88,95,0,95,344,4,348,1180,16,1196,5595,277,5872,2448,93,2541,562,65,627,1134,47,1181,19,0,19,20804,1205,22009,34627,1854,36481
Total (All-India),Total (All-India),Total (All-India),68140,2195,70335,60719,992,61711,8423,212,8635,13838,141,13979,21362,1117,22479,16619,1046,17665,4743,71,4814,33019,456,33475,3940,2,3942,29180,172,29352,92224,1390,93614,218404,5576,223980,532546,14781,547327,16201,601,16802,20777,499,21276,668,6,674,1115940,39711,1155651,2235381,67851,2303232
33,City,Ahmedabad,147,18,165,296,22,318,2,1,3,25,1,26,153,18,171,97,18,115,56,0,56,28,0,28,0,0,0,110,2,112,539,14,553,1645,79,1724,1009,77,1086,115,3,118,110,15,125,5,0,5,9686,648,10334,13870,898,14768
34,City,Bangalore,153,12,165,88,3,91,1,0,1,49,0,49,57,0,57,24,0,24,33,0,33,27,0,27,0,0,0,147,2,149,716,3,719,2234,47,2281,939,21,960,126,0,126,241,12,253,7,0,7,9156,291,9447,13941,391,14332
35,City,Bombay,817,27,844,498,17,515,3,0,3,162,5,167,269,13,282,160,10,170,109,3,112,219,0,219,72,0,72,659,4,663,1136,21,1157,5208,197,5405,1953,50,2003,971,27,998,649,33,682,27,0,27,18463,799,19262,31106,1193,32299
36,City,Calcutta,58,6,64,104,5,109,37,0,37,19,0,19,112,9,121,82,6,88,30,3,33,73,0,73,8,0,8,179,2,181,437,2,439,6209,36,6245,1973,0,1973,167,0,167,280,3,283,7,0,7,6029,44,6073,15692,107,15799
37,City,Delhi,450,37,487,518,54,572,62,1,63,197,5,202,391,34,425,345,34,379,46,0,46,53,0,53,84,0,84,295,0,295,813,4,817,4744,248,4992,758,40,798,515,64,579,1059,43,1102,16,0,16,10900,812,11712,20855,1342,22197
38,City,Hyderabad,210,7,217,233,4,237,3,0,3,21,0,21,52,2,54,52,2,54,0,0,0,15,0,15,0,0,0,121,0,121,619,2,621,1312,20,1332,1781,13,1794,14,0,14,225,19,244,0,0,0,2332,96,2428,6938,163,7101
39,City,Jaipur,65,0,65,80,0,80,5,0,5,19,0,19,83,2,85,83,0,83,0,2,2,4,0,4,14,0,14,22,0,22,165,2,167,409,5,414,2165,42,2207,20,3,23,69,2,71,2,0,2,2800,61,2861,5922,117,6039
40,City,Kanpur,239,0,239,313,0,313,31,0,31,40,0,40,203,0,203,176,0,176,27,0,27,111,0,111,12,0,12,128,0,128,347,0,347,418,0,418,954,0,954,129,0,129,183,0,183,0,0,0,2714,0,2714,5822,0,5822
41,City,Lucknow,174,11,185,142,0,142,120,0,120,40,0,40,111,4,115,105,4,109,6,0,6,94,0,94,70,0,70,151,0,151,338,3,341,483,12,495,1185,6,1191,82,0,82,110,8,118,0,0,0,859,113,972,3959,157,4116
42,City,Madras,142,5,147,60,0,60,1,0,1,27,0,27,29,0,29,29,0,29,0,0,0,3,0,3,0,0,0,87,0,87,379,82,461,2763,318,3081,1138,210,1348,36,13,49,67,8,75,0,0,0,6101,2296,8397,10833,2932,13765
43,City,Nagpur,246,6,252,94,0,94,1,0,1,75,4,79,71,3,74,57,0,57,14,3,17,72,0,72,0,0,0,259,0,259,325,1,326,922,24,946,973,1,974,85,1,86,230,2,232,0,0,0,4367,50,4417,7720,92,7812
44,City,Pune,165,20,185,197,0,197,7,1,8,38,3,41,40,0,40,40,0,40,0,0,0,103,2,105,12,0,12,243,4,247,535,20,555,1444,132,1576,5085,222,5307,68,6,74,120,13,133,4,0,4,7540,1282,8822,15601,1705,17306
