SL. No.,Category,State/UT/City,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic Drugs and Psychotropic Substances Act - Male,Narcotic Drugs and Psychotropic Substances Act - Female,Narcotic Drugs and Psychotropic Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosives and Explosive Substances Act - Male,Explosives and Explosive Substances Act - Female,Explosives and Explosive Substances Act - Total,Immoral Traffic (Prevention) Act - Male,Immoral Traffic (Prevention) Act - Female,Immoral Traffic (Prevention) Act - Total,Indian Railways Act - Male,Indian Railways Act - Female,Indian Railways Act - Total,Registration of Foreigners Act - Male,Registration of Foreigners Act - Female,Registration of Foreigners Act - Total,Protection of Civil Rights Act - Male,Protection of Civil Rights Act - Female,Protection of Civil Rights Act - Total,Indian Passport Act - Male,Indian Passport Act - Female,Indian Passport Act - Total,Essential Commodities Act - Male,Essential Commodities Act - Female,Essential Commodities Act - Total,Terrorist & Disruptive Activites Act - Male,Terrorist & Disruptive Activites Act - Female,Terrorist & Disruptive Activites Act - Total,Antiquity & Art Treasure Act - Male,Antiquity & Art Treasure Act - Female,Antiquity & Art Treasure Act - Total,Dowry Prohibition Act - Male,Dowry Prohibition Act - Female,Dowry Prohibition Act - Total,Other LSL Crimes - Male,Other LSL Crimes - Female,Other LSL Crimes - Total,Total Cognizable Crimes Under LSL - Male,Total Cognizable Crimes Under LSL - Female,Total Cognizable Crimes Under LSL - Total
11,State,Kerala,220,0,220,243,2,245,7224,0,7224,231,36,267,302,27,329,119,0,119,70,319,389,68,0,68,14,0,14,46,4,50,11,0,11,150,1,151,0,0,0,0,0,0,5,0,5,5486,47,5533,14189,436,14625
12,State,Madhya Pradesh,4816,12,4828,348,9,357,50987,10,50997,13674,591,14265,49,0,49,518,1,519,13,0,13,20250,62,20312,42,0,42,774,26,800,0,0,0,291,0,291,2,0,2,0,0,0,218,30,248,139403,493,139896,231385,1234,232619
13,State,Maharashtra,1489,2,1491,1962,55,2017,109696,126,109822,0,0,0,133406,8012,141418,216,1,217,360,1600,1960,6132,31,6163,484,279,763,300,14,314,32,0,32,574,0,574,9,0,9,0,0,0,366,0,366,303897,29299,333196,558923,39419,598342
14,State,Manipur,44,1,45,341,29,370,456,5,461,1356,1278,2634,0,0,0,9,0,9,5,2,7,0,0,0,41,8,49,0,0,0,31,10,41,8,0,8,78,1,79,0,0,0,0,0,0,150,0,150,2519,1334,3853
15,State,Meghalaya,39,1,40,6,0,6,352,0,352,10,21,31,1,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,426,13,439,839,35,874
16,State,Mizoram,10,0,10,26,6,32,14,18,32,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,719,31,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,7,454,1220,62,1282
17,State,Nagaland,48,0,48,140,11,151,2,0,2,48,15,63,0,0,0,14,0,14,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,11,323,565,37,602
18,State,Orissa,146,0,146,166,0,166,3943,0,3943,205,55,260,0,0,0,117,0,117,0,0,0,68,1,69,0,0,0,80,0,80,0,0,0,62,0,62,0,0,0,0,0,0,225,1,226,927,4,931,5939,61,6000
19,State,Punjab,2954,1,2955,1592,27,1619,3472,2,3474,12040,466,12506,0,0,0,50,0,50,2,2,4,450,2,452,3,0,3,0,0,0,206,29,235,113,0,113,245,3,248,0,0,0,0,0,0,953,13,9666,22080,545,22625
20,State,Rajasthan,3333,0,3333,675,6,681,4605,0,4605,2364,24,2388,0,0,0,217,0,217,144,0,144,782,0,782,29,0,29,349,0,349,141,0,141,214,0,214,14,0,14,0,0,0,2,0,2,126014,81,126095,138883,111,138994
21,State,Sikkim,3,0,3,0,0,0,22,0,22,190,25,215,0,0,0,3,0,3,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,3370,350,3720,3602,375,3977
22,State,Tamil Nadu,99,0,99,1882,126,2008,45135,264,45399,69,0,69,382712,41329,424041,370,0,370,2275,6109,8384,42,0,42,2,0,2,1239,33,1272,140,0,140,113,4,117,0,0,0,0,0,0,547,145,692,641596,34569,676165,1076221,82579,1158800
23,State,Tripura,61,0,61,5,0,5,32,0,32,83,13,96,151,0,151,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,65,0,0,0,0,0,0,0,0,0,4843,323,5166,5280,336,5616
24,State,Uttar Pradesh,34215,3,34218,1755,12,1767,28098,14,28112,27055,481,27536,9,0,9,927,0,927,325,348,673,1721,0,1721,51,1,52,578,0,578,4,0,4,2000,2,2002,23,0,23,0,0,0,542,74,616,147137,236,147373,244440,1171,245611
25,State,West Bengal,868,1,869,272,21,293,20476,0,20476,2665,16,2681,76,0,76,286,0,286,33,132,165,2960,317,3277,1184,45,1229,0,0,0,30,0,30,5901,51,5952,0,0,0,0,0,0,38,3,41,161311,282,161593,196100,868,196968
Total (States),State,Total (States),54716,40,54756,11980,364,12344,366157,467,366624,85436,4266,89702,637476,75786,713262,6516,10,6526,4197,13234,17431,34275,421,34696,2171,355,2526,7120,284,7404,797,47,844,12358,78,12436,3762,10,3772,4,1,5,3482,573,4055,2595826,76301,2672127,3826273,172237,3998510
26,UT,A & N Islands,0,0,0,11,0,11,70,0,70,911,456,1367,85,0,85,0,0,0,0,0,0,0,0,0,68,0,68,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,555,5,560,1705,461,2166
27,UT,Chandigarh,60,0,60,20,1,21,167,0,167,47,0,47,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,2,0,2,3,0,3,0,0,0,0,0,0,60,0,60,364,1,365
28,UT,D & N Haveli,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,6,0,6,23,0,23
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
30,UT,Delhi,1752,0,1752,1345,186,1531,2377,19,2396,1346,152,1498,0,0,0,34,0,34,20,405,425,657,2,659,101,5,106,4,0,4,0,0,0,58,0,58,8,0,8,0,0,0,12,1,13,3696,183,3879,11410,953,12363
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
32,UT,Pondicherry,4,0,4,8,2,10,214,0,214,124,9,133,0,0,0,12,0,12,45,261,306,0,0,0,2,0,2,36,1,37,0,0,0,79,12,91,0,0,0,0,0,0,9,1,10,29592,636,30228,30125,922,31047
Total (UTs),UT,Total (UTs),1816,0,1816,1384,189,1573,2829,19,2848,2433,617,3050,86,0,86,46,0,46,65,666,731,657,2,659,176,5,181,40,1,41,0,0,0,159,12,171,11,0,11,0,0,0,21,2,23,33909,824,34733,43632,2337,45969
Total (All-India),Total (All-India),Total (All-India),56532,40,56572,13364,553,13917,368986,486,369472,87869,4883,92752,637562,75786,713348,6562,10,6572,4262,13900,18162,34932,423,35355,2347,360,2707,7160,285,7445,797,47,844,12517,90,12607,3773,10,3783,4,1,5,3503,575,4078,2629735,77125,2706860,3869905,174574,4044479
33,City,Ahmedabad,25,2,27,52,1,53,9556,2,9558,0,0,0,13076,1360,14436,5,0,5,21,13,34,0,0,0,3,5,8,4,1,5,0,0,0,124,0,124,0,0,0,0,0,0,0,0,0,8419,833,9252,31285,2217,33502
34,City,Bangalore,2,0,2,110,19,129,1489,0,1489,539,33,572,0,0,0,62,1,63,177,786,963,2,0,2,45,9,54,27,1,28,3,1,4,128,2,130,0,0,0,0,0,0,120,62,182,206222,4,206226,208926,918,209844
35,City,Bombay,429,0,429,273,21,294,47622,5,47627,0,0,0,9787,1021,10808,121,0,121,293,1575,1868,2,0,2,445,279,724,0,1,1,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,267863,26359,294222,326844,29261,356105
36,City,Calcutta,53,0,53,198,21,219,17285,0,17285,2577,16,2593,0,0,0,97,0,97,31,132,163,5,0,5,0,0,0,0,0,0,0,0,0,100,7,107,0,0,0,0,0,0,0,0,0,151415,204,151619,171761,380,172141
37,City,Delhi,1717,0,1717,1327,186,1513,2342,19,2361,1224,148,1372,0,0,0,34,0,34,20,405,425,657,2,659,101,5,106,4,0,4,0,0,0,54,0,54,8,0,8,0,0,0,12,1,13,3665,183,3848,11165,949,12114
38,City,Hyderabad,37,0,37,18,1,19,2256,0,2256,5341,198,5539,0,0,0,3,0,3,34,124,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,368869,3711,372580,376564,4034,380598
39,City,Jaipur,137,0,137,30,0,30,543,0,543,39,0,39,0,0,0,3,0,3,24,15,39,0,0,0,0,0,0,1,0,1,1,0,1,18,0,18,0,0,0,0,0,0,0,0,0,173,0,173,969,15,984
40,City,Kanpur,2767,0,2767,133,0,133,1551,0,1551,1681,0,1681,0,0,0,25,0,25,0,261,261,2,0,2,0,0,0,18,0,18,0,0,0,23,0,23,0,0,0,0,0,0,0,0,0,2188,0,2188,8388,261,8649
41,City,Lucknow,1470,0,1470,45,1,46,896,0,896,178,4,182,0,0,0,13,0,13,1,3,4,0,0,0,0,0,0,21,0,21,0,0,0,22,1,23,0,0,0,0,0,0,0,0,0,2032,0,2032,4678,9,4687
42,City,Madras,2,0,2,24,0,24,7405,126,7531,48,18,66,7248,3538,10786,4,0,4,0,1157,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116618,12038,128656,131349,16877,148226
43,City,Nagpur,419,0,419,596,10,606,5234,0,5234,0,0,0,4418,71,4489,0,0,0,8,32,40,0,0,0,0,0,0,2,0,2,31,0,31,99,0,99,0,0,0,0,0,0,0,0,0,4814,29,4843,15621,142,15763
44,City,Pune,15,0,15,109,17,126,547,1,548,0,0,0,4227,764,4991,19,0,19,0,0,0,0,0,0,23,5,28,9,1,10,25,2,27,4,0,4,0,0,0,0,0,0,220,117,337,1499,1021,2520,6697,1928,8625
