SL. No.,State/UT,City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cog. Crimes Under IPC
5,Rajasthan,Kota,31,156,3,20,57,55,2,4,0,31,313,552,176,27,88,0,1390,2848
6,Rajasthan,Udaipur,9,13,0,6,43,43,0,0,0,24,123,311,133,20,79,2,693,1456
1,Tamil Nadu,Coimbatore,39,12,0,5,13,8,5,5,0,13,408,1155,257,41,89,12,2697,4746
2,Tamil Nadu,Madras,62,0,7,25,33,33,0,3,0,87,461,4415,162,187,475,199,8052,14168
3,Tamil Nadu,Madurai,28,65,0,4,15,12,3,9,0,16,237,1057,94,28,72,15,1348,2988
4,Tamil Nadu,Salem,18,14,0,3,13,12,1,0,0,10,228,438,107,7,5,6,651,1500
5,Tamil Nadu,Trichy,16,28,0,1,11,11,0,3,0,3,198,928,52,47,87,6,1370,2750
1,Uttar Pradesh,Agra,33,35,27,15,54,32,22,11,7,44,198,767,99,90,99,0,3666,5145
2,Uttar Pradesh,Aligarh,47,59,19,11,34,25,9,26,3,83,117,635,123,61,32,0,759,2009
3,Uttar Pradesh,Allahabad,113,224,14,16,60,41,19,24,9,126,341,1015,169,71,100,5,982,3269
4,Uttar Pradesh,Bareilly,62,47,17,15,61,45,16,12,1,64,209,779,60,52,59,0,583,2021
5,Uttar Pradesh,Bulandshahar,18,18,6,1,20,14,6,10,0,43,88,255,57,3,36,0,256,811
6,Uttar Pradesh,Gorakhpur,24,15,10,4,13,9,4,7,28,19,98,229,48,27,15,0,550,1087
7,Uttar Pradesh,Kanpur,121,146,28,18,163,138,25,38,8,115,539,1651,174,255,229,39,2002,5526
8,Uttar Pradesh,Lucknow,96,73,30,30,113,102,11,28,12,119,604,2228,313,228,270,5,1187,5336
9,Uttar Pradesh,Meerut,80,107,22,18,86,71,15,21,0,93,361,1235,136,84,90,0,634,2967
10,Uttar Pradesh,Moradabad,36,48,16,10,50,37,13,6,0,27,114,776,59,79,29,0,943,2193
11,Uttar Pradesh,Varanasi,51,43,23,7,39,35,4,13,7,49,247,653,135,85,91,10,207,1660
1,West Bengal,Calcutta,60,169,24,27,110,85,25,28,2,155,375,6973,580,321,478,56,4380,13738
