SL. No.,Category,State/UT/City,Arms Act - Incidence (I),Arms Act - Volume (V),Narcotic Drugs and Psychotropic Substances Act - Incidence (I),Narcotic Drugs and Psychotropic Substances Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Excise Act - Incidence (I),Excise Act - Volume (V),Prohibition Act - Incidence (I),Prohibition Act - Volume (V),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Volume (V),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Volume (V),Indian Railways Act - Incidence (I),Indian Railways Act - Volume (V),Foreigners Registration Act - Incidence (I),Foreigners Registration Act - Volume (V),Protection of Civil Rights Act - Incidence (I),Protection of Civil Rights Act - Volume (V),Indian Passport Act - Incidence (I),Indian Passport Act - Volume (V),Essential Commodities Act - Incidence (I),Essential Commodities Act - Volume (V),Terrorist & Disruptive Activites Act - Incidence (I),Terrorist & Disruptive Activites Act - Volume (V),Antiquity & Art Treasure Act - Incidence (I),Antiquity & Art Treasure Act - Volume (V),Dowry Prohibition Act - Incidence (I),Dowry Prohibition Act - Volume (V),Other LSL Crimes - Incidence (I),Other LSL Crimes - Volume (V),Total Cognizable Crimes Under LSL - Incidence (I),Total Cognizable Crimes Under LSL - Volume (V)
24,State,Uttar Pradesh,34362,26.1,1735,1.3,6681,5.1,26739,20.3,5,0,872,0.7,386,0.3,2159,1.6,40,0,280,0.2,4,0,1537,1.2,9,0,0,0,295,0.2,130654,99.1,205758,156
25,State,West Bengal,597,0.9,295,0.5,7000,10.9,2519,3.9,73,0.1,230,0.4,200,0.3,2632,4.1,771,1.2,27,0,30,0,5880,9.2,3,0,1,0,44,0.1,125978,196.7,146280,228.3
Total (States),State,Total (States),53046,6.6,11449,1.4,161674,20.2,87259,10.9,710845,88.7,4301,0.5,13193,1.6,35298,4.4,1893,0.2,3414,0.4,628,0.1,10980,1.4,1762,0.2,10,0,1905,0.2,2710064,338.3,3807721,475.3
26,UT,A & N Islands,0,0,9,3.3,14,5.1,1311,476.7,82,29.8,0,0,0,0,0,0,4,1.5,0,0,0,0,5,1.8,0,0,0,0,0,0,337,122.5,1762,640.7
27,UT,Chandigarh,60,8.6,21,3,86,12.3,43,6.2,0,0,0,0,0,0,0,0,5,0.7,0,0,0,0,3,0.4,3,0.4,0,0,0,0,61,8.7,282,40.3
28,UT,D & N Haveli,0,0,0,0,1,0.8,2,1.6,0,0,0,0,0,0,0,0,1,0.8,0,0,0,0,5,3.9,0,0,0,0,0,0,6,4.7,15,11.7
29,UT,Daman & Diu,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2.1
30,UT,Delhi,1529,17.6,1346,15.5,1098,12.6,1373,15.8,0,0,19,0.2,117,1.3,366,4.2,64,0.7,2,0,0,0,60,0.7,8,0.1,0,0,10,0.1,1734,20,7726,88.9
31,UT,Lakshadweep,1,2.2,0,0,0,0,0,0,1,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8.7,6,13
32,UT,Pondicherry,1,0.1,6,0.8,93,12.8,129,17.8,0,0,2,0.3,156,21.5,0,0,2,0.3,27,3.7,0,0,96,13.2,0,0,1,0.1,3,0.4,29635,4087.6,30151,4158.8
Total (UTs),UT,Total (UTs),1591,14.9,1382,13,1292,12.1,2859,26.8,83,0.8,21,0.2,273,2.6,366,3.4,76,0.7,29,0.3,0,0,169,1.6,11,0.1,1,0,13,0.1,31778,298.36,39944,374.9
Total (All-India),Total (All-India),Total (All-India),54637,6.7,12831,1.6,162966,20.1,90118,11.1,710928,87.6,4322,0.5,13466,1.7,35664,4.4,1969,0.2,3443,0.4,628,0.1,11149,1.4,1773,0.2,11,0,1918,0.2,2741842,337.7,3847665,474
33,City,Ahmedabad,15,0.6,35,1.4,3078,125.9,0,0,12647,517.5,4,0.2,2,0.1,0,0,8,0.3,2,0.1,0,0,73,3,0,0,0,0,0,0,7490,306.5,23354,955.6
34,City,Bangalore,3,0.1,128,3.6,327,9.1,464,12.9,0,0,18,0.5,587,16.3,1,0,57,1.6,35,1,6,0.2,143,4,0,0,0,0,116,3.2,246025,6851.2,247910,6903.6
35,City,Bombay,394,3.8,195,1.9,496,4.7,0,0,15319,146,119,1.1,643,6.1,1,0,724,6.9,1,0,0,0,0,0,0,0,0,0,2,0,304618,2903.3,322512,3073.9
36,City,Calcutta,48,1.4,210,6.2,5539,162.7,2284,67.1,0,0,64,1.9,43,1.3,3,0.1,0,0,0,0,0,0,98,2.9,0,0,0,0,0,0,91504,2688.1,99793,2931.6
37,City,Delhi,1458,17.7,1328,16.1,1079,13.1,1273,15.5,0,0,13,0.2,117,1.4,366,4.4,64,0.8,2,0,0,0,57,0.7,8,0.1,0,0,10,0.1,1709,20.8,7484,90.9
38,City,Hyderabad,25,1,13,0.5,1157,45.7,5539,218.7,0,0,2,0.1,64,2.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,373791,14756.8,380593,15025.4
39,City,Jaipur,129,9.1,31,2.2,180,12.6,37,2.6,0,0,6,0.4,17,1.2,0,0,0,0,4,0.3,1,0.1,17,1.2,0,0,0,0,0,0,68,4.8,490,34.4
40,City,Kanpur,2773,152.8,128,7.1,391,21.5,1660,91.5,0,0,24,1.3,255,14,1,0.1,1,0.1,8,0.4,0,0,31,1.7,0,0,0,0,0,0,1301,71.7,6573,362.1
41,City,Lucknow,1473,142.5,46,4.4,191,18.5,159,15.4,0,0,12,1.2,1,0.1,0,0,0,0,14,1.4,0,0,19,1.8,0,0,0,0,0,0,2004,193.8,3919,379
42,City,Madras,2,0,24,0.6,7167,173.9,0,0,10863,263.6,4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214507,5205.2,232567,5643.5
43,City,Nagpur,419,26.6,584,37,1693,107.3,0,0,4382,277.7,0,0,10,0.6,0,0,0,0,2,0.1,31,2,86,5.4,0,0,0,0,0,0,4824,305.7,12031,762.4
44,City,Pune,13,0.8,100,6.4,142,9.1,0,0,4346,279.5,19,1.2,0,0,0,0,28,1.8,9,0.6,27,1.7,3,0.2,0,0,0,0,144,9.3,2396,154.1,7227,464.8
