SL.No,States,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterferting,Others IPC Crimes,Total Cognizable Crimes Under IPC
11,Assam,Jorhat,34,5,0,17,39,39,0,3,0,30,193,388,104,21,21,0,860,1715
12,Assam,Karbi Anglang,37,15,1,6,30,24,6,38,1,30,106,225,192,15,8,0,392,1096
13,Assam,Kamrup,51,21,3,47,129,129,0,81,2,89,717,1919,265,143,154,2,2657,6580
14,Assam,Karimaganj,28,11,0,13,32,29,3,7,0,3,151,213,284,10,11,0,455,1218
15,Assam,Kokrajhar,53,33,2,22,30,28,2,64,2,41,141,324,136,3,9,0,525,1385
16,Assam,Lakhimpur,32,7,0,23,65,65,0,14,0,26,123,222,156,41,10,0,554,1273
17,Assam,Morigaon,18,13,0,9,15,15,0,7,0,2,81,123,105,10,17,0,315,715
18,Assam,N.C. Hills,12,1,0,1,3,3,0,2,0,7,40,40,8,6,1,0,68,189
19,Assam,Nagaon,64,43,6,34,94,94,0,28,2,25,353,503,403,44,38,0,1102,2739
20,Assam,Nalbari,21,11,5,19,20,20,0,87,3,49,167,210,163,14,15,1,601,1386
21,Assam,Sibsagar,47,14,3,49,90,90,0,5,0,39,119,553,150,18,28,0,1150,2265
22,Assam,Sonitpur,105,49,2,57,73,59,14,33,6,61,226,581,248,19,34,0,1212,2706
23,Assam,Tinsukia,97,6,3,17,36,36,0,80,0,42,96,314,93,15,12,0,825,1636
24,Assam,Total,988,324,82,471,1047,1001,46,703,20,704,3865,8438,4619,521,552,4,17161,39499
1,Bihar,Aurangabad,59,9,3,11,8,5,3,74,4,38,187,231,355,22,25,0,980,2006
2,Bihar,Begusarai,76,79,0,2,48,40,8,68,1,65,252,311,403,15,24,0,1281,2625
3,Bihar,Bhagalpur,250,292,45,49,56,45,11,88,12,48,79,820,958,98,25,0,1470,4290
4,Bihar,Bhojpur,160,263,10,30,48,28,20,183,15,84,429,792,614,41,34,0,131,2834
5,Bihar,Bokaro,13,19,3,7,16,11,5,10,1,17,24,459,51,12,24,0,483,1139
6,Bihar,Darbhanga,44,23,1,15,36,25,11,52,1,32,218,238,454,6,16,0,985,2121
7,Bihar,Deoghar,26,43,2,10,15,15,0,29,1,24,88,176,238,10,17,0,356,1035
8,Bihar,Dhanbad,66,120,2,25,43,30,13,69,5,112,363,834,306,60,66,0,1905,3976
9,Bihar,Dumka,61,49,9,54,20,20,0,28,3,12,150,278,170,10,12,0,803,1659
10,Bihar,Champaran East,88,104,11,18,39,15,24,83,7,33,287,373,592,53,37,0,1644,3369
11,Bihar,Champaran West,44,40,14,14,65,30,35,29,10,28,185,359,295,24,23,0,708,1838
12,Bihar,Gaya,118,82,7,6,45,29,16,79,11,75,180,562,401,45,13,0,1649,3273
13,Bihar,Giridih,76,12,47,34,31,26,5,48,2,46,282,422,384,1,7,0,1630,3022
14,Bihar,Godda,41,32,8,26,18,10,8,48,3,20,76,111,166,10,5,0,441,1005
15,Bihar,Gopalganj,66,186,25,8,26,26,0,101,5,29,146,282,227,12,19,0,684,1816
16,Bihar,Gumla,108,36,2,37,23,23,0,24,0,53,50,179,55,6,10,0,514,1097
17,Bihar,Hazaribagh,143,44,48,26,34,25,9,96,5,94,346,660,336,26,29,1,1985,3873
18,Bihar,Jehanabad,76,101,6,13,32,1,31,79,1,32,121,193,206,18,14,3,578,1473
19,Bihar,Jamshedpur,56,59,6,11,44,40,4,14,3,18,94,485,191,30,22,1,942,1976
20,Bihar,Katihar,72,131,10,75,75,70,5,49,11,43,139,358,320,97,44,0,1042,2466
21,Bihar,Khagaria,41,76,0,14,17,11,6,29,11,5,112,287,286,7,3,0,392,1280
22,Bihar,Loharadagga,27,13,1,12,5,5,0,15,0,19,30,105,24,3,3,0,204,461
23,Bihar,Medhepura,27,15,0,10,27,12,15,47,2,31,103,145,306,11,27,0,473,1224
24,Bihar,Madhubani,46,44,39,8,43,13,30,66,12,37,301,324,569,16,47,0,1446,2998
25,Bihar,Munger,179,143,15,35,88,74,14,142,24,39,105,886,768,41,63,1,1926,4455
26,Bihar,Muzaffarpur,84,35,10,8,48,44,4,90,10,90,343,411,489,198,145,0,1565,3526
27,Bihar,Nalanda,110,193,4,3,81,70,11,89,19,89,147,487,506,19,17,0,1550,3314
28,Bihar,Nawada,45,170,16,6,26,10,16,26,5,17,62,164,282,18,18,0,603,1458
29,Bihar,Palamau,131,76,33,31,4,4,0,181,10,86,160,330,293,8,9,0,1161,2513
30,Bihar,Patna,271,391,33,18,144,134,10,156,22,359,501,2818,695,190,202,0,4229,10029
31,Bihar,Purnia,113,50,34,93,110,98,12,200,16,80,362,864,1051,195,74,0,1207,4449
32,Bihar,Ranchi,240,138,23,33,59,12,47,71,10,225,363,1014,185,67,80,2,2286,4796
33,Bihar,Rohtas,186,149,14,7,76,18,58,175,19,99,378,697,460,34,39,0,1747,4080
34,Bihar,Saharsa,41,54,8,27,50,50,0,49,4,37,221,325,533,22,35,0,1212,2618
35,Bihar,Sahebganj,87,86,12,32,50,35,15,59,7,24,155,243,285,19,13,0,619,1691
36,Bihar,Samastipur,87,72,33,29,51,51,0,90,9,36,230,242,315,30,25,0,1217,2466
37,Bihar,Saran,88,210,6,5,49,49,0,129,2,87,336,405,370,22,44,0,2109,3862
38,Bihar,Singhbhum,189,82,9,54,45,45,0,54,1,28,189,322,174,21,12,0,1050,2230
39,Bihar,Sitamarhi,42,29,0,22,57,57,0,48,8,33,297,274,509,24,44,0,1126,2513
40,Bihar,Siwan,64,29,6,10,42,33,9,102,5,58,246,321,249,26,22,0,1192,2372
41,Bihar,Vaishali,70,2,13,18,51,51,0,60,2,35,226,237,512,53,91,0,1158,2528
42,Bihar,Dhanbad Rly.,5,0,0,1,1,1,0,8,0,10,8,176,13,0,5,0,126,353
43,Bihar,Jamalpur Rly.,8,0,0,0,5,5,0,14,2,9,2,200,17,0,2,0,136,395
44,Bihar,Katihar Rly.,7,0,0,2,10,5,5,13,1,30,16,219,12,1,10,0,94,415
45,Bihar,Jamshedpur Rly.,5,5,0,2,0,0,0,4,0,4,14,135,8,2,1,0,47,227
46,Bihar,Muzaffarpur Rly.,3,0,0,4,8,8,0,6,3,11,26,202,20,0,12,0,145,440
47,Bihar,Patna Rly.,11,2,0,1,5,5,0,14,1,27,12,542,12,11,13,0,68,719
48,Bihar,Total,3850,3788,568,956,1874,1414,460,3188,306,2508,8641,20498,15665,1634,1522,8,49299,114305
1,Goa,Goa,21,6,12,16,28,10,18,6,0,24,523,1141,319,61,70,32,1966,4225
1,Gujarat,Ahmedabad,143,143,4,16,148,100,48,23,0,124,971,4757,243,156,179,24,9725,16656
2,Gujarat,Amreli,18,13,0,7,15,12,3,1,0,20,86,273,22,7,11,2,1256,1731
3,Gujarat,Anand,56,31,4,12,31,28,3,11,0,33,271,799,68,65,55,3,3003,4442
4,Gujarat,Banaskantha,61,28,0,5,27,27,0,9,0,62,307,705,126,35,16,4,2866,4251
5,Gujarat,Bhavnagar,48,22,1,11,20,18,2,4,0,37,176,471,95,48,29,8,2009,2979
6,Gujarat,Bharuch,74,28,0,15,50,50,0,23,0,26,301,760,100,65,18,2,3338,4800
7,Gujarat,Gandhinagar,10,4,0,10,9,5,4,1,0,9,106,443,31,15,27,0,1090,1755
8,Gujarat,Jamnagar,25,21,3,8,33,13,20,3,0,28,183,433,22,30,47,2,1726,2564
9,Gujarat,Junagadh,32,22,0,15,24,21,3,1,0,38,238,588,52,27,19,9,2303,3368
10,Gujarat,Kheda,46,15,1,10,24,24,0,10,0,23,178,526,48,56,20,7,2074,3038
11,Gujarat,Kuchchh,30,21,0,10,12,11,1,1,0,16,129,306,41,8,34,4,1819,2431
12,Gujarat,Meshana,52,22,0,3,23,20,3,20,0,37,228,954,133,79,26,3,3337,4917
13,Gujarat,Panchmahal,88,17,0,6,22,21,1,49,0,85,393,587,61,68,15,3,3023,4417
14,Gujarat,Patan,23,17,0,3,10,10,0,8,0,29,107,428,77,50,6,4,1382,2144
15,Gujarat,Porbandar,10,11,2,0,8,8,0,1,0,10,37,104,9,9,6,2,656,865
16,Gujarat,Rajkot,56,29,1,13,47,39,8,3,0,26,298,1067,119,69,40,4,3851,5623
17,Gujarat,Sabarkantha,34,7,0,5,16,16,0,9,0,19,282,494,54,245,22,4,2774,3965
18,Gujarat,Surat,112,28,0,17,67,52,15,18,0,47,408,1261,262,74,55,1,4416,6766
19,Gujarat,Surendranagar,21,16,0,11,12,12,0,1,0,22,157,473,23,40,36,1,1772,2585
20,Gujarat,Vadodara,128,58,9,26,95,92,3,22,0,70,665,3044,198,159,97,9,5766,10346
21,Gujarat,Valsad,69,13,0,9,20,19,1,17,0,21,220,419,54,48,21,6,2590,3507
22,Gujarat,W.Rly,16,7,0,3,6,5,1,10,0,24,30,1407,15,21,12,1,492,2044
23,Gujarat,Total,1152,573,25,215,719,603,116,245,0,806,5771,20299,1853,1374,791,103,61268,95194
1,Haryana,Ambala,23,13,5,12,37,13,24,1,1,7,223,365,1,24,36,0,1097,1845
2,Haryana,Bhiwani,29,10,8,8,10,8,2,1,0,5,136,208,40,23,35,0,1128,1641
3,Haryana,Faridabad,51,22,9,13,28,7,21,6,0,15,237,524,126,43,45,1,2473,3593
4,Haryana,Gurgaon,35,16,11,10,24,4,20,0,1,15,172,335,22,29,43,0,2293,3006
5,Haryana,Hissar,53,36,12,17,33,10,23,0,0,6,249,387,31,34,54,0,1554,2466
6,Haryana,Jind,26,12,9,2,9,6,3,2,0,2,138,151,182,15,16,0,626,1190
7,Haryana,Kurukshetra,14,8,7,8,6,4,2,0,0,2,107,209,1,13,25,0,553,953
8,Haryana,Karnal,74,22,6,22,30,11,19,4,5,10,412,609,77,50,97,7,1707,3132
9,Haryana,Kaithal,14,5,10,15,9,5,4,0,0,1,163,190,47,7,21,0,519,1001
10,Haryana,Narnaul,16,8,9,11,16,9,7,1,0,4,142,231,22,15,8,0,2118,2601
11,Haryana,Panipat,1,1,1,1,2,2,0,0,0,1,36,19,3,2,1,0,187,255
12,Haryana,Rohtak,58,27,26,11,23,9,14,0,2,20,212,309,68,30,43,1,1503,2333
13,Haryana,Sonepat,49,28,10,11,16,3,13,3,0,13,163,286,25,15,20,0,1161,1800
14,Haryana,Sirsa,22,8,5,3,13,9,4,0,0,8,128,134,8,20,32,0,1159,1540
15,Haryana,Yamunanagar,19,5,1,11,19,7,12,0,0,10,127,173,4,13,15,1,578,976
16,Haryana,Total,484,221,129,1555,275,107,168,18,9,119,2645,4130,657,333,491,10,18656,28332
1,Himachal Pradesh,Bilaspur,5,2,1,5,5,5,0,0,0,3,49,30,59,10,6,0,288,463
2,Himachal Pradesh,Chamba,8,2,1,6,12,11,1,0,0,3,78,51,10,3,7,0,184,365
3,Himachal Pradesh,Hamirpur,3,1,3,5,3,2,1,0,0,0,37,25,14,2,8,0,202,303
4,Himachal Pradesh,Kangra,27,10,2,5,23,20,3,0,0,2,152,158,29,8,15,0,683,1114
5,Himachal Pradesh,Kinnaur,4,0,0,2,5,5,0,0,0,0,21,26,6,1,0,0,104,169
6,Himachal Pradesh,Kullu,5,3,0,5,7,6,1,0,0,2,38,45,5,4,3,1,225,343
7,Himachal Pradesh,Lahaul-Spiti,2,0,0,1,0,0,0,0,0,0,1,3,1,1,0,0,15,24
8,Himachal Pradesh,Mandi,10,14,0,11,24,20,4,0,0,2,95,143,22,12,29,0,692,1054
9,Himachal Pradesh,Shimla,19,8,2,7,18,18,0,0,0,10,148,198,105,22,21,1,1061,1620
10,Himachal Pradesh,Sirmur,12,6,2,5,8,7,1,0,0,0,33,62,21,10,7,0,308,474
11,Himachal Pradesh,Solan,8,1,1,6,9,7,2,0,0,5,83,84,59,7,9,1,456,729
12,Himachal Pradesh,UNA,2,2,0,2,13,11,2,0,0,2,67,55,35,11,12,0,302,503
13,Himachal Pradesh,Rly. & Traffic,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,4,7
14,Himachal Pradesh,Total,105,49,12,60,127,112,15,0,0,29,803,882,366,91,117,3,4524,7168
1,Jammu Kashmir,Anantnag,6,5,4,18,51,51,0,0,0,0,115,231,317,4,24,0,803,1578
2,Jammu Kashmir,Baramula,7,57,1,19,55,55,0,0,0,2,158,381,383,21,24,0,1406,2514
3,Jammu Kashmir,Badgam,3,11,0,0,26,26,0,0,0,7,33,104,206,2,10,0,405,807
4,Jammu Kashmir,Doda,7,30,1,21,56,56,0,2,0,1,71,88,76,8,6,0,704,1071
5,Jammu Kashmir,Jammu,29,216,2,30,75,75,0,6,0,18,377,761,188,36,66,0,2791,4595
6,Jammu Kashmir,Kargil,1,1,0,0,3,3,0,0,0,0,5,4,7,13,0,0,67,101
7,Jammu Kashmir,Kathua,9,22,0,5,28,24,4,0,0,2,72,142,83,10,10,0,726,1109
8,Jammu Kashmir,Kupwara,4,14,0,8,34,34,0,0,0,0,36,109,194,6,2,0,580,987
9,Jammu Kashmir,Leh,5,5,0,1,5,5,0,1,0,0,22,12,15,1,0,0,165,232
10,Jammu Kashmir,Punch,1,17,0,7,13,13,0,1,0,0,26,241,72,5,7,0,373,763
11,Jammu Kashmir,Pulwama,5,31,1,16,33,33,0,1,0,3,121,322,228,9,7,0,730,1507
12,Jammu Kashmir,Rajauri,9,16,0,6,31,31,0,0,0,0,74,137,21,10,11,0,713,1028
13,Jammu Kashmir,Srinagar,22,43,0,20,81,81,0,0,0,7,385,467,452,21,58,0,2123,3679
14,Jammu Kashmir,Udhampur,11,37,0,24,41,41,0,6,0,3,156,196,64,5,8,0,864,1415
15,Jammu Kashmir,Railways,0,0,0,1,0,0,0,0,0,0,0,43,0,0,1,0,11,56
16,Jammu Kashmir,Total,119,505,9,176,532,528,4,17,0,43,1651,3238,2306,151,234,0,12461,21442
1,Karnataka,Bangalore,190,74,6,45,105,45,60,43,0,188,2242,8130,649,339,762,657,15331,28761
2,Karnataka,Belgaum,123,32,4,15,48,38,10,13,0,20,355,555,596,36,138,14,3367,5316
3,Karnataka,Bellary,47,12,0,4,8,8,0,7,0,6,183,326,281,39,18,0,1565,2496
4,Karnataka,Bidar,33,2,0,1,17,6,11,9,0,19,120,297,173,35,5,0,1056,1767
5,Karnataka,Bijapur,103,49,8,9,48,48,0,27,0,23,188,457,772,42,76,8,2509,4319
6,Karnataka,Chickmagalur,33,10,1,1,5,5,0,11,0,11,195,235,115,34,3,15,1396,2065
7,Karnataka,ChitraDurga,54,18,5,9,26,20,6,7,0,23,396,454,449,33,43,6,2728,4251
8,Karnataka,Dharwad,84,32,1,14,36,8,28,15,0,32,509,775,683,68,112,17,2944,5322
9,Karnataka,Gulbarga,57,16,8,6,14,11,3,11,0,11,247,383,472,12,24,3,1583,2847
10,Karnataka,Hassan,53,10,1,4,7,7,0,4,0,17,362,426,394,13,7,9,1784,3091
11,Karnataka,K.G.F.,14,9,1,3,10,10,0,3,0,2,155,345,87,13,8,1,631,1282
12,Karnataka,Kannada North,18,7,0,5,7,7,0,1,0,3,154,232,125,27,16,0,1319,1914
13,Karnataka,Kannada South,46,22,2,2,11,11,0,3,0,9,269,242,319,19,35,19,2679,3677
14,Karnataka,Kodagu,35,12,0,6,8,0,8,0,0,6,158,164,38,10,10,2,1196,1645
15,Karnataka,Kolar,51,17,1,1,19,10,9,12,0,14,268,447,239,36,48,2,2391,3546
16,Karnataka,Mandya,46,17,1,11,6,2,4,9,0,14,244,324,127,17,29,6,1674,2525
17,Karnataka,Mysore,59,15,3,12,13,13,0,16,0,15,712,1035,326,40,42,3,3221,5512
18,Karnataka,Raichur,62,16,1,4,12,9,3,22,0,15,173,314,438,21,33,1,1776,2888
19,Karnataka,Shimoga,43,19,4,10,23,19,4,11,0,23,308,543,241,25,64,13,2499,3826
20,Karnataka,Tumkur,63,16,0,8,10,8,2,2,0,33,586,551,214,23,41,11,3194,4752
21,Karnataka,Railways,8,0,0,0,0,0,0,2,0,9,8,414,10,0,16,0,171,638
22,Karnataka,Total,1222,405,47,170,433,285,148,228,0,493,7832,16649,6748,882,1530,787,55014,92440
1,Kerala,Allepey,32,61,4,11,8,8,0,9,0,8,303,321,613,34,84,0,4078,5566
2,Kerala,Cannanore,19,19,1,18,7,1,6,2,0,7,361,208,816,37,121,0,3254,4870
3,Kerala,Ernakulam,50,27,0,18,7,4,3,3,0,40,667,584,630,64,158,8,5393,7469
4,Kerala,Idukki,46,19,4,11,18,5,13,3,0,11,295,252,247,25,27,1,2198,3157
5,Kerala,Kasargod,24,10,1,3,2,0,2,0,0,5,79,74,289,6,51,0,1257,1801
6,Kerala,Kollam,51,49,3,25,7,5,2,3,0,12,341,191,561,47,59,0,4125,5474
7,Kerala,Kottayam,42,20,2,6,7,5,2,3,0,31,318,221,447,23,94,0,3825,5039
8,Kerala,Malappuram,25,17,3,23,10,9,1,4,0,9,314,286,747,36,129,7,4186,5796
9,Kerala,Palghat,25,8,0,8,8,6,2,2,0,11,290,194,541,20,62,0,3159,4328
10,Kerala,Palakkad,33,14,1,12,8,4,4,4,0,18,382,320,627,28,76,0,3427,4950
11,Kerala,Pathanamthitta,28,30,2,5,0,0,0,0,0,9,263,93,304,12,28,0,2501,3275
12,Kerala,Trichur,30,11,3,18,11,5,6,3,0,16,370,355,597,43,189,2,3351,4999
13,Kerala,Trivandrum,54,76,3,28,15,14,1,19,0,21,668,566,811,47,134,0,5172,7614
14,Kerala,Wyanad,14,7,1,19,8,8,0,2,0,5,104,92,173,15,34,0,1337,1811
15,Kerala,Railways,0,0,0,0,0,0,0,0,0,1,3,107,23,1,3,0,61,199
16,Kerala,CB CID,22,1,1,1,0,0,0,1,0,4,18,18,4,32,198,182,41,523
17,Kerala,Total,495,369,29,206,116,74,42,58,0,208,4776,3882,7430,470,1447,200,47365,67051
1,Madhya Pradesh,Baitul,49,19,2,44,19,19,0,5,2,18,18,260,35,2,13,0,1563,2049
2,Madhya Pradesh,Balaghat,46,26,1,64,4,4,0,4,0,23,454,658,43,5,13,0,1686,3027
3,Madhya Pradesh,Bastar,71,52,0,50,22,22,0,9,0,35,483,637,121,16,16,0,2837,4349
4,Madhya Pradesh,Bhind,72,86,3,14,9,4,5,10,10,59,204,383,185,1,12,0,1813,2861
5,Madhya Pradesh,Bhopal,62,98,0,85,41,41,0,5,3,190,878,2433,184,21,69,0,6253,10322
6,Madhya Pradesh,Bilaspur,111,66,32,103,39,39,0,6,2,123,1407,1844,306,52,86,0,4955,9132
7,Madhya Pradesh,Chhatarpur,57,58,2,27,15,13,2,11,7,55,400,333,100,3,18,0,1158,2244
8,Madhya Pradesh,Chhindwara,66,44,2,40,13,13,0,1,0,16,177,345,31,6,15,0,2284,3040
9,Madhya Pradesh,Damoh,38,37,1,20,9,8,1,3,4,16,212,260,47,1,11,0,1599,2258
10,Madhya Pradesh,Dantewada,123,75,0,25,15,15,0,9,0,17,152,206,56,3,11,0,0,692
11,Madhya Pradesh,Datiya,27,0,0,5,13,3,10,0,0,13,109,144,29,1,6,0,693,1040
12,Madhya Pradesh,Dewas,37,37,4,51,29,27,2,7,0,40,615,1311,127,18,38,0,2227,4541
13,Madhya Pradesh,Dhar,87,64,6,66,57,57,0,8,1,76,345,1231,77,14,28,0,3823,5883
14,Madhya Pradesh,Durg,57,55,2,104,34,34,0,7,1,97,877,1752,142,55,66,0,5646,8895
15,Madhya Pradesh,Guna,63,54,5,74,18,16,2,2,5,35,443,497,153,8,16,0,2343,3716
16,Madhya Pradesh,Gwalior,107,120,2,36,38,32,6,8,8,98,825,1085,196,18,50,0,3929,6520
17,Madhya Pradesh,Hoshangabad,45,34,3,82,7,7,0,4,0,22,295,463,46,24,8,0,1956,2989
18,Madhya Pradesh,Indore,66,170,2,53,92,82,10,39,2,97,1243,3393,180,61,119,0,8510,14027
19,Madhya Pradesh,Jabalpur,112,182,5,76,46,36,10,4,3,153,1610,2161,151,26,223,2,8258,13012
20,Madhya Pradesh,Khandwa,36,24,6,31,22,21,1,1,0,29,324,856,42,12,24,0,2636,4043
21,Madhya Pradesh,Khargon,89,75,11,62,31,31,0,3,4,49,527,1499,212,65,46,0,3790,6463
22,Madhya Pradesh,Mandla,29,20,0,43,15,15,0,3,0,14,351,334,19,7,33,0,1898,2766
23,Madhya Pradesh,Mandsaur,47,44,2,42,29,27,2,1,1,45,682,1222,121,37,27,0,1959,4259
24,Madhya Pradesh,Muraina,82,75,1,28,20,17,3,9,9,42,253,673,224,5,10,1,2725,4157
25,Madhya Pradesh,Narasingpur,24,44,0,35,16,16,0,2,2,31,190,374,21,4,15,0,1423,2181
26,Madhya Pradesh,Panna,22,11,3,5,6,0,6,8,4,17,128,119,17,2,6,0,639,987
27,Madhya Pradesh,Raigarh,65,18,4,21,8,8,0,6,0,28,284,441,50,12,20,0,1231,2188
28,Madhya Pradesh,Raipur,74,57,1,139,37,33,4,4,0,72,950,2008,146,56,79,1,4860,8484
29,Madhya Pradesh,Raisen,37,37,0,34,6,6,0,3,0,16,164,364,72,3,5,0,1179,1920
30,Madhya Pradesh,Rajgarh,43,31,0,50,10,8,2,6,3,36,201,449,116,4,15,0,1714,2678
31,Madhya Pradesh,Rajnandgaon,28,28,2,79,21,20,1,1,0,18,332,524,31,22,53,0,1731,2870
32,Madhya Pradesh,Ratlam,41,43,1,41,14,11,3,4,1,29,372,871,80,46,40,0,1997,3580
33,Madhya Pradesh,Riva,35,66,4,20,28,18,10,13,5,66,780,764,167,4,13,0,1851,3816
34,Madhya Pradesh,Sagar,59,88,2,74,29,17,12,7,9,56,508,761,96,12,31,0,3636,5368
35,Madhya Pradesh,Sarguja,91,59,0,78,22,19,3,6,2,47,674,746,123,1,26,0,1961,3836
36,Madhya Pradesh,Satna,41,34,3,31,18,8,10,4,0,41,415,486,63,7,21,0,1448,2612
37,Madhya Pradesh,Shahdol,44,34,0,33,8,8,0,5,1,19,687,581,119,16,18,0,2437,4002
38,Madhya Pradesh,Shajapur,44,39,1,46,14,13,1,0,4,27,255,781,121,9,17,0,1618,2976
