Category,States/ UTs,Arms Act,NDPS Act,Gambling Act,Excise Act,Prohibition Act,Exp. & Exp. Sub. Act,I.T.P. Act,Indian Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act - For SCs,Protection of Civil Rights Act - For STs,Indian Passport Act,Essential Commodities Act,TADA Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women Proh. Act,Copyright Act,Sati Prevention Act,SC/ ST (Prev.) of Atrocities Act - Total,SC/ ST (Prev.) of Atrocities Act - for SCs,SC/ ST (Prev.) of Atrocities Act - for STs,Forest Act,Other SLL Crimes,Total Cognizable Crimes under SLL
State,Meghalaya,78.3,81.8,100,100,NA,100,0,NA,100,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,71.2
State,Mizoram,91.7,100,NA,NA,100,100,NA,NA,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,99.9
State,Nagaland,73.7,98.2,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.3,95.6
State,Orissa,96.7,98.3,100,99.9,66.7,92.6,100,NA,NA,100,100,100,NA,96.1,NA,NA,95.4,NA,NA,100,NA,97.9,97.6,98.7,100,97.2,99.4
State,Punjab,97.4,98.2,98.2,99.1,100,57.1,97.1,96.9,100,0,0,NA,79.2,75.6,NA,NA,NA,NA,100,98.8,NA,71.7,71.7,NA,NA,64.5,97.8
State,Rajasthan,99.3,97.4,100,99.2,NA,98.4,100,98.5,100,NA,NA,NA,100,96,NA,0,100,100,100,98,NA,99,98.8,100,99.8,96.3,99
State,Sikkim,100,100,NA,89.1,NA,100,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,90.8
State,Tamil Nadu,97.1,96.6,100,NA,94.7,94.5,100,65,100,87.9,87.9,NA,90.9,60,NA,NA,100,NA,100,100,NA,94.5,94.5,100,NA,72.1,84.4
State,Tripura,85.7,88.9,100,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,87.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,86
State,Uttar Pradesh,98.7,99.6,100,100,100,95.9,100,98.2,100,100,100,NA,100,75.8,NA,100,81.1,100,NA,98,NA,90.4,90.3,100,98.1,99.5,99.4
State,Uttaranchal,99,99.1,99.7,99.8,NA,83.3,NA,90.5,100,NA,NA,NA,100,100,NA,NA,NA,NA,NA,100,NA,69.6,68.7,100,86.4,99.9,99.8
State,West Bengal,94.3,96.5,86.6,98.6,NA,77.4,90,100,98.1,NA,NA,NA,14.3,88.7,NA,100,14.3,NA,0,77,NA,80,100,75,NA,99.7,99.7
State,Total (States),97.5,98,99.9,99.2,97.2,87.3,99.9,99,98,98.1,98,100,89.5,93.2,77.4,75,88.7,97,99.8,97.5,0,93.5,92.8,98,96.6,97.2,97.4
Union Territory,A & N Islands,NA,0,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100
Union Territory,Chandigarh,62.5,89.3,100,99.7,NA,100,100,NA,100,NA,NA,NA,NA,100,NA,NA,NA,100,100,100,NA,100,100,NA,NA,95,97.8
Union Territory,D & N Haveli,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,50,NA,50,NA,71.4,88.9
Union Territory,Daman & Diu,100,NA,100,NA,NA,NA,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,50,85.7
Union Territory,Delhi,99.4,99.7,99.9,99.5,NA,73.1,98.5,100,100,0,0,NA,92.9,96.2,NA,NA,100,NA,NA,98.5,NA,53.8,53.8,NA,NA,99.1,99.3
Union Territory,Lakshadweep,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
Union Territory,Puducherry,100,NA,100,NA,NA,NA,100,NA,100,100,100,NA,NA,100,NA,NA,100,NA,NA,100,NA,NA,NA,NA,NA,99,99.2
Union Territory,Total (UTs),99.3,99.1,99.9,99.6,100,75.9,99,100,100,92.3,92.3,0,92.9,98.5,0,0,100,100,100,98.7,0,56.3,0,57.1,50,98.9,99.4
Total (All-India),Total (All-India),97.6,98.1,99.9,99.2,97.2,87.2,99.9,99,98,98,97.9,100,89.8,93.3,77.4,75,88.7,97,99.8,97.6,0,93.4,92.8,97.9,96.6,97.2,97.4
