Category,States/ UTs/ Cities,Murder - 2001,Murder - 2002,Murder - % Variation,Attempt to Commit Murder - 2001,Attempt to Commit Murder - 2002,Attempt to Commit Murder - % Variation,C.H. not Amounting to murder - 2001,C.H. not Amounting to murder - 2002,C.H. not Amounting to murder - % Variation,Rape - Total - 2001,Rape - Total - 2002,Rape - Total - % Variation,Rape - Custodial - 2001,Rape - Custodial - 2002,Rape - Custodial - % Variation,Rape - Other - 2001,Rape - Other - 2002,Rape - Other - % Variation,Kidnapping & Abduction - Total - 2001,Kidnapping & Abduction - Total - 2002,Kidnapping & Abduction - Total - % Variation,Kidnapping & Abduction of Women & Girls - 2001,Kidnapping & Abduction of Women & Girls - 2002,Kidnapping & Abduction of Women & Girls - % Variation,Kidnapping & Abduction - of Others - 2001,Kidnapping & Abduction - of Others - 2002,Kidnapping & Abduction - of Others - % Variation,Dacoity - 2001,Dacoity - 2002,Dacoity - % Variation,Preparation & Assembly for Dacoity - 2001,Preparation & Assembly for Dacoity - 2002,Preparation & Assembly for Dacoity - % Variation,Robbery - 2001,Robbery - 2002,Robbery - % Variation,Burglary - 2001,Burglary - 2002,Burglary - % Variation,Theft - Total - 2001,Theft - Total - 2002,Theft - Total - % Variation,Theft - Auto Theft - 2001,Theft - Auto Theft - 2002,Theft - Auto Theft - % Variation,Theft - Other Theft - 2001,Theft - Other Theft - 2002,Theft - Other Theft - % Variation,Riots - 2001,Riots - 2002,Riots - % Variation,Criminal Breach of Trust - 2001,Criminal Breach of Trust - 2002,Criminal Breach of Trust - % Variation,Cheating - 2001,Cheating - 2002,Cheating - % Variation,Counterfeiting - 2001,Counterfeiting - 2002,Counterfeiting - % Variation,Arson - 2001,Arson - 2002,Arson - % Variation,Hurt - 2001,Hurt - 2002,Hurt - % Variation,Dowry Deaths - 2001,Dowry Deaths - 2002,Dowry Deaths - % Variation,Molestation - 2001,Molestation - 2002,Molestation - % Variation,Sexual Harassment - 2001,Sexual Harassment - 2002,Sexual Harassment - % Variation,Cruelty by Husband and Relatives - 2001,Cruelty by Husband and Relatives - 2002,Cruelty by Husband and Relatives - % Variation,Importation of Girls - 2001,Importation of Girls - 2002,Importation of Girls - % Variation,Causing Death by Negligence - 2001,Causing Death by Negligence - 2002,Causing Death by Negligence - % Variation,Other IPC Crimes - 2001,Other IPC Crimes - 2002,Other IPC Crimes - % Variation,Total Cognizable Crimes under IPC - 2001,Total Cognizable Crimes under IPC - 2002,Total Cognizable Crimes under IPC - % Variation,Note of - Attempt to Commit Murder - % Variation,Note of - C.H. not Amounting to murder - % Variation,Note of - Rape - Total - % Variation,Note of - Rape - Custodial - % Variation,Note of - Rape - Other - % Variation,Note of - Kidnapping & Abduction of Women & Girls - % Variation,Note of - Kidnapping & Abduction - of Others - % Variation,Note of - Dacoity - % Variation,Note of - Preparation & Assembly for Dacoity - % Variation,Note of - Robbery - % Variation,Note of - Counterfeiting - % Variation,Note of - Arson - % Variation,Note of - Dowry Deaths - % Variation,Note of - Molestation - % Variation,Note of - Cruelty by Husband and Relatives - % Variation,Note of - Importation of Girls - % Variation,Note of - Causing Death by Negligence - % Variation
State,Jharkhand,1507,1488,-1.3,866,1143,32,143,115,-19.6,567,797,40.6,0,0,0,567,797,40.6,441,468,6.1,279,178,-36.2,162,290,79,636,580,-8.8,48,55,14.6,647,780,20.6,1266,1419,12.1,3827,4374,14.3,754,560,-25.7,3073,3814,24.1,2018,2281,13,283,333,17.7,554,441,-20.4,23,6,-73.9,165,167,1.2,2254,2294,1.8,217,275,26.7,297,411,38.4,5,3,-40,484,588,21.5,2,36,1700,420,416,-1,8777,12969,47.8,25447,31439,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Karnataka,1626,1627,0.1,1475,1576,6.8,74,55,-25.7,293,292,-0.3,0,0,0,293,292,-0.3,559,645,15.4,271,300,10.7,288,345,19.8,178,178,0,36,66,83.3,847,972,14.8,6394,6480,1.3,12868,13818,7.4,4016,4376,9,8852,9442,6.7,6686,6838,2.3,494,485,-1.8,2678,2764,3.2,131,175,33.6,352,437,24.1,23285,22824,-2,220,233,5.9,1665,1648,-1,81,100,23.5,1755,1826,4,0,0,0,100,152,52,47301,50508,6.8,109098,113699,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Kerala,472,454,-3.8,615,562,-8.6,111,210,89.2,562,499,-11.2,0,0,0,562,499,-11.2,183,162,-11.5,97,91,-6.2,86,71,-17.4,176,137,-22.2,13,4,-69.2,517,610,18,4474,4624,3.4,5441,5743,5.6,1795,1978,10.2,3646,3765,3.3,8108,8090,-0.2,428,357,-16.6,2756,2924,6.1,239,135,-43.5,768,452,-41.1,19829,19033,-4,27,17,-37,1942,2123,9.3,81,102,25.9,2561,2836,10.7,0,0,0,0,32,NA,54544,55094,1,103847,104200,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@
State,Madhya Pradesh,2425,2395,-1.2,2870,2864,-0.2,125,194,55.2,2851,2891,1.4,0,0,0,2851,2891,1.4,956,964,0.8,668,639,-4.3,288,325,12.8,166,136,-18.1,130,142,9.2,1764,1829,3.7,13549,13344,-1.5,20263,20759,2.4,4535,4845,6.8,15728,15914,1.2,3395,3178,-6.4,481,507,5.4,1413,1240,-12.2,19,54,184.2,1014,1053,3.8,30895,29955,-3,609,674,10.7,7063,7118,0.8,751,783,4.3,2562,3117,21.7,0,0,0,3297,3679,11.6,85143,94923,11.5,181741,191799,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Maharashtra,2839,2768,-2.5,1454,1435,-1.3,101,93,-7.9,1302,1352,3.8,0,1,NA,1302,1351,3.8,985,953,-3.2,611,650,6.4,374,303,-19,529,548,3.6,328,271,-17.4,2239,2136,-4.6,15073,14471,-4,39866,37606,-5.7,8873,9122,2.8,30993,28484,-8.1,6719,6360,-5.3,1542,1468,-4.8,4273,4145,-3,265,176,-33.6,1208,1269,5,30212,29250,-3.2,308,303,-1.6,2823,2686,-4.9,1120,769,-31.3,6090,5353,-12.1,1,0,-100,8993,9407,4.6,42963,42643,-0.7,171233,165462,-3.4,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Manipur,209,165,-21.1,168,160,-4.8,5,3,-40,20,14,-30,0,0,0,20,14,-30,94,157,67,62,82,32.3,32,75,134.4,20,3,-85,17,8,-52.9,19,6,-68.4,75,44,-41.3,217,255,17.5,71,115,62,146,140,-4.1,131,64,-51.1,33,28,-15.2,66,72,9.1,20,12,-40,64,48,-25,201,378,88.1,0,0,0,21,58,176.2,0,0,0,5,10,100,0,0,0,7,25,257.1,1097,1074,-2.1,2489,2584,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Meghalaya,164,167,1.8,47,58,23.4,2,3,50,26,38,46.2,0,0,0,26,38,46.2,55,52,-5.5,11,10,-9.1,44,42,-4.5,97,64,-34,3,2,-33.3,125,109,-12.8,170,154,-9.4,271,392,44.6,16,51,218.8,255,341,33.7,8,9,12.5,19,9,-52.6,29,33,13.8,3,8,166.7,26,23,-11.5,102,89,-12.7,0,0,0,25,23,-8,0,0,0,4,0,-100,0,0,0,0,12,NA,511,419,-18,1687,1664,-1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@
State,Mizoram,31,29,-6.5,15,26,73.3,5,5,0,52,76,46.2,0,0,0,52,76,46.2,2,7,250,1,2,100,1,5,400,3,5,66.7,0,0,0,23,7,-69.6,417,446,7,878,999,13.8,17,30,76.5,861,969,12.5,3,1,-66.7,23,26,13,71,85,19.7,12,16,33.3,24,27,12.5,94,112,19.1,0,0,0,52,73,40.4,0,0,0,16,3,-81.3,3,0,-100,23,13,-43.5,499,864,73.1,2246,2820,25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Nagaland,101,100,-1,39,34,-12.8,9,5,-44.4,17,17,0,0,0,0,17,17,0,23,27,17.4,6,4,-33.3,17,23,35.3,11,21,90.9,0,0,0,129,110,-14.7,163,128,-21.5,258,257,-0.4,89,81,-9,169,176,4.1,2,5,150,20,10,-50,34,21,-38.2,2,3,50,1,6,500,37,53,43.2,0,0,0,6,1,-83.3,0,0,0,0,0,0,0,0,0,19,24,26.3,363,292,-19.6,1234,1114,-9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Orissa,987,1075,8.9,1151,1372,19.2,53,58,9.4,790,691,-12.5,0,0,0,790,691,-12.5,522,523,0.2,434,432,-0.5,88,91,3.4,199,246,23.6,22,30,36.4,958,945,-1.4,3093,2884,-6.8,5622,5268,-6.3,817,1028,25.8,4805,4240,-11.8,1426,1598,12.1,285,246,-13.7,681,793,16.4,10,12,20,423,405,-4.3,4367,4947,13.3,294,248,-15.6,1655,1605,-3,458,188,-59,1266,1167,-7.8,0,0,0,1589,2672,68.2,20810,20755,-0.3,46661,47728,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Punjab,738,733,-0.7,789,728,-7.7,80,79,-1.3,298,299,0.3,0,0,0,298,299,0.3,513,551,7.4,324,354,9.3,189,197,4.2,45,50,11.1,84,83,-1.2,131,110,-16,1902,1928,1.4,3023,2963,-2,1204,1267,5.2,1819,1696,-6.8,1,2,100,368,373,1.4,2621,2716,3.6,58,39,-32.8,63,68,7.9,3996,4453,11.4,159,166,4.4,372,341,-8.3,47,145,208.5,1128,944,-16.3,0,0,0,2154,2310,7.2,9204,9713,5.5,27774,28794,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Rajasthan,1259,1276,1.4,1923,2043,6.2,63,68,7.9,1049,1051,0.2,0,0,0,1049,1051,0.2,2718,2587,-4.8,2165,2019,-6.7,553,568,2.7,60,47,-21.7,40,33,-17.5,889,734,-17.4,7284,6661,-8.6,16939,16313,-3.7,4324,4706,8.8,12615,11607,-8,11214,7178,-36,1026,938,-8.6,6644,7286,9.7,89,63,-29.2,1092,1130,3.5,27485,26519,-3.5,376,399,6.1,2878,2730,-5.1,56,44,-21.4,5532,5691,2.9,1,0,-100,4221,4670,10.6,62347,63787,2.3,155185,151248,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Sikkim,19,13,-31.6,11,5,-54.5,7,2,-71.4,8,6,-25,0,0,0,8,6,-25,6,9,50,2,2,0,4,7,75,0,0,0,0,0,0,3,5,66.7,76,66,-13.2,74,64,-13.5,6,5,-16.7,68,59,-13.2,3,15,400,1,3,200,13,48,269.2,0,0,0,1,2,100,35,50,42.9,0,0,0,0,17,NA,14,0,-100,0,3,NA,0,0,0,7,7,0,166,170,2.4,444,485,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,@,NA,NA
State,Tamil Nadu,1662,1723,3.7,2204,2133,-3.2,19,36,89.5,423,534,26.2,0,0,0,423,534,26.2,952,1001,5.1,607,714,17.6,345,287,-16.8,158,176,11.4,6,25,316.7,672,653,-2.8,5965,5533,-7.2,16709,18755,12.2,4478,4671,4.3,12231,14084,15.2,5196,4252,-18.2,360,288,-20,2139,2017,-5.7,104,121,16.3,980,850,-13.3,28429,25150,-11.5,191,243,27.2,1773,1877,5.9,1012,1718,69.8,815,1052,29.1,14,0,-100,8550,10125,18.4,76468,88680,16,154801,166942,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Tripura,240,201,-16.3,25,38,52,0,1,NA,102,108,5.9,0,0,0,102,108,5.9,93,128,37.6,35,48,37.1,58,80,37.9,26,29,11.5,0,0,0,63,56,-11.1,198,192,-3,259,270,4.2,6,51,750,253,219,-13.4,138,180,30.4,4,12,200,17,20,17.6,6,7,16.7,31,40,29,412,518,25.7,16,16,0,58,128,120.7,0,0,0,227,236,4,0,0,0,31,46,48.4,855,849,-0.7,2801,3075,9.8,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Uttar Pradesh,7601,6825,-10.2,7964,6283,-21.1,1186,1243,4.8,1958,1415,-27.7,0,1,NA,1958,1414,-27.8,4330,3430,-20.8,2879,2298,-20.2,1451,1132,-22,905,552,-39,38,59,55.3,3825,2840,-25.8,8411,6126,-27.2,27011,22419,-17,6189,6353,2.6,20822,16066,-22.8,7343,4878,-33.6,3430,2738,-20.2,5363,5026,-6.3,147,127,-13.6,812,643,-20.8,17816,13947,-21.7,2211,1893,-14.4,2870,2145,-25.3,2575,1887,-26.7,7365,5679,-22.9,0,0,0,7129,7313,2.6,57839,48569,-16,178129,146037,-18,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Uttarakhand,316,292,-7.6,279,249,-10.8,38,47,23.7,74,89,20.3,0,0,0,74,89,20.3,183,198,8.2,126,155,23,57,43,-24.6,32,32,0,3,6,100,191,177,-7.3,533,554,3.9,1419,1365,-3.8,374,374,0,1045,991,-5.2,440,342,-22.3,171,145,-15.2,318,312,-1.9,4,8,100,30,40,33.3,830,760,-8.4,56,66,17.9,103,145,40.8,84,97,15.5,301,316,5,0,1,NA,441,440,-0.2,2227,2295,3.1,8073,7976,-1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
State,West Bengal,1594,1444,-9.4,449,413,-8,581,540,-7.1,709,759,7.1,0,0,0,709,759,7.1,875,831,-5,695,694,-0.1,180,137,-23.9,274,204,-25.5,421,646,53.4,660,544,-17.6,426,348,-18.3,14245,12449,-12.6,2562,2458,-4.1,11683,9991,-14.5,3095,2461,-20.5,486,451,-7.2,1216,1315,8.1,102,98,-3.9,102,114,11.8,3658,3112,-14.9,265,273,3,954,964,1,48,34,-29.2,3859,4069,5.4,3,1,-66.7,2281,2703,18.5,25260,25189,-0.3,61563,58962,-4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Total (States),35591,34663,-2.6,30964,29854,-3.6,3297,3546,7.6,15658,15939,1.8,0,3,0,15658,15936,1.8,20789,20449,-1.6,13621,13552,-0.5,7168,6897,-3.8,6100,6045,-0.9,1540,1773,15.1,19245,18221,-5.3,97536,93484,-4.2,231310,228472,-1.2,55002,58284,6,176308,170188,-3.5,75825,68485,-9.7,14259,13516,-5.2,42337,43930,3.8,1632,1468,-10,10438,11728,12.4,268575,261825,-2.5,6734,6681,-0.8,33537,33381,-0.5,9613,9970,3.7,48976,49027,0.1,114,76,-33.3,56578,63431,12.1,675528,705715,4.5,1706176,1721679,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,A & N Islands,13,17,30.8,0,3,NA,0,1,NA,3,2,-33.3,0,0,0,3,2,-33.3,2,2,0,2,1,-50,0,1,NA,0,1,NA,0,0,0,4,7,75,64,49,-23.4,65,49,-24.6,4,2,-50,61,47,-23,13,11,-15.4,10,4,-60,8,11,37.5,2,0,-100,4,2,-50,118,97,-17.8,0,0,0,19,17,-10.5,1,3,200,9,4,-55.6,0,0,0,0,0,0,323,328,1.5,658,608,-7.6,@,@,NA,NA,NA,NA,@,@,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,Chandigarh,15,31,106.7,10,35,250,6,7,16.7,18,18,0,0,0,0,18,18,0,56,54,-3.6,50,47,-6,6,7,16.7,5,1,-80,0,1,NA,22,26,18.2,364,336,-7.7,1529,1647,7.7,494,617,24.9,1035,1030,-0.5,91,78,-14.3,26,35,34.6,155,181,16.8,2,5,150,5,5,0,95,107,12.6,3,1,-66.7,24,36,50,15,28,86.7,36,56,55.6,0,0,0,6,7,16.7,914,1111,21.6,3397,3806,12,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,D & N Haveli,3,11,266.7,2,2,0,0,0,0,6,4,-33.3,0,0,0,6,4,-33.3,4,9,125,2,5,150,2,4,100,0,3,NA,0,0,0,2,1,-50,34,38,11.8,45,75,66.7,15,38,153.3,30,37,23.3,4,5,25,13,12,-7.7,12,10,-16.7,1,0,-100,1,2,100,29,29,0,0,0,0,7,3,-57.1,0,0,0,4,3,-25,0,0,0,0,0,0,183,142,-22.4,350,349,-0.3,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,Daman & Diu,7,8,14.3,5,3,-40,0,0,0,0,0,0,0,0,0,0,0,0,5,3,-40,3,2,-33.3,2,1,-50,0,2,NA,0,0,0,0,1,NA,43,56,30.2,40,56,40,20,35,75,20,21,5,23,16,-30.4,5,5,0,9,10,11.1,1,0,-100,3,2,-33.3,21,18,-14.3,0,0,0,0,0,0,0,0,0,4,3,-25,0,0,0,0,0,0,73,78,6.8,239,261,9.2,NA,NA,NA,NA,NA,NA,NA,@,NA,@,NA,NA,NA,NA,NA,NA,NA
Union Territory,Delhi,547,531,-2.9,510,440,-13.7,63,68,7.9,381,403,5.8,0,0,0,381,403,5.8,1627,1323,-18.7,964,893,-7.4,663,430,-35.1,48,47,-2.1,74,67,-9.5,624,502,-19.6,3029,2360,-22.1,19276,16625,-13.8,7894,7434,-5.8,11382,9191,-19.2,165,139,-15.8,479,444,-7.3,2183,2098,-3.9,42,46,9.5,50,57,14,2011,1851,-8,113,135,19.5,502,446,-11.2,90,128,42.2,138,135,-2.2,0,0,0,432,416,-3.7,22000,20876,-5.1,54384,49137,-9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
