Category,States/ UTs,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic Drugs & Psychotropic Substances Act - Male,Narcotic Drugs & Psychotropic Substances Act - Female,Narcotic Drugs & Psychotropic Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosive & Explosive Substances Act - Male,Explosive & Explosive Substances Act - Female,Explosive & Explosive Substances Act - Total,Immoral Traffic (Prevention) Act - Male,Immoral Traffic (Prevention) Act - Female,Immoral Traffic (Prevention) Act - Total,Indian Railways Act - Male,Indian Railways Act - Female,Indian Railways Act - Total,Registration of Foreigners Act - Male,Registration of Foreigners Act - Female,Registration of Foreigners Act - Total,Protection of Civil Rights Act - Total - Male,Protection of Civil Rights Act - Total - Female,Protection of Civil Rights Act - Total - Total,Protection of Civil Rights Act - For SCs - Male,Protection of Civil Rights Act - For SCs - Female,Protection of Civil Rights Act - For SCs - Total,Protection of Civil Rights Act - For STs - Male,Protection of Civil Rights Act - For STs - Female,Protection of Civil Rights Act - For STs - Total,Indian Passport Act - Male,Indian Passport Act - Female,Indian Passport Act - Total,Essential Commodities Act - Male,Essential Commodities Act - Female,Essential Commodities Act - Total,Terrorist & Disruptive Activities Act - Male,Terrorist & Disruptive Activities Act - Female,Terrorist & Disruptive Activities Act - Total,Antiquity & Art Treasure Act - Male,Antiquity & Art Treasure Act - Female,Antiquity & Art Treasure Act - Total,Dowry Prohibition Act - Male,Dowry Prohibition Act - Female,Dowry Prohibition Act - Total,Child Marriage Restraint Act - Male,Child Marriage Restraint Act - Female,Child Marriage Restraint Act - Total,Indecent Representation of Women (P) Act - Male,Indecent Representation of Women (P) Act - Female,Indecent Representation of Women (P) Act - Total,Copyright Act - Male,Copyright Act - Female,Copyright Act - Total,Sati Prevention Act - Male,Sati Prevention Act - Female,Sati Prevention Act - Total,SC/ST (Prev.) of Atrocities Act - Total - Male,SC/ST (Prev.) of Atrocities Act - Total - Female,SC/ST (Prev.) of Atrocities Act - Total - Total,SC/ST (Prev.) of Atrocities Act - For SCs - Male,SC/ST (Prev.) of Atrocities Act - For SCs - Female,SC/ST (Prev.) of Atrocities Act - For SCs - Total,SC/ST (Prev.) of Atrocities Act - For STs - Male,SC/ST (Prev.) of Atrocities Act - For STs - Female,SC/ST (Prev.) of Atrocities Act - For STs - Total,Forest Act - Male,Forest Act - Female,Forest Act - Total,Other SLL Crimes - Male,Other SLL Crimes - Female,Other SLL Crimes - Total,Total Cognizable Crimes under SLL - Male,Total Cognizable Crimes under SLL - Female,Total Cognizable Crimes under SLL - Total,Percentage of Female to Total
State,Punjab,1090,2,1092,3555,321,3876,5669,10,5679,16357,494,16851,6,0,6,23,0,23,108,101,209,261,0,261,1,1,2,3,0,3,3,0,3,0,0,0,73,12,85,97,1,98,0,0,0,0,0,0,0,0,0,0,1,1,10,0,10,207,1,208,0,0,0,79,3,82,79,3,82,0,0,0,0,0,0,974,6,980,28513,953,29466,3.2
State,Rajasthan,2974,2,2976,916,26,942,18778,12,18790,8354,192,8546,0,0,0,456,0,456,92,189,281,1951,7,1958,5,0,5,0,0,0,0,0,0,0,0,0,14,0,14,285,3,288,0,0,0,0,0,0,3,1,4,10,0,10,45,2,47,411,1,412,0,0,0,2593,171,2764,2006,136,2142,587,35,622,2189,8,2197,5761,96,5857,44837,710,45547,1.6
State,Sikkim,5,0,5,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,43,56,0,56,0
State,Tamil Nadu,260,2,262,3023,735,3758,28820,23,28843,0,0,0,161653,56754,218407,537,4,541,409,3502,3911,34,0,34,27,0,27,27,1,28,27,1,28,0,0,0,590,18,608,11,0,11,0,0,0,0,0,0,172,49,221,0,0,0,9,0,9,819,2,821,0,0,0,1131,43,1174,1125,43,1168,6,0,6,4,0,4,409095,25588,434683,606621,86721,693342,12.5
State,Tripura,35,0,35,5,0,5,47,0,47,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,156,247,0,247,0
State,Uttar Pradesh,33921,3,33924,10137,76,10213,22216,1,22217,24697,546,25243,1,0,1,1157,0,1157,131,105,236,12807,49,12856,712,1,713,91,0,91,91,0,91,0,0,0,10,1,11,51,0,51,0,0,0,34,0,34,697,216,913,14,1,15,0,0,0,387,0,387,0,0,0,7437,125,7562,7391,125,7516,46,0,46,4592,0,4592,478335,882,479217,597427,2006,599433,0.3
State,Uttaranchal,1279,0,1279,320,12,332,959,0,959,2609,222,2831,0,0,0,12,0,12,0,0,0,43,0,43,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,22,2,24,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,24,0,24,0,0,0,182,8,190,178,6,184,4,2,6,264,1,265,38751,308,39059,44472,554,45026,1.2
State,West Bengal,3085,6,3091,663,96,759,3285,0,3285,510,44,554,4,0,4,201,0,201,50,38,88,14967,1474,16441,2190,359,2549,0,0,0,0,0,0,0,0,0,4,0,4,597,0,597,0,0,0,2,0,2,8,0,8,0,0,0,0,0,0,189,0,189,0,0,0,16,0,16,4,0,4,12,0,12,0,0,0,1294001,4389,1298390,1319772,6406,1326178,0.5
State,Total (States),64810,39,64849,25980,1694,27674,346282,310,346592,113880,5605,119485,365459,116448,481907,5565,32,5597,6971,9426,16397,65070,2822,67892,3478,458,3936,1210,43,1253,1186,42,1228,24,1,25,1261,142,1403,5045,35,5080,141,5,146,128,1,129,5327,1330,6657,384,91,475,1900,625,2525,5054,18,5072,0,0,0,22557,831,23388,19818,735,20553,2739,96,2835,8750,16,8766,3045208,45604,3090812,4094460,185575,4280035,4.3
Union Territory,A & N Islands,0,0,0,3,0,3,124,0,124,3242,672,3914,217,0,217,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,0,525,4112,672,4784,14
Union Territory,Chandigarh,3,0,3,44,0,44,215,0,215,434,27,461,0,0,0,3,0,3,1,8,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,12,152,863,48,911,5.3
Union Territory,D & N Haveli,3,0,3,1,0,1,1,0,1,10,0,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,3,0,3,26,0,26,0
Union Territory,Daman & Diu,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,2,8,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,25,8,33,24.2
Union Territory,Delhi,4602,6,4608,718,29,747,3601,2,3603,7590,1768,9358,0,0,0,29,0,29,36,165,201,1,0,1,10,1,11,1,0,1,1,0,1,0,0,0,46,4,50,16,1,17,0,0,0,0,0,0,11,2,13,0,0,0,1,0,1,329,12,341,0,0,0,25,0,25,25,0,25,0,0,0,0,0,0,2506,25,2531,19522,2015,21537,9.4
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
Union Territory,Puducherry,67,0,67,1,0,1,104,0,104,0,0,0,0,0,0,10,0,10,24,59,83,0,0,0,2,0,2,18,4,22,18,4,22,0,0,0,1,0,1,27,0,27,0,0,0,0,0,0,5,4,9,0,0,0,0,0,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882,21,903,1173,88,1261,7
Union Territory,Total (UTs),4675,6,4681,767,29,796,4055,2,4057,11276,2467,13743,219,0,219,44,0,44,63,240,303,1,0,1,13,2,15,19,4,23,19,4,23,0,0,0,47,4,51,58,1,59,0,0,0,0,0,0,16,6,22,0,0,0,2,0,2,375,12,387,0,0,0,26,0,26,25,0,25,1,0,1,0,0,0,4067,58,4125,25723,2831,28554,9.9
Total (All-India),Total (All-India),69485,45,69530,26747,1723,28470,350337,312,350649,125156,8072,133228,365678,116448,482126,5609,32,5641,7034,9666,16700,65071,2822,67893,3491,460,3951,1229,47,1276,1205,46,1251,24,1,25,1308,146,1454,5103,36,5139,141,5,146,128,1,129,5343,1336,6679,384,91,475,1902,625,2527,5429,30,5459,0,0,0,22583,831,23414,19843,735,20578,2740,96,2836,8750,16,8766,3049275,45662,3094937,4120183,188406,4308589,4.4
