Category,States/ UTs,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Others,Kidnapping and Abduction - Total,Kidnapping and Abduction - of Women,Kidnapping and Abduction - of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cognizable Crimes under IPC
State,Jharkhand,64.9,91.7,76.1,90.1,NA,90.1,76.1,82.4,72.4,57.4,92,61.1,37.8,40.1,39.6,40.1,88.9,87,83.6,80,64,94.2,94.4,97.1,100,95,82.9,80.7,87.7,76.6
State,Karnataka,86.4,94.9,95.7,96.9,NA,96.9,75.8,76.1,75.5,66.9,83.8,62.4,34.8,36.3,25.2,41.6,93.9,67.7,59.1,26.1,67.5,95.9,97.1,95.6,81.3,91.4,NA,96.7,92.5,81.8
State,Kerala,93.6,95.2,98.2,97.8,NA,97.8,88.7,87.7,90,87.2,100,75.2,34.3,47.5,30.6,56.4,95.4,90.8,84.6,91.6,44.6,98.7,94.4,98.4,97,98.2,NA,75,96.8,91.2
State,Madhya Pradesh,90.4,94.9,97.4,98.2,NA,98.2,86.5,87.2,85,69.7,97.2,60.7,33,35.9,25.9,38.9,95.2,87.5,85,56.4,79.7,97.6,99.4,99.2,99.1,98.8,NA,86.6,94.9,84.2
State,Maharashtra,84,91.8,95.1,97.6,NA,97.6,85.2,86.4,82.9,71.8,99,59.7,35.8,37.4,27.7,40.3,95.5,81.6,71.4,47.5,71.4,97.3,99,98.6,98.9,99.7,NA,76.6,89.8,73.6
State,Manipur,3.2,2.1,16.7,43.8,NA,43.8,2.6,1.6,3.8,16.7,0,0,3.8,2.6,0,4.1,1.6,0,1.5,77.8,0,0.3,NA,6.6,NA,0,NA,0,11,6.4
State,Meghalaya,42.3,36,50,70.8,NA,70.8,45.2,100,26.1,40.8,33.3,21.4,21.4,34.3,28.1,35.1,50,75,47.6,71.4,15.4,56.9,NA,70,NA,NA,NA,100,62.9,46
State,Mizoram,95,82.4,80,96.4,NA,96.4,75,100,66.7,50,NA,66.7,78.4,83.2,100,82.7,0,80,98.5,66.7,73.7,93.5,NA,97.5,NA,100,NA,90.9,98.3,88.6
State,Nagaland,45.8,76.9,100,87.5,NA,87.5,81,100,78.9,40,NA,84.1,57.5,66.2,35.8,77.5,100,60,75,NA,33.3,75.8,NA,100,NA,NA,NA,66.7,73.1,68
State,Orissa,95.4,96.7,93.3,98.4,NA,98.4,91.5,90.3,96.6,90.3,96.6,78.1,50.9,63.7,77,60.8,94.3,92.8,92.4,77.8,94.7,96,99.1,95.7,96.8,97.6,NA,89.1,89.3,85.7
State,Punjab,89.3,87.9,88.7,94.8,NA,94.8,69.7,72.3,64.9,76.2,94.4,73.2,49.4,53.1,52.3,53.7,100,85.8,82.7,83.3,74.6,86.2,89.5,79.6,90.6,76.2,NA,74.4,80.8,76.9
State,Rajasthan,87,97.7,93.6,98.5,NA,98.5,73.5,72.5,76,79.5,100,66.5,30.1,27.4,23.1,29.3,98.6,84.8,73.8,45.2,64.4,98.8,99.3,99.4,100,99.9,NA,87.3,93.9,82.8
State,Sikkim,38.5,42.9,66.7,42.9,NA,42.9,80,66.7,85.7,NA,NA,60,79.3,92,81.8,94.9,80,100,82.9,100,50,91.5,NA,54.5,100,66.7,NA,100,76.9,77.5
State,Tamil Nadu,94.6,97.4,96,99.4,NA,99.4,79.8,81.7,74.4,80.5,90.9,82.5,71.7,84.8,76.5,87.7,96.1,63.7,62.8,57.5,72.7,98,97.6,99.2,100,95.8,33.3,93.6,92.7,91.8
State,Tripura,70.6,69.2,100,88.8,NA,88.8,71.6,74.4,69.8,42.1,NA,63.5,25.5,47.3,53.3,46,79.7,66.7,100,66.7,17.6,74.7,94.7,87.2,NA,95.9,NA,75,77.5,71.4
State,Uttar Pradesh,86.6,86.6,90.5,93.6,0,93.7,74.9,75,74.6,84.6,96.6,68.6,34.1,36.2,21.8,42,85.1,60.2,63.1,95.1,73.6,90.4,90.8,96.2,99.2,79.5,NA,81.8,87.8,75.9
State,Uttarakhand,80.1,84.6,93.3,95.8,NA,95.8,72.7,71.2,78.8,78.1,100,64.3,29.4,42,31.9,45.9,74.7,62,69.6,100,54.3,88.6,86.9,88.7,100,72.3,100,89,80.5,70.8
State,West Bengal,77.8,84.9,80.9,88.2,NA,88.2,84,86.1,71.1,64.1,89.5,63.3,40.4,27.6,16.4,29.8,79.2,70,58.2,70.5,75.4,86.3,88.6,83.3,88.6,94,100,81.3,76.7,68.7
State,Total (States),81.6,87.9,86.6,94.7,0,94.7,78.1,79.1,76.2,67.3,92.5,65.5,39.1,43.8,33.7,47.3,90,74.4,73.8,63.1,64.7,95.4,93.7,96.5,99.1,93,81.8,84.6,90.3,80.7
Union Territory,A & N Islands,90.9,50,NA,100,NA,100,100,100,100,100,NA,83.3,21.8,17.3,50,16.4,50,100,83.3,NA,0,81.9,NA,92.9,100,37.5,NA,NA,86.7,68.6
Union Territory,Chandigarh,83.3,72.7,80,92.3,NA,92.3,72.5,80,50,100,NA,64,28,20.2,12.4,24.9,84.9,40,48,83.3,0,86.8,0,97.1,93.1,62.5,NA,75,77.1,46
Union Territory,D & N Haveli,83.3,100,NA,100,NA,100,81.8,71.4,100,100,NA,100,37.8,45.2,25,61.8,100,90,100,100,NA,89.7,NA,100,NA,100,NA,NA,89.2,76.8
Union Territory,Daman & Diu,50,66.7,NA,NA,NA,NA,0,0,0,100,NA,100,15.7,29.5,14.8,52.9,95.8,33.3,90,NA,0,63.6,NA,NA,NA,66.7,NA,NA,84.3,56.7
Union Territory,Delhi,82.8,91.2,95.5,94.9,NA,94.9,50.7,50.2,51.7,94.9,100,66,30.7,23.6,15.4,28.3,91.2,67.7,79.1,76.5,45.3,91.7,96.1,95.3,97.3,78.2,NA,67.1,81.6,58.5
Union Territory,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16.7,NA,16.7,NA,100,NA,NA,0,50,NA,100,NA,NA,NA,NA,71.4,53.8
Union Territory,Puducherry,93.8,96.7,100,100,NA,100,100,100,100,100,NA,100,42.1,42.5,15.5,71.4,99.5,100,66.7,0,29.4,99.2,100,100,100,100,NA,93.9,98.4,89.9
Union Territory,Total (UTs),82.8,90.5,94.8,94.9,0,94.9,52,51.9,52.1,95.4,100,66.4,30.5,23.9,15.2,28.9,93.1,66.8,76.9,76.2,37.7,93.5,95.4,95.9,97.1,73.1,0,75.8,83,60.3
Total (All-India),Total (All-India),81.6,87.9,86.8,94.7,0,94.7,76.6,77.5,74.9,67.6,92.8,65.6,38.9,42.2,31.6,46,90.1,74.2,74,63.5,64.5,95.3,93.8,96.5,99,92.9,81.8,84.5,90.1,80
