Category (Col. 1),States/ UTs (Col. 2),District / Session Judge - Duration of Trial - Less than 6 Months (Col. 3),District / Session Judge - Duration of Trial - 6-12 Months (Col. 4),District / Session Judge - Duration of Trial - 1-3 Years (Col. 5),District / Session Judge - Duration of Trial - 3-5 Years (Col. 6),District / Session Judge - Duration of Trial - 5-10 Years (Col. 7),District / Session Judge - Duration of Trial - Over 10 Years (Col. 8),District / Session Judge - Duration of Trial - Total (Col. 9) = (Col. 3 to Col. 8),Additional Session Judge - Duration of Trial - Less than 6 Months (Col. 10),Additional Session Judge - Duration of Trial - 6-12 Months (Col. 11),Additional Session Judge - Duration of Trial - 1-3 Years (Col. 12),Additional Session Judge - Duration of Trial - 3-5 Years (Col. 13),Additional Session Judge - Duration of Trial - 5-10 Years (Col. 14),Additional Session Judge - Duration of Trial - Over 10 Years (Col. 15),Additional Session Judge - Duration of Trial - Total (Col. 16) = (Col. 10 to Col. 15),Chief Judicial Magistrate - Duration of Trial - Less than 6 Months (Col. 17),Chief Judicial Magistrate - Duration of Trial - 6-12 Months (Col. 18),Chief Judicial Magistrate - Duration of Trial - 1-3 Years (Col. 19),Chief Judicial Magistrate - Duration of Trial - 3-5 Years (Col. 20),Chief Judicial Magistrate - Duration of Trial - 5-10 Years (Col. 21),Chief Judicial Magistrate - Duration of Trial - Over 10 Years (Col. 22),Chief Judicial Magistrate - Duration of Trial - Total (Col. 23) = (Col. 17 to Col. 22),Judicial Magistrate (I) - Duration of Trial - Less than 6 Months (Col. 24),Judicial Magistrate (I) - Duration of Trial - 6-12 Months (Col. 25),Judicial Magistrate (I) - Duration of Trial - 1-3 Years (Col. 26),Judicial Magistrate (I) - Duration of Trial - 3-5 Years (Col. 27),Judicial Magistrate (I) - Duration of Trial - 5-10 Years (Col. 28),Judicial Magistrate (I) - Duration of Trial - Over 10 Years (Col. 29),Judicial Magistrate (I) - Duration of Trial - Total (Col. 30) = (Col. 24 to Col. 29),Judicial Magistrate (II) - Duration of Trial - Less than 6 Months (Col. 31),Judicial Magistrate (II) - Duration of Trial - 6-12 Months (Col. 32),Judicial Magistrate (II) - Duration of Trial - 1-3 Years (Col. 33),Judicial Magistrate (II) - Duration of Trial - 3-5 Years (Col. 34),Judicial Magistrate (II) - Duration of Trial - 5-10 Years (Col. 35),Judicial Magistrate (II) - Duration of Trial - Over 10 Years (Col. 36),Judicial Magistrate (II) - Duration of Trial - Total (Col. 37) = (Col. 31) to (Col. 36),Special Judicial Magistrate - Duration of Trial - Less than 6 Months (Col. 38),Special Judicial Magistrate - Duration of Trial - 6-12 Months (Col. 39),Special Judicial Magistrate - Duration of Trial - 1-3 Years (Col. 40),Special Judicial Magistrate - Duration of Trial - 3-5 Years (Col. 41),Special Judicial Magistrate - Duration of Trial - 5-10 Years (Col. 42),Special Judicial Magistrate - Duration of Trial - Over 10 Years (Col. 43),Special Judicial Magistrate - Duration of Trial - Total (Col. 44) = (Col. 38) to (Col. 43),Other Type of Courts - Duration of Trial - Less than 6 Months (Col. 45),Other Type of Courts - Duration of Trial - 6-12 Months (Col. 46),Other Type of Courts - Duration of Trial - 1-3 Years (Col. 47),Other Type of Courts - Duration of Trial - 3-5 Years (Col. 48),Other Type of Courts - Duration of Trial - 5-10 Years (Col. 49),Other Type of Courts - Duration of Trial - Over 10 Years (Col. 50),Other Type of Courts - Duration of Trial - Total (Col. 51) = (Col. 45) to (Col. 50),Sum of All Type of Courts - Duration of Trial - Less than 6 Months (Col. 52),Sum of All Type of Courts - Duration of Trial - 6-12 Months (Col. 53),Sum of All Type of Courts - Duration of Trial - 1-3 Years (Col. 54),Sum of All Type of Courts - Duration of Trial - 3-5 Years (Col. 55),Sum of All Type of Courts - Duration of Trial - 5-10 Years (Col. 56),Sum of All Type of Courts - Duration of Trial - Over 10 Years (Col. 57),Sum of All Type of Courts - Duration of Trial - Total (Col. 58) = (Col. 52) to (Col. 57)
State,Maharashtra,25,109,765,869,413,256,2437,139,509,1827,1768,1125,553,5921,408,1470,3302,2717,1823,785,10505,1926,5091,15034,14820,7595,2539,47005,226,1019,3210,3697,2389,528,11069,42,111,166,185,181,55,740,65,61,150,392,60,11,739,2831,8370,24454,24448,13586,4727,78416
State,Manipur,8,0,0,0,0,9,17,0,0,0,0,0,0,0,0,33,0,0,0,35,68,0,6,0,0,0,1,7,0,1,0,0,0,0,1,10,0,0,0,0,9,19,0,0,0,0,0,17,17,18,40,0,0,0,71,129
State,Meghalaya,1,2,5,6,11,6,31,6,7,15,12,14,5,59,1,3,14,4,1,0,23,9,16,32,20,11,9,97,9,14,17,15,16,17,88,7,21,48,33,22,17,148,7,10,10,4,9,3,43,40,73,141,94,84,57,489
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,239,540,370,65,23,1407,170,239,540,370,65,23,1407
State,Nagaland,2,1,0,0,0,0,3,0,4,10,5,8,10,37,6,6,1,0,0,0,13,54,62,20,12,5,0,153,36,6,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,79,31,17,13,10,248
State,Orissa,10,249,451,388,174,12,1284,121,492,850,446,248,21,2178,30,238,1020,815,491,8,2602,513,1895,3108,2885,1162,244,9807,119,713,1482,946,642,149,4051,181,346,531,511,112,7,1688,140,375,854,898,987,135,3389,1114,4308,8296,6889,3816,576,24999
State,Punjab,39,212,298,240,32,6,827,250,531,1027,449,151,23,2431,387,524,805,319,67,6,2108,767,934,2048,967,164,23,4903,180,429,423,179,34,5,1250,168,116,94,140,45,11,574,0,18,33,30,16,0,97,1791,2764,4728,2324,509,74,12190
State,Rajasthan,117,455,1527,1153,967,85,4304,393,668,2473,2405,1144,110,7193,1285,1829,4540,3302,974,179,12109,2294,5204,11378,10461,5597,637,35571,1190,2252,5441,4878,2069,392,16222,384,895,2012,1363,725,120,5499,336,328,1190,1386,556,87,3883,5999,11631,28561,24948,12032,1610,84781
State,Sikkim,0,48,68,15,2,0,133,0,0,0,0,0,0,0,77,41,48,0,2,0,168,31,83,0,10,0,0,124,0,0,0,0,0,0,0,2,2,4,0,0,0,8,14,0,13,0,0,0,27,124,174,133,25,4,0,460
State,Tamil Nadu,170,502,1250,477,170,29,2598,259,773,1192,1049,366,30,3669,1163,3850,2593,173,67,20,7866,10268,20216,12109,3336,4146,277,50352,10062,20607,15145,3253,1656,135,50858,2439,3108,1837,1236,817,48,9485,1959,2321,1831,889,242,24,7266,26320,51377,35957,10413,7464,563,132094
State,Tripura,106,100,40,40,50,10,346,38,48,42,15,2,1,146,230,170,25,20,16,3,464,150,120,25,0,0,0,295,120,150,40,0,0,0,310,20,10,2,0,0,0,32,0,0,0,0,0,0,0,664,598,174,75,68,14,1593
State,Uttar Pradesh,17,137,1841,2267,1387,304,5953,23,219,3159,5334,2871,752,12358,15,693,6309,8369,6967,994,23347,58,918,5937,7824,6103,791,21631,61,697,4148,8080,3958,323,17267,17,211,3767,3543,2434,249,10221,6,203,2991,3338,656,227,7421,197,3078,28152,38755,24376,3640,98198
State,Uttaranchal,0,11,116,138,99,1,365,2,10,84,91,106,2,295,36,134,900,600,179,4,1853,18,34,254,122,48,4,480,8,15,88,74,48,0,233,5,15,41,45,23,0,129,102,112,125,141,112,37,629,171,331,1608,1211,615,48,3984
State,West Bengal,423,431,993,468,225,139,2679,1549,1181,1477,865,450,152,5674,516,717,882,604,369,82,3170,905,858,1494,1400,490,124,5271,259,871,1657,2095,569,102,5553,28,75,264,416,243,15,1041,538,906,1220,1056,800,36,4556,4218,5039,7987,6904,3146,650,27944
State,Total (States),3548,5423,15206,11741,6530,1595,44043,5614,9639,24899,21020,12207,3754,77133,17943,24339,41153,31085,20787,3595,138902,52707,77099,122021,85851,44362,10474,392514,24734,45351,60059,40999,17461,3170,191774,7034,9226,16089,11834,5931,810,50924,5636,8483,15252,12372,5688,1121,48552,117216,179560,294679,214902,112966,24519,943842
Union Territory,A & N Islands,0,0,9,10,6,0,25,0,0,0,0,0,0,0,8,6,30,19,6,1,70,2,5,22,5,14,7,55,1,0,9,5,13,8,36,0,0,0,0,0,0,0,0,0,3,4,0,0,7,11,11,73,43,39,16,193
Union Territory,Chandigarh,0,1,0,4,1,0,6,3,3,27,45,3,0,81,117,7,34,56,5,2,221,322,29,209,237,126,15,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,4,17,11,31,1,101,479,44,287,353,166,18,1347
Union Territory,D & N Haveli,0,0,5,7,2,0,14,0,0,4,5,2,0,11,8,26,87,37,5,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,32,16,3,0,62,11,34,128,65,12,0,250
Union Territory,Daman & Diu,0,1,0,1,4,0,6,0,0,0,0,0,0,0,12,23,38,16,4,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,38,17,8,0,99
Union Territory,Delhi,0,4,66,40,17,0,127,597,410,925,552,169,709,3362,173,105,79,68,35,16,476,1468,9310,13975,1256,967,340,27316,0,9,15,29,18,0,71,0,0,18,26,30,0,74,310,251,25,56,38,0,680,2548,10089,15103,2027,1274,1065,32106
Union Territory,Lakshadweep,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22,1,0,0,25
Union Territory,Puducherry,0,0,17,14,2,0,33,0,0,10,2,0,0,12,3,5,14,17,2,0,41,468,575,317,2,0,0,1362,1160,638,261,24,0,0,2083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1631,1218,619,59,4,0,3531
Union Territory,Total (UTs),1,7,97,76,32,0,213,600,413,966,604,174,709,3466,321,172,282,213,57,19,1064,2260,9919,14545,1501,1107,362,29694,1161,647,285,58,31,8,2190,0,0,18,26,30,0,74,350,263,77,87,72,1,850,4693,11421,16270,2565,1503,1099,37551
Total (All-India),Total (All-India),3549,5430,15303,11817,6562,1595,44256,6214,10052,25865,21624,12381,4463,80599,18264,24511,41435,31298,20844,3614,139966,54967,87018,136566,87352,45469,10836,422208,25895,45998,60344,41057,17492,3178,193964,7034,9226,16107,11860,5961,810,50998,5986,8746,15329,12459,5760,1122,49402,121909,190981,310949,217467,114469,25618,981393
