Category,States/ UTs,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Others,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women,Kidnapping & Abduction - of Others,Dacoity,Prepration and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband & Relatives,Importation of girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes under IPC
State,Rajasthan,45,87,1,29,0,29,14,11,3,0,2,25,197,227,44,183,270,0,3,0,6,239,4,22,0,19,0,11,564,1765
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
State,Tamil Nadu,23,6,1,7,0,7,17,17,0,0,0,9,112,325,18,307,18,0,0,0,4,40,0,8,3,6,0,15,38,632
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,7
State,Uttar Pradesh,14,1,0,12,0,12,18,18,0,0,0,0,0,8,1,7,5,0,0,0,0,6,5,0,1,4,0,0,4,78
State,Uttaranchal,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
State,West Bengal,2,0,0,2,0,2,1,1,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,1,0,0,0,0,3,14
State,Total (States),628,621,20,517,0,517,191,134,57,145,73,251,2368,4067,633,3434,1880,41,107,4,170,4912,79,604,289,332,0,60,6461,23820
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Union Territory,Chandigarh,2,3,0,4,0,4,2,1,1,0,0,4,7,24,6,18,4,0,0,0,0,8,0,1,1,0,0,0,10,70
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,35,12,4,30,0,30,9,4,5,1,3,37,123,532,71,461,31,4,22,0,1,64,3,18,4,4,0,0,167,1104
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,4,0,1,0,0,0,0,5,16
Union Territory,Total (UTs),37,15,4,34,0,34,11,5,6,1,3,41,135,559,77,482,36,4,22,0,1,76,3,20,5,4,0,0,185,1196
Total (All-India),Total (All-India),665,636,24,551,0,551,202,139,63,146,76,292,2503,4626,710,3916,1916,45,129,4,171,4988,82,624,294,336,0,60,6646,25016
