Category,States/ UTs,Murder - Male,Murder - Female,Murder - Total,Attempt to Commit Murder - Male,Attempt to Commit Murder - Female,Attempt to Commit Murder - Total,C.H. not Amounting to Murder - Male,C.H. not Amounting to Murder - Female,C.H. not Amounting to Murder - Total,Total Rape - Male,Total Rape - Female,Total Rape - Total,Custodial Rape - Male,Custodial Rape - Female,Custodial Rape - Total,Other Rape - Male,Other Rape - Female,Other Rape - Total,Kidnapping & Abduction - Total - Male,Kidnapping & Abduction - Total - Female,Kidnapping & Abduction - Total - Total,Kidnapping & Abduction - of Women & Girls - Male,Kidnapping & Abduction - of Women & Girls - Female,Kidnapping & Abduction - of Women & Girls - Total,Kidnapping & Abduction - of Others - Male,Kidnapping & Abduction - of Others - Female,Kidnapping & Abduction - of Others - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Preparation & Assessmbly for Dacoity - Male,Preparation & Assessmbly for Dacoity - Female,Preparation & Assessmbly for Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Total - Male,Theft - Total - Female,Theft - Total - Total,Theft - Auto Theft - Male,Theft - Auto Theft - Female,Theft - Auto Theft - Total,Theft - Other Theft - Male,Theft - Other Theft - Female,Theft - Other Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Arson - Male,Arson - Female,Arson - Total,Hurt - Male,Hurt - Female,Hurt - Total,Dowry Deaths - Male,Dowry Deaths - Female,Dowry Deaths - Total,Molestation - Male,Molestation - Female,Molestation - Total,Sexual Harassment - Male,Sexual Harassment - Female,Sexual Harassment - Total,Cruelty by Husband and Relatives - Male,Cruelty by Husband and Relatives - Female,Cruelty by Husband and Relatives - Total,Importation of Girls - Male,Importation of Girls - Female,Importation of Girls - Total,Causing Death by Negligence - Male,Causing Death by Negligence - Female,Causing Death by Negligence - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes under IPC - Male,Total Cognizable Crimes under IPC - Female,Total Cognizable Crimes under IPC - Total,Percentage of Female to Total
State,Jharkhand,1968,50,2018,1375,33,1408,115,3,118,873,0,873,0,0,0,873,0,873,402,12,414,141,11,152,261,1,262,1129,0,1129,240,0,240,722,0,722,492,1,493,2733,46,2779,173,5,178,2560,41,2601,8233,773,9006,469,31,500,560,14,574,11,10,21,168,3,171,3050,185,3235,523,109,632,433,0,433,3,0,3,978,147,1125,24,9,33,872,0,872,11546,482,12028,36919,1908,38827,4.9
State,Karnataka,2878,305,3183,4694,351,5045,85,4,89,338,19,357,0,0,0,338,19,357,718,36,754,323,13,336,395,23,418,641,16,657,342,0,342,940,7,947,2881,78,2959,5436,229,5665,905,2,907,4531,227,4758,32484,2809,35293,441,23,464,1481,108,1589,187,11,198,460,8,468,36380,3660,40040,398,173,571,2240,126,2366,83,0,83,2430,789,3219,0,0,0,287,8,295,49201,2717,51918,145025,11477,156502,7.3
State,Kerala,1141,46,1187,2485,34,2519,429,5,434,598,2,600,0,0,0,598,2,600,204,3,207,90,2,92,114,1,115,699,0,699,14,0,14,760,3,763,1927,22,1949,3535,136,3671,900,0,900,2635,136,2771,41335,1081,42416,258,16,274,2084,131,2215,215,5,220,352,6,358,25424,1297,26721,33,11,44,2541,27,2568,112,1,113,4068,960,5028,0,0,0,24,0,24,55653,1248,56901,143891,5034,148925,3.4
State,Madhya Pradesh,5069,245,5314,8143,226,8369,240,4,244,3835,91,3926,0,0,0,3835,91,3926,1791,62,1853,1078,48,1126,713,14,727,638,1,639,792,0,792,2450,16,2466,8129,210,8339,11218,292,11510,1789,2,1791,9429,290,9719,21965,692,22657,641,8,649,1753,53,1806,59,0,59,1592,41,1633,57668,2908,60576,1303,519,1822,8716,44,8760,1093,17,1110,6230,2267,8497,0,0,0,3409,17,3426,157849,5140,162989,304583,12853,317436,4
State,Maharashtra,5459,598,6057,5171,321,5492,157,8,165,1771,100,1871,0,0,0,1771,100,1871,1494,125,1619,874,103,977,620,22,642,3142,39,3181,1212,2,1214,3123,26,3149,11268,363,11631,23072,1054,24126,3568,3,3571,19504,1051,20555,48621,4229,52850,2004,82,2086,5291,331,5622,200,12,212,1751,42,1793,53943,4596,58539,847,375,1222,3229,31,3260,961,11,972,13877,6378,20255,0,0,0,8294,21,8315,49224,4696,53920,244111,23440,267551,8.8
State,Manipur,89,6,95,62,0,62,1,0,1,17,1,18,0,0,0,17,1,18,77,7,84,58,4,62,19,3,22,2,0,2,2,0,2,0,0,0,26,0,26,88,2,90,11,0,11,77,2,79,42,7,49,6,0,6,40,0,40,9,2,11,22,0,22,219,20,239,0,0,0,40,1,41,0,0,0,10,1,11,0,0,0,9,0,9,561,62,623,1322,109,1431,7.6
State,Meghalaya,162,8,170,47,0,47,1,0,1,45,0,45,0,0,0,45,0,45,61,11,72,11,10,21,50,1,51,136,1,137,3,0,3,104,0,104,107,0,107,267,1,268,30,0,30,237,1,238,36,0,36,8,0,8,31,0,31,9,0,9,11,5,16,66,3,69,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,10,0,10,396,1,397,1514,30,1544,1.9
State,Mizoram,59,2,61,22,0,22,4,0,4,83,0,83,0,0,0,83,0,83,4,4,8,1,2,3,3,2,5,7,0,7,0,0,0,22,0,22,455,3,458,945,54,999,20,0,20,925,54,979,4,0,4,26,1,27,81,10,91,21,4,25,29,1,30,215,2,217,0,0,0,55,0,55,1,0,1,3,0,3,0,1,1,0,0,0,1037,137,1174,3073,219,3292,6.7
State,Nagaland,74,2,76,27,0,27,3,0,3,20,0,20,0,0,0,20,0,20,20,1,21,4,0,4,16,1,17,14,0,14,0,0,0,74,0,74,82,0,82,237,5,242,40,0,40,197,5,202,10,0,10,11,0,11,16,0,16,2,0,2,1,0,1,96,2,98,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,12,0,12,271,10,281,971,20,991,2
State,Orissa,1874,227,2101,2460,57,2517,87,14,101,812,8,820,0,0,0,812,8,820,678,9,687,525,9,534,153,0,153,1048,9,1057,148,0,148,1262,14,1276,2509,29,2538,5070,42,5112,555,0,555,4515,42,4557,9924,344,10268,314,0,314,1072,15,1087,10,0,10,505,4,509,7643,422,8065,466,136,602,2275,41,2316,239,5,244,1693,383,2076,0,0,0,2155,0,2155,30813,1860,32673,73057,3619,76676,4.7
State,Punjab,1217,121,1338,1924,111,2035,137,11,148,492,46,538,0,0,0,492,46,538,518,92,610,287,61,348,231,31,262,124,6,130,477,0,477,185,1,186,1274,40,1314,2590,107,2697,893,2,895,1697,105,1802,10,2,12,443,19,462,3712,293,4005,98,0,98,87,0,87,12909,366,13275,339,156,495,417,8,425,185,0,185,1739,775,2514,0,0,0,1870,2,1872,12326,606,12932,43073,2762,45835,6
State,Rajasthan,2077,182,2259,4966,260,5226,80,2,82,920,17,937,0,0,0,920,17,937,1697,92,1789,1022,81,1103,675,11,686,213,4,217,161,0,161,934,6,940,3452,57,3509,6690,146,6836,1572,0,1572,5118,146,5264,21106,2101,23207,334,5,339,2207,110,2317,63,0,63,1170,44,1214,42022,3121,45143,428,154,582,2918,49,2967,61,1,62,5749,1563,7312,0,0,0,3818,4,3822,74284,5661,79945,175350,13579,188929,7.2
State,Sikkim,25,0,25,5,0,5,2,0,2,2,0,2,0,0,0,2,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,3,0,3,18,0,18,10,0,10,1,0,1,9,0,9,45,9,54,0,0,0,6,1,7,0,0,0,0,0,0,19,12,31,0,0,0,17,0,17,0,0,0,3,0,3,0,0,0,12,0,12,47,38,85,216,60,276,21.7
State,Tamil Nadu,3859,262,4121,6204,195,6399,39,1,40,679,16,695,0,0,0,679,16,695,1214,72,1286,785,62,847,429,10,439,758,10,768,62,0,62,1163,17,1180,3957,36,3993,15150,615,15765,3518,10,3528,11632,605,12237,20905,2342,23247,312,9,321,1224,48,1272,146,3,149,922,16,938,35723,3228,38951,405,167,572,2749,98,2847,1857,0,1857,1291,506,1797,0,0,0,9481,57,9538,94874,6918,101792,202974,14616,217590,6.7
State,Tripura,239,5,244,64,0,64,1,0,1,141,0,141,0,0,0,141,0,141,190,0,190,60,0,60,130,0,130,55,0,55,0,0,0,80,0,80,171,0,171,303,0,303,0,0,0,303,0,303,472,0,472,16,0,16,21,2,23,0,0,0,29,0,29,687,0,687,13,0,13,95,0,95,0,0,0,203,46,249,0,0,0,16,0,16,1200,27,1227,3996,80,4076,2
State,Uttar Pradesh,15916,198,16114,13801,71,13872,2910,21,2931,2039,11,2050,0,0,0,2039,11,2050,5858,232,6090,3622,207,3829,2236,25,2261,1807,3,1810,309,0,309,3765,0,3765,3723,6,3729,13965,117,14082,2135,0,2135,11830,117,11947,25321,398,25719,2508,21,2529,6135,32,6167,224,2,226,1112,2,1114,32111,828,32939,4602,1071,5673,2934,10,2944,2715,56,2771,14534,2592,17126,0,0,0,7077,1,7078,90874,1142,92016,254240,6814,261054,2.6
State,Uttaranchal,563,30,593,465,20,485,88,6,94,140,2,142,0,0,0,140,2,142,319,13,332,232,12,244,87,1,88,129,3,132,33,0,33,218,8,226,290,3,293,976,39,1015,169,3,172,807,36,843,1619,100,1719,144,0,144,633,12,645,8,0,8,76,0,76,1239,74,1313,129,58,187,231,3,234,131,4,135,713,89,802,2,0,2,418,2,420,3634,135,3769,12198,601,12799,4.7
State,West Bengal,3808,178,3986,845,25,870,1079,30,1109,1279,0,1279,0,0,0,1279,0,1279,1982,218,2200,1629,152,1781,353,66,419,1539,2,1541,2377,0,2377,1220,2,1222,520,0,520,12462,824,13286,2497,177,2674,9965,647,10612,11810,425,12235,549,13,562,1308,13,1321,110,0,110,247,6,253,5102,166,5268,647,137,784,1377,0,1377,49,0,49,7795,997,8792,2,0,2,2838,0,2838,32859,2187,35046,91804,5223,97027,5.4
State,Total (States),70655,3538,74193,74538,2208,76746,6795,137,6932,20219,424,20643,0,0,0,20219,424,20643,28439,1711,30150,16522,1320,17842,11917,391,12308,23040,173,23213,7763,2,7765,26449,130,26579,61714,1185,62899,149789,4821,154610,27787,227,28014,122002,4594,126596,353273,19127,372400,14670,471,15141,41814,1671,43485,2076,65,2141,17868,314,18182,446042,30547,476589,13775,4215,17990,41736,654,42390,12303,155,12458,86838,25196,112034,89,12,101,56754,157,56911,940486,46944,987430,2497125,143857,2640982,5.4
Union Territory,A & N Islands,20,1,21,2,0,2,1,0,1,6,0,6,0,0,0,6,0,6,6,0,6,1,0,1,5,0,5,20,0,20,0,0,0,8,1,9,23,0,23,14,0,14,1,0,1,13,0,13,27,1,28,4,1,5,2,1,3,0,0,0,0,0,0,87,7,94,0,0,0,17,0,17,3,0,3,3,0,3,0,0,0,0,0,0,315,15,330,558,27,585,4.6
Union Territory,Chandigarh,60,1,61,88,4,92,12,0,12,27,1,28,0,0,0,27,1,28,39,4,43,34,3,37,5,1,6,2,0,2,5,0,5,50,1,51,128,5,133,480,23,503,140,0,140,340,23,363,316,16,332,28,0,28,154,6,160,8,0,8,0,0,0,184,19,203,0,0,0,39,0,39,31,0,31,47,4,51,0,0,0,3,3,6,1050,38,1088,2751,125,2876,4.3
Union Territory,D & N Haveli,13,0,13,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,25,0,25,6,0,6,19,0,19,12,0,12,0,0,0,0,0,0,25,0,25,80,0,80,28,0,28,52,0,52,35,0,35,14,0,14,9,1,10,0,0,0,0,0,0,44,2,46,0,0,0,2,0,2,0,0,0,6,2,8,0,0,0,0,0,0,186,3,189,457,8,465,1.7
Union Territory,Daman & Diu,10,2,12,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,32,0,32,15,0,15,7,0,7,8,0,8,103,16,119,7,0,7,11,1,12,0,0,0,0,0,0,19,4,23,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,77,5,82,284,29,313,9.3
Union Territory,Delhi,613,43,656,767,11,778,112,5,117,515,31,546,0,0,0,515,31,546,448,38,486,294,31,325,154,7,161,210,1,211,293,0,293,918,8,926,1492,8,1500,7965,102,8067,2216,2,2218,5749,100,5849,818,45,863,309,6,315,1887,104,1991,109,4,113,25,0,25,2711,168,2879,240,105,345,623,11,634,169,2,171,567,277,844,0,0,0,441,5,446,21666,700,22366,42898,1674,44572,3.8
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,15,0,15,0
Union Territory,Puducherry,67,4,71,186,2,188,5,0,5,8,0,8,0,0,0,8,0,8,18,0,18,10,0,10,8,0,8,17,0,17,0,0,0,10,0,10,63,2,65,177,5,182,48,0,48,129,5,134,1005,217,1222,1,0,1,13,2,15,4,0,4,9,1,10,2141,163,2304,6,5,11,75,3,78,34,1,35,8,4,12,0,0,0,188,0,188,2112,179,2291,6147,588,6735,8.7
Union Territory,Total (UTs),783,51,834,1049,17,1066,130,5,135,561,32,593,0,0,0,561,32,593,536,42,578,345,34,379,191,8,199,263,1,264,298,0,298,988,10,998,1764,15,1779,8735,130,8865,2440,2,2442,6295,128,6423,2304,295,2599,363,7,370,2076,115,2191,121,4,125,34,1,35,5192,363,5555,246,110,356,757,14,771,237,3,240,634,288,922,0,0,0,632,8,640,25407,940,26347,53110,2451,55561,4.4
Total (All-India),Total (All-India),71438,3589,75027,75587,2225,77812,6925,142,7067,20780,456,21236,0,0,0,20780,456,21236,28975,1753,30728,16867,1354,18221,12108,399,12507,23303,174,23477,8061,2,8063,27437,140,27577,63478,1200,64678,158524,4951,163475,30227,229,30456,128297,4722,133019,355577,19422,374999,15033,478,15511,43890,1786,45676,2197,69,2266,17902,315,18217,451234,30910,482144,14021,4325,18346,42493,668,43161,12540,158,12698,87472,25484,112956,89,12,101,57386,165,57551,965893,47884,1013777,2550235,146308,2696543,5.4
