Category,States/UTs/Cities,Murder - Incidence,Murder - Rate,Attempt to Commit Murder - Incidence,Attempt to Commit Murder - Rate,C.H. not Amounting to Murder - Incidence,C.H. not Amounting to Murder - Rate,Rape - Total - Incidence,Rape - Total - Rate,Rape - Custodial - Incidence,Rape - Custodial - Rate,Rape - Others - Incidence,Rape - Others - Rate,Kidnapping & Abduction - Total - Incidence,Kidnapping & Abduction - Total - Rate,Kidnapping & Abduction - of Women & Girls - Incidence,Kidnapping & Abduction - of Women & Girls - Rate,Kidnapping & Abduction - of Others - Incidence,Kidnapping & Abduction - of Others - Rate,Dacoity - Incidence,Dacoity - Rate,Preparation & Assembly for Dacoity - Incidence,Preparation & Assembly for Dacoity - Rate,Robbery - Incidence,Robbery - Rate,Burglary - Incidence,Burglary - Rate,Theft - Total - Incidence,Theft - Total - Rate,Theft - Auto Theft - Incidence,Theft - Auto Theft - Rate,Theft - Other Theft - Incidence,Theft - Other Theft - Rate,Riots - Incidence,Riots - Rate,Criminal Breach of Trust - Incidence,Criminal Breach of Trust - Rate,Cheating - Incidence,Cheating - Rate,Counterfeiting - Incidence,Counterfeiting - Rate,Arson - Incidence,Arson - Rate,Hurt - Incidence,Hurt - Rate,Dowry Deaths - Incidence,Dowry Deaths - Rate,Molestation - Incidence,Molestation - Rate,Sexual Harassment - Incidence,Sexual Harassment - Rate,Cruelty by Husband and Relatives - Incidence,Cruelty by Husband and Relatives - Rate,Importation of Girls - Incidence,Importation of Girls - Rate,Causing Death by Negligence - Incidence,Causing Death by Negligence - Rate,Other IPC Crimes - Incidence,Other IPC Crimes - Rate,Total Cognizable Crimes under IPC - Incidence,Total Cognizable Crimes under IPC - Rate
Union Territory,Puducherry,29,2.9,43,4.3,2,0.2,6,0.6,0,0,6,0.6,10,1,6,0.6,4,0.4,2,0.2,0,0,6,0.6,129,13,526,53.1,258,26,268,27,193,19.5,11,1.1,31,3.1,3,0.3,22,2.2,1093,110.3,5,0.5,59,6,26,2.6,9,0.9,0,0,190,19.2,2042,206.1,4437,447.7
Union Territory,Total (UTs),627,3.7,526,3.1,78,0.5,434,2.5,0,0,434,2.5,1401,8.2,954,5.6,447,2.6,56,0.3,68,0.4,543,3.2,2977,17.4,18990,110.9,8384,49,10606,61.9,460,2.7,511,3,2341,13.7,54,0.3,92,0.5,3200,18.7,141,0.8,562,3.3,185,1.1,210,1.2,0,0,613,3.6,24582,143.5,58651,342.5
Total (All-India),Total (All-India),35290,3.4,30380,2.9,3624,0.3,16373,1.6,3,0,16370,1.6,21850,2.1,14506,1.4,7344,0.7,6101,0.6,1841,0.2,18764,1.8,96461,9.2,247462,23.6,66668,6.3,180794,17.2,68945,6.6,14027,1.3,46271,4.4,1522,0.1,11820,1.1,265025,25.2,6822,0.6,33943,3.2,10155,1,49237,4.7,76,0,64044,6.1,730297,69.5,1780330,169.5
City,Agra,158,12,159,12,28,2.1,41,3.1,0,0,41,3.1,139,10.5,102,7.7,37,2.8,18,1.4,2,0.2,107,8.1,272,20.6,1059,80.2,589,44.6,470,35.6,260,19.7,166,12.6,297,22.5,6,0.5,19,1.4,558,42.2,50,3.8,86,6.5,82,6.2,372,28.2,0,0,0,0,1738,131.6,5617,425.2
City,Ahmedabad,222,4.9,143,3.2,0,0,12,0.3,0,0,12,0.3,153,3.4,92,2,61,1.3,219,4.8,4,0.1,206,4.6,643,14.2,4007,88.7,1950,43.2,2057,45.5,626,13.9,128,2.8,245,5.4,14,0.3,13,0.3,1398,30.9,6,0.1,36,0.8,18,0.4,433,9.6,0,0,0,0,5953,131.7,14479,320.4
City,Allahabad,36,3.4,61,5.8,10,1,17,1.6,0,0,17,1.6,31,3,25,2.4,6,0.6,1,0.1,0,0,21,2,87,8.3,407,38.8,187,17.8,220,21,44,4.2,45,4.3,220,21,6,0.6,0,0,89,8.5,6,0.6,8,0.8,36,3.4,59,5.6,0,0,86,8.2,568,54.1,1838,175
City,Amritsar,39,3.9,17,1.7,1,0.1,4,0.4,0,0,4,0.4,25,2.5,20,2,5,0.5,2,0.2,7,0.7,5,0.5,128,12.7,119,11.8,65,6.4,54,5.3,6,0.6,22,2.2,113,11.2,3,0.3,1,0.1,132,13.1,6,0.6,10,1,0,0,59,5.8,0,0,52,5.1,326,32.2,1077,106.5
City,Asansol,11,1,0,0,4,0.4,1,0.1,0,0,1,0.1,3,0.3,0,0,3,0.3,0,0,34,3.1,5,0.5,1,0.1,39,3.6,15,1.4,24,2.2,8,0.7,7,0.6,9,0.8,0,0,1,0.1,2,0.2,2,0.2,1,0.1,0,0,28,2.6,0,0,1,0.1,206,18.9,363,33.3
City,Bangalore,201,3.5,311,5.5,4,0.1,32,0.6,0,0,32,0.6,159,2.8,58,1,101,1.8,27,0.5,47,0.8,365,6.4,2084,36.6,7081,124.5,2754,48.4,4327,76.1,284,5,180,3.2,1788,31.4,107,1.9,1,0,4029,70.8,33,0.6,237,4.2,62,1.1,242,4.3,0,0,45,0.8,11801,207.5,29120,512
City,Bhopal,40,2.7,62,4.3,0,0,56,3.8,0,0,56,3.8,32,2.2,14,1,18,1.2,0,0,3,0.2,89,6.1,862,59.2,1367,94,551,37.9,816,56.1,71,4.9,26,1.8,93,6.4,4,0.3,7,0.5,421,28.9,13,0.9,175,12,41,2.8,114,7.8,0,0,94,6.5,7596,522.1,11166,767.4
City,Chennai,90,1.4,294,4.6,5,0.1,26,0.4,0,0,26,0.4,44,0.7,21,0.3,23,0.4,14,0.2,0,0,97,1.5,570,8.9,2791,43.4,444,6.9,2347,36.5,52,0.8,13,0.2,644,10,2,0,0,0,812,12.6,20,0.3,61,0.9,941,14.6,106,1.6,0,0,491,7.6,1453,22.6,8526,132.7
City,Coimbatore,16,1.1,22,1.5,0,0,2,0.1,0,0,2,0.1,10,0.7,4,0.3,6,0.4,2,0.1,0,0,12,0.8,161,11.1,1067,73.8,390,27,677,46.8,93,6.4,13,0.9,61,4.2,4,0.3,4,0.3,127,8.8,7,0.5,14,1,16,1.1,28,1.9,0,0,185,12.8,1382,95.6,3226,223.1
City,Delhi (City),438,3.4,373,2.9,65,0.5,320,2.5,0,0,320,2.5,1086,8.5,759,5.9,327,2.6,42,0.3,65,0.5,432,3.4,2027,15.8,15626,122.2,7070,55.3,8556,66.9,111,0.9,411,3.2,1987,15.5,45,0.4,51,0.4,1594,12.5,108,0.8,356,2.8,116,0.9,127,1,0,0,364,2.8,18414,144,44158,345.2
City,Dhanbad,88,8.3,42,3.9,13,1.2,40,3.8,0,0,40,3.8,77,7.2,58,5.5,19,1.8,72,6.8,14,1.3,64,6,151,14.2,513,48.2,36,3.4,477,44.8,239,22.5,40,3.8,64,6,1,0.1,9,0.8,133,12.5,36,3.4,57,5.4,3,0.3,28,2.6,0,0,0,0,1558,146.4,3242,304.7
City,Faridabad,29,2.7,12,1.1,2,0.2,16,1.5,0,0,16,1.5,34,3.2,24,2.3,10,0.9,0,0,12,1.1,13,1.2,173,16.4,515,48.8,369,35,146,13.8,37,3.5,69,6.5,45,4.3,1,0.1,2,0.2,96,9.1,10,0.9,7,0.7,857,81.2,50,4.7,0,0,6,0.6,2319,219.8,4305,408.1
City,Hyderabad,117,2.1,109,2,3,0.1,57,1,0,0,57,1,115,2.1,61,1.1,54,1,11,0.2,2,0,68,1.2,1348,24.4,3777,68.3,1224,22.1,2553,46.1,128,2.3,127,2.3,1734,31.3,21,0.4,8,0.1,3714,67.1,24,0.4,138,2.5,123,2.2,590,10.7,0,0,440,8,1759,31.8,14413,260.4
City,Indore,84,5.1,99,6,1,0.1,61,3.7,0,0,61,3.7,35,2.1,21,1.3,14,0.9,2,0.1,4,0.2,119,7.3,826,50.4,2563,156.4,1307,79.7,1256,76.6,89,5.4,40,2.4,111,6.8,6,0.4,20,1.2,882,53.8,13,0.8,132,8.1,46,2.8,162,9.9,0,0,195,11.9,6188,377.5,11678,712.5
City,Jabalpur,36,3.2,118,10.6,4,0.4,47,4.2,0,0,47,4.2,16,1.4,12,1.1,4,0.4,1,0.1,1,0.1,92,8.2,441,39.5,801,71.7,363,32.5,438,39.2,43,3.8,4,0.4,69,6.2,6,0.5,11,1,2118,189.6,26,2.3,120,10.7,49,4.4,82,7.3,0,0,90,8.1,2560,229.2,6735,603
City,Jaipur,41,1.8,89,3.8,6,0.3,42,1.8,0,0,42,1.8,186,8,169,7.3,17,0.7,0,0,4,0.2,65,2.8,712,30.6,2339,100.6,1007,43.3,1332,57.3,1108,47.7,186,8,1135,48.8,16,0.7,18,0.8,861,37,17,0.7,119,5.1,0,0,397,17.1,0,0,342,14.7,4075,175.3,11758,505.9
City,Jamshedpur,60,5.4,153,13.9,4,0.4,56,5.1,0,0,56,5.1,43,3.9,18,1.6,25,2.3,7,0.6,1,0.1,27,2.5,138,12.5,510,46.3,133,12.1,377,34.2,106,9.6,58,5.3,58,5.3,0,0,13,1.2,0,0,5,0.5,27,2.5,0,0,61,5.5,0,0,0,0,1078,97.8,2405,218.2
City,Kanpur,202,7.5,166,6.2,24,0.9,30,1.1,0,0,30,1.1,163,6.1,126,4.7,37,1.4,16,0.6,3,0.1,106,3.9,268,10,1153,42.9,629,23.4,524,19.5,156,5.8,158,5.9,223,8.3,4,0.1,17,0.6,664,24.7,50,1.9,75,2.8,123,4.6,307,11.4,0,0,419,15.6,1581,58.8,5908,219.6
City,Kochi,6,0.4,39,2.9,4,0.3,8,0.6,0,0,8,0.6,5,0.4,3,0.2,2,0.1,17,1.3,0,0,84,6.2,331,24.4,669,49.4,168,12.4,501,37,202,14.9,18,1.3,188,13.9,4,0.3,10,0.7,502,37,1,0.1,56,4.1,4,0.3,57,4.2,0,0,4,0.3,4315,318.5,6524,481.5
City,Kolkata,58,0.4,148,1.1,15,0.1,33,0.2,0,0,33,0.2,107,0.8,74,0.6,33,0.2,18,0.1,58,0.4,166,1.3,190,1.4,3716,28.1,980,7.4,2736,20.7,242,1.8,256,1.9,859,6.5,44,0.3,0,0,1173,8.9,4,0,160,1.2,24,0.2,235,1.8,0,0,444,3.4,2713,20.5,10663,80.7
City,Lucknow,109,4.8,123,5.4,26,1.1,22,1,0,0,22,1,163,7.2,119,5.2,44,1.9,20,0.9,0,0,120,5.3,576,25.4,2015,88.9,796,35.1,1219,53.8,159,7,164,7.2,341,15,4,0.2,6,0.3,55,2.4,35,1.5,47,2.1,102,4.5,324,14.3,0,0,227,10,2316,102.2,6954,306.7
City,Ludhiana,62,4.4,72,5.2,11,0.8,37,2.7,0,0,37,2.7,123,8.8,86,6.2,37,2.7,1,0.1,17,1.2,11,0.8,334,23.9,697,50,363,26,334,23.9,0,0,54,3.9,382,27.4,5,0.4,17,1.2,308,22.1,15,1.1,84,6,120,8.6,136,9.7,0,0,160,11.5,2599,186.3,5245,376
City,Madurai,22,1.8,71,5.9,0,0,7,0.6,0,0,7,0.6,26,2.2,12,1,14,1.2,6,0.5,14,1.2,25,2.1,176,14.7,756,63.3,228,19.1,528,44.2,77,6.4,11,0.9,124,10.4,8,0.7,12,1,232,19.4,6,0.5,23,1.9,123,10.3,25,2.1,0,0,104,8.7,1841,154.1,3689,308.7
City,Meerut,64,5.5,71,6.1,3,0.3,12,1,0,0,12,1,66,5.7,45,3.9,21,1.8,6,0.5,9,0.8,61,5.2,124,10.6,545,46.7,303,26,242,20.7,51,4.4,48,4.1,114,9.8,4,0.3,2,0.2,193,16.5,9,0.8,19,1.6,62,5.3,142,12.2,0,0,47,4,682,58.4,2334,200
City,Mumbai,252,1.5,134,0.8,7,0,128,0.8,0,0,128,0.8,119,0.7,61,0.4,58,0.4,33,0.2,57,0.3,291,1.8,2597,15.9,10166,62.1,3101,18.9,7065,43.2,143,0.9,342,2.1,1155,7.1,76,0.5,5,0,3542,21.6,18,0.1,254,1.6,40,0.2,214,1.3,0,0,753,4.6,5950,36.4,26276,160.5
City,Nagpur,98,4.6,54,2.5,0,0,49,2.3,0,0,49,2.3,50,2.4,41,1.9,9,0.4,12,0.6,62,2.9,146,6.9,1307,61.6,2511,118.3,845,39.8,1666,78.5,254,12,50,2.4,235,11.1,14,0.7,23,1.1,916,43.1,4,0.2,63,3,38,1.8,210,9.9,0,0,218,10.3,2407,113.4,8721,410.8
City,Nasik,25,2.2,9,0.8,2,0.2,12,1,0,0,12,1,17,1.5,8,0.7,9,0.8,5,0.4,5,0.4,32,2.8,369,32,612,53.1,211,18.3,401,34.8,131,11.4,23,2,98,8.5,0,0,4,0.3,272,23.6,3,0.3,20,1.7,11,1,136,11.8,0,0,143,12.4,592,51.4,2521,218.8
City,Patna,244,14.3,415,24.3,18,1.1,17,1,0,0,17,1,120,7,24,1.4,96,5.6,46,2.7,25,1.5,416,24.4,395,23.1,1476,86.5,479,28.1,997,58.4,116,6.8,166,9.7,305,17.9,6,0.4,12,0.7,180,10.5,27,1.6,29,1.7,0,0,103,6,0,0,183,10.7,1801,105.5,6100,357.4
