States/ UTs,District,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Other,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto theft,Theft - Other theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes Under IPC
Arunachal Pradesh,Changlang,9,4,1,3,0,3,5,2,3,2,0,5,18,25,0,25,0,4,8,0,2,26,0,0,0,2,0,0,66,180
Arunachal Pradesh,Dibang Valley,6,4,0,5,0,5,6,5,1,2,0,9,16,20,0,20,5,0,3,0,0,36,0,4,0,5,0,0,57,178
Arunachal Pradesh,Kameng East,3,2,0,1,0,1,4,3,1,0,0,3,10,23,0,23,8,1,0,0,0,37,0,6,0,0,0,0,28,126
Arunachal Pradesh,Kameng West,3,3,0,0,0,0,4,1,3,0,0,0,10,15,0,15,0,1,1,0,0,16,0,0,0,0,0,0,31,84
Arunachal Pradesh,Lohit,14,2,0,3,0,3,5,3,2,6,0,5,12,24,0,24,0,1,2,2,1,50,0,8,0,0,0,0,34,169
Arunachal Pradesh,Papum Pare,3,3,1,3,0,3,10,6,4,7,0,42,66,94,38,56,0,4,3,1,1,51,0,9,1,1,0,0,83,383
Arunachal Pradesh,Siang East,3,0,0,11,0,11,10,8,2,2,0,6,28,58,3,55,0,4,5,0,2,58,0,14,0,1,0,0,62,264
Arunachal Pradesh,Siang Upper,0,1,0,3,0,3,0,0,0,0,0,1,9,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,23,44
Arunachal Pradesh,Siang West,4,7,3,4,0,4,7,6,1,1,0,7,39,50,4,46,3,3,2,0,6,58,0,18,0,2,0,0,117,331
Arunachal Pradesh,Subansiri Lower,8,3,0,1,0,1,4,3,1,2,0,8,16,32,4,28,0,0,1,0,4,18,0,4,0,0,0,0,51,152
Arunachal Pradesh,Subansiri Upper,5,2,0,2,0,2,1,1,0,0,0,6,13,14,0,14,4,3,2,0,4,24,0,4,0,0,0,0,48,132
Arunachal Pradesh,Tawang,0,0,1,1,0,1,0,0,0,0,0,0,3,13,2,11,1,1,1,2,0,2,0,0,1,1,0,0,17,44
Arunachal Pradesh,Tirap,3,7,0,1,0,1,1,0,1,0,0,4,9,20,0,20,0,1,1,0,0,25,0,1,0,1,0,0,67,141
Arunachal Pradesh,Total,61,38,6,38,0,38,57,38,19,22,0,96,249,395,51,344,21,23,29,5,20,401,0,68,2,13,0,0,684,2228
Assam,Barpeta,43,20,2,55,0,55,69,59,10,28,1,23,83,256,9,247,275,19,28,1,28,90,4,18,0,97,0,102,285,1527
Assam,Bongaigaon,47,0,0,21,0,21,51,40,11,26,1,20,78,80,6,74,81,16,9,0,2,30,3,2,0,32,0,45,274,818
Assam,C.I.D.,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,45,52
Assam,Cachar,57,44,0,71,0,71,93,80,13,29,1,18,206,448,3,445,446,50,33,3,57,234,7,156,0,219,0,291,1057,3520
Assam,Darrang,31,7,2,33,0,33,54,41,13,12,1,11,50,119,6,113,61,6,8,3,15,116,4,68,0,37,0,43,180,861
Assam,Dhemaji,30,15,0,48,0,48,31,25,6,7,0,11,27,83,0,83,14,16,14,1,13,194,1,23,0,57,0,20,84,689
Assam,Dhubri,60,16,1,46,0,46,62,51,11,44,4,20,78,88,1,87,418,55,23,5,21,257,4,67,2,167,0,155,128,1721
Assam,Dibrugarh,97,35,2,45,0,45,75,58,17,19,1,23,96,309,35,274,36,4,21,3,23,369,1,27,0,43,0,155,258,1642
Assam,G.R.P.,6,0,0,0,0,0,0,0,0,2,0,6,2,62,0,62,0,2,0,0,0,2,0,0,0,0,0,0,34,116
Assam,Goalpara,24,18,1,40,0,40,48,29,19,25,0,10,63,107,2,105,128,8,17,1,12,69,2,67,0,93,0,93,133,959
Assam,Golaghat,57,9,4,42,0,42,68,60,8,10,1,37,56,260,31,229,13,28,31,5,28,342,0,36,0,36,0,90,194,1347
Assam,Guwahati City,60,18,20,60,0,60,184,144,40,44,4,83,530,1136,201,935,313,113,146,11,5,378,6,41,0,69,0,62,1101,4384
Assam,Hailakandi,26,5,1,24,0,24,42,42,0,13,0,5,63,110,0,110,114,9,8,0,25,80,1,30,0,34,0,20,204,814
Assam,Jorhat,37,13,4,36,0,36,36,32,4,4,0,14,67,204,8,196,68,18,21,2,17,124,0,39,0,42,0,42,342,1130
Assam,Kamrup,34,31,8,41,0,41,118,104,14,21,0,30,68,138,57,81,50,24,47,0,13,65,2,23,0,20,0,16,924,1673
Assam,Karbi Anglong,41,3,1,5,0,5,37,9,28,13,0,20,15,118,20,98,16,4,7,1,7,46,2,6,0,6,0,18,161,527
Assam,Karimganj,43,12,0,23,0,23,38,7,31,6,0,4,71,142,8,134,179,6,15,1,16,59,6,11,0,69,0,28,165,894
Assam,Kokrajhar,62,20,0,15,0,15,48,18,30,16,0,13,45,77,0,77,61,7,13,4,6,169,3,51,0,38,0,62,186,896
Assam,Lakhimpur,26,34,1,69,0,69,84,74,10,2,0,44,95,283,0,283,59,19,86,0,45,478,0,63,0,175,0,72,290,1925
Assam,Morigaon,23,8,1,40,0,40,39,34,5,2,1,2,35,108,2,106,88,6,12,1,10,86,1,39,0,28,0,36,216,782
Assam,N.C.Hills,25,16,0,2,0,2,9,6,3,2,0,8,4,45,0,45,2,6,2,0,2,23,0,5,0,9,0,12,41,213
Assam,Nagaon,78,40,3,61,0,61,132,124,8,53,2,77,355,298,45,253,305,41,61,4,45,493,7,115,5,158,0,249,672,3254
Assam,Nalbari,47,56,0,27,0,27,50,31,19,25,0,31,81,87,1,86,3,10,15,3,7,112,0,11,0,24,0,24,398,1011
Assam,R.P.O.,0,0,0,1,0,1,1,1,0,2,0,0,1,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,13
Assam,Sibsagar,75,20,1,57,0,57,57,57,0,8,0,22,50,328,47,281,50,26,27,3,22,557,6,28,0,71,0,42,431,1881
Assam,Sonitpur,109,22,1,67,0,67,114,109,5,23,1,35,166,332,8,324,157,47,45,1,19,278,9,53,0,146,0,179,465,2269
Assam,Tinsukia,115,17,2,41,0,41,53,39,14,37,0,40,119,333,6,327,74,18,25,4,0,113,1,5,0,24,0,101,306,1428
Assam,Total,1253,479,55,970,0,970,1595,1276,319,473,18,607,2504,5555,496,5059,3014,558,719,57,438,4764,70,984,7,1694,0,1957,8575,36346
Bihar,Araria,61,15,2,101,0,101,91,79,12,34,2,36,63,109,10,99,365,25,5,2,14,89,5,2,0,30,0,30,1004,2085
Bihar,Arwal,44,58,8,0,0,0,11,0,11,5,0,11,15,37,0,37,61,5,2,0,14,204,8,12,0,2,0,6,103,606
Bihar,Aurangabad,96,38,0,12,0,12,19,3,16,20,0,26,66,132,2,130,195,10,28,0,0,41,33,4,0,6,0,42,1544,2312
Bihar,Bagaha,27,71,11,23,0,23,49,3,46,1,0,11,17,127,0,127,89,2,17,0,6,361,0,6,0,3,0,3,151,975
Bihar,Banka,100,18,3,27,0,27,32,9,23,38,0,35,55,92,5,87,255,6,4,0,2,4,10,4,0,14,0,0,797,1496
Bihar,Begusarai,138,139,5,20,0,20,75,15,60,15,1,89,67,253,29,224,157,31,33,0,13,149,23,23,0,40,0,129,1654,3054
Bihar,Bettiah,100,229,10,55,0,55,67,10,57,29,7,58,111,274,7,267,436,107,16,2,18,1383,31,66,0,58,0,0,231,3288
Bihar,Bhabhua,48,10,6,17,0,17,41,7,34,30,2,24,78,140,8,132,196,6,35,0,19,3,17,0,0,18,0,41,778,1509
Bihar,Bhagalpur,107,46,4,40,0,40,89,51,38,16,3,64,134,409,46,363,207,35,52,2,13,12,19,10,0,26,0,58,1445,2791
Bihar,Bhojpur,147,41,1,17,0,17,43,17,26,35,4,49,99,247,9,238,124,22,71,0,39,26,51,4,0,79,1,8,1913,3021
Bihar,Buxar,60,80,16,17,0,17,40,0,40,38,0,44,61,182,0,182,236,0,43,0,4,45,16,0,0,16,0,125,817,1840
Bihar,Darbhanga,72,79,17,52,0,52,93,31,62,42,3,29,91,225,12,213,244,64,89,22,28,67,26,38,0,73,0,64,1669,3087
Bihar,Gaya,218,149,8,31,0,31,38,18,20,98,3,132,162,348,19,329,319,37,63,0,38,290,26,27,0,44,0,120,973,3124
Bihar,Gopalganj,69,89,5,16,0,16,42,16,26,13,3,34,72,120,22,98,181,2,64,0,3,7,23,0,0,51,0,35,1206,2035
Bihar,Jamalpur Rly.,6,5,2,0,0,0,5,1,4,10,1,7,3,121,3,118,3,0,3,0,0,0,1,2,0,0,0,0,70,239
Bihar,Jamui,56,203,3,15,0,15,38,13,25,8,0,34,39,106,8,98,142,0,18,0,12,94,21,0,0,19,0,27,213,1048
Bihar,Jehanabad,73,55,1,7,0,7,32,9,23,28,1,20,34,123,8,115,169,0,35,0,0,0,21,0,0,5,0,12,702,1318
Bihar,Katihar,67,25,5,77,0,77,87,69,18,29,7,30,65,157,19,138,235,7,50,0,3,71,5,5,0,32,0,43,1173,2173
Bihar,Katihar Rly.,14,0,0,2,0,2,3,1,2,9,0,17,17,218,7,211,9,0,12,0,0,0,1,2,0,0,0,0,130,434
Bihar,Khagaria,66,23,6,15,0,15,31,14,17,9,4,17,20,75,9,66,173,7,18,0,4,26,9,8,0,17,0,32,541,1101
Bihar,Kishanganj,30,2,1,20,0,20,35,26,9,15,2,10,38,82,10,72,137,10,4,1,8,5,5,4,0,37,0,10,510,966
Bihar,Lakhisarai,67,36,2,2,0,2,34,6,28,6,4,15,22,84,9,75,67,3,10,0,4,41,4,10,0,6,0,34,337,788
Bihar,Madhepura,50,23,3,10,0,10,32,7,25,29,1,41,22,75,11,64,162,5,9,0,11,117,4,7,0,9,0,23,386,1019
Bihar,Madhubani,66,86,92,31,0,31,50,15,35,35,7,20,98,177,2,175,282,22,65,0,69,672,58,165,0,111,0,81,440,2627
Bihar,Motihari,97,47,19,41,0,41,139,37,102,47,3,102,133,306,5,301,418,75,117,5,27,43,48,12,0,94,0,111,2712,4596
Bihar,Munger,63,124,0,11,0,11,53,27,26,4,0,22,36,161,14,147,51,32,68,0,9,563,8,0,0,0,0,21,788,2014
Bihar,Muzaffarpur,130,92,23,60,0,60,167,22,145,57,1,122,178,723,101,622,393,152,113,3,36,121,42,26,0,178,1,177,2068,4863
Bihar,Muzaffarpur Rly.,18,1,1,2,0,2,5,3,2,11,1,18,11,319,19,300,8,0,15,1,0,56,0,5,0,1,0,4,132,609
Bihar,Nalanda,175,191,17,32,0,32,93,22,71,49,7,63,93,233,10,223,221,41,22,20,10,866,45,23,0,44,1,34,967,3247
Bihar,Naugachia,35,4,9,11,0,11,24,6,18,9,0,18,6,50,1,49,103,4,13,0,6,40,7,3,0,15,0,27,327,711
Bihar,Nawadah,69,87,23,34,0,34,50,8,42,8,0,24,33,78,6,72,188,19,25,1,5,535,12,3,2,30,4,83,187,1500
Bihar,Patna,472,682,30,37,0,37,203,36,167,93,27,491,494,1763,494,1269,489,206,342,6,35,445,76,42,0,148,0,376,2760,9217
Bihar,Patna Rly.,29,24,0,2,0,2,5,0,5,28,0,15,2,707,16,691,11,4,13,0,0,0,1,9,0,3,0,1,164,1018
Bihar,Purnea,96,75,4,46,0,46,48,17,31,98,7,114,86,174,38,136,316,5,23,0,6,39,6,6,0,17,0,96,869,2131
Bihar,Rohtas,132,35,5,15,0,15,92,10,82,85,2,90,166,375,15,360,401,12,22,0,10,22,52,4,0,82,0,349,1468,3419
Bihar,Saharsa,39,106,4,11,0,11,20,10,10,4,0,20,18,65,4,61,110,19,20,0,10,152,10,16,2,8,0,24,309,967
Bihar,Samastipur,119,120,19,22,0,22,56,21,35,36,19,69,93,197,31,166,243,41,30,0,41,244,12,4,2,10,21,19,1391,2808
Bihar,Saran,100,63,0,12,0,12,73,10,63,39,10,46,88,271,38,233,265,30,15,2,16,1196,69,0,0,85,0,91,806,3277
Bihar,Sheikhpura,33,18,2,6,0,6,24,0,24,8,1,6,11,60,2,58,80,59,21,0,3,8,5,8,0,16,1,9,508,887
Bihar,Sheohar,10,0,0,14,0,14,19,6,13,10,0,3,12,16,2,14,48,0,18,1,5,0,7,1,0,0,0,0,283,447
Bihar,Sitamarhi,54,19,1,31,0,31,50,22,28,24,0,27,46,176,10,166,270,27,36,2,9,246,14,26,0,28,1,30,1055,2172
Bihar,Siwan,117,163,9,8,0,8,57,26,31,37,2,108,83,138,30,108,217,15,21,1,18,162,24,8,0,50,0,43,735,2016
Bihar,Supaul,43,46,0,22,0,22,34,0,34,40,1,35,34,114,0,114,192,4,16,0,9,90,7,5,0,12,8,3,1045,1760
Bihar,Vaishali,99,109,19,16,0,16,72,41,31,10,5,42,116,306,40,266,207,64,115,1,23,235,65,21,0,60,0,76,1784,3445
Bihar,Total,3712,3526,396,1040,0,1040,2361,744,1617,1289,141,2288,3188,10145,1131,9014,8675,1215,1811,72,600,8770,927,621,6,1577,38,2497,39145,94040
Chhattisgarh,Balrampur,30,21,0,30,0,30,3,2,1,35,1,18,61,46,5,41,23,4,0,0,8,53,2,33,3,19,0,12,216,618
Chhattisgarh,Bilaspur,56,43,9,72,0,72,15,15,0,1,0,48,504,595,101,494,140,5,42,3,10,480,13,160,10,86,0,106,2311,4709
Chhattisgarh,Bizapur,19,18,0,7,0,7,2,2,0,14,0,2,14,13,5,8,18,0,2,0,10,20,0,1,0,0,0,4,95,239
Chhattisgarh,Dantewara,59,29,0,9,0,9,4,4,0,2,0,6,62,66,9,57,19,1,2,0,8,66,1,19,0,5,0,21,237,616
Chhattisgarh,Dhamtari,16,12,0,26,0,26,4,0,4,0,0,6,105,113,19,94,26,2,10,2,2,130,1,40,9,9,0,56,680,1249
Chhattisgarh,Durg,72,65,0,132,0,132,29,23,6,2,1,51,569,787,206,581,59,9,74,5,27,515,11,230,33,116,0,0,3334,6121
Chhattisgarh,G.R.P Raipur,2,1,0,5,0,5,0,0,0,0,0,0,8,207,8,199,0,1,1,0,0,6,0,1,0,0,0,0,88,320
Chhattisgarh,Jagdalpur,70,34,0,46,0,46,19,16,3,35,1,19,169,116,20,96,29,10,18,0,17,181,0,46,4,16,0,0,1080,1910
Chhattisgarh,Janjgir,43,24,0,42,0,42,6,6,0,1,0,18,163,191,27,164,78,10,16,0,24,466,13,99,8,64,0,74,674,2014
Chhattisgarh,Jashpur,54,14,2,35,0,35,0,0,0,9,0,18,59,82,9,73,15,2,3,1,6,67,2,16,2,4,0,33,342,766
Chhattisgarh,Kabirdham,18,6,1,20,0,20,2,0,2,1,0,3,73,57,7,50,26,3,3,0,8,249,0,42,3,25,0,26,251,817
Chhattisgarh,Kanker,35,6,0,37,0,37,6,6,0,21,0,4,76,54,6,48,22,1,2,0,28,52,1,33,4,22,0,39,603,1046
Chhattisgarh,Korba,40,10,0,38,0,38,4,3,1,2,1,18,236,312,86,226,45,6,19,0,16,308,9,82,10,33,0,93,1013,2295
Chhattisgarh,Koriya,21,15,1,58,0,58,7,6,1,0,0,5,203,134,17,117,20,2,10,1,6,177,1,72,0,21,0,54,723,1531
Chhattisgarh,Mahasamund,15,16,4,33,0,33,5,5,0,3,0,9,141,150,29,121,27,2,13,0,4,211,0,56,3,14,0,81,537,1324
Chhattisgarh,Raigarh,56,24,0,39,0,39,5,5,0,1,1,23,226,222,0,222,58,10,31,0,14,217,4,103,15,30,0,90,378,1547
Chhattisgarh,Raipur,86,63,3,159,0,159,40,35,5,5,0,36,467,699,242,457,59,22,102,5,22,907,20,184,34,106,0,274,2302,5595
Chhattisgarh,Rajnandgaon,51,17,0,62,0,62,8,7,1,5,1,12,216,163,63,100,57,3,23,0,6,127,6,86,7,41,0,0,1603,2494
Chhattisgarh,Sarguja,101,35,4,142,0,142,19,19,0,7,0,30,379,295,30,265,96,3,22,1,19,252,1,180,2,42,0,0,1109,2739
Chhattisgarh,Total,844,453,24,992,0,992,178,154,24,144,6,326,3731,4302,889,3413,817,96,393,18,235,4484,85,1483,147,653,0,963,17576,37950
Goa,North Goa,18,11,3,9,0,9,4,3,1,0,0,17,217,285,82,203,43,15,49,3,17,129,1,9,4,6,0,112,428,1380
Goa,South Goa,12,9,1,3,0,3,5,2,3,5,0,7,159,211,64,147,36,12,29,0,8,107,1,9,2,2,0,90,352,1060
Goa,Total,30,20,4,12,0,12,9,5,4,5,0,24,376,496,146,350,79,27,78,3,25,236,2,18,6,8,0,202,780,2440
Gujarat,Ahmedabad Commr.,222,143,0,12,0,12,153,92,61,219,4,206,643,4007,1950,2057,626,128,245,14,13,1398,6,36,18,433,0,0,5953,14479
Gujarat,Ahmedabad Rural,63,24,0,7,0,7,13,11,2,8,0,16,98,235,55,180,66,38,15,0,72,432,7,17,1,66,0,183,1411,2772
Gujarat,Ahwa-Dang,6,1,0,4,0,4,1,1,0,1,0,1,4,12,1,11,6,3,0,0,4,34,0,0,0,7,0,19,67,170
Gujarat,Amreli,21,17,1,4,0,4,27,23,4,0,0,20,66,158,35,123,37,18,6,1,14,240,0,18,1,95,0,77,1030,1851
Gujarat,Anand,48,31,1,8,0,8,38,33,5,10,0,14,151,359,109,250,184,105,49,0,57,568,0,22,2,183,0,200,1829,3859
Gujarat,Bharuch,47,25,0,7,0,7,24,23,1,33,0,23,144,298,78,220,110,56,30,3,65,419,0,26,0,52,0,211,1513,3086
Gujarat,Bhavnagar,59,43,1,9,0,9,51,39,12,9,0,46,277,500,200,300,402,135,70,5,76,137,4,57,7,125,0,10,3123,5146
Gujarat,Dahod,64,14,2,14,0,14,9,9,0,76,0,64,61,120,36,84,67,17,6,0,52,397,0,19,0,18,0,0,743,1743
Gujarat,Gandhinagar,31,7,0,7,0,7,21,19,2,5,0,37,114,522,189,333,108,18,28,1,22,393,1,15,5,126,0,169,1669,3299
Gujarat,Himatnagar,71,23,0,11,0,11,40,37,3,81,0,28,259,238,77,161,85,48,46,1,309,399,1,55,0,138,0,168,2385,4386
Gujarat,Jamnagar,39,24,0,25,0,25,36,30,6,1,0,24,217,500,200,300,41,28,22,1,13,435,5,19,4,176,0,0,1961,3571
Gujarat,Junagadh,55,22,0,10,0,10,50,41,9,9,0,43,228,531,145,386,112,85,109,1,58,536,2,38,13,368,0,168,2542,4980
Gujarat,Kheda North,56,18,1,9,0,9,29,29,0,23,0,20,131,352,91,261,172,41,54,1,66,478,0,41,0,104,0,171,2101,3868
Gujarat,Kutch,35,22,4,3,0,3,40,35,5,10,0,26,217,263,86,177,71,16,54,1,20,441,2,29,1,174,0,237,1945,3611
Gujarat,Mehsana,49,43,0,13,0,13,41,36,5,49,1,52,246,611,121,490,194,37,61,2,88,1143,0,40,4,170,0,156,2120,5120
Gujarat,Narmada,16,4,0,7,0,7,5,2,3,12,0,1,27,36,5,31,34,4,18,0,25,145,0,6,4,9,0,41,302,696
Gujarat,Navsari,26,4,0,5,0,5,11,11,0,3,0,14,108,134,74,60,19,22,10,1,14,133,0,2,0,23,0,0,825,1354
Gujarat,Palanpur,38,31,0,16,0,16,47,39,8,6,0,53,220,293,61,232,89,36,26,2,71,1377,0,58,1,122,0,123,1136,3745
Gujarat,Panchmahal,83,18,0,4,0,4,22,22,0,76,0,14,190,290,70,220,118,39,21,0,62,484,0,11,1,22,0,0,961,2416
Gujarat,Patan,24,13,0,3,0,3,29,28,1,9,0,23,88,215,38,177,95,26,44,0,22,410,0,25,0,88,0,90,1185,2389
Gujarat,Porbandar,7,7,2,4,0,4,9,8,1,0,0,5,39,75,29,46,9,48,21,0,6,122,3,16,0,53,0,35,752,1213
Gujarat,Rajkot Commr.,35,33,0,6,0,6,40,29,11,17,0,25,294,1191,542,649,121,53,47,2,195,533,5,28,12,173,0,69,1765,4644
Gujarat,Rajkot Rural,41,30,1,15,0,15,50,37,13,8,0,33,206,365,90,275,116,42,17,2,33,578,2,44,8,180,0,224,2387,4382
Gujarat,Surat Commr.,81,28,0,18,0,18,63,36,27,37,5,64,360,1503,1039,464,116,67,254,4,24,365,20,18,12,112,0,276,745,4172
Gujarat,Surat Rural,78,7,0,10,0,10,19,15,4,7,2,18,88,208,71,137,24,32,27,0,12,323,0,18,1,43,0,310,833,2060
Gujarat,Surendranagar,40,30,0,13,0,13,37,29,8,13,0,24,128,224,44,180,95,61,13,1,25,487,4,40,2,83,0,1,1816,3137
Gujarat,Vadodara Commr.,56,47,0,5,0,5,35,28,7,17,0,85,365,1040,586,454,340,44,112,1,334,353,0,9,7,80,0,113,4073,7116
Gujarat,Vadodara Rural,81,29,0,12,0,12,45,42,3,46,0,18,79,222,41,181,142,78,21,0,150,436,0,27,0,61,0,207,1723,3377
Gujarat,Valsad,39,14,0,3,0,3,21,16,5,15,0,18,259,398,130,268,53,51,27,2,13,279,0,12,0,32,0,0,1510,2746
Gujarat,W. Rly,21,7,0,3,0,3,9,7,2,4,0,83,20,842,2,840,13,9,4,0,0,56,0,4,0,5,0,0,207,1287
Gujarat,Total,1532,759,13,267,0,267,1015,807,208,804,12,1098,5327,15742,6195,9547,3665,1385,1457,46,1915,13531,62,750,104,3321,0,3258,50612,106675
Haryana,Ambala,25,18,7,15,0,15,21,18,3,0,4,11,251,331,123,208,4,18,64,2,10,258,7,17,0,122,0,0,987,2172
Haryana,Bhiwani,35,24,5,17,0,17,16,13,3,6,4,14,140,206,97,109,110,20,62,1,20,244,35,29,0,54,0,0,896,1938
Haryana,Faridabad,57,38,7,37,0,37,61,39,22,2,20,26,240,677,441,236,130,116,71,3,12,292,19,56,1122,92,0,10,3911,6999
Haryana,Fatehabad,16,21,5,7,0,7,22,15,7,0,7,18,105,156,64,92,15,5,44,3,7,222,9,22,5,54,0,1,482,1226
Haryana,GRP,25,1,2,1,0,1,0,0,0,1,2,3,2,203,34,169,6,0,6,1,0,12,14,1,58,0,0,8,424,770
Haryana,Gurgaon,66,50,15,27,0,27,50,36,14,9,9,46,301,772,440,332,71,41,42,3,23,280,11,35,57,128,0,9,1578,3623
Haryana,Hissar,52,49,2,15,0,15,24,21,3,3,28,28,211,402,255,147,23,18,122,0,8,339,28,31,4,96,0,4,1058,2545
Haryana,Jhajjar,41,25,3,18,0,18,14,12,2,2,4,18,94,198,90,108,55,43,34,3,0,172,14,39,37,115,0,102,487,1518
Haryana,Jind,33,13,12,19,0,19,15,9,6,1,9,9,100,134,77,57,75,61,33,2,7,180,11,10,12,57,0,1,531,1325
