Category,States/UTs/ Cities,Population (In Lakhs)@,Murder - I,Murder - R,Murder - P,Infanticide - I,Infanticide - R,Infanticide - P,Other Murder - I,Other Murder - R,Other Murder - P,Rape - I,Rape - R,Rape - P,Kidnapping & Abduction - I,Kidnapping & Abduction - R,Kidnapping & Abduction - P,Foeticide - I,Foeticide - R,Foeticide - P,Abetment of Suicide - I,Abetment of Suicide - R,Abetment of Suicide - P,Exposure and Abandonment - I,Exposure and Abandonment - R,Exposure and Abandonment - P,Procuration of Minor Girls - I,Procuration of Minor Girls - R,Procuration of Minor Girls - P,Buying of Girls for Prostitution - I,Buying of Girls for Prostitution - R,Buying of Girls for Prostitution - P,Selling of Girls for Prostitution - I,Selling of Girls for Prostitution - R,Selling of Girls for Prostitution - P,Child Marriage Restraint Act - I,Child Marriage Restraint Act - R,Child Marriage Restraint Act - P,Other Crimes - I,Other Crimes - R,Other Crimes - P,Total - I,Total - R,Total - P
State,Jharkhand,275.43,3,0,0.3,1,0,0.9,2,0,0.2,43,0.2,1.7,21,0.1,0.9,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,39,0.1,1.1,111,0.4,1.1
State,Karnataka,536.81,28,0.1,2.4,3,0,2.6,25,0,2.3,19,0,0.8,23,0,1,7,0,8.3,0,0,0,10,0,1.6,7,0,5.6,0,0,0,1,0,20,1,0,0.9,18,0,0.5,114,0.2,1.1
State,Kerala,322.7,64,0.2,5.4,1,0,0.9,63,0.2,5.9,186,0.6,7.3,65,0.2,2.8,2,0,2.4,0,0,0,9,0,1.4,6,0,4.8,0,0,0,0,0,0,6,0,5.3,68,0.2,2,406,1.3,3.9
State,Madhya Pradesh,620.72,94,0.2,7.9,18,0,15.7,76,0.1,7.1,517,0.8,20.4,154,0.2,6.6,4,0,4.8,1,0,4.2,91,0.1,14.1,5,0,4,0,0,0,1,0,20,2,0,1.8,1460,2.4,42.6,2329,3.8,22.2
State,Maharashtra,988.26,248,0.3,20.9,24,0,20.9,224,0.2,20.9,491,0.5,19.4,275,0.3,11.8,10,0,11.9,6,0,25,282,0.3,43.8,34,0,27.4,8,0,88.9,1,0,20,18,0,15.9,487,0.5,14.2,1860,1.9,17.8
State,Manipur,24.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,23.58,3,0.1,0.3,0,0,0,3,0.1,0.3,16,0.7,0.6,4,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0.2
State,Mizoram,9.1,0,0,0,0,0,0,0,0,0,2,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0
State,Nagaland,20.47,9,0.4,0.8,0,0,0,9,0.4,0.8,6,0.3,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8,0.2
State,Orissa,373.43,7,0,0.6,0,0,0,7,0,0.7,21,0.1,0.8,8,0,0.3,0,0,0,0,0,0,0,0,0,4,0,3.2,0,0,0,0,0,0,0,0,0,16,0,0.5,56,0.1,0.5
State,Punjab,247.71,13,0.1,1.1,0,0,0,13,0.1,1.2,52,0.2,2.1,62,0.3,2.7,10,0,11.9,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,1,0,0.9,18,0.1,0.5,161,0.6,1.5
State,Rajasthan,581.25,20,0,1.7,2,0,1.7,18,0,1.7,38,0.1,1.5,52,0.1,2.2,6,0,7.1,0,0,0,79,0.1,12.3,2,0,1.6,0,0,0,0,0,0,7,0,6.2,0,0,0,204,0.4,1.9
State,Sikkim,5.53,2,0.4,0.2,0,0,0,2,0.4,0.2,4,0.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.1,0.1
State,Tamil Nadu,629.43,45,0.1,3.8,16,0,13.9,29,0,2.7,29,0,1.1,29,0,1.2,0,0,0,0,0,0,5,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0.8,135,0.2,1.3
State,Tripura,32.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,1708.1,424,0.2,35.7,30,0,26.1,394,0.2,36.7,416,0.2,16.4,539,0.3,23.2,1,0,1.2,0,0,0,0,0,0,4,0,3.2,0,0,0,0,0,0,2,0,1.8,440,0.3,12.9,1826,1.1,17.4
State,Uttaranchal,86.76,7,0.1,0.6,0,0,0,7,0.1,0.7,8,0.1,0.3,3,0,0.1,0,0,0,0,0,0,0,0,0,9,0.1,7.3,0,0,0,0,0,0,0,0,0,0,0,0,27,0.3,0.3
State,West Bengal,817.07,4,0,0.3,0,0,0,4,0,0.4,16,0,0.6,94,0.1,4,0,0,0,0,0,0,0,0,0,14,0,11.3,0,0,0,1,0,20,0,0,0,46,0.1,1.3,175,0.2,1.7
State,Total (States),10335.15,1153,0.1,97.1,114,0,99.1,1039,0.1,96.8,2383,0.2,94.1,1869,0.2,80.5,64,0,76.2,22,0,91.7,607,0.1,94.3,124,0,100,9,0,100,5,0,100,113,0,100,3354,0.3,98,9703,0.9,92.7
Union Territory,A & N Islands,3.65,1,0.3,0.1,1,0.3,0.9,0,0,0,1,0.3,0,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.8,0
Union Territory,Chandigarh,9.32,3,0.3,0.3,0,0,0,3,0.3,0.3,6,0.6,0.2,22,2.4,0.9,0,0,0,1,0.1,4.2,8,0.9,1.2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0.3,49,5.3,0.5
Union Territory,D & N Haveli,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,143.83,29,0.2,2.4,0,0,0,29,0.2,2.7,138,1,5.5,426,3,18.3,20,0.1,23.8,0,0,0,29,0.2,4.5,0,0,0,0,0,0,0,0,0,0,0,0,55,0.4,1.6,697,4.8,6.7
Union Territory,Lakshadweep,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,9.91,2,0.2,0.2,0,0,0,2,0.2,0.2,4,0.4,0.2,4,0.4,0.2,0,0,0,1,0.1,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.6,0.2,17,1.7,0.2
Union Territory,Total (UTs),171.25,35,0.2,2.9,1,0,0.9,34,0.2,3.2,149,0.9,5.9,453,2.6,19.5,20,0.1,23.8,2,0,8.3,37,0.2,5.7,0,0,0,0,0,0,0,0,0,0,0,0,70,0.4,2,766,4.5,7.3
Total (All-India),Total (All-India),10506.4,1188,0.1,100,115,0,100,1073,0.1,100,2532,0.2,100,2322,0.2,100,84,0,100,24,0,100,644,0.1,100,124,0,100,9,0,100,5,0,100,113,0,100,3424,0.3,100,10469,1,100
City,Agra,13.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Ahmedabad,45.19,4,0.1,3.6,0,0,0,4,0.1,3.7,8,0.2,2.3,52,1.2,6.7,0,0,0,0,0,0,2,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,20,0.4,4.1,86,1.9,4.6
City,Allahabad,10.5,1,0.1,0.9,0,0,0,1,0.1,0.9,3,0.3,0.9,6,0.6,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0.5
City,Amritsar,10.11,3,0.3,2.7,0,0,0,3,0.3,2.8,1,0.1,0.3,19,1.9,2.4,8,0.8,26.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.5,1,36,3.6,1.9
City,Asansol,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Bangalore,56.87,2,0,1.8,0,0,0,2,0,1.9,3,0.1,0.9,2,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,0,0,0,0,0,0,8,0.1,0.4
City,Bhopal,14.55,2,0.1,1.8,0,0,0,2,0.1,1.9,14,1,4,4,0.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,50,1,0.1,20,0,0,0,22,1.5,1.2
City,Chennai,64.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Coimbatore,14.46,0,0,0,0,0,0,0,0,0,2,0.1,0.6,3,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.3,0.3
City,Delhi (City),127.91,25,0.2,22.5,0,0,0,25,0.2,23.4,109,0.9,31.2,391,3.1,50.3,20,0.2,66.7,0,0,0,28,0.2,32.6,0,0,0,0,0,0,0,0,0,0,0,0,52,0.4,10.7,625,4.9,33.4
City,Dhanbad,10.64,1,0.1,0.9,0,0,0,1,0.1,0.9,11,1,3.2,7,0.7,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.8,3.9,38,3.6,2
City,Faridabad,10.55,1,0.1,0.9,0,0,0,1,0.1,0.9,4,0.4,1.1,7,0.7,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.5,1,17,1.6,0.9
City,Hyderabad,55.34,0,0,0,0,0,0,0,0,0,20,0.4,5.7,2,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,23,0.4,1.2
City,Indore,16.39,0,0,0,0,0,0,0,0,0,7,0.4,2,1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,3.5,25,1.5,1.3
City,Jabalpur,11.17,1,0.1,0.9,0,0,0,1,0.1,0.9,1,0.1,0.3,2,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,6.8,15.6,80,7.2,4.3
City,Jaipur,23.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Jamshedpur,11.02,0,0,0,0,0,0,0,0,0,4,0.4,1.1,2,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5,0.3
City,Kanpur,26.9,4,0.1,3.6,0,0,0,4,0.1,3.7,4,0.1,1.1,3,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.4,0.6
City,Kochi,13.55,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,0,0,0,0,0,0,0,0,0,3,0.2,17.6,0,0,0,0,0,0,0,0,0,1,0.1,0.2,5,0.4,0.3
City,Kolkata,132.17,4,0,3.6,0,0,0,4,0,3.7,16,0.1,4.6,67,0.5,8.6,0,0,0,0,0,0,0,0,0,12,0.1,70.6,0,0,0,0,0,0,0,0,0,45,0.3,9.2,144,1.1,7.7
City,Lucknow,22.67,13,0.6,11.7,0,0,0,13,0.6,12.1,5,0.2,1.4,16,0.7,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.2,0.8,38,1.7,2
City,Ludhiana,13.95,4,0.3,3.6,0,0,0,4,0.3,3.7,14,1,4,46,3.3,5.9,1,0.1,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.6,1.6,73,5.2,3.9
City,Madurai,11.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Meerut,11.67,1,0.1,0.9,0,0,0,1,0.1,0.9,1,0.1,0.3,2,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,20,3,0.3,0.6,8,0.7,0.4
City,Mumbai,163.68,4,0,3.6,0,0,0,4,0,3.7,19,0.1,5.4,25,0.2,3.2,1,0,3.3,0,0,0,6,0,7,1,0,5.9,0,0,0,0,0,0,0,0,0,56,0.3,11.5,112,0.7,6
City,Nagpur,21.23,7,0.3,6.3,1,0,25,6,0.3,5.6,34,1.6,9.7,18,0.8,2.3,0,0,0,0,0,0,9,0.4,10.5,1,0,5.9,0,0,0,0,0,0,1,0,20,64,3,13.1,134,6.3,7.2
City,Nasik,11.52,2,0.2,1.8,0,0,0,2,0.2,1.9,6,0.5,1.7,11,1,1.4,0,0,0,0,0,0,8,0.7,9.3,0,0,0,0,0,0,0,0,0,1,0.1,20,0,0,0,28,2.4,1.5
City,Patna,17.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,0,0,0,0,0,0,1,0.1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.2,3,0.2,0.2
City,Pune,37.56,10,0.3,9,0,0,0,10,0.3,9.3,37,1,10.6,12,0.3,1.5,0,0,0,0,0,0,19,0.5,22.1,0,0,0,8,0.2,100,0,0,0,0,0,0,75,2,15.4,161,4.3,8.6
City,Rajkot,10.02,5,0.5,4.5,3,0.3,75,2,0.2,1.9,6,0.6,1.7,30,3,3.9,0,0,0,1,0.1,100,4,0.4,4.7,0,0,0,0,0,0,0,0,0,0,0,0,4,0.4,0.8,50,5,2.7
City,Surat,28.11,8,0.3,7.2,0,0,0,8,0.3,7.5,5,0.2,1.4,12,0.4,1.5,0,0,0,0,0,0,9,0.3,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1.2,1.8
City,Vadodara,14.92,2,0.1,1.8,0,0,0,2,0.1,1.9,3,0.2,0.9,10,0.7,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.3,1,20,1.3,1.1
City,Varanasi,12.12,4,0.3,3.6,0,0,0,4,0.3,3.7,5,0.4,1.4,21,1.7,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2.2,5.5,57,4.7,3
City,Vijayawada,10.11,1,0.1,0.9,0,0,0,1,0.1,0.9,7,0.7,2,4,0.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1.2,0.6
City,Vishakhapatnam,13.29,2,0.2,1.8,0,0,0,2,0.2,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.1
Total (Cities),Total (Cities),1078.8,111,0.1,100,4,0,100,107,0.1,100,349,0.3,100,777,0.7,100,30,0,100,1,0,100,86,0.1,100,17,0,100,8,0,100,2,0,100,5,0,100,487,0.5,100,1873,1.7,100
