Category,States/ UTs,Disposal of Cases under - Murder - CF,Disposal of Cases under - Murder - TR,Disposal of Cases under - Murder - TL,Disposal of Cases under - Attempt to Commit Murder - CF,Disposal of Cases under - Attempt to Commit Murder - TR,Disposal of Cases under - Attempt to Commit Murder - TL,Disposal of Cases under - C.H. not Amounting to Murder - CF,Disposal of Cases under - C.H. not Amounting to Murder - TR,Disposal of Cases under - C.H. not Amounting to Murder - TL,Disposal of Cases under - Rape - CF,Disposal of Cases under - Rape - TR,Disposal of Cases under - Rape - TL,Disposal of Cases under - Kidnapping & Abduction - CF,Disposal of Cases under - Kidnapping & Abduction - TR,Disposal of Cases under - Kidnapping & Abduction - TL,Disposal of Cases under - Women & Girls - CF,Disposal of Cases under - Women & Girls - TR,Disposal of Cases under - Women & Girls - TL,Disposal of Cases under - Others - CF,Disposal of Cases under - Others - TR,Disposal of Cases under - Others - TL,Disposal of Cases under - Dacoity - CF,Disposal of Cases under - Dacoity - TR,Disposal of Cases under - Dacoity - TL,Disposal of Cases under - Preparation & Assembly for Dacoity - CF,Disposal of Cases under - Preparation & Assembly for Dacoity - TR,Disposal of Cases under - Preparation & Assembly for Dacoity - TL,Disposal of Cases under - Robbery - CF,Disposal of Cases under - Robbery - TR,Disposal of Cases under - Robbery - TL,Disposal of Cases under - Riots - CF,Disposal of Cases under - Riots - TR,Disposal of Cases under - Riots - TL,Disposal of Cases under - Arson - CF,Disposal of Cases under - Arson - TR,Disposal of Cases under - Arson - TL,Disposal of Cases under - Dowry Deaths - CF,Disposal of Cases under - Dowry Deaths - TR,Disposal of Cases under - Dowry Deaths - TL,Disposal of Cases under - Total - CF,Disposal of Cases under - Total - TR,Disposal of Cases under - Total - TL
State,Orissa,0,757,757,0,757,757,0,37,37,0,473,473,0,320,320,0,315,315,0,5,5,0,195,195,0,17,17,0,615,615,0,881,881,0,218,218,0,170,170,0,4440,4440
State,Punjab,0,750,750,0,576,576,0,59,59,0,261,261,0,153,153,0,110,110,0,43,43,0,16,16,0,53,53,0,34,34,0,0,0,0,44,44,0,138,138,0,2084,2084
State,Rajasthan,0,1421,1421,0,2313,2313,0,66,66,0,1033,1033,5,1061,1066,5,792,797,0,269,269,0,117,117,0,17,17,0,635,635,54,9223,9277,0,518,518,1,327,328,60,16731,16791
State,Sikkim,3,10,13,2,6,8,0,3,3,0,8,8,2,6,8,2,0,2,0,6,6,0,2,2,0,0,0,0,3,3,0,24,24,0,1,1,0,0,0,7,63,70
State,Tamil Nadu,29,1840,1869,51,1734,1785,0,17,17,17,428,445,20,519,539,14,415,429,6,104,110,5,98,103,0,6,6,12,527,539,257,4036,4293,32,495,527,4,209,213,427,9909,10336
State,Tripura,0,170,170,0,25,25,0,0,0,0,66,66,0,124,124,0,11,11,0,113,113,0,18,18,0,0,0,0,33,33,0,121,121,0,15,15,0,16,16,0,588,588
State,Uttar Pradesh,0,6811,6811,0,6372,6372,0,1247,1247,0,1475,1475,0,2440,2440,0,1693,1693,0,747,747,0,884,884,0,147,147,4,2300,2304,24,4235,4259,1,550,551,0,1831,1831,29,28292,28321
State,Uttaranchal,0,229,229,0,203,203,0,43,43,0,67,67,0,98,98,0,83,83,0,15,15,0,21,21,0,0,0,0,79,79,48,107,155,0,17,17,0,49,49,48,913,961
State,West Bengal,0,670,670,0,305,305,0,391,391,0,436,436,0,580,580,0,441,441,0,139,139,0,131,131,0,241,241,0,304,304,0,2580,2580,0,63,63,0,270,270,0,5971,5971
State,Total (States),782,26639,27421,566,23746,24312,34,2762,2796,638,12336,12974,130,10314,10444,106,7145,7251,24,3169,3193,80,4053,4133,8,1050,1058,121,9789,9910,1176,46600,47776,81,4938,5019,57,5402,5459,3673,147629,151302
Union Territory,A & N Islands,0,8,8,0,2,2,0,1,1,0,3,3,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,4,4,0,1,1,0,0,0,0,23,23
Union Territory,Chandigarh,0,9,9,0,16,16,0,6,6,0,6,6,0,21,21,0,16,16,0,5,5,0,0,0,0,0,0,0,14,14,0,46,46,0,1,1,0,4,4,0,123,123
Union Territory,D & N Haveli,0,14,14,0,5,5,0,0,0,0,14,14,0,4,4,0,1,1,0,3,3,0,0,0,0,0,0,0,3,3,0,26,26,0,1,1,0,0,0,0,67,67
Union Territory,Daman & Diu,0,4,4,0,2,2,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,19,19
Union Territory,Delhi,0,450,450,0,138,138,0,24,24,0,442,442,0,112,112,0,76,76,0,36,36,0,230,230,0,10,10,0,372,372,0,59,59,0,3,3,0,27,27,0,1867,1867
Union Territory,Lakshadweep,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,4
Union Territory,Puducherry,0,10,10,0,15,15,0,5,5,0,3,3,0,6,6,0,5,5,0,1,1,0,1,1,0,0,0,0,3,3,118,139,257,0,5,5,0,2,2,118,189,307
Union Territory,Total (UTs),0,496,496,0,178,178,0,36,36,0,469,469,0,147,147,0,102,102,0,45,45,0,231,231,0,10,10,0,394,394,118,287,405,0,11,11,0,33,33,118,2292,2410
Total (All-India),Total (All-India),782,27135,27917,566,23924,24490,34,2798,2832,638,12805,13443,130,10461,10591,106,7247,7353,24,3214,3238,80,4284,4364,8,1060,1068,121,10183,10304,1294,46887,48181,81,4949,5030,57,5435,5492,3791,149921,153712
