SL. No.,Category,States/U.Ts/Cities,Murder - 1971,Murder  - 1972,Murder - Percentage Variation,Kidnapping & Abduction - 1971,Kidnapping & Abduction  - 1972,Kidnapping & Abduction - Percentage Variation,Dacoity - 1971,Dacoity  - 1972,Dacoity - Perentage Variation,Robbery - 1971,Robbery  - 1972,Robbery - Percentage Variation,House Breaking - 1971,House Breaking - 1972,House Breaking - Percentage Variation,Thefts - 1971,Thefts  - 1972,Thefts - Percentage Variation,Riots - 1971,Riots  - 1972,Riots - Percentage Variation,Criminal Breach of Trust - 1971,Criminal Breach of Trust  - 1972,Criminal Breach of Trust - Percentage Variation,Cheating - 1971,Cheating  - 1972,Cheating - Percentage Variation,Counterfeiting - 1971,Counterfeiting  - 1972,Counterfeiting - Percentage Variation,Total Cognizable Crime - 1971,Total Cognizable Crime  - 1972,Total Cognizable Crime - Percentage Variation
16,State,Punjab,604,597,-1.15,289,288,-0.34,6,4,-33.33,29,34,17.24,1387,1590,14.64,2472,2700,9.22,31,52,67.74,367,433,17.98,234,243,3.85,6,6,NA,11433,12111,5.93
17,State,Rajasthan,555,590,6.3,1164,1221,4.89,100,160,60,956,973,1.78,6319,6878,8.85,8924,9678,8.44,4045,4627,14.39,720,707,-1.8,715,738,3.22,9,8,-11.12,36743,39204,6.7
18,State,Tamil Nadu,785,952,21.27,211,224,6.16,22,40,81.81,124,111,-10.48,6996,7266,3.86,18959,20285,6.99,4023,5183,28.83,1078,1016,-5.75,527,601,14.04,152,102,-32.89,59616,71050,19.18
19,State,Tripura,45,46,2.22,12,24,100,43,41,-4.65,30,56,86.67,307,526,71.33,995,1286,29.24,286,250,-12.58,28,26,-7.14,29,125,331.03,NA,NA,NA,1785,2383,33.5
20,State,Uttar Pradesh,3572,3701,3.61,3063,2752,-10.15,6004,4909,-18.23,10049,8148,-18.91,52773,48459,-8.17,93407,87061,-6.79,14561,12398,-14.85,7071,6587,-6.84,2637,2533,-3.94,41,49,19.51,236328,217731,-7.86
21,State,West Bengal,1851,781,-57.8,792,769,-2.9,1496,1461,-2.33,1131,1127,-0.35,9521,9897,3.94,27498,30900,12.37,11799,9488,-19.58,1129,1619,43.4,763,1065,39.58,21,23,9.52,78546,77855,-0.87
Total (States),State,Total (States),16018,15303,-4.46,9169,8855,-3.42,11176,10378,-7.14,18051,16654,-7.73,162275,163032,0.47,316673,326057,2.96,63742,65155,2.21,19527,20226,3.57,10736,11834,10.22,686,593,-2.14,918685,947358,3.12
22,UT,A & N Islands,12,5,-58.33,1,1,NA,NA,NA,NA,2,2,NA,50,43,-14,99,59,-40.4,16,11,-31.25,7,14,100,1,NA,NA,NA,NA,NA,370,322,-12.97
23,UT,Chandigarh,7,7,NA,11,8,-27.27,NA,NA,NA,1,2,100,116,113,-2.58,748,676,-9.62,5,4,-20,51,26,-49.01,36,29,-19.44,NA,NA,NA,1251,1156,-7.59
24,UT,D & N Haveli,3,6,100,NA,4,NA,NA,1,NA,NA,2,NA,33,37,12.12,27,42,55.55,1,3,200,3,4,33.33,NA,2,NA,NA,NA,NA,84,101,20.23
25,UT,Delhi,113,132,16.81,453,523,15.45,14,27,92.85,329,378,14.86,2833,3329,17.5,16735,18720,11.86,240,447,86.25,587,658,12.09,595,737,23.87,30,70,133.33,29236,32589,11.47
26,UT,Goa,18,15,-16.67,6,6,NA,2,5,150,17,14,-17.64,349,333,-4.58,379,364,-3.95,16,37,131.25,42,38,-9.52,28,19,-32.14,1,5,400,1219,1321,8.37
27,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,-33.33,5,4,-20,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,19,18,-5.26
28,UT,Pondicherry,9,7,-22.22,7,5,-28.57,1,NA,NA,2,2,NA,145,171,17.93,538,460,-14.49,94,124,31.91,53,38,-28.3,14,25,78.57,4,2,-50,1717,1908,11.12
Total (UTs),UT,Total (UTs),162,172,6.17,478,547,14.43,17,33,94.11,351,400,13.96,3532,4030,14.09,18531,20325,9.68,372,626,68.28,743,778,4.71,676,812,20.12,35,77,120,33896,37415,10.38
Total (All-India),Total (All-India),Total (All-India),16180,15475,-4.35,9647,9402,-2.53,11193,10411,-6.98,18402,17054,-7.32,165807,167062,0.75,335204,346382,3.33,64114,65781,2.6,20270,21004,3.62,11412,12646,1.08,641,670,4.52,952581,984773,3.38
1,City,Ahmedabad,31,35,12.9,39,42,7.69,5,3,-40,11,12,9.09,284,315,10.91,1145,1000,-12.66,51,78,52.94,72,76,5.55,112,122,8.92,3,22,633.33,3060,3212,4.97
2,City,Bangalore,22,26,18.18,12,11,-8.33,NA,NA,NA,20,11,-45,1714,1285,-25.02,4307,4041,-6.17,59,70,18.64,196,148,-24.48,292,297,1.71,47,6,-87.23,8961,7555,-15.69
3,City,Bombay,131,160,22.313,180,167,-7.22,30,23,-23.33,203,249,22.66,1866,1882,0.85,12758,13215,3.58,290,214,-26.2,1003,1502,4.89,729,626,-14.12,39,86,120.51,25066,25970,3.61
4,City,Calcutta,285,51,-82.1,118,113,-4.23,40,20,-50,112,61,-45.53,761,853,12.08,4225,4726,11.86,1143,661,-42.16,354,459,29.66,225,330,46.67,5,3,-40,10911,9793,-10.24
5,City,Delhi,94,99,5.32,407,467,14.74,9,16,77.77,293,341,16.38,2346,2807,19.65,16051,17812,10.97,203,388,91.13,553,631,14.1,544,701,28.86,28,70,150,26933,30054,11.59
6,City,Hyderabad,16,22,37.5,26,30,15.38,3,4,33.33,28,23,-17.85,743,785,5.65,2041,2271,11.27,54,43,20.37,95,98,3.16,140,133,-5,NA,NA,NA,3794,4089,7.78
7,City,Kanpur,54,55,1.85,117,149,27.35,28,35,25,200,210,5,1771,1387,-21.68,4479,4487,0.17,235,214,-9.93,782,719,-8.05,294,283,-3.74,5,2,-60,9659,10104,4.61
8,City,Madras,20,29,45,18,13,-27.77,NA,3,NA,17,14,-17.64,125,472,277.6,3700,5019,35.64,210,205,-2.38,400,380,-5,235,244,3.83,38,24,-36.84,7205,13015,80.64
Total (Cities),City,Total (Cities),653,477,-26.95,977,992,1.53,115,104,-9.56,884,921,4.18,9610,9786,1.83,48706,52571,7.93,2245,1873,-16.57,3455,3563,3.12,2571,2736,6.42,165,213,29.09,95589,103792,8.58
