SL.No.,States/U.Ts.,District,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
9,Bihar,Darbhanga,68,16,9,33,118,38,1519,1500,1335,86,25,5,6227
10,Bihar,Bhagalpur,81,9,12,28,228,105,1346,1040,612,78,27,NA,4566
11,Bihar,Saharsa,51,7,12,7,109,57,1105,659,482,33,9,NA,3039
12,Bihar,Monghyr,33,12,6,33,98,67,861,937,559,68,32,2,3643
13,Bihar,Begusarai,39,9,5,33,98,47,683,578,576,33,6,NA,2574
14,Bihar,Purnea,73,13,32,35,248,189,1758,1404,890,87,44,1,6021
15,Bihar,Sahebganj,42,13,12,9,86,25,476,396,132,24,9,NA,1586
16,Bihar,Dumka,48,14,11,12,89,30,861,579,163,27,6,2,2252
17,Bihar,Hazaribagh,55,2,10,21,48,69,597,1083,280,58,25,4,3073
18,Bihar,Giridih,27,7,6,5,39,30,446,421,133,36,13,1,1512
19,Bihar,Palamau,67,5,11,20,48,38,413,502,232,28,13,NA,1998
20,Bihar,Ranchi,170,13,21,38,56,110,945,1333,470,80,44,NA,4730
21,Bihar,Dhanbad,44,11,20,27,108,96,762,1914,412,86,32,NA,4860
22,Bihar,Singhbhum,82,8,8,22,65,33,545,858,82,42,12,NA,2372
23,Bihar,Jamshedpur,27,NA,10,14,9,24,176,713,129,21,5,7,1638
24,Bihar,N.E. & N.F.Rlys.,2,NA,4,6,10,27,37,829,50,30,8,NA,1085
25,Bihar,E. & S.E.Rlys.,8,5,4,12,13,36,65,2118,51,65,11,NA,2525
1,Gujarat,Gandhinagar,2,NA,2,6,1,1,51,88,5,13,3,NA,434
2,Gujarat,Ahmedabad Rural,39,NA,4,9,10,51,181,446,23,30,6,NA,1701
3,Gujarat,Baroda City,19,NA,4,15,1,11,186,973,38,60,38,1,2621
4,Gujarat,Baroda Rural,70,2,1,8,5,13,113,430,12,32,12,NA,1530
5,Gujarat,Broach,40,NA,3,4,1,5,107,246,21,21,10,NA,1044
6,Gujarat,Kaira,69,NA,8,15,3,18,401,889,47,88,49,4,3369
7,Gujarat,Panchamahal,68,1,NA,11,12,63,285,478,33,31,13,1,1894
8,Gujarat,Sabarkantha,14,NA,NA,5,2,8,165,303,15,34,3,4,1026
9,Gujarat,Surat,52,NA,1,12,4,20,312,767,36,69,30,NA,2336
10,Gujarat,Bulsar,24,2,1,7,11,10,305,435,49,40,22,NA,1649
11,Gujarat,Amreli,32,NA,2,6,4,12,81,256,8,17,13,NA,794
12,Gujarat,Banaskantha,25,NA,1,10,2,33,170,534,39,89,23,8,1520
13,Gujarat,Bhavnagar,27,1,5,12,1,31,231,482,27,34,26,NA,1499
14,Gujarat,Jamnagar,30,NA,NA,18,3,25,155,402,17,22,26,NA,1341
15,Gujarat,Junagadh,38,NA,6,16,1,38,229,550,31,57,30,NA,2007
16,Gujarat,Kutch,22,NA,2,4,3,22,113,275,9,34,16,1,844
17,Gujarat,Meshana,40,NA,NA,13,4,32,277,1116,72,68,24,NA,2915
18,Gujarat,Rajkot,31,NA,7,15,4,13,189,735,40,46,28,NA,2321
19,Gujarat,Surendranagar,24,NA,2,12,1,12,151,348,18,25,11,NA,1136
1,Haryana,Hissar,43,30,15,31,NA,1,248,526,2,76,27,NA,1821
2,Haryana,Rohtak,39,10,10,25,2,3,360,541,53,60,30,NA,1853
3,Haryana,Gurgaon,20,16,9,20,3,4,347,581,16,35,28,NA,1724
4,Haryana,Karnala,36,23,13,23,NA,2,336,493,5,45,24,NA,1657
5,Haryana,Ambala,18,4,10,24,2,3,147,419,11,32,25,NA,1196
6,Haryana,Narnaul,6,4,1,1,NA,NA,80,112,5,13,11,NA,404
7,Haryana,Jind,13,3,1,5,2,2,98,136,1,20,4,2,2449
1,Himachal Pradesh,Simla,6,1,4,9,1,3,83,123,14,26,20,NA,290
2,Himachal Pradesh,Mandi,7,NA,3,6,NA,5,79,88,27,20,14,NA,249
3,Himachal Pradesh,Chamba,1,1,2,3,NA,1,32,36,8,10,3,NA,97
4,Himachal Pradesh,Sirmur,5,6,2,4,NA,NA,48,53,1,13,9,NA,141
5,Himachal Pradesh,Bilaspur,2,NA,NA,4,NA,9,23,42,26,7,4,NA,117
6,Himachal Pradesh,Kinnaur,1,NA,NA,1,NA,2,15,17,4,2,NA,NA,42
7,Himachal Pradesh,Solan,4,1,NA,7,NA,2,48,50,14,12,6,NA,144
8,Himachal Pradesh,Kangra,11,4,3,16,1,3,59,98,11,12,15,NA,233
9,Himachal Pradesh,Una,2,NA,1,NA,NA,1,14,27,NA,1,8,NA,54
10,Himachal Pradesh,Hamirpur,3,2,2,2,NA,1,21,23,5,4,3,NA,66
11,Himachal Pradesh,Kulu,3,NA,NA,6,NA,NA,22,18,5,9,6,NA,69
12,Himachal Pradesh,Lahaul & Spiti,1,NA,NA,NA,NA,NA,7,2,NA,2,NA,NA,12
13,Himachal Pradesh,Railway & Traffic,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,10
1,Jammu and Kashmir,Anantnagh,10,NA,1,21,2,NA,62,63,61,4,6,NA,787
2,Jammu and Kashmir,Baramulla,19,1,2,29,NA,1,82,170,123,9,5,NA,727
3,Jammu and Kashmir,Leh,1,NA,1,1,NA,NA,10,16,12,NA,NA,NA,111
4,Jammu and Kashmir,Srinagar,3,1,4,30,NA,3,234,258,130,7,10,NA,1376
5,Jammu and Kashmir,Doda,5,NA,1,32,NA,NA,22,38,44,2,3,NA,310
6,Jammu and Kashmir,Jammu,12,2,4,26,3,3,211,316,67,27,15,NA,1415
7,Jammu and Kashmir,Kathua,3,1,1,16,1,1,41,72,48,9,1,NA,401
8,Jammu and Kashmir,Poonch,2,1,2,9,NA,2,15,22,29,12,3,NA,168
9,Jammu and Kashmir,Rajauri,5,NA,2,12,2,1,33,39,54,1,3,2,296
10,Jammu and Kashmir,Udhampur,14,NA,8,19,1,NA,81,92,18,3,4,NA,430
1,Karnataka,Bangalore District,21,NA,1,4,NA,2,306,336,82,17,15,1,1597
2,Karnataka,Kolar,30,NA,1,11,2,5,346,287,164,15,37,NA,1464
3,Karnataka,K.G.F.,2,1,NA,3,NA,2,121,170,10,10,13,NA,511
4,Karnataka,Tumkur,24,NA,1,9,5,1,305,459,190,40,21,NA,1804
5,Karnataka,Chitradurga,17,NA,2,2,9,9,165,238,111,31,6,NA,1126
6,Karnataka,Bellary,14,2,4,3,3,3,161,277,116,23,19,NA,1049
7,Karnataka,Mysore,26,NA,NA,9,1,8,679,1107,154,48,85,7,3174
8,Karnataka,Mandya,10,NA,4,2,NA,5,228,261,46,26,13,3,1210
9,Karnataka,Hassan,14,NA,1,3,NA,2,232,229,101,25,21,2,1355
10,Karnataka,Chickmagalur,11,NA,NA,1,NA,4,210,239,38,10,10,1,898
11,Karnataka,Shimoga,16,NA,3,16,3,6,421,469,168,35,33,6,1974
12,Karnataka,Coorg,26,NA,3,2,4,2,168,148,19,19,6,3,801
13,Karnataka,South Kanara,38,NA,5,14,5,1,253,255,241,22,22,16,2089
14,Karnataka,Belgaum,108,NA,1,1,2,4,247,347,46,35,12,1,1652
15,Karnataka,Bijapur,74,NA,1,3,4,7,194,220,115,19,8,NA,1185
16,Karnataka,Dharwar,54,NA,1,6,9,10,319,444,85,48,14,1,1910
17,Karnataka,North Kanara,15,NA,NA,1,2,6,264,193,49,23,12,2,1132
18,Karnataka,Bidar,30,1,NA,10,23,29,144,278,106,10,8,NA,1000
19,Karnataka,Gulbarga,70,1,2,5,21,22,276,381,479,25,13,NA,1969
20,Karnataka,Raichur,54,1,2,1,9,4,144,181,135,41,11,1,1008
21,Karnataka,Railway Police,2,NA,NA,NA,4,NA,22,194,7,3,15,NA,360
1,Kerala,Trivandrum,51,NA,3,10,7,25,895,1111,523,52,33,4,5918
2,Kerala,Quilon,51,NA,3,10,2,18,344,417,623,29,32,2,3822
3,Kerala,Alleppey,33,1,1,1,4,20,353,341,619,29,46,7,3574
4,Kerala,Kottayam,55,NA,1,8,2,23,339,317,280,24,10,2,2361
5,Kerala,Idikki,39,NA,5,4,3,9,188,168,168,13,2,1,1291
6,Kerala,Ernakulam,34,NA,7,7,4,12,605,713,503,53,46,12,4197
7,Kerala,Trichur,38,2,2,7,NA,8,236,257,336,20,8,7,2279
8,Kerala,Malappuram,23,NA,3,6,8,8,206,198,315,26,10,3,1927
9,Kerala,Palghat,32,NA,2,9,2,5,291,275,254,32,12,4,1970
10,Kerala,Kozhikode,46,NA,4,12,3,15,454,575,470,44,20,18,3909
11,Kerala,Cannanore,37,1,7,13,6,13,394,343,1009,39,15,12,3925
12,Kerala,Railways District,NA,NA,NA,NA,NA,1,NA,118,3,NA,NA,1,165
13,Kerala,Crime Branch CID,9,2,NA,NA,1,NA,8,9,4,NA,12,20,104
1,Madhya Pradesh,Gwalior,48,2,9,53,19,38,499,999,122,14,32,1,2761
2,Madhya Pradesh,Bhind,41,NA,2,27,12,25,286,627,69,12,11,NA,1680
3,Madhya Pradesh,Morena,46,NA,5,43,25,43,267,509,102,16,17,2,1838
4,Madhya Pradesh,Shivpuri,35,NA,7,34,13,32,205,328,61,17,17,NA,1265
5,Madhya Pradesh,Guna,33,NA,19,1,28,30,267,499,78,25,9,NA,1685
6,Madhya Pradesh,Datiya,12,NA,3,15,8,8,129,190,16,9,8,NA,624
7,Madhya Pradesh,Indore,41,2,11,25,6,51,756,2068,158,50,68,1,5480
8,Madhya Pradesh,Ujjain,35,2,13,30,5,66,815,2038,106,25,60,NA,4727
9,Madhya Pradesh,Mandsaur,21,1,4,32,3,52,647,800,90,62,26,1,2700
10,Madhya Pradesh,Ratlam,24,NA,4,15,1,32,329,721,40,39,26,1,1786
11,Madhya Pradesh,Dhar,58,NA,17,11,6,39,235,889,31,22,14,NA,2137
12,Madhya Pradesh,Devas,21,NA,16,15,NA,10,299,522,46,12,22,NA,1523
13,Madhya Pradesh,Jhabua,146,NA,16,70,44,90,349,852,14,16,22,NA,2456
14,Madhya Pradesh,Khargoan,76,NA,12,25,3,28,538,1336,106,30,15,NA,3197
15,Madhya Pradesh,Khandwa,17,NA,4,11,1,14,281,644,43,23,9,1,1617
16,Madhya Pradesh,Jabalpur,60,NA,23,31,5,30,873,1632,112,37,93,1,6423
17,Madhya Pradesh,Mandla,23,NA,9,8,NA,3,293,449,30,13,27,NA,1238
18,Madhya Pradesh,Chhindwara,27,1,14,5,4,15,382,668,16,17,22,1,2058
19,Madhya Pradesh,Balaghat,29,1,14,13,1,1,339,736,23,20,22,NA,1824
20,Madhya Pradesh,Sivni,20,NA,13,9,1,13,374,617,40,12,20,1,1560
21,Madhya Pradesh,Narsinghpur,18,NA,6,4,2,11,192,400,8,19,9,NA,1033
22,Madhya Pradesh,Saugar,47,NA,28,17,16,34,369,445,90,12,26,NA,2430
23,Madhya Pradesh,Panna,11,NA,1,6,5,7,121,117,16,10,12,NA,491
24,Madhya Pradesh,Damoh,20,NA,9,14,2,10,169,221,40,7,12,NA,1041
25,Madhya Pradesh,Chhatarpur,36,NA,7,26,27,50,262,256,47,9,10,NA,1219
26,Madhya Pradesh,Tikamgarh,19,NA,10,12,35,55,213,235,71,16,13,NA,1342
27,Madhya Pradesh,Raipur,54,NA,21,12,5,32,1030,1749,73,79,65,3,4261
28,Madhya Pradesh,Durg,48,NA,26,24,2,23,651,2170,73,72,119,1,5154
29,Madhya Pradesh,Baster,125,NA,7,8,8,21,530,929,49,31,57,NA,2441
30,Madhya Pradesh,Bilaspur,88,NA,13,8,11,39,995,1452,78,38,30,NA,3751
31,Madhya Pradesh,Raigarh,40,1,3,9,4,5,277,763,37,32,42,2,1861
32,Madhya Pradesh,Sarguja,70,1,10,8,5,18,680,827,53,17,34,1,2296
33,Madhya Pradesh,Reeva,20,NA,5,9,13,23,494,521,64,22,29,NA,1752
34,Madhya Pradesh,Satna,20,1,7,16,24,36,411,608,94,9,38,2,1901
35,Madhya Pradesh,Sidhi,18,NA,2,5,3,3,222,270,14,2,7,1,767
36,Madhya Pradesh,Shahdol,26,NA,4,4,5,9,404,293,49,6,10,NA,1167
37,Madhya Pradesh,Sehore,30,NA,14,11,5,18,323,443,55,9,16,NA,1485
38,Madhya Pradesh,Raisain,16,1,7,2,8,14,202,344,37,7,8,NA,1026
39,Madhya Pradesh,Hoshangabad,22,NA,12,9,1,21,340,554,39,29,14,NA,1653
40,Madhya Pradesh,Betul,44,NA,7,7,3,9,274,354,14,7,13,1,1145
41,Madhya Pradesh,Vidisha,14,NA,6,7,6,14,223,354,42,8,8,NA,1221
42,Madhya Pradesh,Shajapur,34,1,8,7,3,18,308,509,46,10,10,NA,1511
43,Madhya Pradesh,Rajgarh,21,10,4,10,4,25,375,561,43,14,17,NA,1659
44,Madhya Pradesh,Bhopal Nagar,18,1,7,29,1,13,408,1009,43,39,54,1,2759
45,Madhya Pradesh,Sha. A. Pu. Jabalpur,4,NA,2,1,1,11,45,592,NA,6,6,NA,738
46,Madhya Pradesh,Railway Police Raipur,6,1,NA,1,NA,6,69,393,4,4,5,1,736
47,Madhya Pradesh,Railway Police Indore,4,NA,2,2,3,7,30,517,2,5,8,NA,659
1,Maharashtra,Thana,108,2,12,22,24,161,1450,2629,242,133,92,5,6838
2,Maharashtra,Kolaba,35,1,4,12,19,29,526,801,173,51,11,NA,2269
3,Maharashtra,Ahmednagar,46,NA,6,17,37,119,436,954,102,95,33,NA,2668
4,Maharashtra,Nasik,54,1,6,15,10,23,496,902,53,181,39,NA,2799
5,Maharashtra,Dhulia,71,NA,3,9,7,25,200,529,70,95,21,1,1689
6,Maharashtra,Jalgaon,26,NA,1,5,13,44,339,871,48,74,18,1,2158
7,Maharashtra,Ratnagiri,26,NA,3,1,5,25,311,322,19,55,6,NA,1177
8,Maharashtra,Poona Rural,53,3,9,9,23,68,527,906,108,69,16,1,2585
9,Maharashtra,Satara,39,NA,2,9,7,29,387,701,35,61,17,NA,1774
10,Maharashtra,Sangli,55,2,2,9,4,26,290,645,33,63,14,NA,1600
11,Maharashtra,Sholapur,66,4,6,8,13,59,268,641,81,110,77,NA,1985
12,Maharashtra,Kolhapur,52,NA,2,2,1,17,257,583,71,84,18,1,1548
13,Maharashtra,Aurangabad,37,NA,13,31,45,167,823,1613,79,85,39,NA,4021
14,Maharashtra,Parbhani,58,2,13,14,43,114,375,803,78,49,22,NA,2127
15,Maharashtra,Bhir,42,2,4,21,34,145,355,828,72,53,29,NA,2218
16,Maharashtra,Nanded,52,1,8,18,25,95,346,665,62,113,15,NA,1972
17,Maharashtra,Osmanabad,56,3,8,18,55,151,547,1046,110,54,16,NA,2748
18,Maharashtra,Buldana,26,1,5,10,10,25,426,1141,21,72,17,NA,2388
19,Maharashtra,Akola,30,3,7,13,7,36,704,2060,44,75,37,1,4187
20,Maharashtra,Amravati,41,NA,13,13,7,51,832,2184,47,67,65,NA,4593
21,Maharashtra,Yeotmal,25,NA,9,11,7,33,417,1124,71,33,30,NA,2761
22,Maharashtra,Wardha,22,NA,10,9,2,27,353,665,31,32,14,NA,1655
23,Maharashtra,Nagpur Rural,24,NA,5,3,1,17,393,598,31,26,10,NA,1692
24,Maharashtra,Bhandara,44,1,19,14,1,13,610,950,14,78,31,NA,2628
25,Maharashtra,Chanda,37,2,12,21,6,29,401,733,30,124,35,1,2138
26,Maharashtra,C.S. & W. Rlys. Poona,11,1,1,7,10,60,25,2315,30,40,59,1,2752
27,Maharashtra,C.S.E.& W. Rlys. Nagpur,1,NA,NA,2,1,13,22,787,2,7,12,NA,914
28,Maharashtra,Poona City,41,1,17,47,1,45,802,2995,96,139,288,3,6591
29,Maharashtra,Nagpur City,20,NA,9,19,5,46,650,2242,32,92,121,7,4337
30,Maharashtra,Greater Bombay,160,3,29,167,23,249,1882,13215,214,1052,626,86,25970
1,Manipur,Central District,12,2,7,151,12,8,148,334,140,50,85,NA,1608
2,Manipur,East District,2,NA,NA,NA,3,NA,5,4,6,2,2,NA,38
3,Manipur,North District,4,NA,NA,8,5,2,16,44,14,NA,4,NA,146
4,Manipur,West District,2,NA,NA,2,2,1,4,4,14,2,NA,NA,42
5,Manipur,South District,NA,NA,1,3,NA,9,7,29,2,2,3,NA,86
1,Meghalaya,Khasi Hills,30,NA,4,19,5,12,51,238,17,7,8,NA,720
2,Meghalaya,Garo Hills,11,NA,NA,3,NA,1,59,85,14,3,1,1,286
3,Meghalaya,Jaintia Hills,11,NA,NA,NA,NA,NA,7,19,2,3,2,NA,99
1,Nagaland,Kohima,10,NA,8,9,12,25,73,368,20,34,39,NA,598
2,Nagaland,Mokokchung & Tuensang,16,12,2,4,5,19,57,137,11,23,15,NA,301
1,Orissa,Balasore,18,4,7,11,26,39,539,862,132,38,21,2,2224
2,Orissa,Cuttack,37,1,2,12,18,45,1049,2004,286,107,35,4,4768
3,Orissa,Ganjam,41,7,NA,3,4,22,414,890,191,49,48,NA,2435
4,Orissa,Koraput,79,9,7,6,9,34,520,893,76,39,37,NA,2485
5,Orissa,Puri,23,4,8,10,9,13,899,2551,360,90,26,NA,5143
6,Orissa,Sambalpur,47,5,7,4,4,24,617,997,161,45,33,1,2721
7,Orissa,Dhenkanal,22,5,NA,3,3,23,380,739,86,25,7,NA,1685
8,Orissa,Sundergarh,28,2,3,2,12,16,311,499,54,15,20,NA,1377
9,Orissa,Bolangir,18,4,2,6,NA,14,263,515,66,25,15,NA,1263
10,Orissa,Keonjhar,35,2,2,3,1,8,410,541,54,33,53,NA,1558
11,Orissa,Phulbani,23,2,NA,1,NA,4,167,327,37,15,19,NA,859
12,Orissa,Mayurbhanj,43,5,5,4,22,17,473,761,54,44,12,NA,1964
13,Orissa,Kalahandi,18,4,1,6,2,16,240,438,97,35,24,NA,1347
14,Orissa,Rourkela,7,1,8,2,1,25,174,573,64,39,11,1,1275
15,Orissa,Govt. Rly. Police,3,NA,NA,NA,2,13,61,707,28,3,4,NA,879
1,Punjab,Hoshiarpur,26,8,3,13,NA,2,101,121,2,33,18,NA,715
2,Punjab,Jullundhur,55,20,10,37,NA,4,202,399,2,71,55,NA,1550
3,Punjab,Ludhiana,52,18,7,31,NA,2,148,387,11,51,25,NA,1371
4,Punjab,Kapurthala,14,3,3,10,NA,1,57,114,4,16,12,NA,411
5,Punjab,Amritsar,110,28,13,40,2,13,235,394,10,67,38,2,2027
6,Punjab,Ferozpur,68,16,4,11,NA,NA,90,176,4,16,14,3,797
7,Punjab,Gurdaspur,35,27,9,27,NA,1,122,203,4,34,11,NA,997
8,Punjab,Patiala,42,7,6,51,NA,3,226,407,8,54,34,NA,1442
9,Punjab,Sangrur,44,22,6,20,1,1,124,179,1,30,17,NA,828
10,Punjab,Bhatinda,76,3,13,23,NA,5,110,144,1,27,7,NA,824
11,Punjab,Faridkot,60,8,9,15,1,2,112,114,2,21,3,1,824
12,Punjab,Ropar,15,1,2,10,NA,NA,63,62,3,13,9,NA,325
1,Rajasthan,Ajmer,16,2,4,55,3,26,315,451,175,37,56,1,1861
2,Rajasthan,Alwar,43,2,5,37,5,41,385,567,263,20,24,NA,1960
3,Rajasthan,Bharatpur,39,6,5,45,19,52,390,711,392,16,29,NA,2366
4,Rajasthan,Jaipur,34,3,9,91,9,81,807,1414,527,72,115,1,4356
5,Rajasthan,Jhunjhunu,17,1,3,10,3,30,206,180,146,9,15,NA,863
6,Rajasthan,Sawai Madhopur,25,NA,6,73,8,57,306,284,262,14,17,NA,1513
7,Rajasthan,Sikar,19,NA,8,11,4,32,271,278,149,21,21,NA,1074
8,Rajasthan,Tonk,11,NA,3,40,1,13,180,244,86,14,15,NA,842
9,Rajasthan,Bikaner,9,NA,6,16,14,33,111,179,108,37,17,NA,888
10,Rajasthan,Churu,14,1,6,11,5,16,120,148,112,13,12,NA,792
11,Rajasthan,Ganganagar,67,NA,19,47,5,69,273,316,99,45,40,NA,2434
12,Rajasthan,Barmer,16,4,4,17,13,71,112,243,86,31,19,NA,968
13,Rajasthan,Jaisalmer,1,2,1,6,1,11,23,60,6,7,8,NA,205
14,Rajasthan,Jalore,12,1,1,18,1,35,89,148,88,16,14,1,628
15,Rajasthan,Jodhpur,21,1,7,46,9,74,295,603,180,35,39,NA,1865
16,Rajasthan,Nagaur,24,3,8,35,4,57,156,337,221,34,22,NA,1479
17,Rajasthan,Pali,20,2,4,42,2,16,181,293,130,31,16,NA,1163
18,Rajasthan,Sirohi,12,NA,1,5,NA,9,68,39,26,4,1,1,319
19,Rajasthan,Banswara,18,2,6,39,8,16,158,110,94,12,5,NA,711
20,Rajasthan,Bhilwara,20,NA,5,132,6,33,376,425,254,59,47,NA,1934
21,Rajasthan,Bundi,13,3,4,28,1,20,192,184,96,10,15,NA,930
22,Rajasthan,Chittorgarh,21,5,9,128,2,35,402,422,320,49,38,NA,2118
23,Rajasthan,Dungarpur,9,NA,NA,19,NA,6,61,73,46,10,4,NA,383
24,Rajasthan,Jhalawar,18,NA,6,28,3,31,267,209,77,9,26,NA,1145
25,Rajasthan,Kota,44,3,17,60,25,47,523,615,282,47,43,1,2818
26,Rajasthan,Udaipur,41,3,5,178,8,55,607,606,389,52,74,1,2918
27,Rajasthan,G.R.P.,6,2,1,4,1,7,4,539,13,3,6,2,671
1,Tamil Nadu,Madras City,29,4,9,13,3,14,472,5019,205,380,244,24,13015
2,Tamil Nadu,Chingleput East,15,NA,2,8,2,11,513,1457,141,41,27,NA,3537
3,Tamil Nadu,Chingleput West,15,NA,2,11,NA,7,456,1113,234,44,23,NA,3453
4,Tamil Nadu,North Arcot,54,NA,2,17,3,1,782,1574,318,52,29,3,4850
5,Tamil Nadu,South Arcot,65,NA,8,23,3,4,631,1202,529,51,26,1,4310
6,Tamil Nadu,Thanjavur East,32,NA,NA,11,NA,1,392,394,308,33,5,3,2172
7,Tamil Nadu,Thanjavur West,53,NA,3,8,1,3,351,762,229,54,13,8,3479
8,Tamil Nadu,Tiruchirapalli,80,NA,5,29,4,12,490,1181,247,37,36,6,4239
9,Tamil Nadu,Madurai South,44,NA,2,15,NA,4,188,948,122,69,41,5,4028
10,Tamil Nadu,Madurai North,51,1,1,15,1,16,288,685,295,40,18,11,2949
11,Tamil Nadu,Tirunelveli,110,11,9,12,1,12,459,1124,427,48,32,6,6544
12,Tamil Nadu,Ramanathapuram,76,NA,3,21,4,8,311,679,762,41,14,4,3534
13,Tamil Nadu,Kanyakumari,25,NA,NA,7,9,2,121,243,143,20,17,5,1389
14,Tamil Nadu,Dharmapuri,26,4,1,2,1,2,275,374,132,8,7,NA,1657
15,Tamil Nadu,Salem,98,NA,6,9,2,2,589,1166,303,30,16,15,4003
16,Tamil Nadu,Coimbatore Urban,32,NA,NA,3,NA,1,259,688,248,29,21,5,2278
17,Tamil Nadu,Coimbatore Rural,135,NA,3,13,1,4,410,768,464,23,13,2,3640
18,Tamil Nadu,The Nilgiris,12,NA,NA,7,NA,3,264,242,44,11,4,NA,977
19,Tamil Nadu,Govt. Rly. Police Tiruchirapalli,NA,1,2,NA,5,4,15,666,32,5,15,4,996
1,Tripura,West Tripura,25,2,NA,10,18,38,274,715,127,10,10,NA,1229
2,Tripura,North Tripura,8,NA,1,12,12,12,144,250,67,11,40,NA,557
3,Tripura,South Tripura,13,NA,NA,2,11,6,108,321,56,5,75,NA,597
1,Uttar Pradesh,Meerut,152,18,25,145,166,461,2150,4608,703,325,165,4,11019
2,Uttar Pradesh,Bulandshahar,97,16,16,55,83,185,991,2054,381,147,63,NA,5096
3,Uttar Pradesh,Muzaffaranagar,79,17,4,46,51,119,598,1513,187,73,28,1,3319
4,Uttar Pradesh,Saharanpur,59,24,15,55,46,132,960,2107,242,178,71,1,4755
5,Uttar Pradesh,Dehra Dun,20,2,7,43,16,139,695,1356,119,104,38,NA,3174
