SL. No.,Category,States/U.Ts/Cities,Murder - 1983,Murder - 1984,Murder - Percentage Variation,Kidnapping & Abduction - 1983,Kidnapping & Abduction - 1984,Kidnapping & Abduction - Percentage Variation,Culpable Homicide Not Amounting to Murder - 1983,Culpable Homicide Not Amounting to Murder - 1984,Culpable Homicide Not Amounting to Murder - Percentage Variation,Rape - 1983,Rape - 1984,Rape - Percentage Variation,Dacoity - 1983,Dacoity - 1984,Dacoity - Perentage Variation,Robbery - 1983,Robbery - 1984,Robbery - Percentage Variation,Burglary - 1983,Burglary - 1984,Burglary - Percentage Variation,Theft - 1983,Theft - 1984,Theft - Percentage Variation,Riots - 1983,Riots - 1984,Riots - Percentage Variation,Criminal Breach of Trust - 1983,Criminal Breach of Trust - 1984,Criminal Breach of Trust - Percentage Variation,Cheating - 1983,Cheating - 1984,Cheating - Percentage Variation,Counterfeiting - 1983,Counterfeiting - 1984,Counterfeiting - Percentage Variation,Total Cognizable Crimes Under IPC - 1983,Total Cognizable Crimes Under IPC - 1984,Total Cognizable Crimes Under IPC - Percentage Variation
11,State,Maharashtra,1973,2158,12.8,813,929,14.3,26,65,150,565,696,23.2,595,654,9.9,3334,3227,-3.2,16890,16104,-4.7,53641,52836,-1.5,9037,5649,-37.5,2477,2571,3.8,2246,2284,1.7,73,59,-19.2,157249,163667,4.1
12,State,Manipur,71,68,-4.2,205,202,-1.5,4,7,75,5,14,180,31,28,-9.7,66,65,-1.5,265,242,-8.7,548,586,6.9,226,254,12.4,86,58,-32.6,128,145,13.3,12,7,-41.7,3069,2886,-6
13,State,Meghalaya,61,63,3.3,11,20,81.8,3,32,966.7,8,15,87.5,31,21,-32.3,37,32,-13.5,258,126,-51.2,460,510,10.9,59,61,3.4,14,16,14.3,36,12,66.7,NA,3,NA,1646,1613,-2
14,State,Nagaland,27,27,0,19,19,0,2,5,150,10,14,40,6,14,133.3,49,55,12.2,319,248,-22.3,470,424,-9.8,39,51,30.8,64,80,25,41,51,24.4,NA,1,NA,1940,1964,1.2
15,State,Orissa,566,588,3.9,248,210,-15.3,52,71,36.5,174,174,0,377,261,-30.8,836,774,-7.4,6522,6222,-4.6,12285,10418,-15.2,2761,2836,2.7,462,464,0.4,313,313,0,12,15,25,44662,44817,0.3
16,State,Punjab,591,744,25.9,204,168,-17.6,169,174,3,57,59,3.5,9,11,22.2,64,103,60.9,1018,905,-11.1,1703,1447,-15,89,83,-6.7,356,259,-27.2,354,289,-18.4,9,6,-33.3,13960,12828,-8.1
17,State,Rajasthan,979,1005,2.7,1465,1545,5.5,35,58,65.7,378,379,0.3,147,108,-26.5,1217,1131,-7.1,6431,6068,-5.6,12202,11477,-5.9,11874,12428,4.7,1030,1075,4.4,2056,2157,4.9,13,9,-30.8,71367,71672,0.4
18,State,Sikkim,7,3,-57.1,1,5,400,NA,NA,0,4,7,75,3,1,-66.7,5,5,0,28,46,64.3,85,103,21.2,7,7,0,8,7,-12.5,4,2,-50,NA,NA,NA,257,283,10.1
19,State,Tamil Nadu,1310,1411,7.7,640,709,10.8,31,12,-61.3,202,222,9.9,63,58,-7.9,373,354,-5.1,11446,10219,-10.7,29566,26113,-11.7,9575,9862,3,1244,1411,13.4,1451,1161,-20,166,225,35.5,114416,113714,-0.6
20,State,Tripura,111,118,6.3,89,50,-43.8,1,16,1500,26,19,-26.9,228,283,24.1,200,254,27,1175,1189,1.2,1471,1348,-8.4,374,492,31.6,42,37,-11.9,30,21,-360,NA,2,NA,5900,6025,2.1
21,State,Uttar Pradesh,5752,6324,9.9,2834,3220,13.6,1702,1894,11.3,856,1106,29.2,4210,4749,12.8,5710,8393,47,22494,25693,14.2,49804,50491,1.4,9016,11997,33.1,4256,4528,6.4,2966,3166,6.7,62,100,61.3,164926,180189,9.3
22,State,West Bengal,1327,1438,8.4,936,1053,12.5,616,642,4.2,464,562,21.1,1193,1112,-6.8,1339,1197,-10.6,3667,3168,-13.6,32031,28137,-12.2,10952,10017,-8.5,1221,1182,-3.2,1089,931,14.5,53,55,3.8,81239,74899,-7.8
Total (States),State,Total (States),24739,25342,2.4,12999,13885,6.8,3542,3820,7.8,5867,6575,12.1,12336,12231,-0.9,20985,22829,8.8,136429,133319,-2.3,337495,313976,-7,107511,100533,-6.5,17924,17790,-0.7,18811,18111,-3.7,770,1074,39.5,1311915,1316796,0.4
23,UT,A & N Islands,12,17,41.7,3,5,66.7,1,1,0,4,3,-25,NA,NA,NA,6,4,-33.3,50,46,-8,164,116,-29.3,42,29,-31,10,7,-30,13,14,7.7,NA,NA,NA,755,739,-2.1
24,UT,Arunachal Pradesh,34,29,-14.7,17,23,35.3,5,3,-40,8,9,12.5,7,9,28.6,17,21,23.5,131,136,3.8,237,194,-18.2,19,9,-52.6,17,22,29.4,9,13,44.4,1,NA,-100,1071,960,-10.4
25,UT,Chandigarh,19,9,-52.6,23,19,-17.4,7,3,-57.1,3,1,-66.7,NA,NA,NA,11,11,0,140,143,2.1,735,712,-3.1,19,30,57.9,43,48,11.6,64,47,-26.6,2,4,100,1612,1806,12
26,UT,D & N Haveli,7,6,-14.3,2,1,-50,NA,NA,0,1,1,0,2,1,-50,4,4,0,36,62,72.2,25,35,40,5,19,280,6,1,-83.3,5,5,0,NA,NA,NA,205,283,38.4
27,UT,Delhi,245,317,29.4,759,1177,55,226,255,12.8,79,102,29.1,29,53,82.8,211,235,11.4,1503,1811,20.5,13028,13941,7,173,452,161.3,384,439,14.3,752,799,6.3,26,25,-3.8,27360,30773,12.5
28,UT,"Goa, Daman & Diu",20,23,15,16,8,-50,5,9,80,11,7,-36.4,3,3,0,44,51,15.9,536,507,-5.4,805,743,-7.7,234,263,12.4,43,42,-2.3,52,36,-30.8,5,4,-20,2936,3090,5.2
29,UT,Lakshadweep,NA,NA,0,NA,NA,0,NA,2,NA,1,NA,-100,NA,NA,NA,NA,NA,NA,1,3,200,6,7,16.7,1,NA,-100,NA,1,NA,NA,NA,NA,NA,NA,NA,18,23,27.8
30,UT,Mizoram,22,29,31.8,11,11,0,7,NA,-100,38,34,-10.5,3,3,0,23,42,82.6,81,71,-12.3,262,208,-20.6,1,1,0,53,40,-24.5,34,23,-32.4,5,6,20,1696,1577,-7
31,UT,Pondicherry,14,14,0,12,12,0,NA,NA,NA,7,8,14.3,2,1,-50,9,7,-22.2,196,174,-11.2,779,737,-5.4,96,124,29.2,34,38,11.8,27,29,7.4,NA,5,NA,2298,2613,13.7
Total (UTs),UT,Total (UTs),373,444,19,843,1256,49,251,273,8.8,152,165,8.6,46,70,52.2,325,375,15.4,2674,2953,10.4,16041,16693,4.1,590,927,57.1,590,638,8.1,956,966,1,39,44,12.8,37951,41864,10.3
All India,All India,All India,25112,25786,2.7,13842,15141,9.4,3793,4093,7.9,6019,6740,12,12382,12301,-0.7,21310,23204,8.9,139103,136272,-2,353536,330669,-6.5,108101,101460,-6.1,18514,18428,-0.5,19767,19077,-3.5,809,1118,38.2,1349866,1358660,0.7
1,City,Ahmedabad,60,63,5,115,101,-12.2,NA,3,NA,8,7,-12.5,10,11,10,31,51,64.5,540,510,-5.6,2508,2503,-0.2,298,247,-17.1,88,104,18.2,148,152,2.7,5,2,-60,10500,10156,-3.3
2,City,Bangalore,56,50,-10.7,46,48,4.3,2,2,0,21,17,-19,7,8,14.3,270,225,-16.7,1467,1487,1.4,6275,6012,-4.2,242,518,114,195,200,2.6,540,493,-8.7,74,112,51.4,14142,16354,15.6
3,City,Bombay,261,288,10.3,201,204,1.5,2,13,550,107,81,-24.3,47,73,55.3,567,557,-1.8,2059,2089,1.5,13973,13329,-4.6,222,349,57.2,709,803,13.3,917,974,6.2,42,29,-31,31722,31150,-1.8
4,City,Calcutta,95,81,-14.7,114,156,36.8,11,11,0,21,22,4.8,45,52,15.6,360,361,0.3,916,910,-0.7,6943,6916,-0.4,830,729,-12.2,351,338,5.6,426,390,-8.5,27,44,63,14062,13877,-1.3
5,City,Delhi,214,284,32.7,722,1145,58.6,190,242,27.4,74,99,33.8,28,47,67.9,200,214,7,1443,1746,21,12600,13484,4,159,406,155.3,372,431,15.9,732,768,4.9,26,25,-3.8,26070,29243,12.2
6,City,Hyderabad,99,95,-4,63,85,34.9,NA,1,NA,22,29,31.8,20,21,5,75,99,32,1066,1161,8.9,2565,2723,6.2,312,821,163.1,90,93,3.3,339,321,-5.3,22,32,45.5,6649,7491,12.7
7,City,Jaipur,21,40,90.5,80,100,25,NA,2,NA,13,13,0,2,3,50,67,77,14.9,496,413,-16.7,1323,1356,2.5,537,649,20.9,77,84,9.1,200,202,1,5,4,-20,4491,5137,14.4
8,City,Kanpur,119,164,37.8,169,187,10.7,165,25,-84.4,39,51,30.8,30,103,243.3,166,278,67.5,545,832,52.7,1259,2645,110.1,189,1336,606.9,409,309,-24.4,110,296,169.1,31,NA,-100,6638,6226,-6.2
9,City,Lucknow,65,72,10.8,98,108,10.2,16,19,18.8,10,29,190,20,38,90,79,126,59.5,725,763,5.2,2760,2957,7.1,168,238,41.7,217,299,37.8,218,222,1.8,28,17,-39.3,6659,6839,2.7
10,City,Madras,33,43,30.3,42,20,-52.4,14,4,-71.4,22,21,-4.5,3,1,-66.7,76,58,-23.7,645,456,-29.3,6141,4260,-30.6,104,137,31.7,86,129,50,505,312,-38.2,24,17,-29.2,13816,10561,-23.6
11,City,Nagpur,68,56,-17.6,50,72,44,NA,1,NA,35,44,25.7,18,13,-27.8,252,261,3.6,746,669,-10.3,2270,2442,7.6,133,202,65.6,62,72,16.1,136,155,14,2,7,250,6148,7060,14.8
12,City,Pune,52,60,15.4,56,49,-12.5,5,5,0,16,24,50,15,5,-66.7,106,94,-11.3,687,654,-4.8,2101,2131,1.4,167,202,21,112,96,16.7,146,156,6.8,7,2,-71.4,7517,8319,10.7
Total (Cities),City,Total (Cities),1143,1301,13.8,1639,2275,38.8,405,328,-19,388,437,12.6,245,375,53.1,2249,2401,6.8,11335,11690,3.1,60718,60758,0.1,3361,5834,73.6,2768,2958,6.9,4417,4441,0.5,293,291,-0.7,148421,152413,2.7
